,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
36,2014-10-13 9:25 PM,66 F,63 F,88 %,CALM,0 mph,0 mph,30.19 in,0.0 in,Fog
37,2014-10-13 9:30 PM,66 F,63 F,88 %,CALM,0 mph,0 mph,30.18 in,0.0 in,Haze
38,2014-10-13 9:32 PM,66 F,63 F,88 %,CALM,0 mph,0 mph,30.18 in,0.0 in,Fog
39,2014-10-13 9:34 PM,66 F,63 F,88 %,CALM,0 mph,0 mph,30.19 in,0.0 in,Fog
40,2014-10-13 9:52 PM,66 F,62 F,87 %,NNE,3 mph,0 mph,30.18 in,0.0 in,Fog
41,2014-10-13 10:08 PM,66 F,63 F,88 %,CALM,0 mph,0 mph,30.18 in,0.0 in,Fog
42,2014-10-13 10:17 PM,66 F,63 F,88 %,CALM,0 mph,0 mph,30.18 in,0.0 in,Cloudy
43,2014-10-13 10:25 PM,64 F,63 F,94 %,CALM,0 mph,0 mph,30.18 in,0.0 in,Cloudy
44,2014-10-13 10:52 PM,65 F,62 F,90 %,CALM,0 mph,0 mph,30.18 in,0.0 in,Partly Cloudy
45,2014-10-13 10:59 PM,64 F,63 F,94 %,CALM,0 mph,0 mph,30.18 in,0.0 in,Partly Cloudy
46,2014-10-13 11:22 PM,64 F,61 F,88 %,CALM,0 mph,0 mph,30.18 in,0.0 in,Patches of Fog
47,2014-10-13 11:41 PM,64 F,61 F,88 %,CALM,0 mph,0 mph,30.18 in,0.0 in,Patches of Fog
48,2014-10-13 11:44 PM,64 F,61 F,88 %,CALM,0 mph,0 mph,30.18 in,0.0 in,Patches of Fog
49,2014-10-13 11:52 PM,65 F,62 F,90 %,CALM,0 mph,0 mph,30.19 in,0.0 in,Patches of Fog
50,2014-10-13 11:59 PM,64 F,63 F,94 %,CALM,0 mph,0 mph,30.18 in,0.0 in,Cloudy
