,"1,1,2,2-Tetrachloroethane","1,1,2,2-Tetrachloroethane (C2H2Cl4)"
34,"2,7-Dimethylnaphthalene","2,7-Dimethylnaphthalene (C10H6(CH3)2), a polycyclic aromatic hydrocarbon (PAH)"
35,2-Butanone (MEK),2-Butanone (MEK) (C4H8O)
36,2-Butoxyethanol,2-Butoxyethanol (CH3(CH2)2CH2OCH2OH)
37,2-Chloronaphthalene,2-Chloronaphthalene (C10H7Cl)
38,2-Chlorophenol,2-Chlorophenol (C6H5ClO)
39,2-Hexanone,2-Hexanone (C6H12O)
40,2-Methylanthracene,"2-Methylanthracene (C15H12), a polycyclic aromatic hydrocarbon (PAH)"
41,2-Methyldibenzothiophene,"2-Methyldibenzothiophene (C13H10S), a polycyclic aromatic hydrocarbon (PAH)"
42,2-Methylnaphthalene,"2-Methylnaphthalene (C10H7CH3), a polycyclic aromatic hydrocarbon (PAH)"
43,2-Methylphenanthrene,"2-Methylphenanthrene (C15H12), a polycyclic aromatic hydrocarbon (PAH)"
44,2-Methylphenol,2-Methylphenol (C7H8O)
45,2-Nitroaniline,2-Nitroaniline (C6H6N2O2)
46,2-Nitrophenol,2-Nitrophenol (C6H5NO3)
47,"3,6-Dimethylphenanthrene","3,6-Dimethylphenanthrene (C16H14), a polycyclic aromatic hydrocarbon (PAH)"
48,3-Nitroaniline,3-Nitroaniline (C6H6N2O2)
49,"4,4-DDD",Dichlorodiphenyldichloroethane (C14H10Cl4)
50,"4,4-DDE",Dichlorodiphenyldichloroethylene (C14H8Cl4)
51,"4,4-DDT",Dichlorodiphenyltrichloroethane (C14H9Cl5)
52,"4,6-Dinitro-2-methylphenol","4,6-Dinitro-2-methylphenol (C7H6N2O5)"
53,4-Bromophenylphenyl ether,4-Bromophenylphenyl ether (C12H9BrO)
54,4-Chloroaniline,4-Chloroaniline (C6H6ClN)
55,4-Chlorophenylphenyl ether,4-Chlorophenylphenyl ether (C12H9ClO)
56,4-Methylchrysene,"4-Methylchrysene (C19H14), a polycyclic aromatic hydrocarbon (PAH)"
57,4-Methyldibenzothiophene,"4-Methyldibenzothiophene (C13H10S), a polycyclic aromatic hydrocarbon (PAH)"
58,4-Nitroaniline,4-Nitroaniline (C6H6N2O2)
59,4-Nitrophenol,4-Nitrophenol (C6H5NO3)
60,9 cis-Neoxanthin,The phytoplankton pigment  9 cis-Neoxanthin
61,"9,10-Dimethylanthracene","9,10-Dimethylanthracene (C16H14), a polycyclic aromatic hydrocarbon (PAH)"
62,Abundance,"The relative representation of a species in a particular ecosystem. If this generic term is used, the publisher should specify/qualify the species, class, etc. being measured in the method, qualifier, or other appropriate field."
63,Acenaphthene,Acenaphthene (C12H10)
64,Acenaphthylene,"Acenaphthylene (C12H8), a polycyclic aromatic hydrocarbon (PAH)"
65,Acetic Acid,Acetic Acid (C2H4O2)
66,Acetone,Acetone (C3H6O)
67,Acetophenone,Acetophenone (C6H5C(O)CH3)
68,Acid neutralizing capacity,Acid neutralizing capacity
69,"Acidity, CO2 acidity",CO2 acidity
70,"Acidity, hot",Hot Acidity
71,"Acidity, mineral acidity",Mineral Acidity
72,"Acidity, total acidity",Total acidity
73,Adamantane,Adamantane (C10H16)
74,Agency code,Code for the agency which analyzed the sample
75,Albedo,The ratio of reflected to incident light.
76,Aldrin,Aldrin (C12H8Cl6)
77,"Alkalinity, bicarbonate",Bicarbonate Alkalinity
78,"Alkalinity, carbonate",Carbonate Alkalinity
79,"Alkalinity, carbonate plus bicarbonate","Alkalinity, carbonate plus bicarbonate"
80,"Alkalinity, hydroxide",Hydroxide Alkalinity
81,"Alkalinity, total",Total Alkalinity
82,Alloxanthin,The phytoplankton pigment Alloxanthin
83,"Aluminum, dissolved",Dissolved Aluminum (Al)
84,"Aluminum, particulate",Particulate aluminum in suspension
85,"Aluminum, total",Aluminum (Al). Total indicates was measured on a whole water sample.
86,Ammonium flux,Ammonium (NH4) flux
87,Aniline,Aniline (C6H7N)
88,Anthracene,"Anthracene (C14H10), a polycyclic aromatic hydrocarbon (PAH)"
89,"Antimony, dissolved","Dissolved antimony (Sb).""Dissolved"" indicates measurement was on a filtered sample."
90,"Antimony, distribution coefficient",Ratio of concentrations of antimony in two phases in equilibrium with each other. Phases must be specified.
91,"Antimony, particulate",Particulate antimony (Sb) in suspension
92,"Antimony, total","Total antimony (Sb). ""Total"" indicates was measured on a whole water (unfiltered) sample."
93,Area,Area of a measurement location
94,Argon,Argon
95,"Argon, dissolved",Dissolved Argon
96,Aroclor-1016,"Aroclor-1016 (C24H13Cl7), a PCB mixture"
97,Aroclor-1242,"Aroclor-1242 (C12H6Cl4), a PCB mixture"
98,Aroclor-1254,"Aroclor-1254 (C12H5Cl5), a PCB mixture"
99,Aroclor-1260,"Aroclor-1260 (C12H3Cl7), a PCB mixture"
100,"Arsenic, dissolved","Dissolved Arsenic. For chemical terms, dissolved represents a filtered sample."
101,"Arsenic, distribution coefficient",Ratio of concentrations of arsenic in two phases in equilibrium with each other. Phases must be specified.
102,"Arsenic, particulate",Particulate arsenic (As) in suspension
103,"Arsenic, total",Total arsenic (As). Total indicates was measured on a whole water sample.
104,Asteridae coverage,Areal coverage of the plant Asteridae
105,"Barium, dissolved",Dissolved Barium (Ba)
106,"Barium, distribution coefficient",Ratio of concentrations of barium in two phases in equilibrium with each other. Phases must be specified
107,"Barium, particulate",Particulate barium (Ba) in suspension
108,"Barium, total","Total Barium (Ba). For chemical terms, ""total"" indicates an unfiltered sample."
109,Barometric pressure,Barometric pressure
110,Baseflow,The portion of streamflow (discharge) that is supplied by groundwater sources.
111,Batis maritima Coverage,Areal coverage of the plant Batis maritima
112,Battery temperature,The battery temperature of a datalogger or sensing system
113,Battery voltage,"The battery voltage of a datalogger or sensing system, often recorded as an indicator of data reliability"
114,Benthos,Benthic species
115,Benz[a]anthracene,"Benz[a]anthracene (C18H12), a polycyclic aromatic hydrocarbon (PAH)"
116,Benzene,Benzene (C6H6)
117,"Benzo(g,h,i)perylene","Benzo(g,h,i)perylene (C22H12), a polycyclic aromatic hydrocarbon (PAH)"
118,Benzo(k)fluoranthene,"Benzo(k)fluoranthene (C20H12), a polycyclic aromatic hydrocarbon (PAH)"
119,Benzo[a]pyrene,"Benzo[a]pyrene (C20H12), a polycyclic aromatic hydrocarbon (PAH)"
120,Benzo[b]fluorene,"Benzo[b]fluorene (C17H12), a polycyclic aromatic hydrocarbon (PAH)"
121,Benzoic acid,Benzoic acid (C7H6O2)
122,"Beryllium, dissolved","Dissolved Beryllium (Be) . For chemical terms, ""dissolved""indicates a filtered sample."
123,"Beryllium, total","Total Beryllium (Be). For chemical terms, ""total"" indicates an unfiltered sample."
124,Bicarbonate,Bicarbonate (HCO3-)
125,Biogenic silica,Hydrated silica (SiO2 nH20)
126,Biomass,"Mass of living biological organisms in a given area or ecosystem at a given time. If this generic term is used, the publisher should specify/qualify the species, class, etc. being measured in the method, qualifier, or other appropriate field."
127,"Biomass, phytoplankton","Total mass of phytoplankton, per unit area or volume"
128,"Biomass, total",Total biomass
129,Biphenyl,"Biphenyl ((C6H5)2), a polycyclic aromatic hydrocarbon (PAH), also known as diphenyl or phenylbenzene or 1,1'-biphenyl or lemonene"
130,bis(2-Chloroethyl)ether,bis(2-Chloroethyl)ether (C4H8Cl2O)
131,Bis-(2-ethylhexyl) phthalate,Bis-(2-ethylhexyl) phthalate (C6H4(C8H17COO)2)
132,bis-2-chloroisopropyl ether,bis-2-chloroisopropyl ether (C6H12Cl2O)
133,"Blue-green algae (cyanobacteria), phycocyanin",Blue-green algae (cyanobacteria) with phycocyanin pigments
134,BOD1,1-day Biochemical Oxygen Demand
135,"BOD2, carbonaceous",2-day Carbonaceous Biochemical Oxygen Demand
136,BOD20,20-day Biochemical Oxygen Demand
137,"BOD20, carbonaceous",20-day Carbonaceous Biochemical Oxygen Demand
138,"BOD20, nitrogenous",20-day Nitrogenous Biochemical Oxygen Demand
139,"BOD3, carbonaceous",3-day Carbonaceous Biochemical Oxygen Demand
140,"BOD4, carbonaceous",4-day Carbonaceous Biological Oxygen Demand
141,BOD5,5-day Biochemical Oxygen Demand
142,"BOD5, carbonaceous",5-day Carbonaceous Biochemical Oxygen Demand
143,"BOD5, nitrogenous",5-day Nitrogenous Biochemical Oxygen Demand
144,"BOD6, carbonaceous",6-day Carbonaceous Biological Oxygen Demand
145,"BOD7, carbonaceous",7-day Carbonaceous Biochemical Oxygen Demand
146,BODu,Ultimate Biochemical Oxygen Demand
147,"BODu, carbonaceous",Carbonaceous Ultimate Biochemical Oxygen Demand
148,"BODu, nitrogenous",Nitrogenous Ultimate Biochemical Oxygen Demand
149,Body length,Length of the body of an organism
150,Borehole log material classification,Classification of material encountered by a driller at various depths during the drilling of a well and recorded in the borehole log.
151,"Boron, dissolved",dissolved boron
152,"Boron, total",Total Boron (B)
153,Borrichia frutescens Coverage,Areal coverage of the plant Borrichia frutescens
154,"Bromide, dissolved",Dissolved Bromide (Br-)
155,"Bromide, total",Total Bromide (Br-)
156,Bromine,Bromine (Br2)
157,"Bromine, dissolved",Dissolved Bromine (Br2)
158,Bromodichloromethane,Bromodichloromethane (CHBrCl2)
159,Bromoform,"Bromoform (CHBr3), a haloform"
160,Bromomethane (Methyl bromide),Bromomethane (Methyl bromide) (CH3Br)
161,Bulk electrical conductivity,"Bulk electrical conductivity of a medium measured using a sensor such as time domain reflectometry (TDR), as a raw sensor response in the measurement of a quantity like soil moisture."
162,Butane,Butane
163,Butylbenzylphthalate,Butylbenzylphthalate (C19H20O4)
164,Butyric Acid,Butyric Acid (C4H8O2)
165,"Cadmium, dissolved","Dissolved Cadmium. For chemical terms, ""dissolved"" indicates a filtered sample."
166,"Cadmium, distribution coefficient",Ratio of concentrations of cadmium in two phases in equilibrium with each other. Phases must be specified.
167,"Cadmium, particulate",Particulate cadmium (Cd) in suspension
168,"Cadmium, total","Total Cadmium (Cd). For chemical terms, ""total"" indciates an unfiltered sample."
169,"Calcium, dissolved",Dissolved Calcium (Ca)
170,"Calcium, total",Total Calcium (Ca)
171,Canthaxanthin,The phytoplankton pigment Canthaxanthin
172,Carbazole,Carbazole (C12H9N)
173,Carbon dioxide,Carbon dioxide
174,Carbon dioxide flux,Carbon dioxide (CO2) flux
175,Carbon dioxide storage flux,Carbon dioxide (CO2) storage flux
176,"Carbon Dioxide, dissolved",Dissolved Carbon dioxide (CO2)
177,"Carbon dioxide, transducer signal","Carbon dioxide (CO2), raw data from sensor"
178,Carbon disulfide,Carbon disulfide (CS2)
179,Carbon tetrachloride,Carbon tetrachloride (CCl4)
180,Carbon to nitrogen molar ratio,Carbon to nitrogen (C:N) molar ratio
181,"Carbon, dissolved inorganic",Dissolved Inorganic Carbon
182,"Carbon, dissolved organic",Dissolved Organic Carbon
183,"Carbon, dissolved total",Dissolved Total (Organic+Inorganic) Carbon
184,"Carbon, particulate organic",Particulate organic carbon in suspension
185,"Carbon, suspended inorganic",Suspended Inorganic Carbon
186,"Carbon, suspended organic","DEPRECATED -- The use of this term is discouraged in favor of the use of the synonymous term ""Carbon, particulate organic""."
187,"Carbon, suspended total",Suspended Total (Organic+Inorganic) Carbon
188,"Carbon, total",Total (Dissolved+Particulate) Carbon
189,"Carbon, total inorganic",Total (Dissolved+Particulate) Inorganic Carbon
190,"Carbon, total organic",Total (Dissolved+Particulate) Organic Carbon
191,"Carbon, total solid phase",Total solid phase carbon
192,"Carbon-13, stable isotope ratio delta",Difference in the 13C:12C ratio between the sample and standard (del C 13)
193,Carbon-14,A radioactive isotope of carbon which undergoes beta decay
194,Carbonate,Carbonate ion (CO3-2) concentration
195,"Cesium, dissolved",Dissolved Cesium (Cs)
196,"Cesium, total",Total Cesium (Cs)
197,Cesium-137,A radioactive isotope of cesium which is formed as a fission product by nuclear fission of uranium or plutonium.
198,Chloride,Chloride (Cl-)
199,"Chloride, dissolved",Dissolved Chloride (Cl-)
200,"Chloride, total",Total Chloride (Cl-)
201,Chlorine,Chlorine (Cl2)
202,"Chlorine, dissolved",Dissolved Chlorine (Cl2)
203,Chlorobenzene,Chlorobenzene (C6H5Cl)
204,Chloroethane,Chloroethane (C2H5Cl)
205,Chloroethene,Chloroethene (C2H3Cl)
206,Chloroform,"Chloroform (CHCl3), a haloform"
207,Chloromethane,Chloromethane (CH3Cl)
208,Chlorophyll (a+b+c),Chlorophyll (a+b+c)
209,Chlorophyll a,Chlorophyll a
210,Chlorophyll a allomer,The phytoplankton pigment Chlorophyll a allomer
211,"Chlorophyll a, corrected for pheophytin",Chlorphyll a corrected for pheophytin
212,"Chlorophyll a, uncorrected for pheophytin",Chlorophyll a uncorrected for pheophytin
213,Chlorophyll b,Chlorophyll b
214,Chlorophyll c,Chlorophyll c
215,Chlorophyll c1 and c2,Chlorophyll c1 and c2
216,Chlorophyll fluorescence,Chlorophyll Fluorescence
217,Chromium (III),Trivalent Chromium
218,Chromium (VI),Hexavalent Chromium
219,"Chromium (VI), dissolved",Dissolved Hexavalent Chromium
220,"Chromium, dissolved",Dissolved Chromium
221,"Chromium, distribution coefficient",Ratio of concentrations of chromium in two phases in equilibrium with each other. Phases must be specified.
222,"Chromium, particulate",Particulate chromium (Cr) in suspension
223,"Chromium, total",Total chromium (Cr). Total indicates was measured on a whole water (unfiltered) sample.
224,Chrysene,"Chrysene (C18H12), a polycyclic aromatic hydrocarbon (PAH)"
225,"cis-1,2-Dichloroethene","cis-1,2-Dichloroethene (C2H2Cl2)"
226,"cis-1,3-Dichloropropene","cis-1,3-Dichloropropene (C3H4Cl2)"
227,"Cobalt, dissolved",Dissolved Cobalt (Co)
228,"Cobalt, total",Total Cobalt (Co)
229,Cobalt-60,A synthetic radioactive isotope of cobalt with a half-life of 5.27 years.
230,COD,Chemical oxygen demand
231,"Coliform, fecal",Fecal Coliform
232,"Coliform, total",Total Coliform
233,Color,Color in quantified in color units
234,Colored dissolved organic matter,The concentration of colored dissolved organic matter (humic substances)
235,Container number,The identifying number for a water sampler container.
236,"Copper, dissolved",Dissolved Copper (Cu)
237,"Copper, distribution coefficient",Ratio of concentrations of copper in two phases in equilibrium with each other. Phases must be specified.
238,"Copper, particulate",Particulate copper (Cu) in suspension
239,"Copper, total","Total copper (Cu). ""Total"" indicates was measured on a whole water (unfiltered) sample."
240,Cryptophytes,The chlorophyll a concentration contributed by cryptophytes
241,Cuscuta spp. coverage,Areal coverage of the plant Cuscuta spp.
242,Cyanide,Cyanide (CN)
243,Cyclohexane,Cyclohexane (C6H6Cl6)
244,"Cytochrome P450, family 1, subfamily A, polypeptide 1, delta cycle threshold","Delta cycle threshold for Cytochrome P450, family 1, subfamily A, polypeptide 1 (cyp1a1). Cycle threshold is the PCR cycle number at which the fluorescent signal of the gene being amplified crosses the set threshold. Delta cycle threshold for cyp1a1 is the difference between the cycle threshold (Ct) of cyp1a1 gene expression and the cycle threshold (Ct) for the gene expression of the reference gene (e.g., beta-actin)."
245,Cytosolic protein,The total protein concentration within the cytosolic fraction of cells. The cytosol refers to the intracellular fluid or cytoplasmic matrix of a eukaryotic cell.
246,delta-13C of C2H6,Isotope 13C of ethane
247,delta-13C of C3H8,Isotope 13C of propane
248,delta-13C of C4H10,Isotope 13C of butane
249,delta-13C of CH4,Isotope 13C of methane
250,delta-13C of CO2,Isotope 13C of carbon dioxide
251,delta-13C of DIC,Isotope 13C of dissolved inorganic carbon (DIC)
252,delta-18O of H2O,Isotope 18O of water
253,delta-D of CH4,hydrogen isotopes of methane
254,delta-D of H2O,hydrogen isotopes of water
255,Density,Density
256,Deuterium,"Deuterium (2H), Delta D"
257,Diadinoxanthin,The phytoplankton pigment Diadinoxanthin
258,Diatoxanthin,The phytoplankton pigment Diatoxanthin
259,"Dibenz(a,h)anthracene","Dibenz(a,h)anthracene (C22H14), a polycyclic aromatic hydrocarbon (PAH)"
260,Dibenzofuran,Dibenzofuran (C12H8O)
261,Dibenzothiophene,"Dibenzothiophene (C12H8S), a polycyclic aromatic hydrocarbon (PAH)"
262,Dibromochloromethane,Dibromochloromethane (CHBr2Cl)
263,Dieldrin,Dieldrin (C12H8Cl6O)
264,Diethyl phthalate,Diethyl phthalate (C12H14O4)
265,Diethylene glycol,Diethylene glycol (C4H10O3)
266,Dimethyl Phthalate,Dimethyl Phthalate (C10H10O4)
267,Di-n-butylphthalate,Di-n-butylphthalate (C16H22O4)
268,Di-n-octyl phthalate,Di-n-octyl phthalate (C24H38O4)
269,Dinoflagellates,The chlorophyll a concentration contributed by Dinoflagellates
270,Dinoseb,Dinoseb (C10H12N2O5)
271,Discharge,Discharge
272,Distance,Distance measured from a sensor to a target object such as the surface of a water body or snow surface.
273,Distichlis spicata Coverage,Areal coverage of the plant Distichlis spicata
274,Disulfoton,Disulfoton (C8H19O2PS3)
275,"DNA damage, olive tail moment","In a single cell gel electrophoresis assay (comet assay), olive tail moment is the product of the percentage of DNA in the tail and the distance between the intesity centroids of the head and tail along the x-axis (Olive, et al., 1990)"
276,"DNA damage, percent tail DNA","In a single cell gel electrophoresis assay (comet assay), percent tail DNA is the ratio of fluorescent intensity of the tail over the total fluorescent intensity of the head (nuclear core) and tail multiplied by 100."
277,"DNA damage, tail length","In a single cell gel electrophoresis assay (comet assay), tail length is the distance of DNA migration from the body of the nuclear core"
278,E-coli,Escherichia coli
279,Electric Current,A flow of electric charge
280,Electric Energy,Electric Energy
281,Electric Power,Electric Power
282,Electrical conductivity,Electrical conductivity
283,Endosulfan I (alpha),Endosulfan I (alpha) (C9H6Cl6O3S)
284,Endosulfan II (beta),Endosulfan II (beta) (C9H6Cl6O3S)
285,Endosulfan Sulfate,Endosulfan Sulfate (C9H6Cl6O4S)
286,Endrin,Endrin (C12H8Cl6O)
287,Endrin aldehyde,Endrin aldehyde (C12H8Cl6O)
288,Endrin Ketone,Endrin Ketone (C12H9Cl5O)
289,Enterococci,Enterococcal bacteria
290,Ethane,Ethane
291,"Ethane, dissolved",Dissolved Ethane (C2H6)
292,Ethanol,Ethanol (C2H6O)
293,"Ethoxyresorufin O-deethylase, activity",Ethoxyresorufin O-deethylase (EROD) activity
294,Ethylbenzene,Ethylbenzene (C8H10)
295,Ethylene,Ethylene (C2H4)
296,Ethylene glycol,Ethlene Glycol (C2H4(OH)2)
297,"Ethylene, dissolved",Dissolved ethylene
298,Ethyne,Ethyne (C2H2)
299,Evaporation,Evaporation
300,Evapotranspiration,Evapotranspiration
301,"Evapotranspiration, potential",The amount of water that could be evaporated and transpired if there was sufficient water available.
302,Fish detections,The number of fish identified by the detection equipment
303,Flash memory error count,A counter which counts the number of  datalogger flash memory errors
304,Fluoranthene,"Fluoranthene (C16H10), a polycyclic aromatic hydrocarbon (PAH)"
305,Fluorene,"Fluorene (C13H10), a polycyclic aromatic hydrocarbon (PAH)"
306,Fluoride,Fluoride (F-)
307,"Fluoride, dissolved",Dissolved Fluoride (F-)
308,Fluorine,Fluorine (F2)
309,"Fluorine, dissolved",Dissolved Fluorine (F2)
310,Formic acid,Formic acid (CH2O2)
311,Friction velocity,Friction velocity
312,Gage height,Water level with regard to an arbitrary gage datum (also see Water depth for comparison)
313,Global Radiation,"Solar radiation, direct and diffuse, received from a solid angle of 2p steradians on a horizontal surface. Source: World Meteorological Organization, Meteoterm"
314,Glutaraldehyde,Glutaraldehyde (C5H8O2)
315,"Glutathione S-transferase, activity",Glutathione S-transferase (GST) activity
316,"Glutathione S-transferase, delta cycle threshold","Delta cycle threshold for glutathione S-transferase (gst). Cycle threshold is the PCR cycle number at which the fluorescent signal of the gene being amplified crosses the set threshold. Delta cycle threshold for gst is the difference between the cycle threshold (Ct) of gst gene expression and the cycle threshold (Ct) for the gene expression of the reference gene (e.g., beta-actin)."
317,Gross alpha radionuclides,Gross Alpha Radionuclides
318,Gross beta radionuclides,Gross Beta Radionuclides
319,Ground heat flux,Ground heat flux
320,Groundwater Depth,Groundwater depth is the distance between the water surface and the ground surface at a specific location specified by the site location and offset.
321,"Hardness, Calcium",Hardness of calcium
322,"Hardness, carbonate",Carbonate hardness also known as temporary hardness
323,"Hardness, Magnesium",Hardness of magnesium
324,"Hardness, non-carbonate",Non-carbonate hardness
325,"Hardness, total",Total hardness
326,Heat index,The combination effect of heat and humidity on the temperature felt by people.
327,Helium,Helium
328,"Helium, dissolved",Dissolved Helium (He)
329,Heptachlor,Heptachlor (C10H5Cl7)
330,Heptachlor epoxide,Heptachlor epoxide (C10H5Cl7O)
331,Hexachlorobenzene,Hexachlorobenzene (C6Cl6)
332,Hexachlorobutadiene,Hexachlorobutadiene (C4Cl6)
333,Hexachlorocyclopentadiene,Hexachlorocyclopentadiene (C5Cl6)
334,Hexachloroethane,Hexachloroethane (C2Cl6)
335,Hexane,Hexane
336,Hydrogen,Hydrogen
337,Hydrogen sulfide,Hydrogen sulfide (H2S)
338,"Hydrogen, dissolved",Dissolved Hydrogen
339,"Hydrogen-2, stable isotope ratio delta",Difference in the 2H:1H ratio between the sample and standard
340,Imaginary dielectric constant,Soil reponse of a reflected standing electromagnetic wave of a particular frequency which is related to the dissipation (or loss) of energy within the medium. This is the imaginary portion of the complex dielectric constant.
341,"Indeno(1,2,3-cd)pyrene","Indeno(1,2,3-cd)pyrene (C22H12)"
342,"Iodide, dissolved",Dissolved Iodide (I-)
343,Iron sulfide,Iron sulfide (FeS2)
344,"Iron, dissolved",Dissolved Iron (Fe)
345,"Iron, ferric",Ferric Iron (Fe+3)
346,"Iron, ferrous",Ferrous Iron (Fe+2)
347,"Iron, particulate",Particulate iron (Fe) in suspension
348,"Iron, total",Total Iron (Fe)
349,Isobutane,Isobutane
350,Isobutyric acid,Isobutyric acid (C4H8O2)
351,Isopentane,Isopentane
352,Isophorone,Isophorone (C9H14O)
353,Iva frutescens coverage,Areal coverage of the plant Iva frutescens
354,Lactic Acid,Lactic Acid (C3H6O3)
355,Latent heat flux,Latent Heat Flux
356,Latitude,Latitude as a variable measurement or observation (Spatial reference to be designated in methods).  This is distinct from the latitude of a site which is a site attribute.
357,"Lead, dissolved","Dissolved Lead (Pb). For chemical terms, dissolved indicates a filtered sample"
358,"Lead, distribution coefficient",Ratio of concentrations of lead in two phases in equilibrium with each other. Phases must be specified.
359,"Lead, particulate",Particulate lead (Pb) in suspension
360,"Lead, total","Total Lead (Pb). For chemical terms, total indicates an unfiltered sample."
361,Leaf wetness,The effect of moisture settling on the surface of a leaf as a result of either condensation or rainfall.
362,Light attenuation coefficient,Light attenuation coefficient
363,Limonium nashii Coverage,Areal coverage of the plant Limonium nashii
364,"Lithium, dissolved","Dissolved Lithium (Li). For chemical terms, dissolved indicates a filtered sample."
365,"Lithium, total","Total Lithium (Li). For chemical terms, total indicates an unfiltered sample."
366,"Liver, mass",Mass of the sample of liver tissue used for analyses
367,Longitude,Longitude as a variable measurement or observation (Spatial reference to be designated in methods). This is distinct from the longitude of a site which is a site attribute.
368,Low battery count,A counter of the number of times the battery voltage dropped below a minimum threshold
369,LSI,Langelier Saturation Index is an indicator of the degree of saturation of water with respect to calcium carbonate
370,Lycium carolinianum Coverage,Areal coverage of the plant Lycium carolinianum
371,"Magnesium, dissolved",Dissolved Magnesium (Mg)
372,"Magnesium, total",Total Magnesium (Mg)
373,Malathion,"Butanedioic acid, [(dimethoxyphosphinothioyl)thio]-, diethyl ester (C10H19O6PS2)"
374,"Manganese, dissolved",Dissolved Manganese (Mn)
375,"Manganese, particulate",Particulate manganese (Mn) in suspension
376,"Manganese, total","Total manganese (Mn). ""Total"" indicates was measured on a whole water (unfiltered) sample."
377,"Mercury, dissolved","Dissolved Mercury (Hg). For chemical terms, dissolved indicates a filtered sample."
378,"Mercury, total","Total Mercury (Hg). For chemical terms, total represents an unfiltered sample."
379,Methane,Methane (CH4)
380,"Methane, dissolved",Dissolved Methane (CH4)
381,Methanol,Methanol (CH3OH)
382,Methoxychlor,Methoxychlor (C16H15Cl3O2)
383,Methyl tert-butyl ether (MTBE),Methyl tert-butyl ether (MTBE) (C5H12O)
384,Methylene blue active substances,Methylene Blue Active Substances (MBAS)
385,Methylene chloride (Dichloromethane),Methylene chloride (Dichloromethane) (CH2Cl2)
386,Methylmercury,Methylmercury (CH3Hg)
387,Mevinphos,Mevinphos (C7H13O6P)
