,love,17547,sex,27546,6.77
110,tiger,30075,animal,11039790,7.0
111,tiger,30075,organism,19653842,4.77
112,tiger,30075,fauna,722672,5.62
113,tiger,30075,zoo,9096372,5.87
114,psychology,22921,psychiatry,18973869,8.08
115,psychology,22921,anxiety,922,7.0
116,psychology,22921,fear,10828,6.85
117,psychology,22921,depression,8389,7.42
118,psychology,22921,clinic,832314,6.58
119,psychology,22921,doctor,23315,6.42
120,psychology,22921,Freud,26743,8.21
121,psychology,22921,mind,19378,7.69
122,psychology,22921,health,80381,7.23
123,psychology,22921,science,26700,6.71
124,psychology,22921,discipline,267487,5.58
125,psychology,22921,cognition,106238,7.48
126,planet,22915,star,26808,8.45
127,planet,22915,constellation,5267,8.06
128,planet,22915,moon,19331,8.08
129,planet,22915,sun,26751,8.02
130,planet,22915,galaxy,12558,8.11
131,planet,22915,space,27667,7.92
132,planet,22915,astronomer,580,7.94
133,precedent,23004,example,1646233,5.85
134,precedent,23004,information,18985062,3.85
135,precedent,23004,cognition,106238,2.81
136,precedent,23004,law,18949668,6.65
137,precedent,23004,collection,-1,2.5
138,precedent,23004,group,-1,1.77
139,precedent,23004,antecedent,6192035,6.04
140,cup,1424937,coffee,604727,6.58
141,cup,1424937,tableware,1151989,6.85
142,cup,1424937,article,-1,2.4
143,cup,1424937,artifact,584894,2.92
144,cup,1424937,object,-1,3.69
145,cup,1424937,entity,42176,2.15
146,cup,1424937,drink,7984,7.25
147,cup,1424937,food,10646,5.0
148,cup,1424937,substance,-1,1.92
149,cup,1424937,liquid,18993825,5.9
150,jaguar,16217,cat,6678,7.42
151,jaguar,147676,car,13673345,7.27
152,energy,9649,secretary,214196,1.81
153,secretary,782026,senate,24909346,5.06
154,energy,9649,laboratory,173351,5.09
155,computer,7878457,laboratory,173351,6.78
156,weapon,33496,secret,66505,6.06
157,FBI,11127,fingerprint,84777,6.94
158,FBI,11127,investigation,37297,8.31
159,investigation,37297,effort,-1,4.59
160,Mars,14640471,water,33306,2.94
161,Mars,14640471,scientist,26997,5.63
162,news,20781999,report,4692150,8.16
163,canyon,78478,landscape,205135,7.53
164,image,71925,surface,27865,4.56
165,discovery,28238,space,27667,6.34
166,water,33306,seepage,1276437,6.56
167,sign,875650,recess,1134265,2.38
168,Wednesday,54634,news,20781999,2.22
169,mile,19159,kilometer,50510,8.66
170,computer,7878457,news,20781999,4.47
171,territory,6450815,surface,27865,5.34
172,atmosphere,202899,landscape,205135,3.69
173,president,24113,medal,375211,3.0
174,war,33158,troops,195091,8.13
175,record,-1,number,21690,6.31
176,skin,27978,eye,157898,6.22
177,Japanese,186932,American,3434750,6.5
178,theater,20913771,history,10772350,3.91
179,volunteer,30874303,motto,70210,2.56
180,prejudice,77182,recognition,8874869,3.0
181,decoration,340586,valor,49899,5.63
182,century,5881,year,34341,7.59
183,century,5881,nation,21754,3.16
184,delay,-1,racism,25613,1.19
185,delay,-1,news,20781999,3.31
186,minister,739237,party,23996,6.63
187,peace,24702,plan,179824,4.75
188,minority,437868,peace,24702,3.69
189,attempt,-1,peace,24702,4.25
190,government,12229,crisis,492128,6.56
191,deployment,-1,departure,-1,4.25
192,deployment,3758871,withdrawal,1531454,5.88
193,energy,9649,crisis,492128,5.94
194,announcement,-1,news,20781999,7.56
195,announcement,-1,effort,9649,2.75
196,stroke,625404,hospital,18994221,7.03
197,disability,56285,death,8221,5.47
198,victim,-1,emergency,146334,6.47
199,treatment,13311819,recovery,-1,7.91
200,journal,324572,association,28831284,4.97
201,doctor,23315,personnel,46053,5.0
202,doctor,23315,liability,1210255,5.19
203,liability,1210255,insurance,15176,7.03
204,school,28022,center,-1,3.44
205,reason,42446,hypertension,77432,2.31
206,reason,-1,criterion,-1,5.91
207,hundred,208261,percent,64493,7.38
208,Harvard,18426501,Yale,34273,8.13
209,hospital,18994221,infrastructure,174521,4.63
210,death,8221,row,-1,5.25
211,death,8221,inmate,31392139,5.03
212,lawyer,17541,evidence,2001231,6.69
213,life,18393,death,8221,7.88
214,life,18393,term,-1,4.5
215,word,1449866,similarity,1473135,4.75
216,board,4822,recommendation,-1,4.47
217,governor,56231,interview,236975,3.25
218,OPEC,166346,country,5165,5.63
219,peace,24702,atmosphere,-1,3.69
220,peace,24702,insurance,15176,2.94
221,territory,6450815,kilometer,50510,5.28
222,travel,155747,activity,-1,5.0
223,competition,181592,price,211295,6.44
224,consumer,7818,confidence,2973525,4.13
225,consumer,7818,energy,2935251,4.75
226,problem,608760,airport,37575,2.38
227,car,13673345,flight,159472,4.94
228,credit,1698417,card,-1,8.06
229,credit,1698417,information,18985062,5.31
230,hotel,14276,reservation,-1,8.03
231,grocery,239196,money,8983183,5.94
232,registration,-1,arrangement,-1,6.0
233,arrangement,-1,accommodation,230468,5.41
234,month,20354,hotel,14276,1.81
235,type,-1,kind,-1,8.97
236,arrival,-1,hotel,14276,6.0
237,bed,951407,closet,49402,6.72
238,closet,49402,clothes,38180,8.0
239,situation,19039812,conclusion,-1,4.81
240,situation,19039812,isolation,962509,3.88
241,impartiality,1659824,interest,20982422,5.16
242,direction,4767947,combination,5308,2.25
243,street,199065,place,-1,6.44
244,street,199065,avenue,1006179,8.88
245,street,199065,block,948686,6.88
246,street,199065,children,128987,4.94
247,listing,-1,proximity,39378,2.56
248,listing,-1,category,-1,6.38
249,cell,-1,phone,30003,7.81
250,production,-1,hike,-1,1.75
251,benchmark,223063,index,-1,4.25
252,media,19641,trading,29678,3.88
253,media,19641,gain,41968,2.88
254,dividend,41930,payment,3648961,7.63
255,dividend,41930,calculation,239121,6.48
256,calculation,239121,computation,5926,8.44
257,currency,5665,market,3736784,7.5
258,OPEC,166346,oil,4207510,8.59
259,oil,4207510,stock,19372783,6.34
260,announcement,-1,production,-1,3.38
261,announcement,-1,warning,-1,6.0
262,profit,19417927,warning,-1,3.88
263,profit,19417927,loss,-1,7.63
264,dollar,8100,yen,34392,7.78
265,dollar,8100,buck,8100,9.22
266,dollar,8100,profit,19417927,7.38
267,dollar,8100,loss,-1,6.09
268,computer,7878457,software,5309,8.5
269,network,4122592,hardware,13615,8.31
270,phone,30003,equipment,30677,7.13
271,equipment,30677,maker,-1,5.91
272,luxury,251887,car,13673345,6.47
273,five,6412297,month,20354,3.38
274,report,4692150,gain,-1,3.63
275,investor,332730,earning,15037,7.13
276,liquid,18993825,water,33306,7.89
277,baseball,3850,season,690345,5.97
278,game,18723138,victory,19045066,7.03
279,game,18723138,team,140801,7.69
280,marathon,49132,sprint,89276,7.47
281,game,18723138,series,-1,6.19
282,game,18723138,defeat,-1,6.97
283,seven,208159,series,-1,3.56
284,seafood,26866,sea,18842323,7.47
285,seafood,26866,food,10646,8.34
286,seafood,26866,lobster,46310,8.7
287,lobster,46310,food,10646,7.81
288,lobster,46310,wine,32961,5.7
289,food,10646,preparation,3322403,6.22
290,video,32441,archive,316723,6.34
291,start,-1,year,34341,4.06
292,start,-1,match,-1,4.47
293,game,18723138,round,-1,5.97
294,boxing,4243,round,-1,7.61
295,championship,3884434,tournament,146996,8.36
296,fighting,23210314,defeating,-1,7.41
297,line,-1,insurance,15176,2.69
298,day,8376,summer,29392,3.94
299,summer,29392,drought,37335,7.16
300,summer,29392,nature,21830,5.63
301,day,8376,dawn,191061,7.53
302,nature,21830,environment,558685,8.31
303,environment,558685,ecology,9630,8.81
304,nature,21830,man,15822899,6.25
305,man,15822899,woman,33183,8.3
306,man,15822899,governor,56231,5.25
307,murder,20171,manslaughter,7397035,8.53
308,soap,-1,opera,-1,7.94
309,opera,22348,performance,224515,6.88
310,life,-1,lesson,668100,5.94
311,focus,-1,life,-1,4.06
312,production,-1,crew,6801,6.25
313,television,29831,film,21555729,7.72
314,lover,2024408,quarrel,-1,6.19
315,viewer,-1,serial,-1,2.97
316,possibility,-1,girl,1723133,1.94
317,population,22949,development,8449,3.75
318,morality,43254,importance,-1,3.31
319,morality,43254,marriage,19728,3.69
320,Mexico,3966054,Brazil,3383,7.44
321,gender,38076,equality,177845,6.41
322,change,-1,attitude,363996,5.44
323,family,10401954,planning,-1,6.25
324,opera,22348,industry,14543,2.63
325,sugar,27712,approach,-1,0.88
326,practice,77298,institution,294833,3.19
327,ministry,859401,culture,19159508,4.69
328,problem,608760,challenge,4129813,6.75
329,size,264558,prominence,-1,5.31
330,country,5165,citizen,6784,7.31
331,planet,22915,people,3488351,5.75
332,development,148131,issue,-1,3.97
333,experience,297724,music,18839,3.47
334,music,18839,project,-1,3.63
335,glass,12581,metal,19042,5.56
336,aluminum,904,metal,19042,7.83
337,chance,-1,credibility,651358,3.88
338,exhibit,1131934,memorabilia,937531,5.31
339,concert,236918,virtuoso,201480,6.81
340,rock,25423,jazz,15613,7.59
341,museum,37585,theater,20913771,7.19
342,observation,22649,architecture,21296224,4.38
343,space,27667,world,38714,6.53
344,preservation,5196417,world,9228,6.19
345,admission,20864904,ticket,9958345,7.69
346,shower,-1,thunderstorm,70807,6.31
347,shower,-1,flood,50482,6.03
348,weather,33978,forecast,73231,8.34
349,disaster,8137,area,1209,6.25
350,governor,56231,office,-1,6.34
351,architecture,21296224,century,5881,3.78
