,source,target
265,Ordovician,Template_talk:Ordovician_graphical_timeline
266,Ordovician,Paleozoic
267,Ordovician,Early_Ordovician
268,Ordovician,Middle_Ordovician
269,Carboniferous,Devonian
270,Carboniferous,Permian
271,Carboniferous,Triassic
272,Carboniferous,Jurassic
273,Carboniferous,Cretaceous
274,Carboniferous,Paleogene
275,Carboniferous,Neogene
276,Carboniferous,Template_talk:Carboniferous_graphical_timeline
277,Carboniferous,Paleozoic
278,Carboniferous,Mississippian_(geology)
279,Carboniferous,Pennsylvanian_(geology)
280,Silurian,Year
281,Silurian,Precambrian
282,Silurian,Cambrian
283,Silurian,Ordovician
284,Silurian,Devonian
285,Silurian,Carboniferous
286,Penguin_(disambiguation),Penguin_(album)
287,Penguin_(disambiguation),Penguin_(character)
288,Penguin_(disambiguation),Penguin_(film)
289,Penguin_(disambiguation),Penguins_(film)
290,Penguin_(disambiguation),The_Penguins_of_Madagascar
291,Penguin_(disambiguation),Teletubbies
292,Penguin_(disambiguation),Penguin_(book)
293,Precambrian,Cryptozoic_Entertainment
294,Precambrian,Year
295,Precambrian,Phanerozoic
296,Precambrian,Proterozoic
297,Precambrian,Archean
298,Precambrian,Hadean
299,Precambrian,Geologic_time_scale
300,Precambrian,Template_talk:Eons_graphical_timeline
301,Precambrian,Eoarchean
302,Devonian,Year
303,Devonian,Precambrian
304,Devonian,Cambrian
305,Devonian,Ordovician
306,Devonian,Silurian
307,Devonian,Carboniferous
308,Devonian,Permian
309,Devonian,Triassic
310,Permian,Capitanian
311,Permian,Wuchiapingian
312,Permian,Changhsingian
313,Permian,Permian%E2%80%93Triassic_extinction_event
314,Permian,Capitanian_mass_extinction_event
315,Permian,Olson%27s_Extinction
316,Cambrian,Permian
317,Cambrian,Triassic
318,Cambrian,Jurassic
319,Cambrian,Cretaceous
320,Cambrian,Paleogene
321,Cambrian,Neogene
322,Cambrian,Neoproterozoic
323,Cambrian,Paleozoic
324,Cambrian,Ediacaran
325,Megaannum,Julian_year_(astronomy)
326,Megaannum,Unit_of_time
327,Megaannum,Day
328,Megaannum,Second
329,Megaannum,SI_base_unit
330,Megaannum,Seasonal_year
331,Megaannum,Fiscal_year
332,Megaannum,Academic_year
333,Triassic,System_(stratigraphy)
334,Triassic,Conodont
335,Triassic,Hindeodus
336,Triassic,Meishan
337,Triassic,Zhejiang
338,Triassic,China
339,Holocene,North_Greenland_Ice_Core_Project
340,Holocene,Greenland
341,Holocene,Human_history
342,Holocene,Prehistory
343,Holocene,Timelines_of_world_history
344,Holocene,Neolithic_Revolution
345,Penguin,Palaeeudyptes
346,Chordate,Fortunian
347,Chordate,Holocene
348,Chordate,Megaannum
349,Chordate,Precambrian
350,Taxonomy_(biology),Scientific_classification_(disambiguation)
351,Taxonomy_(biology),Taxidermy
352,Taxonomy_(biology),Evolution
353,Taxonomy_(biology),Darwin%27s_finches
354,Taxonomy_(biology),John_Gould
355,Taxonomy_(biology),Introduction_to_evolution
356,Taxonomy_(biology),Common_descent
357,Family_(biology),Protein_family
358,Family_(biology),Life
359,Family_(biology),Domain_(biology)
360,Family_(biology),Kingdom_(biology)
361,Family_(biology),Phylum
362,Family_(biology),Class_(biology)
363,Emperor_penguin,Snow_Hill_Island
364,Emperor_penguin,Antarctic_Peninsula
365,Emperor_penguin,Conservation_status
366,Emperor_penguin,Near_Threatened
367,Emperor_penguin,IUCN_Red_List
368,Emperor_penguin,Taxonomy_(biology)
369,Emperor_penguin,Animal
370,Great_auk,Holocene
371,Great_auk,Precambrian
372,Great_auk,Cambrian
373,Great_auk,Ordovician
374,Great_auk,Silurian
375,Mya_(unit),Million_Years_Ago_(song)
376,Mya_(unit),One_million_(disambiguation)
377,Mya_(unit),Taake
378,Mya_(unit),Noregs_vaapen
379,Mya_(unit),Myr_(disambiguation)
380,Danian,Eocene
381,Danian,Oligocene
382,Danian,Miocene
383,Ordovician,Late_Ordovician
384,Ordovician,Tremadocian
385,Ordovician,Floian
386,Ordovician,Dapingian
387,Carboniferous,Early_Mississippian
388,Carboniferous,Middle_Mississippian
389,Carboniferous,Late_Mississippian
390,Carboniferous,Early_Pennsylvanian
391,Carboniferous,Middle_Pennsylvanian
392,Carboniferous,Late_Pennsylvanian
393,Bird,Bird_(disambiguation)
394,Silurian,Permian
395,Silurian,Triassic
396,Silurian,Jurassic
397,Silurian,Cretaceous
398,Silurian,Paleogene
399,Silurian,Neogene
400,Silurian,Template_talk:Silurian_graphical_timeline
401,Silurian,Paleozoic
402,Penguin_(disambiguation),The_Blues_Brothers_(film)
403,Penguin_(disambiguation),Opus_the_Penguin
404,Precambrian,Paleoarchean
405,Precambrian,Mesoarchean
406,Precambrian,Neoarchean
407,Precambrian,Paleoproterozoic
408,Precambrian,Mesoproterozoic
409,Animal,Animal_(disambiguation)
410,Devonian,Jurassic
411,Devonian,Cretaceous
412,Devonian,Paleogene
413,Devonian,Neogene
414,Devonian,Template_talk:Devonian_graphical_timeline
415,Devonian,Paleozoic
416,Devonian,Lochkovian
417,Devonian,Pragian
418,Permian,International_Commission_on_Stratigraphy
419,Permian,Geological_history_of_Earth
420,Permian,Geological_period
421,Permian,System_(stratigraphy)
422,Permian,First_appearance_datum
423,Cambrian,Terreneuvian
424,Cambrian,Cambrian_Series_2
425,Cambrian,Miaolingian
426,Cambrian,Furongian
427,Cambrian,Fortunian
428,Cambrian,Cambrian_Stage_2
429,Cambrian,Cambrian_Stage_3
430,Cambrian,Cambrian_Stage_4
431,Cambrian,Wuliuan
432,Megaannum,Planet
433,Megaannum,Martian_year
434,Megaannum,Venus
435,Megaannum,Great_Year
436,Megaannum,West_Saxon_dialect_(Old_English)
437,Megaannum,Anglian_dialects
438,Megaannum,Proto-Germanic
439,Megaannum,Old_High_German
440,Triassic,Ammonite
441,Triassic,Psiloceras
442,Triassic,Karwendel
443,Triassic,Northern_Calcareous_Alps
444,Triassic,Oxygen
445,Triassic,Carbon_dioxide
446,Triassic,Parts_per_million
447,Triassic,Geologic_period
448,Holocene,Contemporary_history
449,Holocene,Common_Era
450,Holocene,Discovery_of_human_antiquity
451,Holocene,Recorded_history
452,Holocene,History_of_writing
453,Holocene,Protohistory
454,Holocene,Proto-writing
455,Holocene,Ancient_history
456,Holocene,Bronze_Age
457,Penguin,Icadyptes
458,Penguin,Pachydyptes
459,Penguin,Inkayacu
460,Penguin,Kairuku
461,Penguin,Paraptenodytes
462,Penguin,Spheniscinae
463,Penguin,Basal_(phylogenetics)
464,Flight_feather,Red_kite
465,Season,Season_(disambiguation)
466,Axial_tilt,Obliquity_(book)
467,Earth%27s_orbit,Earth_orbit
468,Chordate,Cambrian
469,Chordate,Ordovician
470,Chordate,Silurian
471,Chordate,Devonian
472,Chordate,Carboniferous
473,Chordate,Permian
474,Chordate,Triassic
475,Taxonomy_(biology),Evidence_of_common_descent
476,Taxonomy_(biology),Population_genetics
477,Taxonomy_(biology),Genetic_variation
478,Family_(biology),Order_(biology)
479,Family_(biology),Family_(biology)
480,Family_(biology),Genus
481,Family_(biology),Species
482,Family_(biology),Biological_classification
483,Family_(biology),Taxonomic_rank
484,Family_(biology),Linnaean_taxonomy
485,Emperor_penguin,Chordate
486,Emperor_penguin,Bird
487,Emperor_penguin,Penguin
488,Emperor_penguin,Aptenodytes
489,Great_auk,Devonian
490,Great_auk,Carboniferous
491,Great_auk,Permian
492,Great_auk,Triassic
493,Great_auk,Jurassic
494,Mya_(unit),Unit_of_measurement
495,Danian,Maastrichtian
496,Danian,Selandian
497,Ordovician,Darriwilian
498,Ordovician,Sandbian
499,Ordovician,Katian
500,Ordovician,Hirnantian
501,Ordovician,Land_plant
502,Ordovician,Spores
503,Ordovician,Ordovician_meteor_event
504,Carboniferous,Tournaisian
505,Carboniferous,Vis%C3%A9an
506,Carboniferous,Serpukhovian
507,Carboniferous,Bashkirian
508,Carboniferous,Moscovian_(Carboniferous)
509,Carboniferous,Kasimovian
510,Carboniferous,Gzhelian
511,Carboniferous,Carboniferous_Rainforest_Collapse
512,Bird,Birds_(disambiguation)
513,Bird,Aves_(disambiguation)
514,Bird,Avifauna_(disambiguation)
515,Bird,Late_Cretaceous
516,Bird,Holocene
517,Bird,Precambrian
518,Bird,Cambrian
519,Silurian,Llandovery_epoch
520,Silurian,Wenlock_epoch
521,Silurian,Ludlow_epoch
522,Silurian,Pridoli_epoch
523,Silurian,Rhuddanian
524,Silurian,Aeronian
525,Silurian,Telychian
526,Penguin_(disambiguation),Club_Penguin
527,Penguin_(disambiguation),Club_Penguin_Island
528,Penguin_(disambiguation),Pingu
529,Penguin_(disambiguation),Penguin_(restaurant)
530,Precambrian,Neoproterozoic
531,Precambrian,Paleozoic
532,Precambrian,Mesozoic
533,Animal,Animalia_(disambiguation)
534,Animal,Cryogenian
535,Animal,Phanerozoic
536,Animal,Proterozoic
537,Devonian,Emsian
538,Devonian,Eifelian
539,Permian,Conodont
540,Permian,Streptognathodus
541,Permian,Morphotype
542,Cambrian,Drumian
543,Cambrian,Guzhangian
544,Cambrian,Paibian
545,Cambrian,Jiangshanian
546,Cambrian,Cambrian_Stage_10
547,Megaannum,Old_Norse
548,Megaannum,Proto-Indo-European
549,Megaannum,Ablaut
550,Megaannum,Avestan
551,Megaannum,Ancient_Greek
552,Triassic,Extinction_event
553,Triassic,Therapsid
554,Triassic,Archosaur
555,Triassic,Dinosaur
556,Triassic,Mammal
557,Holocene,Iron_Age
558,Holocene,Axial_Age
559,Penguin,Fossil
560,Penguin,Anthropodyptes
561,Penguin,Arthrodytes
562,Penguin,Crossvallia
563,Penguin,Kupoupou
564,Flight_feather,Pennaceous_feather
565,Flight_feather,Wing
566,Flight_feather,Thrust
567,Axial_tilt,Astronomy
568,Axial_tilt,Rotation_around_a_fixed_axis
569,Axial_tilt,Orbit
570,Earth%27s_orbit,Earth
571,Chordate,Jurassic
572,Chordate,Cretaceous
573,Chordate,Paleogene
574,Chordate,Neogene
575,Taxonomy_(biology),Genetic_diversity
576,Taxonomy_(biology),Mutation
577,Taxonomy_(biology),Natural_selection
578,Taxonomy_(biology),Adaptation
579,Taxonomy_(biology),Polymorphism_(biology)
580,Taxonomy_(biology),Genetic_drift
581,Family_(biology),Subfamily
582,Family_(biology),Latin
583,Family_(biology),Walnut
584,Family_(biology),Hickory
585,Family_(biology),Juglandaceae
586,Family_(biology),Botanical_nomenclature
587,Family_(biology),Compositae
588,Family_(biology),Gramineae
589,Emperor_penguin,Binomial_nomenclature
590,Emperor_penguin,George_Robert_Gray
591,Emperor_penguin,Endemism_in_birds
592,Great_auk,Cretaceous
593,Great_auk,Paleogene
594,Great_auk,Kelvingrove_Art_Gallery_and_Museum
595,Great_auk,Glasgow
596,Great_auk,Conservation_status
597,Great_auk,Extinction
598,Great_auk,IUCN_Red_List
599,Great_auk,Taxonomy_(biology)
600,Orbital_period,Orbital_Period_(album)
601,Mya_(unit),Earth_science
602,Mya_(unit),Cosmology
603,Mya_(unit),Calendar_era
604,Mya_(unit),Geology
605,Mya_(unit),Astronomy
606,Standard_time,Standard_time_(manufacturing)
607,Danian,Thanetian
608,Danian,Ypresian
609,Danian,Lutetian
610,Danian,Bartonian
611,Danian,Priabonian
612,Danian,Rupelian
613,Ordovician,International_Commission_on_Stratigraphy
614,Ordovician,Geological_history_of_Earth
615,Ordovician,Geological_period
616,Ordovician,System_(stratigraphy)
617,Ordovician,Charles_Lapworth
618,Ordovician,First_appearance_datum
619,Ordovician,Conodont
620,Carboniferous,Mazon_Creek_fossil_beds
621,Carboniferous,Romer%27s_Gap
622,Carboniferous,International_Commission_on_Stratigraphy
623,Carboniferous,Geological_history_of_Earth
624,Carboniferous,Geological_period
625,Carboniferous,System_(stratigraphy)
626,Bird,Ordovician
627,Bird,Silurian
628,Bird,Devonian
629,Bird,Carboniferous
630,Bird,Permian
631,Bird,Triassic
632,Bird,Jurassic
633,Silurian,Sheinwoodian
634,Silurian,Homerian
635,Silurian,Gorstian
636,Silurian,Ludfordian
637,Silurian,Lau_event
638,Silurian,Mulde_event
639,Silurian,Ireviken_event
640,Penguin_(disambiguation),Nahariya
641,Penguin_(disambiguation),Israel
642,Penguin_(disambiguation),Penguin_Computing
643,Penguin_(disambiguation),Penguin_Group
644,Penguin_(disambiguation),Penguin_Books
645,Penguin_(disambiguation),Penguin_Software
646,Penguin_(disambiguation),WGHJ
647,Precambrian,Cenozoic
648,Precambrian,Geological_history_of_Earth
649,Precambrian,International_Commission_on_Stratigraphy
650,Precambrian,Earth
651,Precambrian,Trace_fossil
652,Animal,Archean
653,Animal,Hadean
654,Animal,Echinoderm
655,Animal,Cnidaria
656,Animal,Bivalve
657,Animal,Tardigrade
658,Animal,Crustacean
659,Animal,Arachnid
660,Devonian,Givetian
661,Devonian,Frasnian
662,Devonian,Famennian
663,Devonian,Rhynie_chert
664,Devonian,Hangenberg_event
665,Devonian,Hunsr%C3%BCck_Slates
666,Devonian,International_Commission_on_Stratigraphy
667,Devonian,Geological_history_of_Earth
668,Devonian,Geological_period
669,Permian,Ural_Mountains
670,Permian,Kazakhstan
671,Permian,Hindeodus
672,Permian,Meishan
673,Permian,Zhejiang
674,Cambrian,Orsten
675,Cambrian,Burgess_Shale
676,Cambrian,Kaili_biota
677,Cambrian,Archaeocyatha
678,Cambrian,Emu_Bay_shale
679,Cambrian,Sirius_Passet
680,Cambrian,Chengjiang_biota
681,Cambrian,Trilobite
682,Cambrian,Small_shelly_fauna
683,Megaannum,Hour
684,Megaannum,Old_Church_Slavonic
685,Megaannum,Latin
686,Megaannum,Annus
687,Megaannum,2nd_declension
688,Megaannum,Accusative_case
689,Megaannum,Vedic_Sanskrit
690,Megaannum,Anno_Domini
691,Megaannum,Sanskrit
692,Triassic,Pterosaur
693,Triassic,Supercontinent
694,Triassic,Pangaea
695,Triassic,Laurasia
696,Triassic,Gondwana
697,Triassic,Friedrich_August_von_Alberti
698,Holocene,Classical_antiquity
699,Holocene,Late_antiquity
700,Holocene,Mesoamerica
701,Holocene,Andean_civilizations
702,Holocene,History_of_East_Asia
703,Holocene,Outline_of_South_Asian_history
704,Holocene,Ancient_Near_East
705,Holocene,Post-classical_history
706,Holocene,Pre-Columbian_era
707,Holocene,History_of_Oceania
708,Penguin,Kaiika
709,Penguin,Korora
710,Penguin,Inguza
711,Penguin,Muriwaimanu
712,Penguin,Palaeoapterodytes
713,Penguin,Pseudaptenodytes
714,Sun,Sun_(disambiguation)
715,Earth,World
716,Flight_feather,Lift_(force)
717,Flight_feather,Bird_flight
718,Flight_feather,Owl
719,Flight_feather,Woodpecker
720,Flight_feather,Posterior_(anatomy)
721,Flight_feather,Ligament
722,Flight_feather,Tendon
723,Flight_feather,Symmetry
724,Flight_feather,Mutation
725,Flight_feather,Manus_(zoology)
726,Flight_feather,Phalanges
727,Season,Weather
728,Season,Winter
729,Season,Spring_(season)
730,Season,Summer
731,Season,Autumn
732,Season,Tropics
733,Season,Dry_season
734,Season,Harmattan
735,Season,Wet_season
736,Season,Storm
737,Axial_tilt,Equator
738,Axial_tilt,Orbital_plane_(astronomy)
739,Axial_tilt,Orbital_inclination
740,Axial_tilt,Orbital_period
741,Axial_tilt,Celestial_sphere
742,Axial_tilt,Fixed_stars
743,Axial_tilt,Sun
744,Axial_tilt,Season
745,Axial_tilt,Earth
746,Earth%27s_orbit,Orbit
747,Earth%27s_orbit,Sun
748,Earth%27s_orbit,Astronomical_unit
749,Earth%27s_orbit,Sidereal_year
750,Earth%27s_orbit,Ellipse
751,Earth%27s_orbit,Barycenter
752,Earth%27s_orbit,Focus_(geometry)
753,Earth%27s_orbit,Orbital_eccentricity
754,Earth%27s_orbit,Prograde_motion
755,Chordate,Vertebrate
756,Chordate,Vetulicolia
757,Chordate,Tunicate
758,Chordate,Cephalochordate
759,Chordate,Siberian_Tiger
760,Chordate,Vertebrata
761,Chordate,Polycarpa_aurata
762,Chordate,Olfactores
763,Chordate,Ooedigera
764,Chordate,Branchiostoma_lanceolatum
765,Chordate,Cephalochordata
766,Taxonomy_(biology),Gene_flow
767,Taxonomy_(biology),Speciation
768,Taxonomy_(biology),Adaptive_radiation
769,Taxonomy_(biology),Co-operation_(evolution)
770,Taxonomy_(biology),Coevolution
771,Taxonomy_(biology),Coextinction
772,Taxonomy_(biology),Divergent_evolution
773,Taxonomy_(biology),Convergent_evolution
774,Family_(biology),Pierre_Magnol
775,Family_(biology),Carl_Linnaeus
776,Family_(biology),Tree
777,Family_(biology),Herb
778,Family_(biology),Fern
779,Family_(biology),Palmae
780,Family_(biology),Michel_Adanson
781,Family_(biology),Ordo_naturalis
782,Family_(biology),Zoology
783,Emperor_penguin,Antarctica
784,Emperor_penguin,Plumage
785,Emperor_penguin,Habitat
786,Emperor_penguin,Fish
787,Emperor_penguin,Crustacean
788,Emperor_penguin,Krill
789,Emperor_penguin,Cephalopod
790,Great_auk,Animal
791,Great_auk,Chordate
792,Great_auk,Bird
793,Great_auk,Charadriiformes
794,Great_auk,Auk
795,Great_auk,Pierre_Joseph_Bonnaterre
796,Great_auk,Binomial_nomenclature
797,Orbital_period,Orbital_mechanics
798,Orbital_period,Orbital_elements
799,Orbital_period,Apsis
800,Orbital_period,Argument_of_periapsis
801,Orbital_period,Orbital_eccentricity
802,Orbital_period,Orbital_inclination
803,Orbital_period,Mean_anomaly
804,Orbital_period,Orbital_node
805,Mya_(unit),ISO_31-1
806,Mya_(unit),ISO_80000-3
807,Mya_(unit),Before_Present
808,Mya_(unit),Billion_years
809,Mya_(unit),Kyr
810,Mya_(unit),Geological_Society_of_America
811,Standard_time,Clock
812,Standard_time,Local_mean_time
813,Standard_time,Weather_forecasting
814,Standard_time,Time_zone
815,Standard_time,UTC_offset
816,Standard_time,Universal_Time
817,Standard_time,Daylight_saving_time
818,Standard_time,Time
819,Danian,Chattian
820,Danian,Aquitanian_(stage)
821,Danian,Paleocene%E2%80%93Eocene_Thermal_Maximum
822,Danian,Ice-sheet
823,Danian,Cretaceous%E2%80%93Paleogene_extinction_event
824,Danian,International_Commission_on_Stratigraphy
825,Danian,Tertiary
826,Danian,Geological_period
827,Danian,System_(stratigraphy)
828,Danian,Geological_history_of_Earth
829,Ordovician,Iapetognathus_fluctivagus
830,Ordovician,"Green_Point,_Newfoundland"
831,Ordovician,Newfoundland
832,Ordovician,Canada
833,Ordovician,Graptolite
834,Carboniferous,William_Daniel_Conybeare
835,Carboniferous,William_Phillips_(geologist)
836,Carboniferous,First_appearance_datum
837,Carboniferous,Conodont
838,Carboniferous,Siphonodella
839,Carboniferous,La_Serre
840,Bird,Cretaceous
841,Bird,Paleogene
842,Bird,Neogene
843,Bird,Red-crested_turaco
844,Bird,Steller%27s_sea_eagle
845,Bird,Rock_dove
846,Bird,Southern_cassowary
847,Silurian,International_Commission_on_Stratigraphy
848,Silurian,Geological_history_of_Earth
849,Silurian,Geological_period
850,Silurian,System_(stratigraphy)
851,Silurian,Roderick_Murchison
852,Penguin_(disambiguation),WFBT_(FM)
853,Penguin_(disambiguation),WUIN_(FM)
854,Penguin_(disambiguation),Penguin_Mints
855,Penguin_(disambiguation),Penguin_(biscuit)
856,Penguin_(disambiguation),HMS_Penguin
857,Penguin_(disambiguation),USS_Penguin
858,Penguin_(disambiguation),HMAS_Penguin
859,Precambrian,Treptichnus_pedum
860,Precambrian,Fortune_Head
861,Precambrian,Newfoundland
862,Precambrian,Canada
863,Precambrian,History_of_the_Earth
864,Precambrian,Cambrian
865,Precambrian,Geologic_period
866,Animal,Sponge
867,Animal,Insect
868,Animal,Mammal
869,Animal,Bryozoa
870,Animal,Acanthocephala
871,Animal,Flatworm
872,Devonian,System_(stratigraphy)
873,Devonian,First_appearance_datum
874,Devonian,Graptolite
875,Devonian,Monograptus
876,Devonian,Klonk
877,Devonian,Prague
878,Devonian,Czechia
879,Devonian,Conodont
880,Devonian,Siphonodella
881,Permian,China
882,Permian,Oxygen
883,Permian,Carbon_dioxide
884,Permian,Parts_per_million
885,Permian,Geologic_period
886,Permian,Roderick_Murchison
887,Permian,Great_Perm
888,Cambrian,Brachiopod
