,CmpoAcc,FigureCmpoName,CmpoPhenotypeCategory,FigureCategoryName
51,CMPO_0000269,increased variability of cell size in population,cell population phenotype by morphology,cell population by morphology
52,CMPO_0000270,increased variability of cell shape in population,cell population phenotype by morphology,cell population by morphology
53,CMPO_0000282,layered cells in population,cell population phenotype by morphology,cell population by morphology
54,CMPO_0000345,increased variability of nuclear shape in population,cell population phenotype by morphology,cell population by morphology
55,CMPO_0000378,more cells with metaphase microtubule spindles,cell population phenotype by morphology,cell population by morphology
56,CMPO_0000383,more cells with interphase microtubule arrays,cell population phenotype by morphology,cell population by morphology
57,CMPO_0000387,fewer cells with metaphase microtubule spindles,cell population phenotype by morphology,cell population by morphology
58,CMPO_0000388,fewer cells with interphase microtubule arrays,cell population phenotype by morphology,cell population by morphology
59,CMPO_0000410,fewer cells with G1 phase microtubule arrays,cell population phenotype by morphology,cell population by morphology
60,CMPO_0000412,more cells with G1 phase microtubule arrays,cell population phenotype by morphology,cell population by morphology
61,CMPO_0000413,more cells with S phase microtubule arrays,cell population phenotype by morphology,cell population by morphology
62,CMPO_0000133,increased cilium length,cell projection phenotype,cell projection
63,CMPO_0000224,decreased axon thickness,cell projection phenotype,cell projection
64,CMPO_0000252,cilium morphology,cell projection phenotype,cell projection
65,CMPO_0000266,asymmetric lamellipodia,cell projection phenotype,cell projection
66,CMPO_0000277,decreased lamellipodia width,cell projection phenotype,cell projection
67,CMPO_0000278,fan-shaped lamellipodia,cell projection phenotype,cell projection
68,CMPO_0000280,cell projection,cell projection phenotype,cell projection
69,CMPO_0000010,cell component size,cellular component phenotype,cellular component
70,CMPO_0000012,cell component structure,cellular component phenotype,cellular component
71,CMPO_0000259,cellular component,cellular component phenotype,cellular component
72,CMPO_0000276,increased lamellipodia width,cellular component phenotype,cellular component
73,CMPO_0000303,cell component morphology,cellular component phenotype,cellular component
74,CMPO_0000104,actin filament,cytoskeletal phenotype,cytoskeletal
75,CMPO_0000105,increased number of actin filament,cytoskeletal phenotype,cytoskeletal
76,CMPO_0000106,decreased number of actin filament,cytoskeletal phenotype,cytoskeletal
77,CMPO_0000147,disorganized microtubules,cytoskeletal phenotype,cytoskeletal
78,CMPO_0000272,increased cortical actin cytoskeleton mass,cytoskeletal phenotype,cytoskeletal
79,CMPO_0000273,decreased cortical actin cytoskeleton mass,cytoskeletal phenotype,cytoskeletal
80,CMPO_0000274,disorganised cortical actin cytoskeleton,cytoskeletal phenotype,cytoskeletal
81,CMPO_0000283,actin cytoskeleton,cytoskeletal phenotype,cytoskeletal
82,CMPO_0000286,aggregated microtubules,cytoskeletal phenotype,cytoskeletal
83,CMPO_0000287,microtubules nuclear bracket,cytoskeletal phenotype,cytoskeletal
84,CMPO_0000288,microtubules nuclear ring,cytoskeletal phenotype,cytoskeletal
85,CMPO_0000291,increased amount of punctate actin foci,cytoskeletal phenotype,cytoskeletal
86,CMPO_0000294,increased actin localised to the nucleus,cytoskeletal phenotype,cytoskeletal
87,CMPO_0000296,increased actin localised to the cytoplasm,cytoskeletal phenotype,cytoskeletal
88,CMPO_0000302,actin nuclear ring,cytoskeletal phenotype,cytoskeletal
89,CMPO_0000370,elongated cytoplasmic microtubules,cytoskeletal phenotype,cytoskeletal
90,CMPO_0000371,shortened cytoplasmic microtubules,cytoskeletal phenotype,cytoskeletal
91,CMPO_0000376,microtubule spindle morphology,cytoskeletal phenotype,cytoskeletal
92,CMPO_0000438,abnormal microtubule cytoskeleton morphology during mitotic interphase,cytoskeletal phenotype,cytoskeletal
93,CMPO_0000112,apoptopic nucleus,nuclear phenotype,nuclear
94,CMPO_0000117,bilobed nucleus,nuclear phenotype,nuclear
95,CMPO_0000123,round nucleus,nuclear phenotype,nuclear
96,CMPO_0000140,increased nucleus size,nuclear phenotype,nuclear
97,CMPO_0000141,decreased nucleus size,nuclear phenotype,nuclear
98,CMPO_0000154,bright nuclei,nuclear phenotype,nuclear
99,CMPO_0000156,graped micronucleus,nuclear phenotype,nuclear
100,CMPO_0000157,abnormal nucleus shape,nuclear phenotype,nuclear
101,CMPO_0000249,nuclear morphology,nuclear phenotype,nuclear
102,CMPO_0000335,bright nuclear body,nuclear phenotype,nuclear
103,CMPO_0000341,pyknotic nuclear,nuclear phenotype,nuclear
104,CMPO_0000357,polylobed nuclear,nuclear phenotype,nuclear
105,CMPO_0000433,increased level of polypetide in cell nucleus,nuclear phenotype,nuclear
106,CMPO_0000434,decreased level of polypetide in cell nucleus,nuclear phenotype,nuclear
107,CMPO_0000391,protein localized in bud neck,protein localization to cellular component phenotype,protein localization to cellular component
108,CMPO_0000392,protein localized in cell periphery,protein localization to cellular component phenotype,protein localization to cellular component
109,CMPO_0000393,protein localized in cytosol,protein localization to cellular component phenotype,protein localization to cellular component
110,CMPO_0000394,protein localized in endoplasmic reticulum,protein localization to cellular component phenotype,protein localization to cellular component
111,CMPO_0000395,protein localized in mitochondrion,protein localization to cellular component phenotype,protein localization to cellular component
112,CMPO_0000396,protein localized in nuclear periphery,protein localization to cellular component phenotype,protein localization to cellular component
113,CMPO_0000397,protein localized in nucleolus,protein localization to cellular component phenotype,protein localization to cellular component
114,CMPO_0000398,protein localized in nucleus,protein localization to cellular component phenotype,protein localization to cellular component
115,CMPO_0000400,protein localized in punctate foci,protein localization to cellular component phenotype,protein localization to cellular component
116,CMPO_0000401,protein localized in vacuole,protein localization to cellular component phenotype,protein localization to cellular component
117,CMPO_0000402,protein localized in vacuolar membrane,protein localization to cellular component phenotype,protein localization to cellular component
118,CMPO_0000404,protein localized in Cajal body,protein localization to cellular component phenotype,protein localization to cellular component
119,CMPO_0000405,protein localized in nuclear speckle,protein localization to cellular component phenotype,protein localization to cellular component
120,CMPO_0000406,protein localized in paraspeckle,protein localization to cellular component phenotype,protein localization to cellular component
121,CMPO_0000407,protein localized in PML body,protein localization to cellular component phenotype,protein localization to cellular component
122,CMPO_0000408,protein localized in polycomb body,protein localization to cellular component phenotype,protein localization to cellular component
123,CMPO_0000409,protein localized in Sam68 nuclear body,protein localization to cellular component phenotype,protein localization to cellular component
124,CMPO_0000425,protein localized in centrosome,protein localization to cellular component phenotype,protein localization to cellular component
125,CMPO_0000426,protein localized in nuclear pore,protein localization to cellular component phenotype,protein localization to cellular component
126,CMPO_0000439,absence of protein localized in bud neck,protein localization to cellular component phenotype,protein localization to cellular component
127,CMPO_0000217,absence of mitotic process,absence of cell process phenotype,other
128,CMPO_0000028,cell adhesion,cell adhesion phenotype,other
129,CMPO_0000185,cell-matrix adhesion,cell adhesion phenotype,other
130,CMPO_0000188,cell spreading,cell adhesion phenotype,other
131,CMPO_0000324,absence of cell spreading,cell adhesion phenotype,other
132,CMPO_0000145,increased thickness of dendritic branches,cell component morphology phenotype,other
133,CMPO_0000030,cell death,cell death phenotype,other
134,CMPO_0000220,cell apoptosis,cell death phenotype,other
135,CMPO_0000176,cell DNA,cell DNA phenotype,other
136,CMPO_0000177,misshapen DNA,cell DNA phenotype,other
137,CMPO_0000262,apoptotic DNA,cell DNA phenotype,other
138,CMPO_0000316,abnormal cell growth,cell growth phenotype,other
139,CMPO_0000236,increased cell movement speed,cell movement phenotype,other
140,CMPO_0000237,increased cell movement distance,cell movement phenotype,other
141,CMPO_0000213,binuclear cell,cell nucleation phenotype,other
142,CMPO_0000086,polyploid cell,cell ploidy phenotype,other
143,CMPO_0000293,loss of cell monolayer,cell population layer phenotype,other
144,CMPO_0000049,aggregated cells in population,cell population phenotype,other
145,CMPO_0000301,no cells,cell population phenotype,other
146,CMPO_0000415,cell response to DNA damage,cell response to stress phenotype,other
147,CMPO_0000326,abnormal chromosome segregation,chromosome segregation phenotype,other
148,CMPO_0000351,increased microtubule-based processes,increased microtubule-based processes phenotype,other
149,CMPO_0000037,metabolic process,metabolic process phenotype,other
150,CMPO_0000427,kinetochore,organelle phenotype,other
151,CMPO_0000039,regulation of metabolic process,regulation of process phenotype,other
152,CMPO_0000435,negative regulation of protein import into nucleus,regulation of process phenotype,other
153,CMPO_0000436,positive regulation of protein import into nucleus,regulation of process phenotype,other
154,CMPO_0000421,cellular response to chemical stimulus,response to stimulus phenotype,other
155,CMPO_0000246,increased rate of protein secretion,transport phenotype,other
156,CMPO_0000318,mild decrease in rate of protein secretion,transport phenotype,other
157,CMPO_0000319,strong decrease in rate of protein secretion,transport phenotype,other
