,Abbreviation,Meaning
129,BPM,beats per minute
130,BPP,biophysical profile
131,br,bathroom
132,BR,bedrest
133,brady,bradycardia
134,BRB,bright red blood
135,BRBPR,Bright Red Blood Per Rectum
136,brp,bathroom privileges
137,BRRB,bright red rectal bleeding
138,BS,bowel sounds
139,BSC,bed side commode
140,BSI,body substance isolation
141,BSO,bilateral salpingo-oophorectomy
142,BSS,balanced salt solution
143,BTBV,beat to beat variability
144,BTL,bilateral tubal ligation
145,BUN,blood urea nitrogen
146,BVT,bilateral ventilation tubes
147,"bx, Bx",biopsy
148,C,centigrade
149,C&DB,cough and deep breath
150,C&P,complete and pushing
151,C&P,crowning & pushing
152,C&S,culture and sensitivity
153,C.M.S.,"color, movement, sensation"
154,C.O.,cardiac output
155,C.S.S.,central supply service
156,C.T.,chest tube
157,C.T.P.,"color, temperature, pulse"
158,c/o,complaining of
159,"C/S,",consult
160,"C1, C2, C3, etc",cervical vertebra 
161,Ca,Calcium
162,CA,Cancer
163,CABG,coronary artery bypass graft
164,CAD,coronary artery disease
165,CAGE (questions),"controlling, anger/annoyance, guilt, eye opener"
166,cal.,calorie
167,Cal. ct.,Calorie count
168,cap,capsule
169,CAP,Community Acquired Pnuemonia
170,CAPD,continuous ambulatory peritoneal dialysis
171,CAT scan,computerized axial tomography
172,cath,"catheterize, catheterization"
173,CAVP,continuous arterial venous pressure
174,CB,Carotid Bruit
175,CBC,complete blood count
176,CBD,common bile duct
177,CBDE,common bile duct exploration
178,CBG,capillary blood gas
179,CCE,"clubbing, cyanosis edema"
180,CCNU,lomustine
181,CCPD,continuous cycling peritoneal dialysis
182,CCRA,cardiac cath recovery area
183,CCU,coronary care unit
184,CD,chemical dependency
185,CDH,congenital dislocation hip
186,CDHF,Chronic diastolic heart failure
187,CDL,Circulatory Disorders Lab
188,CEA,carotid endarterectomy or carcinoembryonic disease
189,cerv,cervical
190,CF,cystic fibrosis
191,CHD,congenital heart disease
192,CHF,congestive heart failure
193,CHI,closed head injury
194,CHO,carbohydrate
195,Chol,Cholesterol
196,"Chole, chole",cholecystectomy
197,CI,cardiac index
198,CIB,Carnation Instant Breakfast
199,CIN,Contrast Induced Nephropathy
200,circ,circumcision
201,CIS,Computer Information System
202,CIWA,Clinical Intervention and Withdrawal Assessment
203,CKD,Chronic Kidney Disease
204,Cl,Chloride
205,CLL,chronic lymphocytic leukemia
206,cm,centimeter
207,CMC,carpo metacarpal
208,CMG,cystometrogram
209,cmp,cardiomyopathy
210,CMP,Comprehensive metabolic panel
211,CMS,Centers for Medicare & Medicaid Services
212,CMV,cytomegalovirus
213,CNS,central nervous system
214,CNSC,Certified Nutrition Support Clinician
215,CO2,Carbon dioxide
216,COC,cauterization of the cervix
217,compress,compression
218,cong.,congenital
219,cont,continue
220,COPD,chronic obstructive pulmonary disease
221,CORE,Center for Medicare & Medicaid Services
222,COWS,Clinical Opiate Withdrawal Scale
223,CPAP,Continuous Positive Airway Pressure
224,CPD,cephalic pelvic disproportion
225,CPK/CK,creatine phosphokinase
226,CPM,Continuous Passive Motion
227,CPPV,continuous positive pressure ventilation
228,CPR,Cardiopulmonary Resustitation
229,CPT,Chest Physiotherapy
230,CR,closed reduction
231,creat,creatinine
232,CRF,chronic renal failure
233,CRI,Chronic renal insufficiency
234,CRNA,Certified Registered Nurse Anesthetist
235,CRP,C-Reactive Protein
236,CRT,Cardiac Resynchronization Therapy
237,c-section,Cesarean Section
238,CSF,cerebrospinal Fluid
239,CSHF,chronic systolic heart failure
240,CST,contraction stress test
241,CT Scan,computerized axial tomography scan
242,CTA,Computerized Tomography Angiography
243,CTS,Carpal Tunnel Syndrome
244,CTSP,called to see patient
245,ctx,contraction
246,CV,controlled ventilation/cardiovascular
247,CVA,cerebrovascular accident
248,CVC,central venous catheter
249,CVP,central venous pressure
250,CVS,Cardiovascular System
251,Cx,Cancel
252,cx,cervix/cervical
253,CX,circumflex
254,CXR,chest x-ray
255,cysto/Cysto,cystoscopy
256,"D (T) D1 D2  D3 etc  T1, T2 ,T3  etc",corsal/thoracic vertebrae
257,D&C,dilatation and curettage
258,D&E,dilatation and evacuation
259,D.D.,delivery date
260,D.J.D.,degenerative joint disease
261,D.M.I.,diaphragmatic myocardial infarction
262,D.P.,dorsalis pedis
263,d/c,discharge
264,"D/C, disc",discontinue
265,D/G,double lumen groshong
266,D/I,dry and intact
267,D/O,disorder
268,d/t,Due/to
269,D/W,dextrose in water
270,d/w,Discussed With
271,D5W,dextrose (5%) IN WATER
272,DAT,diet as tolerated
273,DB&C,deep breathing and coughing
274,dbp,diastolic blood pressure
275,decel,deceleration
276,dept,department
277,DES,diethylstilbestrol
278,devt,"development, develop"
279,DFS,doppler flow studies
280,DIC,disseminated intravascular coagulation
281,dil,dilation
282,DIP,distal interphalangeal joint
283,"disch., D.C.",discharge
284,dissoc.,dissociation
285,dist.,distal
286,DKA,diabetic ketoacidosis
287,DLH,double lumen Hickman
288,DL-PICC,double lumen peripherally inserted central catheter
289,DLVC,double lumen vascular catheter
290,DM,Diabetes Mellitus
291,DM Type I,Diabetes Mellitus DM Type I
292,DM Type II,Diabetes Mellitus DM Type II
293,DMSO,dimethyl sulfoxide
294,DNI,Do Not Intubate
295,DNR,Do Not Resuscitate
296,DO,Doctor of Osteopathic Medicine
297,DOA,dead on arrival
298,DOB,date of birth
299,DOE,dyspnea on exertion/date of exam
300,DPAP,diastolic pulmonary artery pressure
301,DPT,diphtheria/pertussis/etanus
302,DR,delivery room
303,dsg,dressing
304,DT,diphtheria/tetanus
305,DTIC,Dacarbazine
306,DTR,deep tendon reflexes
307,DTs,delerium tremors
308,DUB,dysfunctional uterine bleeding
309,DVI,deep venous insufficiency
310,DVT,deep venous thrombosis
311,DW,distilled water
312,"dx, DX",diagnosis/diagnosis
313,Dz,Disease
314,E,enema
315,E. Coli,escherichia coli
316,E.D.,Erectile dysfunction
317,EBL,estimated blood loss
318,ECC,endocervical curettage
319,ECCE,extracapsular cataract extraction
320,ECG/EKG,electrocardiogram
321,ECHO,echocardiogram
322,ECMO,extracorporeal membrane oxygenation
323,ECRB,extensor carpi radialis brevis
324,ECRL,extensor carpi radialis longus
325,ECT,electroconvulsive therapy
326,ECV,extra cellular volume
327,ED,emergency department
328,EDC,expected date of confinement
329,EEG,electroencephalogram
330,EENT,"eyes, ears, nose, throat"
331,EF,ejection fraction
332,EFM,electronic fetal monitor
333,EFW,estimated fetal weight
334,EGA,estimated gestational age
335,EHL,extensor hallucis longus
336,elev.,elevated
337,Elix,elixir
338,EMG,electromyogram
339,EMM,expressed mother?s milk
340,EMR,Electronic medical record
341,EMS,Emergency Medical Services
342,EN,Enteral Nutrition
343,ENDO,Endoscopy
344,Enf,enfamil
345,ENT,"ears, nose, throat (otorhinolaryngology)"
346,EOG,electrooculogram
347,EOM,extraocular movement
348,eos,eosinophils
349,EP,Exercise Physiology
350,EPB,extensor pollicis brevis
351,EPEP,end positive expiratory pressure
352,EPL,extensor pollicis longus
353,EPS,electrophysiologic study
354,EPSE,extrapyramidal side effects
355,ER,emergency room
356,ERCP,endoscopic retrograde choledochopancreatography
357,ERG,electroretinogram
358,ES,electrical stimulation
359,ESBL,Extended Spectrum Beta-Lactamases
360,ESR,erythrocyte sedimentation rate
361,ESRD,end stage renal disease
362,est,estimated
363,ET,endotracheal
364,etc.,"etcetera, and so on"
365,ETOH,alcohol
366,ETT,endotracheal tube
367,EUA,examination under anesthesia
368,eval,evaluation
369,exer,exercise
370,exp,expansion
371,Expl,exploratory
372,ext,"extend, extension"
373,Ext,extremities
374,F,Fahrenheit
375,F&C,foam & condoms
376,f/u,follow-up
377,Fa,femoral artery
378,FA,Folic Acid
379,FAS,fetal alcohol syndrome
380,FB,foreign body
381,FBH,football hold
382,FBM,fetal breathing movements
383,FBS,fasting blood sugar
384,FCR,flexor carpi radialis
385,FCU,flexor carpi ulnaris
386,FD,"fetal demise, death"
387,FD,forceps delivery
388,fdg,feeding
389,Fdg Wt,Feeding weight
390,FDS,flexor digitorum sublimis
391,Fe,iron
392,FECO2,forced expiratory carbon dioxide
393,FEM/Fem/fem,femoral
394,Fevl,forced expiratory volume
395,FF,fundus firm
396,FF @ u/1,fundus firm at one finger breadth below umbilicus
397,FF@ u,fundus firm at umbilicus
398,FFP,fresh frozen plasma
399,FH,fundal height
400,FHR,fetal heart rate
401,FHT,fetal heart tones
402,FHx,family history
403,fib,fibrillation
404,FIM,functional independent measure
405,fl.,fluid
406,Fl02,fraction of inspired oxygen
407,flex,flexion
408,flex sig,flexible sigmoid
409,FM,fetal movement
410,FMC,fetal movement chart
411,FME,full mouth extraction
412,FNA,fine needle aspiration
413,FOB,foot of bed
414,font,Fontanelle
415,FP,flat plate
416,"F-P, fem pop",femoral-popliteal
417,FPL,flexor pollicis longus
418,Fr,French (such as French Catheter)
419,FR,Friction Rub
420,FROM,full range of motion
421,FS,Flow Sheet
422,FT,flexor tendon
423,ft,foot
424,FTI,free testosterone index
425,FTN,finger to nose
426,FTT,failure to thrive
427,func,function
428,FUO,fever of unknown origin
429,FVC,forced vital capacity
430,FWB,full weight bearing
431,"Fx , fx",fracture
432,G,gravida
433,g=g,grips equal and good
434,G6PD,glucose-6-phosphate dehydrogenase
435,GA,gestational age
436,gal.,gallon
437,GB,gallbladder
438,GC,"gonorrhea, gonococcus"
439,GCS,Glasgow Coma Scale
440,GDM,gestational diabetes mellitus
441,GE,gastroesophageal
442,GEA/GETA,general endotrachael anesthesia
443,gen,general
444,GERD,Gastroesophageal reflux disease
445,GFR,glomerular filtration rate
446,GGT,gamma glutamyl transferase
447,GGTP,gamma gluteryl transpeptidase
448,Gh,glenohumeral
449,GH,Growth Hormone or HGH Human Growth
450,GI,gastrointestinal
451,Glu,glucose
452,gm,gram
453,gr,grain
454,grav,gravida
455,GSW,gun shot wound
456,GT,gait training
457,gtt,drop
458,GTT,glucose tolerance test
459,GU,genitourinary
460,GXT,graded exercise test
461,GYN,gynecology
462,H,hypodermic
463,H&H,hemoglobin and hematocrit
464,H&P,history and physical
465,h.,hour
466,H20,water
467,HA,headache
468,Ham,hamstrings
469,HB,head box
470,"Hb, Hgb",hemoglogin
471,HBAg,hepatitis B antigen
472,H-BIG,hepatitis B immune globulin
473,HBP,high blood pressure
474,hc,head circumference
475,HC,hydrocortisone
476,HCAP,Healthcare Associated Pnuemonia
477,HCG,human chorionic gonadotrophin
478,HCL,hard contact lens
479,HCl,hydrochloridic acid
480,HCM,hypertrophic cardiomyopathy
481,HCO3,Bicarbonate
482,HCP,health care provider
483,Hct,hematocrit
484,HCTZ,hydrochlorothiazide
485,HD,hemodialysis
486,HDL,High Density Lipoprotein
487,HDT,home dialysis training
488,HEENT,"head, eyes, ears, nose and throat"
489,HELLP,"hemolysis, elevated liver enzymes, low platelets"
490,HEMO,Hematology
491,HEP,home exercise program
492,Hep B,Hepatitis B
493,Hep C,Hepatitis C
494,HF,heart failure
495,HgbA1c or A1c,Glycosylated Hemoglobin
496,HH,Hiatal hernia
497,HHNK,hyperglycemic hyperosmolar nonketotic (syndrome)
498,Hib,Haemophilus
499,HIC,Health Information Center
500,High RA,high right atrium
501,HIM,Health Information Management
502,HIPAA,Health Insurance Portability and Accountability Act
503,HIT,Heparin- Induced Thrombocytopenia
504,HIV,Human Immunodeficiency Virus
505,HJR,hepato jugular reflux
506,HL,heparin lock
507,HM,hand movement
508,HMD,hyaline membrane disease
509,HNP,herniated nucleus pulposus
510,HOB,head of bed
511,HOH,hard of hearing
512,HP,hot packs
513,hpf,high power field
514,HPI,history of present illness
515,HPV,Human Papillomavirus
516,HR,heart rate
517,hr,hour
518,hs,hour of sleep or bedtime
519,HSG,hysterosalpingogram
520,HSM,hepatosplenomegaly
521,HSV,herpes simplex virus
522,ht,height
523,HT,hubbard tank
524,HTLV,Human T-cell Lymphotropic Virus
525,HTN,hypertension
526,HUS,Hemolytic-Uremic Syndrome
527,hx,history
528,Hx/O,history of
529,hz,hertz
530,I&D,incision and drainage
531,I&O,intake and output
532,I-125,Iodine 125
533,I-131,Iodine 131
534,IABC,intraaortic balloon counterpulsation
535,IABP,intraaortic balloon pressure
536,IABP,intra-aortic balloon pump
537,IBC,iron binding capacity
538,IBS,Irritable bowel syndrome
539,IBW,ideal body weight
540,ICA,internal carotid artery.
541,ICCE,intracapsular cataract extraction
542,ICD,Internal Cardiac Defibrillator
543,ICH,Intracerebral hemmorhage
544,ICLH,Imperial College London Hospital
545,ICMP,Ischemic Cardiomyopathy
546,ICP,intracranial pressure
547,ICU,intensive care unit
548,ID,Infectious Disease
549,IDM,infant of diabetic mother
550,IDU,Idouridizine
551,IFC,interferential current
552,IHSS,idiopathic hypertrophic subaortic stenosis
553,IJ,internal jugular
554,"IM, im",intramuscular
555,IMA (L/R),internal mammary artery-left/right
556,"IMP, Imp",impression
557,IMV,intermittent mandatory ventilation
558,inf.,inferior
559,Info,information
560,ing,Inguinal
561,INH,Isoniazid
562,inj,injury
563,INR,International Normalized Ratio
564,INSP,Inspiratory
565,INT,intermittent
566,inter,intermittently
567,IOL,intraocular lens
568,IP,interphalangeal
569,IPAP,inspired positive airway pressure
570,IPD,intermittent peritoneal dialysis
571,IPG,impedance plethysmography
572,IPOC,Interdisciplinary Plan of Care
573,IPPB,Intermittent Positive Pressure Breathing
574,IPV,Intrapulmonary Percusive Ventilation
575,IR,internal rotation
576,IS,incentive spirometry
577,ISE,internal spiral electrode
578,isol,isolation
579,IT,intrathecal
580,ITP,Idiopathic Thrombocytopenic Purpura
581,IUD,intrauterine device
582,IUFD,"intrauterine fetal demise, death"
583,IUGR,intrauterine growth retardation
584,IUP,intrauterine pregnancy
585,IUPC,intrauterine pressure catheter
586,IV,intravenous
587,IVC,inferior vena cava
588,IVF,intravenous feeding
589,IVH,intraventricular hemorrhage
590,IVHA,intravenous hyperalimentation
591,IVIG,Intravenous Immunoglobin
592,IVP,intravenous pyelogram
593,J,Jejunal or Jejunum
594,JL,Judkins left (catheter)
595,JL4,Judkins left 
596,JP,Jackson-Pratt drain
597,JR,junctional rhythm
598,JR4,Judkins right 
599,Jt,joint
600,JVD,jugular venous distention
601,K.J.,knee jerk
602,K+,potassium
603,KA,ketoacidosis
604,KC,knee chest
605,KC1,potassium chloride
606,Kcal,kilocalories
607,KDU,kidney dialysis unit
608,kg,kilogram
609,KPC,Klebsiella Pneumonia Carbapenemase
610,KUB,"kidney, ureters, bladder"
611,L,Left
612,l & w,living and well
613,L Cx,left circumflex
614,L&D,labor and delivery
615,L.M.P.,last menstrual period
616,L/Min L/m,liters per minute
617,L/S ratio,lecithin to sphingomyelin ratio
618,"L1, L2, etc",lumbar vertebra
619,La,Lactic Acidosis
620,LA,left atrium
621,lab,laboratory
622,lac,laceration
623,LAC,left anticubital
624,LAD,left anterior descending
625,LADD,diagonal branch of the left anterior
626,LAE,left atrial enlargement
627,LAFa,left anterior forearm
628,LAFB,left anterior fascicular block
629,lat,lateral
630,LAVH,laparoscopic assisted vaginal hysterectomy
631,LB,lower body
632,lb.,pound
633,LBBB,left bundle branch block
634,LBP,low back pain
635,LBW,low birth weight
636,LCD,liquor carbonis detergens
637,LCL,lateral collateral ligament
638,LDH,lactic dehydrogenase
639,LDL,Low density Lipoprotein
640,LDR,"labor, delivery, recovery"
641,LE,lower extremity
642,LEEP,loop electro surgical excision procedure
643,LFT,liver function test
644,LGA,large for gestational age
645,LH,left hand
646,LHC,Left Heart Catherization
647,LIMA,left internal mammary artery
648,liq,liquid
649,LL,left lateral
650,LLB,long leg brace
651,LLC,long leg cast
652,LLETZ,large loop excision of transformation zone
653,LLFa,left lateral forearm
654,LLL,left lower lobe
655,LLW,left lower wrist
656,LMA,left medial ankle
657,LMCA,left main coronary artery
658,LMFa,left medial forearm
659,LML,left mediolateral
660,LMW,left medial wrist
661,LNMP,last normal menstrual period
662,LOA,leave of absence
663,LOC,level of consciousness
664,LOM,limitation of motion
665,LOS,Length of stay
666,LP,lumbar puncture
667,LPcP,light perception with projection
668,LPFB,left posterior fascicular block
669,LPN,licensed practical nurse
670,LSC,left subclavian
671,LSO,left salpingo-oophorectomy
672,LT,left tilt
673,LTC,low transverse cervical (C/S)
674,LTV,long term variability
675,LUA,left upper arm
676,LUL,left upper lobe
677,LUQ,left upper quadrant
678,LV,left ventricle/ventricular
679,LVEF,left ventricular ejection fraction
680,LVF,left ventricular function
681,LVG,left ventriculogram
682,LVH,left ventricular hypertrophy
683,LWS,low wall suction
684,LXT,exotropia (left)
685,lytes,electrolytes
686,m,meter
687,m,meter
688,M,murmur
689,M/S,Muscoskeletal
690,mA,milliampere
691,MAC,monitored anesthesia care
692,MAE,moving all extremities
693,mand,"mandible, mandibular"
694,MAO,Monoamine Oxidase Inhibitors
695,MAP,mean arterial pressure
696,MAR,medication administration record
697,max,"maxilla, maxillary"
698,MCA,motor cycle accident
699,MCC,Motorcycle Collision
700,mcg.,microgram
701,MCH,mean corpuscular hemoglobin
702,MCHC,mean corpuscular hemoglobin concentration
703,MCL,medial collateral ligament
704,MCP,metacarpal phalangeal
705,MCV,mean corpuscular volume
706,MD,medical doctor
707,Mdd,Major depressive disorder
708,mdi,manic depressive illness
709,MDI,Metered Dose Inhaler
710,ME,medical examiner
711,med,medial
712,Med,medicine
713,meds,medicines
714,mEq,milliequivalent
715,MET,Medical Emergency Team
716,MF,mid forceps
717,"mg.,",milligram
718,MHR,maternal heart rate
719,MHR,maximum heart rate
720,MI,myocardial infarction
721,MICU,Medical Intensive Care Unit
722,Min,minute
723,MIVF,maintenance intravenous fluid
724,ML,medication lock
725,ML,midline (episiotomy)
726,ml,milliliter
727,MLC,multi lumen catheter
728,mm,millimeter
729,MMK,Marshall Marchetti Krantz
730,mMol,millimoles
731,MMPI,Minnesota Multiphasic Personality Inventory
732,MMR,"measles, mumps, rubella vaccine"
733,MMT,manual muscle test
734,MN,Midnight
735,mod,moderate
736,MOM,milk of magnesia
737,MP,metacarpal phalangeal joint
738,MPAP,mean pulmonary artery pressure
739,MR,mitral regurgitation
740,MRCP,Medical Resonance Cholagiopancreatography
741,MRI,Medical Resonance Imaging
742,MRSA,Methicillin resistant Staphylococcus aureus
743,MS,mitral stenosis
744,MS,multiple sclerosis
745,MSE,mental status examination
746,MSG,massage / monosodium glutumate
747,MSOF,multi system organ failure
748,MSR,motor sensory reflex
749,mult,multiple
750,mv,millivolt
751,mv.,movement
752,MVA,motor vehicle accident
753,MVC,Motor vehicle collison
754,MVI,multivitamin injection
755,MVR,mitral valve replacement
756,MVV,maximum ventilatory volume
757,N or nl,normal
758,,not applicable
759,,Narcotics Anonymous
760,,nurses? aide
761,Na+,sodium
762,NABS,normal active bowel sounds
763,NAD,no acute distress
764,NAT,Non-Accidental Trauma
765,navic,navicular
766,NB,newborn
767,NBN,newborn nursery
768,NC,nasal cannula
769,NCAT,"normocephalic, atraumatic"
770,NCS,Non-concentrated Sweets
771,NE,neurological examination
772,NEC,necrotizing enterocolitis
773,NED,no evidence of disease
774,neg,negative
775,NER,no evidence of recurrence
776,NG,nasogastric
777,NGR,nasogastric replacement
778,NGT,nasogastric tube
779,NH3,Ammonia
780,NI,non immune
781,NICMP,Nonischemic cadiomyopathy
782,NICU,newborn intensive care unit
783,NIF,negative inspiratory force
784,NIPVL,non-invasive peripheral vascular laboratory
785,NKA,no known allergies
786,NKDA,no known drug allergies
787,NKFA,no known food allergies
788,NL,needle localized
789,NM,non monitored
790,NMS,neuroleptic malignant syndrome
791,Norm,Normal
792,NOS,Not-otherwise specified
793,NP,nasopharyngeal
794,NPC,Non-protein Calories
795,NPO,nothing by mouth
796,NQMI,non Q wave myocardial infarction
797,NR,non reactive
798,NR-NST,non-reactive non-stress test
799,NS,normal saline
800,NSAID,nonsteroidal antiinflammatory drug
801,NSC,Nutrition Support Committee
802,NSD,normal spontaneous delivery
803,Nsg,Nursing
804,NSICU,neurosciences intensive care unit
805,NSR,normal sinus rhythm
806,NST,non-stress test
807,NSTEMI,Non-ST Elevation Myocardial Infarction
808,NSVD,normal spontaneous vaginal delivery
809,NT,non tender
810,NTB,neural tube defect
811,NTG,Nitroglycerine
812,Nutr,Nutrition
813,nv,visual acuity for near
814,"NV, n/v",nausea and vomiting
815,NVT,neurovascular and tendon
816,NW,nursed well
817,NWB,non weight bearing
818,O,oral
819,"O and P, O&P",ova and parasites
820,O2,oxygen
821,O2 sat,oxygen saturation
822,OA,"osteoarthritis, osteoarthrosis"
823,OB,obstetrics
824,OB+,occult blood positive
825,OBS,organic brain syndrome
826,OBUS,obstetrical ultrasound
827,OC?S,oral contraceptives
828,occ,occasionally
829,OCT,oxytocin challenge test
830,OD,right eye
831,OG,orogastric
832,OGT,orogastric tube
833,OJ,orange juice
834,OMB,obtuse marginal branch
835,OOB,out of bed
836,OOR,out of room
837,OP,Outpatient
838,OPD,outpatient department
839,OPG,oculoplethysmography
840,OPIVT,outpatient intravenous therapy
841,OPV,oral polio vaccine
842,OR,operating room
843,ORIF,"open reduction, internal fixation"
844,Ortho,orthopedics
845,OS,left eye
846,os,mouth
847,OSA,Obstructive Sleep Apnea
848,OT,occupational therapy
849,OU,both eyes
850,oz,Ounce
851,P,pulse
852,P&A,percussion & auscultation
853,p=r,pupils equal and reactive
854,P2,pulmonary component of second sound
855,PA,Physician?s Assistant
856,pa,pulmonary artery
857,PAC,patient access center
858,PAC,premature atrial contraction
859,PACU,post anesthesia care unit
860,PACW,pulmonary artery capillary wedge
861,PADP,pulmonary artery diastolic pressure
862,PAL,peripheral arterial line
863,palp,palpable
864,PALS,Pediatric Advance Life Support
865,Pap,papanicolaou (smear)
866,PAR,paraffin
867,para,paraplegic
868,"Para I, II, etc.",having born one child etc.
869,PAS,para aminosalicylic acid
870,pat,paroxysmal atrial tachycardia
871,PAT,preadmission testing
872,"path, Path",pathology
873,PAW,pulmonary airway pressure
874,PAWP,pulmonary artery wedge pressure
875,PB,pudendal block or peripheral blood
876,pc,after food (post cibum)
877,PC,packed cells
878,PCA,patient controlled analgesia
879,PCCR,post cardiac cath recovery
880,PCCU,post cardiac cath unit
881,PCKD,Polycystic Kidney Disease
882,PCL,posterior cruciate ligament
883,PCN,penicillin
884,PCO2,partial pressure of CO2
885,PCOS,Polycystic Ovary Syndrome
886,PCP,Primary Care Provider
887,PCWP,pulmonary capillary wedge pressure
888,PD,peritoneal dialysis
889,PD&P,postural drainage and percussion
890,PDA,patent ductus arteriosus
891,PE,physical examination
892,pe,pulmonary embolus
893,PEA,Pulseless Electrical Activity
894,Peds,pediatrics
895,PEEP,positive end expiratory pressure
896,peg,Percutaneous Endoscopy Gastrostomy
897,PEG,pneumoencephalogram
898,PEJ,Percutaneous Endoscopy Jejunostomy
899,peron,peroneal
900,PERRLA,"pupils equal, round, reactive to light and accommodate"
901,PF,plasmapheresis
902,PFC,permanent flexure contractur
903,PFO,Patent Foramen Ovale
904,PFT,pulmonary function test
905,PG,phosphatidylglycerol
906,pH,logarithm of reciprocal of hydrogen ion
907,"PH, PHx",past history
908,PharmD,Doctor of Pharmacy
909,PHI,Protected Health Information
910,phni,pinhole no improvement
911,PHP,partial hospitalization program
912,PI,present illness
913,PICC,peripherally inserted central catheter
914,PICU,pediatric intensive care unit
915,PID,pelvic inflammatory disease
916,PIG,pigtail catheter
917,PIH,pregnancy induced hypertension
918,PIP,peak inspiratory pressure
919,PIP,proximal interphalangeal
920,PIV,peripheral intravenous
921,PKU,phenylketonuria
922,PL,palmaris longus
923,PLL,postero-lateral left
924,PM,afternoon
925,PMH,past medical history
926,PMI,point of maximum impulse
927,PNA,pneumonia
928,PNF,propioceptive neuromuscular facilitation
929,PNV,prenatal vitamins
930,po,by mouth (per os)
931,PO2,partial pressure of oxygen
932,POCT,Point of Care Testing
933,POD,post operative day
934,PONV,Post-operative nausea & vomiting
935,Port.,portable
