,OID,Name,NCI Codelist Code,Data Type,Order,Term,NCI Term Code,Decoded Value
45,CL.CUE_EXPF_X,CUE_EXPF_X,,integer,,1,,Mild or Intermittent
46,CL.CUE_EXPF_X,CUE_EXPF_X,,integer,,2,,Severe
47,CL.DA.DOMAIN,Domain Abbreviation (DA),C66734,text,,DA,C49578,Drug Accountability
48,CL.DATEST,Drug Accountability Test Name,C78731,text,1.0,Dispensed Amount,C78721,
49,CL.DATEST,Drug Accountability Test Name,C78731,text,2.0,Returned Amount,C78722,
50,CL.DATESTCD,Drug Accountability Test Code,C78732,text,,DISPAMT,C78721,Dispensed Amount
51,CL.DATESTCD,Drug Accountability Test Code,C78732,text,,RETAMT,C78722,Returned Amount
52,CL.DDISCNTF,Reason for Discontinuation,,text,2.0,ADVERSE EVENT,,
53,CL.DDISCNTF,Reason for Discontinuation,,text,3.0,INSUFFICIENT RESPONSE,,
54,CL.DDISCNTF,Reason for Discontinuation,,text,1.0,ONGOING,,
55,CL.DDISCNTF,Reason for Discontinuation,,text,5.0,OTHER,,
56,CL.DDISCNTF,Reason for Discontinuation,,text,4.0,SATISFACTORY RESPONSE,,
57,CL.DM.DOMAIN,Domain Abbreviation (DM),C66734,text,,DM,C49572,Demographics
58,CL.DS.DOMAIN,Domain Abbreviation (DS),C66734,text,,DS,C49576,Disposition
59,CL.DSCAT,Category for Disposition Event,C74558,text,,DISPOSITION EVENT,C74590,Disposition Event
60,CL.DSCAT,Category for Disposition Event,C74558,text,,PROTOCOL MILESTONE,C74588,Protocol Milestone
61,CL.EG.DOMAIN,Domain Abbreviation (EG),C66734,text,,EG,C49626,Electrocardiogram
62,CL.EGRESU,Unit (EGRESU),C71620,text,,BEATS/MIN,C49673,Beats per Minute
63,CL.EGRESU,Unit (EGRESU),C71620,text,,msec,C41140,Millisecond
64,CL.EGTEST,ECG Test Name,C71152,text,,Interpretation,C41255,
65,CL.EGTEST,ECG Test Name,C71152,text,,QTcB - Bazett's Correction Formula,C62112,
66,CL.EGTEST,ECG Test Name,C71152,text,,QTcF - Fridericia's Correction Formula,C62113,
67,CL.EGTEST,ECG Test Name,C71152,text,,Summary (Mean) PR Duration,C62086,
68,CL.EGTEST,ECG Test Name,C71152,text,,Summary (Mean) QRS Duration,C62087,
69,CL.EGTEST,ECG Test Name,C71152,text,,Summary (Mean) QT Duration,C62089,
70,CL.EGTEST,ECG Test Name,C71152,text,,Summary (Mean) Ventricular Rate,C62152,
71,CL.EGTESTCD,ECG Test Code,C71153,text,,INTP,C41255,Interpretation
72,CL.EGTESTCD,ECG Test Code,C71153,text,,PRMEAN,C62086,Summary (Mean) PR Duration
73,CL.EGTESTCD,ECG Test Code,C71153,text,,QRSDUR,C62087,Summary (Mean) QRS Duration
74,CL.EGTESTCD,ECG Test Code,C71153,text,,QTCB,C62112,QTcB - Bazett's Correction Formula
75,CL.EGTESTCD,ECG Test Code,C71153,text,,QTCF,C62113,QTcF - Fridericia's Correction Formula
76,CL.EGTESTCD,ECG Test Code,C71153,text,,QTMEAN,C62089,Summary (Mean) QT Duration
77,CL.EGTESTCD,ECG Test Code,C71153,text,,VRMEAN,C62152,Summary (Mean) Ventricular Rate
78,CL.EPOCH,Epoch,C99079,text,,SCREEN,,
79,CL.EPOCH,Epoch,C99079,text,,TREATMENT,C49236,
80,CL.ETHNIC,Ethnic Group,C66790,text,,HISPANIC OR LATINO,C17459,
81,CL.ETHNIC,Ethnic Group,C66790,text,,NOT HISPANIC OR LATINO,C41222,
82,CL.EX.DOMAIN,Domain Abbreviation (EX),C66734,text,,EX,C49587,Exposure
83,CL.EXTRT,Treatment,,text,,Miracle Drug,,
84,CL.EXTRT,Treatment,,text,,Placebo,,
85,CL.FREQ,Frequency,C71113,text,,BID,C64496,BD
86,CL.FREQ,Frequency,C71113,text,,ONCE,C64576,Once
87,CL.FREQ,Frequency,C71113,text,,OTHER,C17649,Other
88,CL.FREQ,Frequency,C71113,text,,PRN,C64499,As needed
89,CL.FREQ,Frequency,C71113,text,,Q24H,C64515,Every 24 hours
90,CL.FREQ,Frequency,C71113,text,,QID,C64530,4 times per day
91,CL.FREQ,Frequency,C71113,text,,QOD,C64525,Every other day
92,CL.FREQ,Frequency,C71113,text,,QS,C67069,Every week
93,CL.FREQ,Frequency,C71113,text,,TID,C64527,3 times per day
94,CL.FRM,Pharmaceutical Dosage Form,C66726,text,,TABLET,C42998,tab
95,CL.IE.DOMAIN,Domain Abbreviation (IE),C66734,text,,IE,C61536,Inclusion/Exclusion
96,CL.IETEST,IE Tests,,text,,Did not respond to a standard course of medication Abc,,
97,CL.IETEST,IE Tests,,text,,Has Xyz disease of at least 10 weeks duration confirmed by biopsy,,
98,CL.IETEST,IE Tests,,text,,Is age 18 - 85,,
99,CL.IETEST,IE Tests,,text,,Is known to have had a substance abuse (drug or alcohol) problem within the previous 3 years,,
100,CL.IETEST,IE Tests,,text,,"Is pregnant, nursing, or planning to become pregnant within 6 months of last study treatment",,
101,CL.IETEST,IE Tests,,text,,Is unable or unwilling to undergo multiple venipunctures,,
102,CL.IETESTCD,IE Test Codes,,text,,EXCL01,,"Is pregnant, nursing, or planning to become pregnant
              within 6 months of last study treatment"
103,CL.IETESTCD,IE Test Codes,,text,,EXCL02,,"Is unable or unwilling to undergo multiple
              venipunctures"
104,CL.IETESTCD,IE Test Codes,,text,,EXCL03,,"Is known to have had a substance abuse (drug or alcohol)
              problem within the previous 3 years"
105,CL.IETESTCD,IE Test Codes,,text,,INCL01,,Is age 18 - 85
106,CL.IETESTCD,IE Test Codes,,text,,INCL02,,"Has Xyz disease of at least 10 weeks duration confirmed by
              biopsy"
107,CL.IETESTCD,IE Test Codes,,text,,INCL03,,"Did not respond to a standard course of medication
              Abc"
108,CL.LB.DOMAIN,Domain Abbreviation (LB),C66734,text,,LB,C49592,Laboratory Data
109,CL.LBRESU,Unit (LBRESU),C71620,text,,%,C25613,
110,CL.LBRESU,Unit (LBRESU),C71620,text,,X10^9/L,,
111,CL.LBRESU,Unit (LBRESU),C71620,text,,g/dL,C64783,
112,CL.LBRESU,Unit (LBRESU),C71620,text,,mg/dL,C67015,
113,CL.LBRESU,Unit (LBRESU),C71620,text,,ng/dL,C67326,
114,CL.LBRESU,Unit (LBRESU),C71620,text,,pg/mL,,
115,CL.LBTEST,Laboratory Test Name,C67154,text,,Bilirubin,C38037,
116,CL.LBTEST,Laboratory Test Name,C67154,text,,Blood Urea Nitrogen,C61019,
117,CL.LBTEST,Laboratory Test Name,C67154,text,,Glucose,C41376,
118,CL.LBTEST,Laboratory Test Name,C67154,text,,Hematocrit,C64796,
119,CL.LBTEST,Laboratory Test Name,C67154,text,,Hemoglobin,C64848,
120,CL.LBTEST,Laboratory Test Name,C67154,text,,Lymphocytes,C51949,
121,CL.LBTEST,Laboratory Test Name,C67154,text,,Occult Blood,C74686,
122,CL.LBTEST,Laboratory Test Name,C67154,text,,Vitamin B12,C64817,
123,CL.LBTEST,Laboratory Test Name,C67154,text,,Vitamin B9,C74676,
124,CL.LBTEST,Laboratory Test Name,C67154,text,,pH,C45997,
125,CL.LBTESTCD,Laboratory Test Code,C65047,text,,BILI,C38037,Bilirubin
126,CL.LBTESTCD,Laboratory Test Code,C65047,text,,BUN,C61019,Blood Urea Nitrogen
127,CL.LBTESTCD,Laboratory Test Code,C65047,text,,GLUC,C41376,Glucose
128,CL.LBTESTCD,Laboratory Test Code,C65047,text,,HCT,C64796,Hematocrit
129,CL.LBTESTCD,Laboratory Test Code,C65047,text,,HGB,C64848,Hemoglobin
130,CL.LBTESTCD,Laboratory Test Code,C65047,text,,LYM,C51949,Lymphocytes
131,CL.LBTESTCD,Laboratory Test Code,C65047,text,,OCCBLD,C74686,Occult Blood
132,CL.LBTESTCD,Laboratory Test Code,C65047,text,,PH,C45997,pH
133,CL.LBTESTCD,Laboratory Test Code,C65047,text,,VITB12,C64817,Vitamin B12
134,CL.LBTESTCD,Laboratory Test Code,C65047,text,,VITB9,C74676,Vitamin B9
135,CL.MARISTAT,Marital Status,C76348,text,,DIVORCED,C51776,
136,CL.MARISTAT,Marital Status,C76348,text,,DOMESTIC PARTNER,C53262,
137,CL.MARISTAT,Marital Status,C76348,text,,LEGALLY SEPARATED,C51777,
138,CL.MARISTAT,Marital Status,C76348,text,,MARRIED,C51773,
139,CL.MARISTAT,Marital Status,C76348,text,,NEVER MARRIED,C51774,
140,CL.MARISTAT,Marital Status,C76348,text,,WIDOWED,C51775,
141,CL.METHOD,Method,C85492,text,,DIPSTICK,,
142,CL.METHOD,Method,C85492,text,,QUANT,,
143,CL.MH.DOMAIN,Domain Abbreviation (MH),C66734,text,,MH,C49603,Medical History
144,CL.MHBODSYS,Body System or Organ Class,,text,,Endocrine-Metabolic,,
145,CL.MHBODSYS,Body System or Organ Class,,text,,Eyes-Ears-Nose-Throat,,
146,CL.MHBODSYS,Body System or Organ Class,,text,,Genitourinary,,
147,CL.MHBODSYS,Body System or Organ Class,,text,,Musculoskeletal,,
148,CL.MHBODSYS,Body System or Organ Class,,text,,Neurological,,
149,CL.MHCAT,Category for Medical History,,text,,MEDICAL AND SURGICAL HISTORY,,
150,CL.MHCAT,Category for Medical History,,text,,PSYCHIATRIC HISTORY,,
151,CL.MHENRF,Relation to Reference Period (MHENRF),C66728,text,,BEFORE,C25629,
152,CL.MHENRF,Relation to Reference Period (MHENRF),C66728,text,,DURING/AFTER,C49640,
153,CL.NABCLIN,Interpretation: Original Results,,text,,ABNORMAL,,
154,CL.NABCLIN,Interpretation: Original Results,,text,,NORMAL,,
155,CL.NCOMPLT,Completion/Reason for Non-Completion,C66727,text,,ADVERSE EVENT,C41331,
156,CL.NCOMPLT,Completion/Reason for Non-Completion,C66727,text,,COMPLETED,C25250,
157,CL.NCOMPLT,Completion/Reason for Non-Completion,C66727,text,,INFORMED CONSENT,,
158,CL.NCOMPLT,Completion/Reason for Non-Completion,C66727,text,,LACK OF EFFICACY,C48226,
159,CL.NCOMPLT,Completion/Reason for Non-Completion,C66727,text,,LOST TO FOLLOW-UP,C48227,
160,CL.NCOMPLT,Completion/Reason for Non-Completion,C66727,text,,PHYSICIAN DECISION,C48250,
161,CL.NCOMPLT,Completion/Reason for Non-Completion,C66727,text,,PROTOCOL VIOLATION,C48251,
162,CL.NCOMPLT,Completion/Reason for Non-Completion,C66727,text,,RANDOMIZED,,
163,CL.NCOMPLT,Completion/Reason for Non-Completion,C66727,text,,SCREEN FAILURE,C49628,
164,CL.NCOMPLT,Completion/Reason for Non-Completion,C66727,text,,WITHDRAWAL BY SUBJECT,C49634,
165,CL.NRIND,Reference Range Indicator,C78736,text,,ABNORMAL,C78802,
166,CL.NRIND,Reference Range Indicator,C78736,text,,HIGH,C78800,
167,CL.NRIND,Reference Range Indicator,C78736,text,,LOW,C78801,
168,CL.NRIND,Reference Range Indicator,C78736,text,,NORMAL,C78727,
169,CL.NY,No Yes Response Subset,C66742,text,,N,C49487,No
170,CL.NY,No Yes Response Subset,C66742,text,,U,C17998,Unknown
171,CL.NY,No Yes Response Subset,C66742,text,,Y,C49488,Yes
172,CL.NYNA,No Yes Response,C66742,text,,N,C49487,No
173,CL.NYNA,No Yes Response,C66742,text,,,C48660,Not Applicable
174,CL.NYNA,No Yes Response,C66742,text,,Y,C49488,Yes
175,CL.PE.DOMAIN,Domain Abbreviation (PE),C66734,text,,PE,C49608,Physical Exam
176,CL.PETEST,PE Tests,,text,1.0,Abdomen,,
177,CL.PETEST,PE Tests,,text,2.0,Appearance/Skin,,
178,CL.PETEST,PE Tests,,text,3.0,Cardiovascular,,
179,CL.PETEST,PE Tests,,text,4.0,Eyes-Ears-Nose-Throat,,
180,CL.PETEST,PE Tests,,text,5.0,Head/Neck (Including Thyroid),,
181,CL.PETEST,PE Tests,,text,6.0,Musculoskeletal,,
182,CL.PETEST,PE Tests,,text,7.0,Neurological,,
183,CL.PETEST,PE Tests,,text,9.0,Other,,
184,CL.PETEST,PE Tests,,text,8.0,Pulmonary,,
185,CL.PETESTCD,PE Test Codes,,text,,PE01,,Appearance/Skin
186,CL.PETESTCD,PE Test Codes,,text,,PE02,,Head/Neck (Including Thyroid)
187,CL.PETESTCD,PE Test Codes,,text,,PE03,,Eyes-Ears-Nose-Throat
188,CL.PETESTCD,PE Test Codes,,text,,PE04,,Cardiovascular
189,CL.PETESTCD,PE Test Codes,,text,,PE05,,Pulmonary
190,CL.PETESTCD,PE Test Codes,,text,,PE06,,Abdomen
191,CL.PETESTCD,PE Test Codes,,text,,PE07,,Neurological
192,CL.PETESTCD,PE Test Codes,,text,,PE08,,Musculoskeletal
193,CL.PETESTCD,PE Test Codes,,text,,PE09,,Other
194,CL.PSRESPF,PSRESPF,,text,,GOOD,,
195,CL.PSRESPF,PSRESPF,,text,,NO CHANGE,,
196,CL.PSRESPF,PSRESPF,,text,,POOR,,
197,CL.QS.DOMAIN,Domain Abbreviation (QS),C66734,text,,QS,C49609,Questionnaires
198,CL.QSTEST,QS Tests,,text,,Agitation,,
199,CL.QSTEST,QS Tests,,text,,Anxiety,,
200,CL.QSTEST,QS Tests,,text,,Appetite Loss,,
201,CL.QSTEST,QS Tests,,text,,Attention and Calculation,,
202,CL.QSTEST,QS Tests,,text,,Difficulty Falling Asleep,,
203,CL.QSTEST,QS Tests,,text,,Diurnal Variation of Mood,,
204,CL.QSTEST,QS Tests,,text,,Early Morning Awakening,,
205,CL.QSTEST,QS Tests,,text,,Global Improvement,,
206,CL.QSTEST,QS Tests,,text,,Irritability,,
207,CL.QSTEST,QS Tests,,text,,Lack of Energy,,
208,CL.QSTEST,QS Tests,,text,,Lack of Reactivity to Pleasant Events,,
209,CL.QSTEST,QS Tests,,text,,Language,,
210,CL.QSTEST,QS Tests,,text,,Loss of Interest,,
211,CL.QSTEST,QS Tests,,text,,Mood-Congruent Delusions,,
212,CL.QSTEST,QS Tests,,text,,Multiple Awakenings During Sleep,,
213,CL.QSTEST,QS Tests,,text,,Multiple Physical Complaints,,
214,CL.QSTEST,QS Tests,,text,,Orientation place score,,
215,CL.QSTEST,QS Tests,,text,,Orientation time score,,
216,CL.QSTEST,QS Tests,,text,,Pessimism,,
217,CL.QSTEST,QS Tests,,text,,Poor Self-Esteem,,
218,CL.QSTEST,QS Tests,,text,,Recall,,
219,CL.QSTEST,QS Tests,,text,,Registration,,
220,CL.QSTEST,QS Tests,,text,,Retardation,,
221,CL.QSTEST,QS Tests,,text,,Sadness,,
222,CL.QSTEST,QS Tests,,text,,Suicide,,
223,CL.QSTEST,QS Tests,,text,,Total Score,,
224,CL.QSTEST,QS Tests,,text,,Weight Loss,,
225,CL.QSTESTCD,QS Test Codes,,text,,CGIGLOB,,Global Improvement
226,CL.QSTESTCD,QS Test Codes,,text,,CSDD01,,Anxiety
227,CL.QSTESTCD,QS Test Codes,,text,,CSDD02,,Sadness
228,CL.QSTESTCD,QS Test Codes,,text,,CSDD03,,Lack of Reactivity to Pleasant Events
229,CL.QSTESTCD,QS Test Codes,,text,,CSDD04,,Irritability
230,CL.QSTESTCD,QS Test Codes,,text,,CSDD05,,Agitation
231,CL.QSTESTCD,QS Test Codes,,text,,CSDD06,,Retardation
232,CL.QSTESTCD,QS Test Codes,,text,,CSDD07,,Multiple Physical Complaints
233,CL.QSTESTCD,QS Test Codes,,text,,CSDD08,,Loss of Interest
234,CL.QSTESTCD,QS Test Codes,,text,,CSDD09,,Appetite Loss
235,CL.QSTESTCD,QS Test Codes,,text,,CSDD10,,Weight Loss
236,CL.QSTESTCD,QS Test Codes,,text,,CSDD11,,Lack of Energy
237,CL.QSTESTCD,QS Test Codes,,text,,CSDD12,,Diurnal Variation of Mood
238,CL.QSTESTCD,QS Test Codes,,text,,CSDD13,,Difficulty Falling Asleep
239,CL.QSTESTCD,QS Test Codes,,text,,CSDD14,,Multiple Awakenings During Sleep
240,CL.QSTESTCD,QS Test Codes,,text,,CSDD15,,Early Morning Awakening
241,CL.QSTESTCD,QS Test Codes,,text,,CSDD16,,Suicide
242,CL.QSTESTCD,QS Test Codes,,text,,CSDD17,,Poor Self-Esteem
243,CL.QSTESTCD,QS Test Codes,,text,,CSDD18,,Pessimism
244,CL.QSTESTCD,QS Test Codes,,text,,CSDD19,,Mood-Congruent Delusions
245,CL.QSTESTCD,QS Test Codes,,text,,CSDDTOT,,Total Score
246,CL.QSTESTCD,QS Test Codes,,text,,MMSEA1,,Orientation time score
247,CL.QSTESTCD,QS Test Codes,,text,,MMSEA2,,Orientation place score
248,CL.QSTESTCD,QS Test Codes,,text,,MMSEB,,Registration
249,CL.QSTESTCD,QS Test Codes,,text,,MMSEC,,Attention and Calculation
250,CL.QSTESTCD,QS Test Codes,,text,,MMSED,,Recall
251,CL.QSTESTCD,QS Test Codes,,text,,MMSEET,,Language
252,CL.QSTESTCD,QS Test Codes,,text,,MMSETOT,,Total Score
253,CL.RACE,Race,C74457,text,2.0,AMERICAN INDIAN OR ALASKA NATIVE,C41259,
254,CL.RACE,Race,C74457,text,4.0,ASIAN,C41260,
255,CL.RACE,Race,C74457,text,3.0,BLACK OR AFRICAN AMERICAN,C16352,
256,CL.RACE,Race,C74457,text,7.0,MULTIPLE,,
257,CL.RACE,Race,C74457,text,5.0,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,C41219,
258,CL.RACE,Race,C74457,text,6.0,OTHER,,
259,CL.RACE,Race,C74457,text,1.0,WHITE,C41261,
260,CL.ROUTE,Route of Administration,C66729,text,3.0,INTRAMUSCULAR,C28161,
261,CL.ROUTE,Route of Administration,C66729,text,8.0,INTRASINAL,C38262,
262,CL.ROUTE,Route of Administration,C66729,text,4.0,INTRAVENOUS,C38276,
263,CL.ROUTE,Route of Administration,C66729,text,7.0,NASAL,C38284,
264,CL.ROUTE,Route of Administration,C66729,text,1.0,ORAL,C38288,
265,CL.ROUTE,Route of Administration,C66729,text,9.0,OTHER,C38290,
266,CL.ROUTE,Route of Administration,C66729,text,5.0,RECTAL,C38295,
267,CL.ROUTE,Route of Administration,C66729,text,2.0,SUBCUTANEOUS,C38299,
268,CL.ROUTE,Route of Administration,C66729,text,6.0,TOPICAL,C38304,
269,CL.SC.DOMAIN,Domain Abbreviation (SC),C66734,text,,SC,C49610,Subject Characteristics
270,CL.SCTEST,SC Tests,C103330,text,,Education Level,C17953,
271,CL.SCTEST,SC Tests,C103330,text,,Marital Status,C25188,
272,CL.SCTEST,SC Tests,C103330,text,,Subject Initials,,
273,CL.SCTESTCD,Subject Characteristic Code (SCTESTCD),C74559,text,,EDLEVEL,C17953,Education Level
274,CL.SCTESTCD,Subject Characteristic Code (SCTESTCD),C74559,text,,MARISTAT,C25188,Marital Status
275,CL.SCTESTCD,Subject Characteristic Code (SCTESTCD),C74559,text,,SUBJINIT,,Subject Initials
276,CL.SE.DOMAIN,Domain Abbreviation (SE),C66734,text,,SE,C49616,Subject Element
277,CL.SEX,Sex,C66731,text,,F,C16576,Female
278,CL.SEX,Sex,C66731,text,,M,C20197,Male
279,CL.SEX,Sex,C66731,text,,U,C17998,Unknown
280,CL.SIZE,Size,C66733,text,,LARGE,C49508,
281,CL.SIZE,Size,C66733,text,,MEDIUM,C49507,
282,CL.SIZE,Size,C66733,text,,SMALL,C25376,
283,CL.SPECTYPE,Specimen Type,C78734,text,,BLOOD,C12434,
284,CL.SPECTYPE,Specimen Type,C78734,text,,SERUM,C13325,
285,CL.SPECTYPE,Specimen Type,C78734,text,,URINE,C13283,
286,CL.SV.DOMAIN,Domain Abbreviation (SV),C66734,text,,SV,C49617,Subject Visits
287,CL.TA.DOMAIN,Domain Abbreviation (TA),C66734,text,,TA,C49618,Trial Arms
288,CL.TE.DOMAIN,Domain Abbreviation (TE),C66734,text,,TE,C49619,Trial Elements
289,CL.TI.DOMAIN,Domain Abbreviation (TI),C66734,text,,TI,C49620,Trial Inclusion/Exclusion Criteria
290,CL.TREASFF,Reported Term for the Disposition Record,,text,,COMPLETED,,
291,CL.TREASFF,Reported Term for the Disposition Record,,text,,DID NOT MEET INCLUSION CRITERIA ,,
292,CL.TREASFF,Reported Term for the Disposition Record,,text,,DISCONTINUED DUE TO ADVERSE EVENT,,
293,CL.TREASFF,Reported Term for the Disposition Record,,text,,DISCONTINUED DUE TO CONSENT WITHDRAWEL,,
294,CL.TREASFF,Reported Term for the Disposition Record,,text,,DISCONTINUED DUE TO LACK OF THERAPEUTIC RESPONSE,,
295,CL.TREASFF,Reported Term for the Disposition Record,,text,,DISCONTINUED DUE TO LOST TO FOLLOW UP,,
296,CL.TREASFF,Reported Term for the Disposition Record,,text,,DISCONTINUED DUE TO SPONSOR/INVESTIGATOR DECISION,,
297,CL.TREASFF,Reported Term for the Disposition Record,,text,,INFORMED CONSENT OBTAINED,,
298,CL.TREASFF,Reported Term for the Disposition Record,,text,,PATIENT DID NOT MEET INCLUSION/EXCLUSION CRITERIA AT SCREENING,,
299,CL.TREASFF,Reported Term for the Disposition Record,,text,,PROTOCOL VIOLATION,,
300,CL.TREASFF,Reported Term for the Disposition Record,,text,,RANDOMIZED,,
301,CL.TS.DOMAIN,Domain Abbreviation (TS),C66734,text,,TS,C53483,Trial Summary
302,CL.TSPARM,Trial Summary Parameter Test Name,C67152,text,,Added on to Existing Treatments,C49703,
303,CL.TSPARM,Trial Summary Parameter Test Name,C67152,text,,Age Span,C20587,
304,CL.TSPARM,Trial Summary Parameter Test Name,C67152,text,,Age Unit,,
305,CL.TSPARM,Trial Summary Parameter Test Name,C67152,text,,Clinical Study Sponsor,C70793,
306,CL.TSPARM,Trial Summary Parameter Test Name,C67152,text,,Control Type,C49647,
307,CL.TSPARM,Trial Summary Parameter Test Name,C67152,text,,Dose Units,C73558,
308,CL.TSPARM,Trial Summary Parameter Test Name,C67152,text,,Dose per Administration,C25488,
309,CL.TSPARM,Trial Summary Parameter Test Name,C67152,text,,Dosing Frequency,C89081,
310,CL.TSPARM,Trial Summary Parameter Test Name,C67152,text,,Investigational Therapy or Treatment,C41161,
311,CL.TSPARM,Trial Summary Parameter Test Name,C67152,text,,Planned Maximum Age of Subjects,C49694,
312,CL.TSPARM,Trial Summary Parameter Test Name,C67152,text,,Planned Minimum Age of Subjects,C49693,
313,CL.TSPARM,Trial Summary Parameter Test Name,C67152,text,,Planned Number of Subjects,C49692,
314,CL.TSPARM,Trial Summary Parameter Test Name,C67152,text,,Route of Administration,C38114,
315,CL.TSPARM,Trial Summary Parameter Test Name,C67152,text,,Sex of Participants,C49696,
316,CL.TSPARM,Trial Summary Parameter Test Name,C67152,text,,Trial Blinding Schema,C49658,
317,CL.TSPARM,Trial Summary Parameter Test Name,C67152,text,,Trial Indication Type,C49652,
318,CL.TSPARM,Trial Summary Parameter Test Name,C67152,text,,Trial Length,C49697,
319,CL.TSPARM,Trial Summary Parameter Test Name,C67152,text,,Trial Phase Classification,C48281,
320,CL.TSPARM,Trial Summary Parameter Test Name,C67152,text,,Trial Primary Objective,C85826,
321,CL.TSPARM,Trial Summary Parameter Test Name,C67152,text,,Trial Secondary Objective,C85827,
322,CL.TSPARM,Trial Summary Parameter Test Name,C67152,text,,Trial Title,C49802,
323,CL.TSPARM,Trial Summary Parameter Test Name,C67152,text,,Trial Type,C49660,
324,CL.TSPARM,Trial Summary Parameter Test Name,C67152,text,,Trial is Randomized,C25196,
325,CL.TSPARMCD,Trial Summary Parameter Test Code,C66738,text,,ADDON,C49703,Added on to Existing Treatments
326,CL.TSPARMCD,Trial Summary Parameter Test Code,C66738,text,,AGEMAX,C49694,Planned Maximum Age of Subjects
327,CL.TSPARMCD,Trial Summary Parameter Test Code,C66738,text,,AGEMIN,C49693,Planned Minimum Age of Subjects
328,CL.TSPARMCD,Trial Summary Parameter Test Code,C66738,text,,AGESPAN,C20587,Age Span
329,CL.TSPARMCD,Trial Summary Parameter Test Code,C66738,text,,AGEU,,Age Unit
330,CL.TSPARMCD,Trial Summary Parameter Test Code,C66738,text,,DOSE,C25488,Dose per Administration
331,CL.TSPARMCD,Trial Summary Parameter Test Code,C66738,text,,DOSFRQ,C89081,Dosing Frequency
