,ngram,cleaned
347,reserve_adequacy_metric,reserve adequacy metric
348,world_war,world war
349,open_door,open door
350,preferential_access,preferential access
351,wage_indexation,wage indexation
352,free_zone,free zone
353,self_insurance,self insurance
354,living_condition,live condition
355,quasi_money,quasi money
356,youth_employment,youth employment
357,risk_tolerance,risk tolerance
358,data_availability,datum availability
359,demographic_pressure,demographic pressure
360,high_tech,high tech
361,bargaining_power,bargaining power
362,tangible_asset,tangible asset
363,poverty_incidence,poverty incidence
364,electric_power,electric power
365,great_depression,great depression
366,technological_innovation,technological innovation
367,armed_force,armed force
368,license_fee,license fee
369,home_ownership,home ownership
370,independent_evaluation,independent evaluation
371,maternal_mortality,maternal mortality
372,key_player,key player
373,final_consumption_expenditure,final consumption expenditure
374,cost_living,cost living
375,land_tenure,land tenure
376,pacific_island,pacific island
377,human_capital_accumulation,human capital accumulation
378,random_variable,random variable
379,causal_relationship,causal relationship
380,pacific_region,pacific region
381,margin_error,margin error
382,remote_area,remote area
383,linear_function,linear function
384,urban_center,urban center
385,gold_holding,gold holding
386,stimulus_package,stimulus package
387,normal_distribution,normal distribution
388,preferential_trade,preferential trade
389,medical_care,medical care
390,wage_rigidity,wage rigidity
391,job_seeker,job seeker
392,tax_avoidance,tax avoidance
393,land_title,land title
394,provident_fund,provident fund
395,non_existent,non existent
396,random_effect,random effect
397,advisory_council,advisory council
398,central_banker,central banker
399,social_affair,social affair
400,heat_map,heat map
401,comparative_study,comparative study
402,arable_land,arable land
403,white_paper,white paper
404,military_spending,military spending
405,collective_action,collective action
406,ministry_defense,ministry defense
407,precious_metal,precious metal
408,advisory_group,advisory group
409,fully_compliant,fully compliant
410,emergency_situation,emergency situation
411,nonperforming_loan,loan
412,cash_crop,cash crop
413,special_drawing_right,special drawing right
414,attorney_general,attorney general
415,social_tension,social tension
416,civil_aviation,civil aviation
417,shadow_economy,shadow economy
418,civil_code,civil code
419,middle_class,middle class
420,working_age_population,work age population
421,gender_gap,gender gap
422,fine_tuning,fine tuning
423,adult_population,adult population
424,mobile_banking,mobile banking
425,aging_population,age population
426,salary_scale,salary scale
427,geographic_location,geographic location
428,disability_pension,disability pension
429,custom_clearance,custom clearance
430,trading_platform,trading platform
431,principal_component_analysis,principal component analysis
432,data_dissemination,data dissemination
433,food_crop,food crop
434,linear_regression,linear regression
435,non_tariff_barrier,non tariff barrier
436,metropolitan_area,metropolitan area
437,oil_exploration,oil exploration
438,gender_inequality,gender inequality
439,post_war,post war
440,log_likelihood,log likelihood
441,civil_conflict,civil conflict
442,correlation_matrix,correlation matrix
443,press_conference,press conference
444,working_condition,work condition
445,leading_role,lead role
446,land_registry,land registry
447,drinking_water,drink water
448,minority_shareholder,minority shareholder
449,sovereign_bond_yield,sovereign bond yield
450,strategic_goal,strategic goal
451,insider_trading,insider trading
452,web_page,web page
453,child_mortality,child mortality
454,wire_transfer,wire transfer
455,cross_border_contagion,cross border contagion
456,oil_refinery,oil refinery
457,multinational_company,multinational company
458,managing_director,manage director
459,demographic_transition,demographic transition
460,golden_rule,golden rule
461,consistency_check,consistency check
462,money_launder,money launder
463,heavily_indebted,heavily indebted
464,success_story,success story
465,intellectual_property,intellectual property
466,seasonal_adjustment,seasonal adjustment
467,short_notice,short notice
468,social_exclusion,social exclusion
469,sample_error,sample error
470,nation_wide,nation wide
471,advance_notice,advance notice
472,scatter_plot,scatter plot
473,unskilled_labor,unskilled labor
474,goodness_fit,goodness fit
475,composite_indicator,composite indicator
476,police_force,police force
477,seasonal_factor,seasonal factor
478,medical_insurance,medical insurance
479,unskilled_worker,unskilled worker
480,terrorist_attack,terrorist attack
481,humanitarian_aid,humanitarian aid
482,escrow_account,escrow account
483,criminal_code,criminal code
484,humanitarian_assistance,humanitarian assistance
485,user_friendly,user friendly
486,food_insecurity,food insecurity
487,think_tank,think tank
488,poverty_headcount,poverty headcount
489,legal_proceeding,legal proceeding
490,long_overdue,long overdue
491,emerging_market,emerge market
492,consumer_basket,consumer basket
493,partial_equilibrium,partial equilibrium
494,vocational_education,vocational education
495,amortization_schedule,amortization schedule
496,reproductive_health,reproductive health
497,spring_meeting,spring meeting
498,court_ruling,court ruling
499,cross_checking,cross checking
500,education_attainment,education attainment
501,financially_sound,financially sound
502,census_bureau,census bureau
503,ministry_interior,ministry interior
504,deflationary_pressure,deflationary pressure
505,land_registration,land registration
506,tariff_barrier,tariff barrier
507,armed_conflict,armed conflict
508,secretary_general,secretary general
509,conditional_probability,conditional probability
510,custom_excise,custom excise
511,vice_president,vice president
512,seasonally_adjusted,seasonally adjust
513,voting_power,vote power
514,forest_area,forest area
515,cross_cutting_issue,cross cutting issue
516,family_planning,family planning
517,credit_worthiness,credit worthiness
518,collective_investment,collective investment
519,competitive_bidding,competitive bidding
520,short_selling,short selling
521,office_space,office space
522,fossil_fuel,fossil fuel
523,primary_care,primary care
524,trade_restrictiveness_index,trade restrictiveness index
525,land_acquisition,land acquisition
526,random_sample,random sample
527,non_resident_holding,non resident holding
528,political_leadership,political leadership
529,absolute_poverty,absolute poverty
530,executive_order,executive order
531,long_distance,long distance
532,multinational_firm,multinational firm
533,time_recording,time recording
534,vicious_circle,vicious circle
535,micro_prudential,micro prudential
536,investigative_power,investigative power
537,universal_coverage,universal coverage
538,gold_mining,gold mining
539,cost_cutting,cost cutting
540,early_detection,early detection
541,self_regulatory,self regulatory
542,organize_crime,organize crime
543,non_parametric,non parametric
544,hard_copy,hard copy
545,tequila_crisis,tequila crisis
546,living_standard_survey,live standard survey
547,aid_epidemic,aid epidemic
548,air_transportation,air transportation
549,civil_unrest,civil unrest
550,national_park,national park
551,social_science,social science
552,sunset_clause,sunset clause
553,underground_economy,underground economy
554,carbon_tax,carbon tax
555,multivariate_analysis,multivariate analysis
556,east_pacific,east pacific
557,virtuous_circle,virtuous circle
558,mainland_china,mainland china
559,strong_performer,strong performer
560,adult_illiteracy,adult illiteracy
561,mobile_money,mobile money
562,aid_pandemic,aid pandemic
563,coastal_area,coastal area
564,soft_landing,soft landing
565,virtuous_cycle,virtuous cycle
566,job_vacancy,job vacancy
567,general_assembly,general assembly
568,wall_street_journal,wall street journal
569,statistical_inference,statistical inference
570,liquidity_trap,liquidity trap
571,chemical_product,chemical product
572,mobile_payment,mobile payment
573,police_officer,police officer
574,oil_discovery,oil discovery
575,veto_power,veto power
576,geographic_distribution,geographic distribution
577,self_sufficiency,self sufficiency
578,drug_trafficking,drug trafficking
579,sample_frame,sample frame
580,wide_ranging,wide ranging
581,black_box,black box
582,world_bank,world bank
583,world_bank_group,world bank group
584,term_reference,term reference
585,exchange_rate,exchange rate
586,civil_work,civil work
587,closing_date,close date
588,small_scale,small scale
589,board_approval,board approval
590,mid_term,mid term
591,foreign_exchange,foreign exchange
592,trust_fund,trust fund
593,mitigation_measure,mitigation measure
594,execute_agency,execute agency
595,gross_domestic_product,gross domestic product
596,task_team_leader,task team leader
597,regulatory_framework,regulatory framework
598,eligible_expenditure,eligible expenditure
599,monitor_evaluate,monitor evaluate
600,supervision_mission,supervision mission
601,bidding_document,bidding document
602,involuntary_resettlement,involuntary resettlement
603,indigenous_people,indigenous people
604,solid_waste,solid waste
605,accordance_provision,accordance provision
606,external_debt,external debt
607,special_account,special account
608,food_security,food security
609,non_consulting_service,non consulting service
610,operational_manual,operational manual
611,fix_asset,fix asset
612,natural_habitat,natural habitat
613,field_visit,field visit
614,consulting_firm,consult firm
615,affected_people,affected people
616,appraisal_mission,appraisal mission
617,river_basin,river basin
618,discussion_paper,discussion paper
619,policy_making,policy making
620,designate_account,designate account
621,energy_efficiency,energy efficiency
622,financial_intermediary,financial intermediary
623,transmission_line,transmission line
624,soil_erosion,soil erosion
625,air_pollution,air pollution
626,dry_season,dry season
627,study_tour,study tour
628,discount_rate,discount rate
629,structural_adjustment,structural adjustment
630,cultural_property,cultural property
631,air_quality,air quality
632,fiscal_deficit,fiscal deficit
633,potable_water,potable water
634,lend_instrument,lend instrument
635,rainy_season,rainy season
636,waste_disposal,waste disposal
637,asset_liability,asset liability
638,withdrawal_application,withdrawal application
639,cost_overrun,cost overrun
640,drink_water,drink water
641,budgetary_allocation,budgetary allocation
642,retroactive_financing,retroactive financing
643,disaster_risk,disaster risk
644,cultural_heritage,cultural heritage
645,cash_transfer,cash transfer
646,counterpart_funding,counterpart funding
647,repay_principal,repay principal
648,grievance_redress_mechanism,grievance redress mechanism
649,stock_exchange,stock exchange
650,affected_person,affect person
651,application_withdrawal,application withdrawal
652,task_manager,task manager
653,ethnic_group,ethnic group
654,foreign_affair,foreign affair
655,emergency_response,emergency response
656,disbursement_letter,disbursement letter
657,external_shock,external shock
658,debt_outstanding,debt outstanding
659,intermediate_outcome,intermediate outcome
660,benefit_accrue,benefit accrue
661,foreign_exchange_earning,foreign exchange earning
662,ethnic_minority,ethnic minority
663,implementing_agency,implement agency
664,political_stability,political stability
665,emergency_recovery,emergency recovery
666,legal_covenant,legal covenant
667,import_substitution,import substitution
668,post_qualification,post qualification
669,physical_contingency,physical contingency
670,foreign_exchange_reserve,foreign exchange reserve
671,hazardous_waste,hazardous waste
672,knowledge_sharing,knowledge sharing
673,female_head,female head
674,way_forward,way forward
675,peer_review,peer review
676,data_sheet,data sheet
677,grievance_mechanism,grievance mechanism
678,early_childhood,early childhood
679,pumping_station,pumping station
680,single_stage,single stage
681,paved_road,paved road
682,septic_tank,septic tank
683,tax_exemption,tax exemption
684,peer_reviewer,peer reviewer
685,willingness_pay,willingness pay
686,greenhouse_gas,greenhouse gas
687,soil_fertility,soil fertility
688,post_harvest,post harvest
689,non_governmental,non governmental
690,conflict_resolution,conflict resolution
691,fiduciary_compliance,fiduciary compliance
692,limited_liability,limited liability
693,conditional_cash_transfer,conditional cash transfer
694,communicable_disease,communicable disease
695,emission_reduction,emission reduction
696,conform_copy,conform copy
697,hazardous_material,hazardous material
698,awareness_raising,awareness raising
699,senior_economist,senior economist
700,natural_hazard,natural hazard
701,low_voltage,low voltage
702,noise_pollution,noise pollution
703,desk_review,desk review
704,infectious_disease,infectious disease
705,displaced_person,displace person
706,coastal_zone,coastal zone
707,buffer_zone,buffer zone
708,maternal_health,maternal health
709,hydroelectric_power,hydroelectric power
710,wet_season,wet season
711,net_inflow,net inflow
712,solid_waste_disposal,solid waste disposal
713,midterm_review,midterm review
714,land_reclamation,land reclamation
715,grass_root,grass root
716,travel_expense,travel expense
717,principal_installment,principal installment
718,pump_station,pump station
719,revolving_fund,revolve fund
720,division_chief,division chief
721,vice_presidency,vice presidency
722,citizen_engagement,citizen engagement
723,programmatic_approach,programmatic approach
724,revolve_fund,revolve fund
725,carbon_emission,carbon emission
726,conversion_factor,conversion factor
727,street_lighting,street lighting
728,thermal_power,thermal power
729,climate_resilience,climate resilience
730,capital_accumulation,capital accumulation
731,semi_autonomous,semi autonomous
732,net_fix_asset,net fix asset
733,nutritional_status,nutritional status
734,ambient_air_quality,ambient air quality
735,gross_domestic_saving,gross domestic saving
736,personal_identification,personal identification
737,share_prosperity,share prosperity
738,deputy_minister,deputy minister
739,vegetable_oil,vegetable oil
740,chief_engineer,chief engineer
741,spillover_effect,spillover effect
742,medical_waste,medical waste
743,gender_sensitive,gender sensitive
744,sugar_cane,sugar cane
745,emergency_preparedness,emergency preparedness
746,biological_diversity,biological diversity
747,geographic_coverage,geographic coverage
748,thermal_power_plant,thermal power plant
749,crude_birth_rate,crude birth rate
750,chief_economist,chief economist
751,ecological_zone,ecological zone
752,hospital_bed,hospital bed
753,tree_specie,tree specie
754,mutually_agree,mutually agree
755,carbon_dioxide,carbon dioxide
756,global_warming,global warming
757,power_outage,power outage
758,river_bed,river bed
759,climate_resilient,climate resilient
760,safe_disposal,safe disposal
761,heavy_metal,heavy metal
762,upper_secondary,upper secondary
763,insurance_premium,insurance premium
764,ambient_air,ambient air
765,peak_hour,peak hour
766,passenger_car,passenger car
767,gravel_road,gravel road
768,informal_settlement,informal settlement
769,thermal_plant,thermal plant
770,economically_active,economically active
771,heavy_machinery,heavy machinery
772,safe_drinking_water,safe drinking water
773,dump_site,dump site
774,oil_palm,oil palm
775,remote_sensing,remote sensing
776,executive_secretary,executive secretary
777,primary_schooling,primary schooling
778,shadow_price,shadow price
779,kilowatt_hour,kilowatt hour
780,subsistence_farming,subsistence farming
781,urban_dweller,urban dweller
782,dust_emission,dust emission
783,semi_arid,semi arid
784,elementary_school,elementary school
785,general_counsel,general counsel
786,inter_governmental,inter governmental
787,hazardous_substance,hazardous substance
788,fact_sheet,fact sheet
789,spot_check,spot check
790,organic_matter,organic matter
791,endanger_specie,endanger specie
792,burden_disease,burden disease
793,preferred_option,preferred option
794,domestic_violence,domestic violence
795,joint_secretary,joint secretary
796,field_trip,field trip
797,customary_law,customary law
798,heavy_duty,heavy duty
799,animal_specie,animal specie
800,exogenous_factor,exogenous factor
801,hydro_electric,hydro electric
802,vice_minister,vice minister
803,organizational_chart,organizational chart
804,life_span,life span
805,pit_latrine,pit latrine
806,income_generating,income generating
807,air_pollutant,air pollutant
808,master_degree,master degree
809,air_conditioning,air conditioning
810,market_capitalization,market capitalization
811,adverse_weather,adverse weather
812,cell_phone,cell phone
813,dispute_settlement,dispute settlement
814,quick_disbursing,quick disbursing
815,ineligible_expenditure,ineligible expenditure
816,nationally_representative,nationally representative
817,wild_animal,wild animal
818,distance_learning,distance learning
819,farm_gate_price,farm gate price
820,analytical_advisory,analytical advisory
821,independent_verification,independent verification
822,extended_family,extended family
823,climate_variability,climate variability
824,user_satisfaction,user satisfaction
825,tropical_forest,tropical forest
826,disaster_preparedness,disaster preparedness
827,liquid_waste,liquid waste
828,crop_rotation,crop rotation
829,currency_conversion,currency conversion
830,sewage_disposal,sewage disposal
831,street_light,street light
832,cultivable_land,cultivable land
833,gas_turbine,gas turbine
834,twin_goal,twin goal
835,unpaved_road,unpaved road
836,hand_pump,hand pump
837,satellite_imagery,satellite imagery
838,retain_wall,retain wall
839,hydro_meteorological,hydro meteorological
840,upper_middle,upper middle
841,natural_heritage,natural heritage
842,red_cross,red cross
843,shared_prosperity,share prosperity
844,poverty_eradication,poverty eradication
845,air_conditioner,air conditioner
846,electrical_engineer,electrical engineer
847,cultural_norm,cultural norm
848,essential_drug,essential drug
849,waste_dump,waste dump
850,seasonal_variation,seasonal variation
851,soil_contamination,soil contamination
852,tuition_fee,tuition fee
853,marital_status,marital status
854,police_station,police station
855,repetition_rate,repetition rate
856,passenger_freight,passenger freight
857,audio_visual,audio visual
858,key_informant,key informant
859,wildlife_conservation,wildlife conservation
860,food_insecure,food insecure
861,identity_card,identity card
862,fish_pond,fish pond
863,contraceptive_prevalence,contraceptive prevalence
864,crude_death_rate,crude death rate
865,visual_inspection,visual inspection
866,diesel_engine,diesel engine
867,vice_chairman,vice chairman
868,monsoon_season,monsoon season
869,disease_surveillance,disease surveillance
870,nuclear_power,nuclear power
871,focal_person,focal person
872,hot_spot,hot spot
873,capital_outflow,capital outflow
874,pollution_abatement,pollution abatement
875,edible_oil,edible oil
876,garbage_collection,garbage collection
877,sovereign_debt,sovereign debt
878,living_standard_measurement,live standard measurement
879,coral_reef,coral reef
880,proxy_mean,proxy mean
881,heavy_truck,heavy truck
882,farm_gate,farm gate
883,bus_stop,bus stop
884,radio_station,radio station
885,corrupt_practice,corrupt practice
886,gender_parity,gender parity
887,grievance_resolution,grievance resolution
888,aquatic_life,aquatic life
889,adult_male,adult male
890,unmet_demand,unmet demand
891,executing_agency,execute agency
892,freight_passenger,freight passenger
893,bachelor_degree,bachelor degree
894,advisory_panel,advisory panel
895,web_portal,web portal
896,deputy_prime_minister,deputy prime minister
897,solar_panel,solar panel
898,organic_waste,organic waste
899,mass_transit,mass transit
900,protective_equipment,protective equipment
901,river_delta,river delta
902,green_revolution,green revolution
903,preventive_care,preventive care
904,assistant_secretary,assistant secretary
905,climatic_zone,climatic zone
906,wildlife_habitat,wildlife habitat
907,legal_counsel,legal counsel
908,liaison_officer,liaison officer
909,climate_smart,climate smart
910,medicinal_plant,medicinal plant
911,meta_analysis,meta analysis
912,harvest_season,harvest season
913,customer_satisfaction,customer satisfaction
914,poverty_headcount_ratio,poverty headcount ratio
915,satellite_image,satellite image
916,inspection_panel,inspection panel
917,sex_ratio,sex ratio
918,carbon_dioxide_emission,carbon dioxide emission
919,cultural_identity,cultural identity
920,extreme_weather,extreme weather
921,weather_station,weather station
922,wild_life,wild life
923,organic_fertilizer,organic fertilizer
924,score_card,score card
925,bird_specie,bird specie
926,slum_dweller,slum dweller
927,unmet_need,unmet need
928,fish_farming,fish farming
929,political_unrest,political unrest
930,personal_computer,personal computer
931,time_consuming,time consuming
932,contingency_allowance,contingency allowance
933,chronic_disease,chronic disease
934,mobile_telephone,mobile telephone
935,non_discriminatory,non discriminatory
936,open_defecation,open defecation
937,quick_win,quick win
938,cognitive_skill,cognitive skill
939,career_path,career path
940,safe_handling,safe handling
941,identification_card,identification card
942,garment_industry,garment industry
943,flash_flood,flash flood
944,currency_devaluation,currency devaluation
945,security_guard,security guard
946,early_marriage,early marriage
947,iterative_process,iterative process
948,self_reliant,self reliant
949,shared_vision,share vision
950,chronic_poverty,chronic poverty
951,bio_diversity,diversity
952,vital_statistic,vital statistic
953,gross_margin,gross margin
954,inner_city,inner city
955,self_esteem,self esteem
956,curative_care,curative care
