,word,is_legal
215,island,0
216,largest,0
217,making,0
218,single,0
219,europe,0
220,similar,0
221,developed,1
222,released,1
223,free,0
224,away,0
225,groups,0
226,included,1
227,sometimes,0
228,york,0
229,land,0
230,program,0
231,social,0
232,various,0
233,money,0
234,percent,0
235,works,0
236,give,0
237,might,0
238,union,0
239,ii,0
240,never,0
241,red,0
242,games,0
243,western,0
244,open,0
245,light,0
246,former,0
247,yes,0
248,systems,0
249,wanna,0
250,areas,0
251,together,0
252,head,0
253,per,0
254,region,0
255,something,0
256,better,0
257,production,0
258,field,0
259,went,1
260,days,0
261,near,0
262,half,0
263,named,1
264,result,0
265,forces,0
266,find,0
267,process,0
268,roman,0
269,six,0
270,sea,0
271,china,0
272,body,0
273,original,0
274,science,0
275,theory,0
276,education,0
277,economic,0
278,low,0
279,top,0
280,thus,0
281,role,0
282,march,0
283,season,0
284,established,1
285,energy,0
286,river,0
287,health,0
288,thought,1
289,written,0
290,young,0
291,information,0
292,seen,0
293,instead,0
294,either,0
295,species,0
296,rather,0
297,data,0
298,side,0
299,word,0
300,created,1
301,almost,0
302,center,0
303,produced,1
304,built,1
305,god,0
306,rights,0
307,things,0
308,live,0
309,earth,0
310,june,0
311,far,0
312,level,0
313,full,0
314,schools,0
315,act,0
316,january,0
317,america,0
318,possible,0
319,across,0
320,mommy,0
321,least,0
322,especially,0
323,college,0
324,br,0
325,total,0
326,described,1
327,father,0
328,germany,0
329,hand,0
330,natural,0
331,december,0
332,october,0
333,september,0
334,july,0
335,story,0
336,really,0
337,art,0
338,played,1
339,received,1
340,working,0
341,middle,0
342,means,0
343,car,0
344,able,0
345,died,1
346,council,0
347,special,0
348,short,0
349,huh,0
350,france,0
351,present,0
352,won,0
353,turn,0
354,higher,0
355,class,0
356,generally,0
357,real,0
358,empire,0
359,run,0
360,started,1
361,community,0
362,april,0
363,outside,0
364,baby,0
365,person,0
366,type,0
367,building,0
368,continued,1
369,eat,0
370,november,0
371,california,0
372,standard,0
373,parts,0
374,northern,0
375,office,0
376,enough,0
377,soviet,0
378,son,0
379,police,0
380,languages,0
381,chinese,0
382,foreign,0
383,movement,0
384,close,0
385,member,0
386,band,0
387,england,0
388,trade,0
389,southern,0
390,lost,1
391,park,0
392,version,0
393,already,0
394,august,0
395,scientists,0
396,read,1
397,night,0
398,throughout,0
399,kingdom,0
400,saw,1
401,range,0
402,society,0
403,addition,0
404,done,0
405,civil,0
406,numbers,0
407,league,0
408,religious,0
409,animals,0
410,design,0
411,months,0
412,aha,0
413,born,0
414,business,0
415,gave,1
416,federal,0
417,television,0
418,culture,0
419,project,0
420,problem,0
421,whose,0
422,lower,0
423,mother,0
424,tell,0
425,taken,0
426,significant,0
427,official,0
428,computer,0
429,position,0
430,available,0
431,william,0
432,whether,0
433,final,0
434,current,0
435,certain,0
436,traditional,0
437,record,0
438,rate,0
439,idea,0
440,upon,0
441,color,0
442,eastern,0
443,battle,0
444,yet,0
445,technology,0
446,washington,0
447,evidence,0
448,allowed,1
449,greek,0
450,terms,0
451,blue,0
452,despite,0
453,always,0
454,daddy,0
455,africa,0
456,living,0
457,hard,0
458,election,0
459,keep,0
460,london,0
461,industry,0
462,followed,1
463,words,0
464,formed,1
465,recent,0
466,cause,0
467,style,0
468,added,1
469,effect,0
470,cities,0
471,events,0
472,model,0
473,problems,0
474,seven,0
475,kind,0
476,india,0
477,ancient,0
478,strong,0
479,february,0
480,related,1
481,minister,0
482,introduced,1
483,islands,0
484,star,0
485,st,0
486,ball,0
487,lead,0
488,services,0
489,market,0
490,companies,0
491,african,0
492,radio,0
493,else,0
494,soon,0
495,players,0
496,love,0
497,christian,0
498,announced,1
499,particularly,0
500,town,0
501,ever,0
502,books,0
503,forms,0
504,moved,1
505,average,0
506,cases,0
507,rule,0
508,increased,1
509,changes,0
510,eventually,0
511,move,0
512,particular,0
513,sent,1
514,rock,0
515,album,0
516,green,0
517,function,0
518,influence,0
519,provide,0
520,network,0
521,fire,0
522,policy,0
523,republic,0
524,boy,0
525,brought,1
526,likely,0
527,size,0
528,studies,0
529,workers,0
530,lot,0
531,nearly,0
532,makes,0
533,source,0
534,killed,1
535,capital,0
536,mass,0
537,future,0
538,required,1
539,nations,0
540,past,0
541,self,0
542,value,0
543,nature,0
544,spanish,0
545,media,0
546,action,0
547,character,0
548,writing,0
549,earlier,0
550,elements,0
551,beginning,0
552,increase,0
553,start,0
554,located,1
555,economy,0
556,week,0
557,told,1
558,structure,0
559,taking,0
560,playing,0
561,ago,0
562,associated,1
563,royal,0
564,remained,1
565,front,0
566,mean,0
567,oil,0
568,fact,0
569,hold,0
570,video,0
571,security,0
572,goes,0
573,majority,0
574,officials,0
575,aircraft,0
576,report,0
577,ground,0
578,department,0
579,russian,0
580,congress,0
581,longer,0
582,billion,0
583,believed,1
584,leading,0
585,rules,0
586,private,0
587,anti,0
588,reported,1
589,typically,0
590,fish,0
591,song,0
592,post,0
593,paper,0
594,child,0
595,provided,1
596,caused,1
597,includes,0
598,sound,0
599,nation,0
600,practice,0
601,surface,0
602,uses,0
603,independent,0
604,attack,0
605,legal,0
606,try,0
607,growth,0
608,wanted,1
609,individual,0
610,parents,0
611,latin,0
612,prime,0
613,designed,1
614,player,0
615,plan,0
616,types,0
617,eight,0
618,room,0
619,view,0
620,referred,1
621,laws,0
622,list,0
623,base,0
624,russia,0
625,native,0
626,george,0
627,limited,0
628,material,0
629,site,0
630,cost,0
631,behind,0
632,canada,0
633,san,0
634,museum,0
635,coast,0
636,association,0
637,summer,0
638,whole,0
639,probably,0
640,gas,0
641,larger,0
642,specific,0
643,key,0
644,james,0
645,thing,0
646,involved,0
647,served,1
648,effects,0
649,complex,0
650,mostly,0
651,county,0
652,director,0
653,meaning,0
654,appeared,0
655,street,0
656,films,0
657,personal,0
658,call,0
659,kids,0
660,face,0
661,construction,0
662,alright,0
663,organization,0
664,success,0
665,nuclear,0
666,highest,0
667,co,0
668,physical,0
669,americans,0
670,paul,0
671,bit,0
672,bc,0
673,interest,0
674,era,0
675,asked,1
676,mid,0
677,results,0
678,returned,1
679,ice,0
680,worked,1
681,elected,1
682,test,0
683,box,0
684,britain,0
685,campaign,0
686,features,0
687,matter,0
688,greater,0
689,shows,0
690,japanese,0
691,allow,0
692,month,0
693,pressure,0
694,news,0
695,comes,0
696,rest,0
697,stop,0
698,produce,0
699,japan,0
700,therefore,0
701,fall,0
702,board,0
703,points,0
704,football,0
705,speed,0
706,inside,0
707,founded,1
708,code,0
709,programs,0
710,sold,1
711,conditions,0
712,primary,0
713,products,0
714,remains,0
715,career,0
716,title,0
717,names,0
718,club,0
719,bring,0
720,letter,0
721,lines,0
722,jewish,0
723,poor,0
724,changed,1
725,nice,0
726,defined,1
727,true,0
728,stated,1
729,widely,0
730,sit,0
731,chief,0
732,subject,0
733,release,0
734,method,0
735,getting,0
736,performance,0
737,create,0
738,pay,0
739,david,0
740,smaller,0
741,proposed,1
742,sure,0
743,hours,0
744,australia,0
745,training,0
746,cultural,0
747,job,0
748,actually,0
749,leader,0
750,originally,0
751,cut,1
752,access,0
753,issue,0
754,medical,0
755,recorded,1
756,catholic,0
757,sun,0
758,blockquote,0
759,climate,0
760,table,0
761,global,0
762,care,0
763,commonly,0
764,honey,0
765,wide,0
766,district,0
767,growing,0
768,trying,0
769,student,0
770,software,0
771,road,0
772,constitution,0
773,event,0
774,disease,0
775,territory,0
776,obama,0
777,hit,1
778,charles,0
779,difficult,0
780,looking,0
781,scientific,0
782,station,0
783,division,0
784,brown,0
785,decided,1
786,helped,1
787,ten,0
788,needed,1
789,believe,0
790,italian,0
791,levels,0
792,leave,0
793,wife,0
794,running,0
795,animal,0
796,italy,0
797,lived,1
798,thank,0
799,met,1
800,historical,0
801,discovered,1
802,complete,0
803,response,0
804,gold,0
805,re,0
806,replaced,1
807,religion,0
808,girl,0
809,emperor,0
810,amount,0
811,experience,0
812,families,0
813,leaders,0
814,successful,0
815,estimated,1
816,supported,1
817,commercial,0
818,directly,0
819,independence,0
820,famous,0
821,characters,0
822,parliament,0
823,starting,0
824,decision,0
825,coming,0
826,female,0
827,reached,1
828,sports,0
829,variety,0
830,henry,0
831,sense,0
832,direct,0
833,happened,1
834,issues,0
835,units,0
836,vote,0
837,largely,0
838,robert,0
839,woman,0
840,via,0
841,bear,0
842,sources,0
843,administration,0
844,separate,0
845,operation,0
846,metal,0
847,internet,0
848,operations,0
849,numerous,0
850,concept,0
851,remember,0
852,records,0
853,temperature,0
854,uh,0
855,uk,0
856,la,0
857,maybe,0
858,ready,0
859,los,0
860,approximately,0
861,previous,0
862,reason,0
863,opened,1
864,passed,1
865,compared,1
866,entire,0
867,heavy,0
868,forced,1
869,democratic,0
870,scale,0
871,asia,0
872,product,0
873,pope,0
874,recently,0
875,award,0
876,lives,0
877,lake,0
878,humans,0
879,committee,0
880,additional,0
881,brother,0
882,race,0
883,active,0
884,peace,0
885,quickly,0
886,unit,0
887,length,0
888,bill,0
889,authority,0
890,build,0
891,bank,0
892,cold,0
893,tree,0
894,rome,0
895,relationship,0
896,saying,0
897,library,0
898,thomas,0
899,stage,0
900,treatment,0
901,claimed,1
902,navy,0
903,towards,0
904,chicago,0
905,highly,0
906,ocean,0
907,joined,1
908,property,0
909,treaty,0
910,turned,1
911,status,0
912,examples,0
913,teams,0
914,basic,0
915,centre,0
916,nine,0
917,course,0
918,performed,1
919,write,0
920,adopted,1
921,regular,0
922,friends,0
923,troops,0
924,researchers,0
925,regions,0
926,lack,0
927,multiple,0
928,financial,0
929,governor,0
930,relations,0
931,border,0
932,risk,0
933,tradition,0
934,parties,0
935,peter,0
936,agreement,0
937,picture,0
938,cells,0
939,ended,1
940,stay,0
941,placed,1
942,text,0
943,stories,0
944,clear,0
945,finally,0
946,expected,1
947,israel,0
948,machine,0
949,ways,0
950,cup,0
951,pretty,0
952,showed,1
953,older,0
954,noted,1
955,mexico,0
956,basis,0
957,engine,0
958,simple,0
959,methods,0
960,centuries,0
961,hall,0
962,paris,0
963,train,0
964,plants,0
965,potential,0
966,degree,0
967,shown,1
968,takes,0
969,cross,0
970,hands,0
971,daughter,0
972,analysis,0
973,spread,1
974,rise,0
975,stars,0
976,talk,0
977,chemical,0
978,initially,0
979,square,0
980,blood,0
981,mainly,0
982,spent,1
983,marriage,0
984,places,0
985,piece,0
986,signed,1
987,bad,0
988,fell,1
989,hot,0
990,article,0
991,angeles,0
992,institute,0
993,simply,0
994,dog,0
995,defense,0
996,ship,0
997,latter,0
998,appear,0
999,mark,0
1000,giving,0
1001,winter,0
1002,married,1
1003,activity,0
1004,knowledge,0
1005,classical,0
1006,approach,0
1007,cell,0
1008,divided,1
1009,suggested,1
1010,anything,0
1011,ability,0
1012,apple,0
1013,plans,0
1014,memory,0
1015,previously,0
1016,watch,0
1017,letters,0
1018,round,0
1019,plant,0
1020,date,0
1021,relatively,0
1022,spain,0
1023,feet,0
1024,weeks,0
1025,continue,0
1026,figure,0
1027,speech,0
1028,hair,0
1029,contains,0
1030,republican,0
1031,collection,0
1032,ideas,0
1033,question,0
1034,quality,0
1035,feel,0
1036,deal,0
1037,male,0
1038,argued,1
1039,ones,0
1040,novel,0
1041,currently,0
1042,efforts,0
1043,pre,0
1044,richard,0
1045,revolution,0
1046,tax,0
1047,loss,0
1048,fast,0
1049,executive,0
1050,primarily,0
1051,thousands,0
1052,distance,0
1053,milk,0
1054,attempt,0
1055,mission,0
1056,environment,0
1057,needs,0
1058,looks,0
1059,functions,0
1060,remain,0
1061,moving,0
1062,wait,0
1063,attention,0
1064,friend,0
1065,powers,0
1066,dead,0
1067,attacks,0
1068,win,0
1069,launched,1
1070,wants,0
1071,arts,0
1072,carried,1
1073,weapons,0
1074,share,0
1075,heart,0
1076,louis,0
1077,songs,0
1078,islamic,0
1079,section,0
1080,agreed,1
1081,becoming,0
1082,professor,0
1083,failed,1
1084,charge,0
1085,elections,0
1086,completed,1
1087,michael,0
1088,super,0
1089,literature,0
1090,saint,0
1091,regional,0
1092,flight,0
1093,iii,0
1094,grand,0
1095,moon,0
1096,drive,0
1097,activities,0
1098,appointed,1
1099,jews,0
1100,annual,0
1101,provides,0
1102,justice,0
1103,soldiers,0
1104,tried,1
1105,applied,1
1106,responsible,0
1107,cars,0
1108,closed,1
1109,properties,0
1110,double,0
1111,increasing,0
1112,digital,0
1113,buildings,0
1114,professional,0
1115,positive,0
1116,account,0
1117,objects,0
1118,press,0
1119,influenced,1
1120,scholars,0
1121,declared,1
1122,musical,0
1123,freedom,0
1124,reduced,1
1125,pacific,0
1126,necessary,0
1127,ships,0
1128,texas,0
1129,store,0
1130,safety,0
1131,deep,0
1132,upper,0
1133,prior,0
1134,philosophy,0
1135,resulting,0
1136,minutes,0
1137,location,0
1138,definition,0
1139,airport,0
1140,girls,0
1141,magazine,0
1142,accepted,1
1143,meeting,0
1144,individuals,0
1145,income,0
1146,except,0
1147,classes,0
1148,electric,0
1149,nothing,0
1150,command,0
1151,author,0
1152,ireland,0
1153,exist,0
1154,management,0
1155,carbon,0
1156,online,0
1157,element,0
1158,origin,0
1159,appears,0
1160,port,0
1161,calendar,0
1162,morning,0
1163,ad,0
1164,break,0
1165,decades,0
1166,notable,0
1167,industrial,0
1168,artists,0
1169,critical,0
1170,image,0
1171,muslim,0
1172,fields,0
1173,yellow,0
1174,assembly,0
1175,opposition,0
1176,commission,0
1177,ah,0
1178,reach,0
1179,shot,1
1180,beyond,0
1181,armed,0
1182,offered,1
1183,everything,0
1184,goal,0
1185,object,0
1186,presidential,0
1187,equipment,0
1188,transport,0
1189,dna,0
1190,generation,0
1191,bird,0
1192,fighting,0
1193,conflict,0
1194,fight,0
1195,gives,0
1196,intended,1
1197,grew,1
1198,birth,0
1199,equal,0
1200,urban,0
1201,push,0
1202,normal,0
1203,operating,0
1204,convention,0
1205,floor,0
1206,presence,0
1207,initial,0
1208,pass,0
1209,allows,0
1210,travel,0
1211,iron,0
1212,difference,0
1213,heat,0
1214,jobs,0
1215,frequently,0
1216,brain,0
1217,values,0
1218,materials,0
1219,featured,1
1220,secretary,0
1221,bowl,0
1222,applications,0
1223,track,0
1224,conference,0
1225,direction,0
1226,cat,0
1227,claims,0
1228,feature,0
1229,valley,0
1230,staff,0
1231,cover,0
1232,stone,0
1233,protection,0
1234,toward,0
1235,identified,1
1236,hey,0
1237,resources,0
1238,engineering,0
1239,models,0
1240,derived,1
1241,combined,1
1242,impact,0
1243,stand,0
1244,prevent,0
1245,communities,0
1246,kept,1
1247,focus,0
1248,alone,0
1249,powerful,0
1250,raised,1
1251,agency,0
1252,movie,0
1253,wall,0
1254,academy,0
1255,writer,0
1256,buy,0
1257,tour,0
1258,chair,0
1259,page,0
1260,speaking,0
1261,reference,0
1262,felt,1
1263,sexual,0
1264,represented,1
1265,smith,0
1266,minute,0
1267,bed,0
1268,occur,0
1269,province,0
1270,owned,1
1271,distribution,0
1272,bus,0
1273,composed,1
1274,residents,0
1275,extended,1
1276,remaining,0
1277,fiction,0
1278,claim,0
1279,bay,0
1280,effort,0
1281,serve,0
1282,foundation,0
1283,exchange,0
1284,price,0
1285,sign,0
1286,officers,0
1287,mountain,0
1288,citizens,0
1289,polish,0
1290,paid,1
1291,occurred,1
1292,dark,0
1293,please,0
1294,internal,0
1295,standards,0
1296,supreme,0
1297,learn,0
1298,visit,0
1299,effective,0
1300,creation,0
1301,plane,0
1302,earliest,0
1303,horse,0
1304,develop,0
1305,carry,0
1306,acid,0
1307,learning,0
1308,volume,0
1309,arrived,1
1310,finished,1
1311,allowing,0
1312,content,0
1313,opposed,1
1314,immediately,0
1315,situation,0
1316,eyes,0
1317,wave,0
1318,arms,0
1319,contemporary,0
1320,weight,0
1321,reduce,0
1322,perhaps,0
1323,entered,1
1324,politics,0
1325,labor,0
1326,refer,0
1327,mouth,0
1328,dance,0
1329,solar,0
1330,festival,0
1331,alternative,0
1332,issued,1
1333,channel,0
1334,negative,0
1335,violence,0
1336,hope,0
1337,ethnic,0
1338,phase,0
1339,draw,0
1340,follow,0
1341,holy,0
1342,protect,0
1343,existence,0
1344,environmental,0
1345,supply,0
1346,leaving,0
1347,unlike,0
1348,runs,0
1349,mind,0
1350,meet,0
1351,queen,0
1352,poland,0
1353,consists,0
1354,offer,0
1355,contain,0
1356,versions,0
1357,purpose,0
1358,display,0
1359,ordered,1
1360,hear,0
1361,serious,0
1362,bye,0
1363,joseph,0
1364,greatest,0
1365,eating,0
1366,someone,0
1367,pieces,0
1368,understand,0
1369,irish,0
1370,controlled,1
1371,rates,0
1372,advanced,1
1373,reading,0
1374,fuel,0
1375,overall,0
1376,sex,0
1377,require,0
1378,damage,0
1379,canadian,0
1380,step,0
1381,doctor,0
1382,hi,0
1383,victory,0
1384,trees,0
1385,egypt,0
1386,hour,0
1387,contrast,0
1388,plays,0
1389,resulted,1
1390,instance,0
1391,presented,1
1392,address,0
1393,wars,0
1394,hospital,0
1395,um,0
1396,lord,0
1397,australian,0
1398,competition,0
1399,door,0
1400,destroyed,1
1401,completely,0
1402,gone,0
1403,unique,0
1404,wow,0
1405,reaction,0
1406,acts,0
1407,voice,0
1408,planned,1
1409,causes,0
1410,respectively,0
1411,sets,0
1412,aid,0
1413,devices,0
1414,edition,0
1415,senate,0
1416,notes,0
1417,winning,0
1418,inspired,1
1419,removed,1
1420,branch,0
1421,shall,0
1422,motion,0
1423,sales,0
1424,prize,0
1425,factors,0
1426,officer,0
1427,meant,1
1428,measure,0
1429,fully,0
1430,mary,0
1431,worldwide,0
1432,foot,0
1433,views,0
1434,sites,0
1435,crisis,0
1436,differences,0
1437,actions,0
1438,connected,1
1439,opening,0
1440,block,0
1441,florida,0
1442,prominent,0
1443,miles,0
1444,statement,0
1445,behavior,0
1446,martin,0
1447,ran,1
1448,refused,1
1449,solution,0
1450,choice,0
1451,wild,0
1452,directed,1
1453,imperial,0
1454,creating,0
1455,ring,0
1456,wear,0
1457,pick,0
1458,figures,0
1459,avoid,0
1460,spring,0
1461,pakistan,0
1462,formation,0
1463,communist,0
1464,increasingly,0
1465,mountains,0
1466,expressed,1
1467,prince,0
1468,contact,0
1469,techniques,0
1470,korea,0
1471,frequency,0
1472,cancer,0
1473,bridge,0
1474,recognized,1
1475,quite,0
1476,organizations,0
1477,stations,0
1478,subsequently,0
1479,discovery,0
1480,planet,0
1481,drink,0
1482,appearance,0
1483,expansion,0
1484,daily,0
1485,signal,0
1486,medicine,0
1487,minor,0
1488,medieval,0
1489,relative,0
1490,fixed,1
1491,reasons,0
1492,critics,0
1493,experts,0
1494,windows,0
1495,reports,0
1496,projects,0
1497,shape,0
1498,intelligence,0
1499,studied,1
1500,rich,0
1501,grow,0
1502,orange,0
1503,sister,0
1504,defeated,1
1505,arab,0
1506,glass,0
1507,snow,0
1508,core,0
1509,observed,1
1510,huge,0
1511,vice,0
1512,churches,0
1513,hill,0
1514,conservative,0
1515,sector,0
1516,sport,0
1517,boys,0
1518,heard,1
1519,authorities,0
1520,dogs,0
1521,users,0
1522,regarded,1
1523,marine,0
1524,application,0
1525,structures,0
1526,birds,0
1527,equivalent,0
1528,policies,0
1529,officially,0
1530,camp,0
1531,determined,1
1532,distinct,0
1533,theatre,0
1534,formal,0
1535,calls,0
1536,subsequent,0
1537,secret,0
1538,target,0
1539,understanding,0
1540,hundreds,0
1541,forest,0
1542,domestic,0
1543,universe,0
1544,expanded,1
1545,bodies,0
1546,note,0
1547,pictures,0
1548,conducted,1
1549,drug,0
1550,pop,0
1551,sought,1
1552,represent,0
1553,teachers,0
1554,rare,0
1555,device,0
1556,flow,0
1557,gained,1
1558,iraq,0
1559,jesus,0
1560,existing,0
1561,nearby,0
1562,constant,0
1563,leadership,0
1564,eye,0
1565,truck,0
1566,decade,0
1567,demand,0
1568,silver,0
1569,consider,0
1570,meat,0
1571,search,0
1572,broke,1
1573,agriculture,0
1574,sleep,0
1575,marked,1
1576,temperatures,0
1577,crime,0
1578,alexander,0
1579,mixed,1
1580,sequence,0
1581,village,0
1582,identity,0
1583,receive,0
1584,host,0
1585,link,0
1586,resistance,0
1587,costs,0
1588,holding,0
1589,occurs,0
1590,tape,0
1591,throw,0
1592,awards,0
1593,weather,0
1594,developing,0
1595,specifically,0
1596,happy,0
1597,hydrogen,0
1598,walk,0
1599,possibly,0
1600,easily,0
1601,ages,0
1602,scene,0
1603,covered,1
1604,awarded,1
1605,learned,1
1606,mentioned,1
1607,zero,0
1608,dropped,1
1609,seat,0
1610,gun,0
1611,ruled,1
1612,hurt,1
1613,requires,0
1614,follows,0
1615,limit,0
1616,containing,0
1617,hello,0
1618,hat,0
1619,artist,0
1620,importance,0
1621,lady,0
1622,fit,1
1623,wood,0
1624,user,0
1625,electronic,0
1626,labour,0
1627,debate,0
1628,match,0
1629,wrong,0
1630,orthodox,0
1631,message,0
1632,becomes,0
1633,younger,0
1634,authors,0
1635,historian,0
1636,spoken,0
1637,proved,1
1638,suggests,0
1639,wind,0
1640,crew,0
1641,episode,0
1642,improve,0
1643,institutions,0
1644,everyone,0
1645,baseball,0
1646,boat,0
1647,attempts,0
1648,depending,0
1649,computers,0
1650,standing,0
1651,refers,0
1652,twenty,0
1653,scotland,0
1654,universal,0
1655,principle,0
1656,dry,0
1657,km,0
1658,faith,0
1659,vehicles,0
1660,dr,0
1661,fine,0
1662,count,0
1663,review,0
1664,liberal,0
1665,safe,0
1666,dynasty,0
1667,combat,0
1668,oldest,0
1669,cycle,0
1670,seems,0
1671,begin,0
1672,testing,0
1673,architecture,0
1674,organized,1
1675,factor,0
1676,farm,0
1677,extensive,0
1678,railway,0
1679,sides,0
1680,physics,0
1681,shared,1
1682,houses,0
1683,instruments,0
1684,edward,0
1685,roughly,0
1686,zone,0
1687,fun,0
1688,card,0
1689,invasion,0
1690,syria,0
1691,images,0
1692,writers,0
1693,looked,1
1694,easy,0
1695,attempted,1
1696,census,0
1697,forward,0
1698,johnson,0
1699,tower,0
1700,painting,0
1701,closely,0
1702,belief,0
1703,asian,0
1704,virginia,0
1705,captured,1
1706,settlement,0
1707,questions,0
1708,combination,0
1709,providing,0
1710,recording,0
1711,significantly,0
1712,naval,0
1713,ultimately,0
1714,knew,1
1715,apart,0
1716,technical,0
1717,notably,0
1718,adam,0
1719,reform,0
1720,visited,1
1721,typical,0
1722,zealand,0
1723,otherwise,0
1724,studio,0
1725,el,0
1726,ranked,1
1727,capacity,0
1728,ask,0
1729,clean,0
1730,campus,0
1731,tools,0
1732,suffered,1
1733,atlantic,0
1734,ahead,0
1735,string,0
1736,heavily,0
1737,circle,0
1738,practices,0
1739,secondary,0
1740,farmers,0
1741,affected,1
1742,afghanistan,0
1743,rejected,1
1744,sunday,0
1745,literary,0
1746,tests,0
1747,magnetic,0
1748,etc,0
1749,actual,0
1750,broadcast,1
1751,quantum,0
1752,broken,0
1753,context,0
1754,teaching,0
1755,whereas,0
1756,mobile,0
1757,launch,0
1758,van,0
1759,describes,0
1760,programming,0
1761,academic,0
1762,external,0
1763,granted,1
1764,golden,0
1765,temple,0
1766,christ,0
1767,guard,0
1768,approved,1
1769,positions,0
1770,contract,0
1771,widespread,0
1772,route,0
1773,berlin,0
1774,describe,0
1775,wing,0
1776,sell,0
1777,changing,0
1778,traffic,0
1779,symbol,0
1780,oxygen,0
1781,ride,0
1782,causing,0
1783,density,0
1784,radiation,0
1785,determine,0
1786,slightly,0
1787,newspaper,0
1788,condition,0
1789,rice,0
1790,failure,0
1791,steel,0
1792,expensive,0
1793,nose,0
1794,communication,0
1795,joint,0
1796,twice,0
1797,reign,0
1798,audience,0
1799,cards,0
1800,setting,0
1801,courts,0
1802,achieved,1
1803,chain,0
1804,focused,1
1805,measures,0
1806,strength,0
1807,perform,0
1808,nfl,0
1809,opera,0
1810,improved,1
1811,decline,0
1812,split,1
1813,lee,0
1814,governments,0
1815,beach,0
1816,genetic,0
1817,chance,0
1818,phone,0
1819,cast,0
1820,juice,0
1821,seats,0
1822,fly,0
1823,theories,0
1824,affairs,0
1825,extremely,0
1826,francisco,0
1827,criticism,0
1828,dangerous,0
1829,populations,0
1830,master,0
1831,evolution,0
1832,supposed,1
1833,permanent,0
1834,teacher,0
1835,sugar,0
1836,shortly,0
1837,gdp,0
1838,greece,0
1839,web,0
1840,candidate,0
1841,advantage,0
1842,extra,0
1843,join,0
1844,path,0
1845,maximum,0
1846,fans,0
1847,funny,0
1848,birthday,0
1849,goods,0
1850,traditionally,0
1851,parks,0
1852,christianity,0
1853,gain,0
1854,un,0
1855,processes,0
1856,threat,0
1857,contained,1
1858,die,0
1859,territories,0
1860,championship,0
1861,producing,0
1862,laura,0
1863,operated,1
1864,trial,0
1865,rose,0
1866,stadium,0
1867,slow,0
1868,attended,1
1869,useful,0
1870,toys,0
1871,entirely,0
1872,explained,1
1873,connection,0
1874,iran,0
1875,popularity,0
1876,youth,0
1877,speak,0
1878,universities,0
1879,output,0
1880,skills,0
1881,components,0
1882,listed,1
1883,flying,0
1884,onto,0
1885,maintain,0
1886,reality,0
1887,turkey,0
1888,ray,0
1889,background,0
1890,chosen,0
1891,brothers,0
1892,gets,0
1893,christians,0
1894,formula,0
1895,agricultural,0
1896,taught,1
