,act_tag,speaker,pos,text
70,sd,B,"I/PRP ,/, I/PRP do/VBP n't/RB know/VB that/DT I/PRP ,/, uh/UH ,/, felt/VBD myself/PRP necessarily/RB encumbered/VBN with/IN the/DT necessity/NN to/TO have/VB heirs/NNS ./.","[ I, + I ] don't know that I, {F uh, } felt myself necessarily encumbered with the necessity to have heirs. /"
71,b,A,Uh-huh/UH ./.,Uh-huh. /
72,sd,B,"Uh/UH ,/, I/PRP do/VBP n't/RB have/VB boys/NNS ,/,","{F Uh, } I don't have boys, /"
73,sd,B,"that/WDT does/VBZ n't/RB ,/, did/VBD n't/RB bother/VB me/PRP ,/,","that [ doesn't, + didn't ] bother me, /"
74,sd,B,never/RB has/VBZ ./.,never has. /
75,sd,B,"Vision/NN more/RBR women/NNS deliberately/RB raising/VBG children/NNS either/CC in/IN surrogacy/NN or/CC ,/, or/CC as/IN a/DT professional/JJ nanny/NN ,/, nanny/NN as/IN you/PRP put/VBP it/PRP ,/, uh/UH ./.","Vision more women deliberately raising children either in surrogacy [ or, + or ] as a professional [ nanny, + nanny ] as you put it, {F uh. } /"
76,b,A,Yeah/UH ./.,Yeah. /
77,sv,B,"Maybe/RB we/PRP 'll/MD see/VB a/DT growth/NN in/IN that/DT where/WRB someone/NN makes/VBZ a/DT career/NN out/IN of/IN ,/, say/VB ,/, taking/VBG care/NN of/IN five/CD or/CC six/CD children/NNS as/IN opposed/VBN to/IN day/NN care/NN ./.","Maybe we'll see a growth in that where someone makes a career out of, say, taking care of five or six children as opposed to day care. /"
78,b,A,"Uh-huh/UH ,/,","Uh-huh, /"
79,b,A,uh-huh/UH ./.,uh-huh. /
80,sv,B,"It/PRP would/MD be/VB a/DT sort/NN of/IN day/NN care/NN ,/,","It would be a sort of day care, /"
81,sv,B,but/CC it/PRP would/MD be/VB more/JJR of/IN a/DT family/NN setting/NN ./.,{C but } it would be more of a family setting. /
82,b,A,Right/UH ./.,Right. /
83,sd,B,"Uh/UH ,/, I/PRP know/VBP that/IN there/EX are/VBP young/JJ people/NNS ,/, characterized/VBN ,/, I/PRP guess/VBP as/IN being/VBG half/DT my/PRP$ age/NN ,/, so/RB that/IN by/IN definition/NN that/WDT means/VBZ ,/,","{F Uh, } I know that there are young people, characterized, I guess as being half my age, so [ that + by definition that ] means,"
84,b,A,"Uh-huh/UH ,/,","Uh-huh, /"
85,b,A,uh-huh/UH ./.,uh-huh. /
86,+,B,"they/PRP 're/VBP young/JJ ./. Uh/UH ,/, that/IN ,/, in/IN my/PRP$ work/NN place/NN ,/, who/WP are/VBP both/DT of/IN them/PRP earning/VBG rather/RB decent/JJ professional/JJ salaries/NNS who/WP probably/RB would/MD consider/VB paying/VBG a/DT woman/NN ,/, uh/UH ,/, eight/CD or/CC nine/CD or/CC ten/CD thousand/CD dollars/NNS a/DT year/NN to/TO take/VB care/NN of/IN their/PRP$ child/NN ,/,","they're young. {F Uh, } [ that, + ] in my work place, who are both of them earning rather decent professional salaries who probably would consider paying a woman, {F uh, } eight or nine or ten thousand dollars a year to take care of their child, /"
87,qy^d,A,To/TO come/VB in/IN and/CC live/VB with/IN them/PRP ?/.,To come in and live with them? /
88,sd,B,I/PRP could/MD easily/RB envision/VB that/DT ./.,I could easily envision that. /
89,bf,B,Pardon/UH ?/.,Pardon? /
90,qy,A,To/TO come/VB in/IN and/CC live/VB with/IN them/PRP ?/.,To come in and live with them? /
91,sd,B,"Or/CC to/TO put/VB their/PRP$ child/NN into/IN a/DT s-/NN ,/, into/IN a/DT home/NN setting/NN ,/,","Or to put their child [ into a s-, + into a home setting, ]"
92,b,A,Uh-huh/UH ./.,Uh-huh. /
93,+,B,"where/WRB they/PRP would/MD ,/, you/PRP know/VBP ,/, like/IN they/PRP ,/, they/PRP would/MD get/VB ,/, leave/VB at/IN eight/CD in/IN the/DT morning/NN and/CC ,/, and/CC drop/VB a/DT two/CD year/NN old/NN off/RP in/IN a/DT home/NN where/WRB you/PRP knew/VBD there/EX were/VBD going/VBG to/TO be/VB four/CD other/JJ kids/NNS","where [ they would, + {D you know, } {D like } [ they, + they ] would ] [ get, + leave ] at eight in the morning [ and, + and ] drop a two year old off in a home where you knew there were going to be four other kids /"
94,sd,B,"and/CC ,/,","[ {C and, } +"
95,b,A,Yeah/UH ./.,Yeah. /
96,+,B,and/CC you/PRP were/VBD paying/VBG for/IN really/RB high/JJ quality/NN care/NN ./.,{C and } ] you were paying for really high quality care. /
97,b,A,Right/UH ./.,Right. /
98,sd,B,"Uh/UH ,/, I/PRP have/VBP acquaintances/NNS of/IN mine/NN where/WRB I/PRP know/VBP that/IN they/PRP are/VBP paying/VBG figures/NNS on/IN ,/, on/IN the/DT order/NN of/IN what/WP I/PRP quoted/VBD to/IN someone/NN ,/, because/IN that/DT 's/BES what/WP the/DT experience/NN they/PRP want/VBP","{F Uh, } I have acquaintances of mine where I know that they are paying figures [ on, + on ] the order of what I quoted to someone, because that's [ what + ] the experience they want /"
99,sd,B,"and/CC I/PRP would/MD imagine/VB if/IN there/EX are/VBP more/JJR of/IN people/NNS like/IN that/DT with/IN an/DT opportunity/NN that/IN ,/, that/DT 's/BES a/DT possibility/NN of/IN a/DT change/NN --/:","{C and } I would imagine if there are more of people like that with an opportunity [ that, + that's ] a possibility of a change --"
100,b,A,Uh-huh/UH ./.,Uh-huh. /
101,+,B,--/: that/IN we/PRP could/MD see/VB in/IN the/DT next/JJ few/JJ years/NNS ./.,-- that we could see in the next few years. /
102,bf,A,"And/CC then/RB you/PRP might/MD have/VB more/JJR control/NN over/IN ,/, uh/UH ,/, the/DT ,/, the/DT morals/NNS that/WDT they/PRP would/MD be/VB taught/VBN rather/IN than/IN in/IN like/IN a/DT classroom/NN or/CC a/DT day/NN care/NN center/NN ./.","{C And then } you might have more control over, {F uh, } [ the, + the ] morals that they would be taught rather than in {D like } a classroom or a day care center. /"
103,b,B,"Uh-huh/UH ,/,","Uh-huh, /"
104,b,B,uh-huh/UH ./.,uh-huh. /
105,sd,A,I/PRP know/VBP the/DT day/NN care/NN centers/NNS are/VBP not/RB cheap/JJ either/RB ./.,I know the day care centers are not cheap either. /
106,%,A,"You/PRP know/VBP they/PRP 're/VBP ,/,","{D You know } they're, -/"
107,sd,B,I/PRP have/VBP n't/RB ever/RB really/RB looked/VBN at/IN them/PRP ./.,I haven't ever really looked at them. /
108,qy,B,"Are/VBP you/PRP aware/JJ at/IN all/DT ,/,","Are you aware at all,"
109,nn,A,"Uh/UH ,/, well/UH ,/, no/UH ,/,","{F Uh, } {D well, } no, /"
110,+,B,"of/IN ,/, of/IN what/WP they/PRP would/MD ,/, what/WP they/PRP cost/VBP ?/.","[ of, + of ] [ what they would, + what they cost? ] /"
111,sd,A,"I/PRP just/RB know/VBP ,/, I/PRP know/VBP several/JJ single/JJ mothers/NNS who/WP absolutely/RB ca/MD n't/RB afford/VB it/PRP ./.","[ I just know, + I know ] several single mothers who absolutely can't afford it. /"
112,sd,A,"They/PRP have/VBP to/TO go/VB with/IN the/DT ,/, a/DT single/JJ ,/, uh/UH ,/, wh-/XX ,/, I/PRP mean/VBP a/DT baby-sitter/NN more/JJR ,/, more/RBR or/CC less/RBR ./.","They have to go with [ [ the, + a single, ] + {F uh, } [ wh-, + ] {E I mean } a ] baby-sitter [ more, + more ] or less. /"
113,b,B,Uh-huh/UH ./.,Uh-huh. /
114,sd,A,"But/CC I/PRP think/VBP it/PRP 's/BES like/IN ,/, about/RB sixty/CD dollars/NNS a/DT week/NN for/IN two/CD children/NNS --/:","{C But } I think it's {D like, } about sixty dollars a week for two children --"
115,b,B,Uh-huh/UH ./.,Uh-huh. /
116,+,A,--/: if/IN I/PRP 'm/VBP not/RB mistaken/JJ ./.,-- if I'm not mistaken. /
117,sd,A,"And/CC you/PRP have/VBP to/TO pay/VB that/DT whether/IN you/PRP 're/VBP on/IN vacation/NN ,/, you/PRP know/VBP ,/, and/CC taking/VBG care/NN of/IN the/DT children/NNS or/CC if/IN the/DT children/NNS are/VBP at/IN home/NN ,/, at/IN home/NN ,/,","{C And } you have to pay that whether you're on vacation, {D you know, } and taking care of the children or if the children are [ at home, + at home, ]"
118,b,B,Uh-huh/UH ./.,Uh-huh. /
119,+,A,sick/JJ ./.,sick. /
120,sd,A,"I/PRP mean/VBP ,/, that/DT is/VBZ ,/, you/PRP know/VBP ,/, just/RB a/DT ,/, a/DT rate/NN that/WDT you/PRP have/VBP to/TO pay/VB","{E I mean, } that is, {D you know, } just [ a, + a ] rate that you have to pay /"
121,%,A,"and/CC ,/, uh/UH ,/,","{C and, } {F uh, } -/"
122,qw,B,"What/WP ,/, what/WP do/VBP you/PRP envision/VB for/IN the/DT next/JJ twenty/CD years/NNS as/RB far/RB as/IN women/NNS in/IN American/JJ society/NN ?/.","[ What, + what ] do you envision for the next twenty years as far as women in American society? /"
123,sd,A,"Uh/UH ,/, I/PRP think/VBP ,/, I/PRP really/RB do/VBP n't/RB have/VB a/DT vision/NN ./.","{F Uh, } <<pause>> I think, I really don't have a vision <laughter>. /"
124,sv,B,"That/DT 's/BES okay/JJ ,/, too/RB ./.","That's okay, too. /"
125,b,A,"Yeah/UH ,/,","Yeah, /"
126,sv,A,"I/PRP ,/, I/PRP ,/, I/PRP think/VBP that/IN they/PRP will/MD be/VB more/JJR in/IN the/DT work/NN place/NN because/IN ,/, uh/UH ,/, the/DT door/NN 's/BES open/JJ ./.","[ [ I, + I, ] + I ] think that they will be more in the work place because, {F uh, } the door's open. /"
127,b,B,Uh-huh/UH ./.,Uh-huh. /
128,sv,A,"And/CC ,/, uh/UH ,/, it/PRP 's/BES just/RB human/JJ nature/NN to/TO walk/VB through/IN an/DT open/VB door/NN ./.","{C And, } {F uh, } it's just human nature to walk through an open door. /"
129,sd,A,"So/RB ,/, and/CC I/PRP would/MD be/VB glad/JJ to/TO see/VB that/DT ./.","[ {C So, } + {C and } ] I would be glad to see that. /"
130,sd,A,"I/PRP hope/VBP I/PRP do/VBP n't/RB see/VB a/DT lot/NN more/RBR single/JJ moms/NNS ,/,","I hope I don't see a lot more single moms, /"
131,sd,A,"but/CC ,/,","{C but, }"
132,%,B,MUMBLEx/XX ./.,(( )) .
133,+,A,"i-/XX ,/, it/PRP seems/VBZ in/IN my/PRP$ experience/NN I/PRP 'm/VBP running/VBG across/IN single/JJ women/NNS all/PDT the/DT time/NN ./.","[ i-, + it ] seems in my experience I'm running across single women all the time. /"
134,sd,B,"I/PRP 'm/VBP ,/, I/PRP 'm/VBP noticing/VBG that/DT ,/, too/RB ,/,","[ I'm, + I'm ] noticing that, too, /"
135,sd,B,"and/CC ,/, and/CC I/PRP notice/VBP the/DT ,/, the/DT ,/, a/DT terming/VBG ex-/XX ,/, em/VBG ,/, emerging/VBG called/VBN solo/NN parents/NNS ,/,","[ {C and, } + {C and } ] I notice [ [ the, + the, ] + a ] terming [ [ ex-, + em-, ] + emerging ] called solo parents,"
136,b,A,Yeah/UH ./.,Yeah. /
137,+,B,"that/WDT I/PRP 'm/VBP very/RB aware/JJ of/IN the/DT number/NN of/IN solo/NN mothers/NNS that/WDT ,/, that/WDT I/PRP encounter/VBP in/IN the/DT work/NN place/NN ,/,","that I'm very aware of the number of solo mothers [ that, + that ] I encounter in the work place, /"
138,sv,B,"and/CC that/WDT ,/, that/WDT is/VBZ a/DT little/RB troublesome/JJ ./.","{C and } [ that, + that ] is a little troublesome."
139,b,A,"Yeah/UH ,/,","Yeah, /"
140,b,A,yeah/UH ./.,yeah. /
141,+,B,"Uh/UH ,/, because/IN the/DT pressures/NNS on/IN them/PRP are/VBP ,/, are/VBP ,/,","{F Uh, } because the pressures on them [ are, + are, ]"
142,sv,A,It/PRP 's/BES awful/JJ ./.,It's awful. /
143,+,B,"rather/RB ,/, rather/RB formidable/JJ ./.","[ rather, + rather ] formidable. /"
144,b,A,Yeah/UH ./.,Yeah <<faint>>. /
145,sd,B,"Uh/UH ,/, and/CC maybe/RB that/DT 's/BES a/DT change/NN we/PRP 'll/MD see/VB ./.","{F Uh, } {C and } maybe that's a change we'll see. /"
146,sd,B,"Maybe/RB ,/, uh/UH ,/, the/DT possibility/NN of/IN ,/, of/IN women/NNS ,/, uh/UH ,/, who/WP deliberately/RB say/VBP ,/, no/UH ,/,","Maybe, {F uh, } the possibility [ of, + of ] women, {F uh, } who deliberately say, no, /"
147,^q,B,"we/PRP 'll/MD let/VB the/DT man/NN will/MD take/VB care/NN of/IN the/DT children/NNS perhaps/RB ,/,","we'll let the man [ will + take ] care of the children perhaps,"
148,b,A,Uh-huh/UH ./.,Uh-huh. /
149,+,B,in/IN the/DT event/NN of/IN a/DT separation/NN or/CC whatever/WDT ./.,in the event of a separation or whatever. /
150,b,A,Right/UH ./.,Right. /
151,%,B,"So/UH ,/,","{D So, } -/"
152,sd,A,"Well/UH ,/, I/PRP think/VBP we/PRP 've/VBP done/VBN it/PRP ./.","{D Well, } I think we've done it <laughter>. /"
153,b^m,B,"Well/UH ,/, I/PRP think/VBP we/PRP 're/VBP about/RB done/VBN ./.","{D Well, } I think we're about done. /"
154,b,B,Okay/UH ./.,Okay. /
155,ft,A,Thank/VB you/PRP very/RB much/RB ./.,Thank you very much. /
156,fc,B,"Uh/UH ,/, good-bye/UH ./.","{F Uh, } good-bye. /"
157,fc,A,It/PRP 's/HVS been/VBN interesting/JJ ./.,It's been interesting. /
158,fc,B,You/PRP take/VBP care/NN ./.,You take care. /
159,fc,A,Okay/UH ./.,Okay. /
160,fc,B,Bye/UH ./.,Bye. /
161,fc,A,Bye/UH ./.,Bye. /
