,Word,Tag
1313,augmented,
1314,by,
1315,creating,
1316,the,O
1317,lateral,
1318,window,
1319,of,
1320,the,O
1321,ilioinguinal,
1322,approach,
1323,.,
1324,Bilaterally,
1325,,
1326,therOe,
1327,were,
1328,multiple,
1329,devitalised,
1330,,
1331,free-ﬂoating,
1332,,
1333,articular,
1334,fragments,
1335,medial,
1336,to,
1337,the,O
1338,quadrilateral,
1339,surface,
1340,that,
1341,were,
1342,deemed,
1343,no-reconstructible,
1344,.,
1345,Two,
1346,dedicated,
1347,suprapectineal,
1348,plate,
1349,were,
1350,applied,
1351,to,
1352,reconstruct,
1353,anterior,
1354,column,
1355,and,
1356,quadrilateral,
1357,lamina,
1358,of,
1359,both,
1360,hips,
1361,.,
1362,The,O
1363,post-operative,
1364,period,
1365,was,
1366,uneventful,
1367,,
1368,hemoglobin,O
1369,never,
1370,fell,
1371,below,
1372,10,
1373,mg/dl,
1374,and,
1375,intraoperatively,
1376,the,O
1377,blood,
1378,loss,
1379,was,
1380,less,
1381,than,
1382,400,
1383,cl,
1384,and,
1385,no,
1386,blood,
1387,transfusion,
1388,was,
1389,necessary,
1390,.,
1391,She,
1392,was,
1393,mobilized,
1394,on,
1395,crutches,
1396,with,O
1397,touch,
1398,weight-bearing,
1399,for,
1400,six,
1401,weeks,
1402,and,
1403,partial,
1404,weight-bearing,
1405,for,
1406,anotherO,
1407,six,
1408,weeks,
1409,.,
1410,After,
1411,three,
1412,weeks,
1413,,
1414,the,O
1415,patient,
1416,was,
1417,discharged,
1418,to,
1419,home,
1420,therOapy,
1421,with,O
1422,bisphosphonates,
1423,and,
1424,referred,
1425,to,
1426,a,
1427,specialist,
1428,center,
1429,for,
1430,OI,
1431,disease,
1432,.,
1433,We,
1434,followed,
1435,the,O
1436,patient,
1437,weekly,
1438,for,
1439,one,
1440,month,
1441,,
1442,thenO,
1443,monthly,
1444,until,
1445,the,O
1446,sixth,
1447,month,
1448,,
1449,with,O
1450,radiographic,
1451,control,
1452,at,
1453,30,
1454,,
1455,60,
1456,and,
1457,120,
1458,days,
1459,.,
1460,The,O
1461,hips,
1462,function,
1463,was,
1464,evaluated,
1465,with,O
1466,Harris,
1467,Hip,
1468,Score,
1469,(,
1470,HHS,
1471,),
1472,with,O
1473,result,
1474,of,
1475,45/100,
1476,at,
1477,the,O
1478,ﬁnal,
1479,follow-up,
1480,.,
1481,The,O
1482,Numeric,
1483,Pain,O
1484,Rating,
1485,Scale,
1486,(,
1487,NPRS,
1488,),
1489,,
1490,a,
1491,segmented,
1492,numeric,
1493,version,
1494,of,
1495,the,O
1496,visual,
1497,analog,
1498,scale,
1499,(,
1500,VAS,
1501,),
1502,,
1503,used,
1504,to,
1505,assess,
1506,pain,O
1507,intensity,
1508,,
1509,reported,
1510,a,
1511,score,
1512,of,
1513,5/10,
1514,(,
1515,moderate,
1516,pain,O
1517,),
1518,at,
1519,the,O
1520,ﬁnal,
1521,follow,
1522,up,
1523,.,
1524,The,O
1525,last,
1526,radiographic,
1527,examination,
1528,showed,
1529,an,
1530,adequate,
1531,reduction,
1532,of,
1533,the,O
1534,fracture,
1535,and,
1536,a,
1537,satisfactory,
1538,wall,
1539,and,
1540,bone,
1541,stock,
1542,for,
1543,a,
1544,subsequent,
1545,prosthesOis,
1546,:,
1547,the,O
1548,patient,
1549,developed,
1550,a,
1551,bilateral,
1552,post-traumatic,
1553,arthrosis,
1554,with,O
1555,heterotopic,
1556,calciﬁcations,
1557,typical,
1558,of,
1559,the,O
1560,underlying,
1561,disease,
1562,.,
1563,A,
1564,16-year-old,
1565,male,
1566,unrestrained,
1567,backseat,
1568,passenger,
1569,was,
1570,brought,
1571,to,
1572,our,
1573,trauma,
1574,bay,
1575,after,
1576,a,
1577,high-speed,
1578,,
1579,motor,
1580,vehicle,
1581,collision,
1582,with,O
1583,a,
1584,rollover,
1585,.,
1586,He,
1587,suffered,
1588,multiple,
1589,injuries,
1590,,
1591,including,
1592,traumatic,
1593,brain,O
1594,injury,
1595,,
1596,complex,
1597,pelvic,
1598,fractures,
1599,,
1600,spleen,
1601,,
1602,liver,
1603,,
1604,and,
1605,renal,
1606,injuries,
1607,,
1608,and,
1609,left,
1610,diaphragmatic,
1611,rupture,
1612,.,
1613,His,
1614,initial,
1615,chest,
1616,X-ray,
1617,(,
1618,CXR,
1619,),
1620,revealed,
1621,his,
1622,stomach,
1623,herniating,
1624,inside,
1625,his,
1626,left,
1627,chest,
1628,.,
1629,He,
1630,underwent,
1631,immediate,
1632,laparotomy,
1633,and,
1634,repair,
1635,of,
1636,his,
1637,left,
1638,diaphragm,
1639,.,
1640,Intraoperatively,
1641,,
1642,the,O
1643,surgeon,
1644,examined,
1645,the,O
1646,right,
1647,diaphragm,
1648,by,
1649,palpation,
1650,and,
1651,noted,
1652,no,
1653,abnormality,
1654,.,
1655,Postoperatively,
1656,,
1657,the,O
1658,patient,
1659,had,
1660,a,
1661,prolonged,
1662,ventilator-dependence,
1663,.,
1664,His,
1665,daily,
1666,CXR,
1667,showed,
1668,right-sided,
1669,diaphragmatic,
1670,abnormality,
1671,but,
1672,was,
1673,nonspeciﬁc,
1674,.,
1675,We,
1676,performed,
1677,a,
1678,dynamic,
1679,ultrasound,
1680,to,
1681,evaluate,
1682,the,O
1683,right,
1684,diaphragm,
1685,,
1686,the,O
1687,result,
1688,suggested,
1689,that,
1690,the,O
1691,right,
1692,diaphragm,
1693,was,
1694,paralysed,
1695,,
1696,probably,
1697,secondary,
1698,to,
1699,right,
1700,phrenic,
1701,nerve,
1702,injury,
1703,.,
1704,On,
1705,3,
1706,occasions,
1707,(,
1708,post-injury,
1709,day,
1710,0,
1711,,
1712,4,
1713,,
1714,and,
1715,15,
1716,),
1717,,
1718,the,O
1719,patient,
1720,underwent,
1721,CT,
1722,of,
1723,the,O
1724,chest,
1725,,
1726,none,
1727,of,
1728,those,
1729,3,
1730,scans,
1731,reported,
1732,right-sided,
1733,diaphragmatic,
1734,injury,
1735,,
1736,despite,
1737,the,O
1738,presence,
1739,of,
1740,“,
1741,hepatothorax,
1742,”,
1743,,
1744,as,
1745,well,
1746,as,
1747,“,
1748,hump,
1749,”,
1750,,
1751,“,
1752,band,
1753,”,
1754,,
1755,and,
1756,“,
1757,collar,
1758,”,
1759,signs,
1760,.,
1761,Eventually,
1762,,
1763,on,
1764,post-injury,
1765,day,
1766,17,
1767,,
1768,the,O
1769,patient,
1770,underwent,
1771,a,
1772,diagnostic,
1773,laparoscopy,
1774,,
1775,we,
1776,found,
1777,the,O
1778,liver,
1779,herniating,
1780,into,
1781,the,O
1782,right,
1783,chest,
1784,.,
1785,28-year,
1786,lady,
1787,was,
1788,brought,
1789,to,
1790,the,O
1791,ED,
1792,with,O
1793,an,
1794,alleged,
1795,history,
1796,of,
1797,accidental,
1798,strangulation,
1799,by,
1800,cloth,
1801,while,
1802,working,
1803,in,O
1804,ﬁelds,
1805,.,
1806,The,O
1807,patient,
1808,presented,
1809,to,
1810,us,
1811,after,
1812,8,
1813,h,
1814,of,
1815,trauma,
1816,.,
1817,Airway,
1818,was,
1819,patent,
1820,and,
1821,the,O
1822,cervical,
1823,spine,
1824,motion,
1825,was,
1826,restricted,
1827,.,
1828,A,
1829,patterned,
1830,bruise,
1831,of,
1832,strangulation,
1833,was,
1834,present,
1835,in,O
1836,the,O
1837,middle,
1838,of,
1839,the,O
1840,neck,
1841,.,
1842,Larynx,
1843,and,
1844,cricotracheal,
1845,junction,
1846,were,
1847,normal,
1848,to,
1849,palpation,
1850,.,
1851,Breathing,
1852,and,
1853,circulation,
1854,were,
1855,normal,
1856,and,
1857,therOe,
1858,was,
1859,no,
1860,neurological,
1861,disability,
1862,.,
1863,Mild,
1864,surgical,
1865,emphysema,
1866,was,
1867,present,
1868,in,O
1869,the,O
1870,face,
1871,and,
1872,neck,
1873,.,
1874,CECT,
1875,neck,
1876,revealed,
1877,tracheal,
1878,transection,
1879,more,
1880,than,
1881,50%,
1882,of,
1883,the,O
1884,circumference,
1885,and,
1886,an,
1887,abnormally,
1888,dilated,
1889,segment,
1890,of,
1891,the,O
1892,esophagus,
1893,.,
1894,Contrast,
1895,esophagogram,
1896,wasn't,
1897,performed,
1898,as,
1899,the,O
1900,patient,
1901,had,
1902,an,
1903,upfront,
1904,indication,
1905,of,
1906,exploration,
1907,.,
1908,CT,
1909,Angio,
1910,revealed,
1911,complete,
1912,luminal,
1913,occlusion,
1914,of,
1915,left,
1916,Common,
1917,Carotid,
1918,Artery,
1919,due,
1920,to,
1921,thrombosis,
1922,3,
1923,cm,
1924,below,
1925,bifurcation,
1926,,
1927,however,
1928,,
1929,the,O
1930,contrast,
1931,was,
1932,present,
1933,in,O
1934,the,O
1935,internal,
1936,carotid,
1937,artery,
1938,presumably,
1939,entering,
1940,retrogradely,
1941,from,
1942,external,
1943,carotid,
1944,artery,
1945,.,
1946,Interventional,
1947,radiology,
1948,expertise,
1949,for,
1950,CCA,
1951,stenting,
1952,wasn't,
1953,available,
1954,.,
1955,The,O
1956,patient,
1957,was,
1958,taken,
1959,up,
1960,for,
1961,emergent,
1962,exploration,
1963,where,
1964,complete,
1965,transection,
1966,of,
1967,the,O
1968,trachea,
1969,was,
1970,repaired,
1971,along,
1972,with,O
1973,the,O
1974,esophagus,
1975,.,
1976,CCA,
1977,exploration,
1978,revealed,
1979,a,
1980,contused,
1981,artery,
1982,not,
1983,amenable,
1984,to,
1985,resection,
1986,and,
1987,end,
1988,to,
1989,end,
1990,repair,
1991,.,
1992,CCA,
1993,size,
1994,precluded,
1995,the,O
1996,use,
1997,of,
1998,saphenous,
1999,graft,
2000,due,
2001,to,
2002,anticipated,
2003,luminal,
2004,discrepancy,
2005,and,
2006,subsequent,
2007,turbulent,
2008,ﬂow,
2009,.,
2010,PTFE,
2011,and,
2012,Dacron,
2013,couldn't,
2014,be,
2015,arranged,
2016,in,O
2017,the,O
2018,middle,
2019,of,
2020,the,O
2021,night,
2022,.,
2023,The,O
2024,operating,
2025,surgeon,
2026,decided,
2027,to,
2028,manage,
2029,CCA,
2030,contusion,
2031,and,
2032,thrombosis,
2033,non-operatively,
2034,as,
2035,the,O
2036,patient,
2037,presented,
2038,after,
2039,8,
2040,h,
2041,and,
2042,majority,
2043,strokes,
2044,in,O
2045,Grade,
2046,4,
2047,injury,
2048,would,
2049,have,
2050,manifested,
2051,in,O
2052,this,
2053,period,
2054,.,
2055,CCA,
2056,ligation,
2057,wasn't,
2058,done,
2059,in,O
2060,the,O
2061,apprehension,
2062,of,
2063,antegrade,
2064,thrombus,
2065,propagation,
2066,post,
2067,ligation,
2068,.,
2069,Unfortunately,
2070,,
2071,the,O
2072,patient,
2073,developed,
2074,right,
2075,hemiparesis,
2076,in,O
2077,the,O
2078,immediate,
2079,post-operative,
2080,period,
2081,.,
2082,MR,
2083,brain,O
2084,with,O
2085,angiogram,
2086,revealed,
2087,thrombus,
2088,propagation,
2089,involving,
2090,ICA,
2091,and,
2092,Left,
2093,MCA,
2094,and,
2095,conﬁrmed,
2096,stroke,
2097,.,
2098,The,O
2099,patient,
2100,was,
2101,started,
2102,on,
