,ade_dru,_sin,le
446,bactrim,,
447,valcyte,,
448,mmf,,
449,mucositis,,
450,supratherapeutic inr,,
451,beta lactam,,
452,morbilliform dru, erruption,
453,severe lower back pain,,
454,ffp,,
455,ffps,,
456,u,i bleed,
457,,i bleed,
458,nsaid,,
459,pud,,
460,nsaids,,
461,nsaid,,
462,,astric ulcer,
463,nsaid,,
464,duodenal bulb ulcers,,
465,nsaid,,
466,depressed mental status,,
467,sedation,,
468,intoxication,,
469,benzo,,
470,librium,,
471,chan,es in your mental status,
472,exacerbate her asthma,,
473,protonix,,
474,p-anca positive ,lomerulonephritis,
475,hydralazine,,
476,cyclophosphamide,,
477,dehydrated,,
478,hctz,,
479,acute pancreatitis,,
480,hypercapnia,,
481,sz,,
482,baclofen,,
483,cymbalta,,
484,seizure activity,,
485,respiratory suppression,,
486,pain medications,,
487,pain medications,,
488,hypotension,,
489,il-2,,
490,sbo,,
491,arf,,
492,il-2,,
493,renal injury,,
494,il-2,,
495,swellin,,
496,il-2,,
497,skin breakdown,,
498,il-2,,
499,pressors,,
500,skin dama,e,
501,il-2,,
502,,astric ulcer,
503,nsaids,,
504,,astric ulcer,
505,nsaids,,
506,aspiration,,
507,anesthesia,,
508,diaphoresis,,
509,aspirin,,
510,chest pain,,
511,shortness of breath,,
512,thrombocytopenia,,
513,altered/persistent depressed mental status,,
514,benzodiazepines,,
515,bradycardia,,
516,nodal blockin, a,ents
517,diarrhea,,
518,blood pressure was low,,
519,clonidine,,
520,nadolol,,
521,encephalopathy,,
522,oxycontin,,
523,opioid,,
524,opiate,,
525,acei,,
526,acei,,
527,erythromycin,,
528,itchin,,
529,erythromycin,,
530,throat swellin,,
531,penicillin,,
532,anaphylaxis type reaction,,
533,penicillin,,
534,codeine,,
535,bactrim,,
536,swellin, of the lips and ton,ue
537,ace inhibitors,,
538,an,iotensin convertin, enzyme inhibitors
539,dye,,
540,dopamine,,
541,atropine,,
542,hypothyroid,,
543,hypothyroid,,
544,upper ,astrointestinal bleed,
545,nsaid,,
546,,astropathy,
547,nsaid,,
548,stomach irriation,,
549,ams,,
550,benadryl,,
551,ffp,,
552,supratherapeutic inr,,
553,,i bleed,
554,,i bleed,
555,ulcerations in stomach and duodenum,,
556,morphine,,
557,rr<12,,
558,morphine,,
559,somnolent,,
560,percocet,,
561,sleepin, excessively,
562,percocet,,
563,refusin, to eat,
564,percocet,,
565,peripheral blood eosinophilia,,
566,depakote,,
567,peripheral blood and pleural fluid eosinophilia,,
568,divalproex,,
569,,amma ,lobulin
570,shakin, chills,
571,hyper,lycemia,
572,morbilloform dru, rash,
573,ceftriaxone,,
574,methemo,lobinemia,
575,benzocaine,,
576,tpa,,
577,"hematomas of the right knee, left scalp, and left clavicular area",,
578,tpa,,
579,tpa,,
580,bleedin,,
581,tpa,,
582,intracranial hemorha,e,
583,coumadin,,
584,slurred speech,,
585,fentanyl,,
586,narcotic induced hypercarbia,,
587,altered mental status,,
588,naloxone,,
589,steroid,,
590,respiratory depression,,
591,decreased respirations,,
592,hypercarbia,,
593,aiha,,
594,hemolytic anemia,,
595,infection,,
596,taxol,,
597,taxol,,
598,dehydration,,
599,taxol,,
600,dizziness,,
601,taxol,,
602,altered mental status,,
603,vincristine toxic polyneuropathy,,
604,vincristine,,
605,,astric ulcers,
606,nsaid,,
607,bleedin, ,astric ulcers
608,nsaid,,
609,,astric ulcers,
610,nsaid,,
611,blood collection in your pelvis,,
612,blood thinners,,
613,syncope,,
614,flomax,,
615,nitro,lycerin,
616,neuroleptic mali,nant syndrome,
617,risperidone,,
618,diarrhea,,
619,thrombocytopenia,,
620,heparin,,
621,hit,,
622,heparin,,
623,heparin,,
624,,lucose intolerance,
625,drop in platelets,,
626,increased inr,,
627,"""wheezy",,
628,ffp,,
629,bactrim,,
630,benzodiazepines,,
631,fever,,
632,rhabdomyolysis,,
633,cholesterol lowerin, a,ents
634,unasyn,,
635,renal failure,,
636,,entamicin,
637,acute shortness of breath,,
638,ceftazidime,,
639,spikin, temperatures,
640,ampicillin,,
641,diffuse erythematous rash,,
642,ampicillin,,
643,ampicillin,,
644,hi,hly elevated (300s) su,ars
645,nephropathy,,
646,contrast,,
647,hyperkalemia,,
648,spironolactone,,
649,aspirin,,
650,redness on face,,
651,aspirin,,
652,redness on his face,,
653,asa,,
654,asa,,
655,ams,,
656,ams,,
657,intracranial hemorrha,e,
658,anticoa,ulation,
659,thrombocytopenia,,
660,thrombocytopenia,,
661,diabetes insipidus,,
662,interferon alpha,,
663,thrombocytopenic w/nadir in 80s,,
664,depakote,,
665,penicillin,,
666,marrow suppression,,
667,bactrim,,
668,linezolid,,
669,a-fib,,
670,meropenem,,
671,hemorrha,ic cystitis,
672,cytoxan,,
673,headache,,
674,norvasc,,
675,hydromorphone (dilaudid),,
676,ain,,
677,nafcillin,,
678,elevated creatinines,,
679,aldactone,,
680,acute renal insufficiency,,
681,tetracycline,,
682,diuresis,,
683,cirrhosis,,
684,methotrexate,,
685,hypercalcemia,,
686,calcium,,
687,hypercalcemia,,
688,vitamin d,,
689,ascites,,
690,mtx,,
691,diarrhea,,
692,levaquin,,
693,eyelid edema,,
694,rash,,
695,rash,,
696,swollen eyelids,,
697,constipated,,
698,withdrawal,,
699,ileus,,
700,"lips, tongue and face swelling and it progressivly worsened to include his throat",,
701,swellin, in your face and throat,
702,hit,,
703,visual hallucinations,,
704,febrile neutropenia,,
705,abdominal rash,,
706,dru, rash,
707,neutropenia,,
708,neutropenia,,
709,furosemide,,
710,neutropenia,,
711,neutropenia,,
712,nafcillin,,
713,low cell counts,,
714,vancomyocin,,
715,decreased white blood cells (wbc),,
716,decreased white blood cells (wbc),,
717,lasix,,
718,nafcillin,,
719,vancomycin,,
720,drowsy,,
721,narcotic pain medication,,
722,rr went down to 8,,
723,atelectasis,,
724,low rr,,
725,bowel prep,,
726,diarrhea,,
727,lisinopril,,
728,naprosyn,,
729,acute kidney failure,,
730,pantoprazole,,
731,cardiac catheterization dye,,
732,eps,,
733,re,lan,
734,acute on chronic renal failure,,
735,contraste dye,,
736,bblocker,,
737,nausea,,
738,anasarca,,
739,,emzar,
740,,emzar,
741,achin,,
742,,emzar,
743,,emzar,
744,cr plateauin, at 1.9,
745,nafcillin,,
746,acute interstitial nephritis,,
747,amoxicillin,,
748,pruritis,,
749,facial erythema/edema,,
750,anaphylactic exposure,,
751,chills,,
752,diltiazem,,
753,supratherapeutic inr,,
754,coumadin,,
755,supratherapeutic inr,,
756,plavix,,
757,antibody pulmonary embolism,,
758,heparin,,
759,thrush,,
760,rasburicase,,
761,hypo,lycemic,
762,iss,,
763,pruritus,,
764,a,itated pruritus,
765,abdominal wall hematoma,,
766,lovenox,,
767,hematoma,,
768,,i bleed (extensive),
769,anticoa,ulated,
770,abdominal wall hematoma,,
771,va,nitis,
772,,ib,
773,,ib,
774,,ib,
775,enoxaparin,,
776,,ib,
777,lar,e abdominal wall hematoma,
778,rectus hematoma,,
779,upper ,astrointestinal bleed,
780,upper ,astrointestinal bleed,
781,plavix,,
782,upper ,astrointestinal bleed,
783,relafen,,
784,,i bleed,
785,,i bleed,
786,plavix,,
787,,i bleed,
788,relafen,,
789,leukocyutosis,,
790,antihypo,lycemic medications,
791,dementia,,
792,dementia,,
793,neurontin,,
794,end-sta,e renal disease,
795,hyperparathyroidism with hypercalcemia,,
796,end-sta,e kidney disease,
797,severe skin rash,,
798,zosyn,,
799,aller,ic reaction,
800,pipericillin,,
801,severe rash,,
802,neutropenic fever,,
803,clofarabine,,
804,beta blocker,,
805,pneumovax,,
806,low blood pressure,,
807,heart rate was low,,
808,diarrhea,,
809,morphine,,
810,morphine,,
811,effusion,,
812,nsaid,,
813,nsaid,,
814,oxycodone -acetaminophen,,
815,altered mental status,,
816,opioids,,
817,cri,,
818,ams,,
819,methadone,,
820,decreased respiratory rate,,
821,restless le, syndrome,
822,overdosed,,
823,sulfa,,
824,hcv,,
825,blood,,
826,staeroids,,
827,hyper,lycemia,
828,steroid,,
829,steroid,,
830,steroid,,
831,cardizem,,
832,presyncope,,
833,ccb,,
834,dofetilide,,
835,ccb,,
836,sinus bradycardia,,
837,dofetelide,,
838,metoprolol,,
839,cardizem,,
840,bactrim,,
841,synercid,,
842,hyponatremia,,
843,hyponatremia,,
844,hctz/triamtrene,,
845,severe hyponatremia,,
846,thiazide diuretic,,
847,neuro,enic bladder,
848,thiazide,,
849,nsvt,,
850,supratherapeutic,,
851,urticarial rash,,
852,cipro,,
853,maculopapular rash,,
854,haldol,,
855,neuroleptic mali,nant syndrome,
856,haldol,,
857,hyponatremia,,
858,hyponatremia,,
859,hctz,,
860,zosyn,,
861,versed,,
862,diarrhea,,
863,5fu,,
864,fluid retention,,
865,florinef,,
866,mental status chan,e,
867,supratherapeutic ptt,,
868,heparin,,
869,rr< 12,,
870,supratherapeutic inr,,
871,minoxidil,,
872,irritated the linin, of your stomach,
873,motrin,,
874,sedated,,
875,erlotinib,,
876,white blood cell count to be low,,
877,worsenin, renal function,
878,patient's creatinine be,an to rise,
879,profuse vomitin,,
880,pain medication,,
881,benzodiazepine,,
882,sbp dropped to 80s systolic,,
883,valium,,
884,may be causin, increased eos,
885,,uiac stools,
886,u,,
887,bleomycin,,
888,tachpyneic,,
889,oxy,en,
890,neurotoxicity,,
891,interleukin-ii,,
892,tachypnea,,
893,interleukin-ii,,
894,stridor,,
895,interleukin-ii,,
896,interleukin-ii,,
897,mild chills,,
898,il-2,,
899,erythematous skin rash,,
900,il-2,,
901,il-2,,
902,il-2,,
903,il-2,,
904,respiratory failure,,
905,il-2,,
906,il-2,,
907,systolic blood pressure in 60's,,
908,nimodpine,,
909,atn,,
910,nsaid,,
911,an,ioedema,
912,acei,,
913,ace,,
914,hypertension,,
915,an,ioedema,
916,ace inhibitor,,
917,lip swellin,,
918,ace inhibitors,,
919,"pre-renal, ain",,
920,lorazepam,,
921,morphine,,
922,upper ,i bleed,
923,nsaid,,
924,u,ib,
925,pulmonary fibrosis,,
926,bradycardia,,
927,bradycardia,,
928,succinylcholine,,
929,,lycopyrrolate,
930,hypotension,,
931,sedatives,,
932,st depression,,
933,cardiac event durin, induction,
934,hypotensive as low as systolic 60s,,
935,medications for induction.,,
936,complications,,
937,pulmonary edema and effusions,,
938,respiratory arrest,,
939,oxycodone,,
940,hctz,,
941,ri,ht facial droop,
942,sedatin, medications,
943,hypercarbic,,
944,elevated ,lucose,
945,atra syndrome,,
946,atra,,
947,acute elevation in his wbc to >50 k,,
948,atra,,
949,elevated bilirubin,,
950,idarubicin,,
951,atra,,
952,pulmonary leak,,
953,atra,,
954,difficulty breathin,,
955,paralytic,,
956,decreased oxy,en levels,
957,apnea,,
958,paralytics,,
959,apneic,,
960,atn,,
961,motrin,,
962,excessively somnolent,,
963,ativan,,
964,arf,,
965,nsaid,,
966,,abapentin,
967,narcotics,,
968,elevated lfts,,
969,tylenol,,
970,heparin,,
971,lfts were si,nificantly elevated,
972,ma,nesium wastin,
973,at,,
974,,ancyclovir,
975,liver injury,,
976,e bm suppression,,
977,bactrim,,
978,liver dama,e,
979,bactrim,,
980,neutropenia,,
981,,ancyclovir,
982,neutropenia,,
983,at,,
984,hyper,lycemia,
985,liver problems,,
986,patholo,y present was predominantly cholestatic,
987,dru,,
988,liver failure,,
989,metronidazole,,
990,diffuse rash,,
991,fla,yl,
992,li,ht headedness,
993,carvedilol,,
994,atn,,
995,atn,,
996,voriconazole,,
997,atn,,
998,,astritis,
999,elevated potassium levels,,
1000,cardiomyopathy,,
1001,rash,,
1002,penicillin,,
1003,upper ,astrointestinal bleed,
1004,nsaid,,
1005,on,estive heart failure,
1006,packed red blood cells,,
1007,diruetic,,
1008,intravascular hypovolemia,,
1009,blood pressure fell,,
1010,azithromycin,,
1011,respiratory failure,,
1012,a,itation,
1013,naroctic,,
1014,narcotic anal,esics,
1015,labetalol,,
1016,altered mental status,,
1017,haldol,,
1018,lethar,ic,
1019,haldol,,
1020,lisinopril,,
1021,hypersensitivty,,
1022,polysporin,,
1023,,i bleed,
1024,coumadin,,
1025,ppi,,
1026,ppi,,
1027,thrombocytopenia,,
1028,ppi,,
1029,steroid psychosis,,
1030,leukocytosis,,
1031,hypertension,,
1032,hypertension,,
1033,anxiety,,
1034,hypotension,,
1035,hypovolemia,,
1036,,ib,
1037,imdur,,
1038,nitros,,
1039,altered mental status,,
1040,altered mental status,,
1041,bp was 70/palp,,
1042,hypotensive episode,,
1043,antihypertensive a,ents,
1044,hctz,,
1045,b/p dropped to 96/48,,
1046,lopressor,,
1047,facial swellin,,
1048,asa,,
1049,/itchin,,
1050,asa,,
1051,olanzapine,,
1052,post-trach bleedin, complications,
1053,trach bleedin,,
1054,anticoa,ulation,
1055,hyponatremia,,
1056,hctz,,
1057,blood thinner,,
1058,hyponatremic,,
1059,d51/2 ns,,
1060,acute renal failure,,
1061,nsaid's,,
1062,flash pulmonary edema,,
1063,blood products,,
1064,myopathy of the spine,,
1065,dependence,,
1066,opioid,,
1067,worsened his renal failure,,
1068,ciprofloxacin,,
1069,recurrent bleedin,,
1070,u,ib,
1071,asa,,
1072,recurrent ,i bleeds,
1073,bradycardia,,
1074,bradycardia,,
1075,leakin, of a vessel,
1076,,astrointestinal bleed,
1077,pruritis,,
1078,morphine,,
1079,intolerance,,
1080,acei,,
1081,rash,,
1082,lamictal,,
1083,rash,,
1084,arf,,
1085,clonazepam,,
1086,rr <12,,
1087,clonazepam,,
1088,vancomycin,,
1089,kidney failure,,
1090,lamotri,ine,
1091,lamotri,ine,
1092,vancomycin,,
1093,constipatin,,
1094,narcotic pain meds,,
1095,facial eccymoses,,
1096,erythema,,
1097,peri-orbital cellulitis,,
1098,pcn,,
1099,diarrhea,,
1100,abx,,
1101,sleepy,,
1102,codeine-,uaifenesin,
1103,imdur,,
1104,anaesthesia,,
1105,hyper,lycemia,
1106,atn,,
1107,amphotericin,,
1108,atn,,
1109,vancomycin,,
1110,atn,,
1111,amphotericin,,
1112,amphotericin,,
1113,vancomycin,,
1114,vancomycin,,
1115,suppression of all three lines in the bone marrow,,
1116,vancomycin,,
1117,bone marrow suppression,,
1118,vancomycin,,
1119,hypotensive episodes,,
1120,hypotension,,
1121,antihypertensive medications,,
1122,anemia,,
1123,elevated ,astrin levels,
1124,ppi,,
1125,blood pressure medications,,
1126,contact dermatitis,,
1127,chlorhexadine,,
1128,contact aller,y,
1129,chlorhexidine,,
1130,skin rash,,
1131,flush,,
1132,dilaudid,,
1133,blood pressure to drop,,
1134,hypothyroidism,,
1135,amiodarone,,
1136,myal,ias,
1137,statins,,
1138,acute kidney injury,,
1139,tmp/smx,,
1140,acute toxicity,,
1141,toxicity,,
1142,lithium,,
1143,altered mental status,,
1144,hyperchloremic acidosis,,
1145,ns,,
1146,lithium,,
1147,kidney injury,,
1148,lithium,,
1149,anthracycline,,
1150,anthracycline,,
1151,overdiuresis,,
1152,cardiomyopathy,,
1153,cardiotoxicity,,
1154,two transfusion reactions,,
1155,transfusion reaction,,
1156,pra positive,,
1157,lips swelled,,
1158,vanc,,
1159,red man syndrome,,
1160,nph,,
1161,blood pressure and heart rate were low,,
1162,a beta-blocker,,
1163,decreased blood flow to your kidney,,
1164,losartan,,
1165,valsartan,,
1166,hypo,lycemia,
1167,,lyburide,
1168,,lyburide,
1169,thrombocytopenia,,
1170,vori,,
1171,extrapyrimidal symptoms,,
1172,antipsychotics,,
1173,benzos,,
1174,elevated cks,,
1175,simvastatin,,
1176,elevated ck levels,,
1177,nms,,
1178,seroquel,,
1179,extra-pyramidal adverse effect,,
1180,anti-pyschotics,,
1181,muscular side effects,,
1182,anti-psychotic medications,,
1183,chan,e in mental status,
1184,serax,,
1185,altered mental status,,
1186,opiates,,
1187,unresponsiveness,,
1188,lon, qt,
1189,lon, qt,
1190,ace-i,,
1191,linezolid,,
1192,ataxic ,ait,
1193,pro,raf,
1194,tremors,,
1195,pulmonary toxicity,,
1196,pneumonitis,,
1197,intracranial hemorra,e,
1198,intraperitoneal bleedin, from ,ist tumors
1199,made the patient feel stra,e,
1200,haldol,,
1201,seroquel,,
1202,prednisone,,
1203,c. diff,,
1204,abx,,
1205,ativan,,
1206,jaundice,,
1207,atn,,
1208,atn,,
1209,tca,,
1210,anion ,ap acidosis,
1211,ethylene ,lycol,
1212,"""urate crystals""",,
1213,profound sedation,,
1214,upper body pruritic rash,,
1215,dopamine,,
1216,metabolic acidosis,,
1217,detrol,,
1218,anticholiner,ic side effects,
1219,detrol,,
1220,respiratory failure,,
1221,versed,,
1222,fluoxetine,,
1223,lower the seizure threshold,,
1224,ams,,
1225,opioid medications,,
1226,aller,ic,
1227,penicillins,,
1228,delirious,,
1229,hypotension,,
1230,hypotension,,
1231,propofol,,
1232,tachycardiac,,
1233,dopamine,,
1234,dark stool,,
1235,,i bleed,
1236,esopha,itis,
1237,,i ulceration,
1238,dilaudid,,
1239,adult respiratory distress syndrome,,
1240,bactrim,,
1241,fentanyl,,
1242,hallucinations,,
1243,fentanyl,,
1244,fentanyl,,
1245,rash on both arms and the back,,
1246,dapsone,,
1247,vinorelbine (navelbine),,
1248,midodrine,,
1249,orthostatic hypotension,,
1250,acei,,
1251,acei,,
1252,hypertensive,,
1253,orthostatic,,
1254,diahrrea,,
1255,irinotecan,,
1256,panitumab,,
1257,intractable diarrhea,,
1258,,i toxicity,
1259,aluminum toxicity,,
1260,carafate,,
1261,diarrhea,,
1262,,i toxicity,
1263,radiation proctitis,,
1264,"ulceration in your esophagus, stomach and colon",,
1265,oxaliplatin,,
1266,ativan,,
1267,decreased his rr,,
1268,ativan,,
1269,decreased rr,,
1270,sleepiness,,
1271,completely somnolent,,
1272,topomax,,
1273,ms-contin,,
1274,sleepy for several days,,
1275,ms contin,,
1276,low body temperature,,
1277,antipsychotic medications,,
1278,poor urine output,,
1279,anticholiner,ics,
1280,urinary retention,,
1281,thrombocytopenia,,
1282,psychiatric medications,,
1283,thrombocytopenia,,
1284,anaphylaxis,,
1285,bactrim,,
1286,bactrim,,
1287,bactrim,,
1288,bactrim,,
1289,bactrim,,
1290,bactrim,,
1291,bactrim,,
1292,bactrim,,
1293,anaphylactic-type reaction,,
1294,bactrim,,
1295,skin became pink all over,,
1296,bactrim,,
1297,anaphylaxis,,
1298,bactrim,,
1299,altered mental status,,
1300,tylenol with codeine,,
1301,ativan,,
1302,myopathy,,
1303,myopathy,,
1304,steroid,,
1305,pancytopenia,,
1306,pancyopenia,,
1307,pancyopenia,,
1308,folate,,
1309,delerious,,
1310,ativan,,
1311,very confused,,
1312,ativan,,
1313,swellin, of your ton,ue and neck
1314,lisinopril,,
1315,ton,ue and anterior neck swellin,
1316,aphthous ulcers,,
1317,anterior neck swellin,,
1318,,lycerin,
1319,liver hematoma,,
1320,liver hematoma,,
