,Unnamed: 0,pos,neutral,neg
153,monthly,3,0,1
154,chart,12,0,8
155,how,7,0,4
156,recaptured,1,0,0
157,support,14,0,7
158,possible,3,1,3
159,double,3,1,2
160,bottom,7,1,4
161,set,1,0,0
162,trading,7,1,3
163,at,84,1,33
164,all-time,1,0,0
165,high,19,0,8
166,after,17,2,7
167,earnings,12,0,8
168,report,1,0,0
169,days,6,0,5
170,interest,3,0,2
171,SPECULATION,3,0,0
172,If,13,0,1
173,positive,16,0,0
174,outcome,6,0,1
175,lung,4,0,0
176,we,25,0,10
177,may,17,0,10
178,Filing,3,0,0
179,by,19,0,15
180,Soros,3,0,0
181,Icahn,3,0,0
182,et,3,0,1
183,al,4,0,1
184,Put,2,0,1
185,chum,0,0,1
186,there,9,0,3
187,key,2,0,1
188,then,12,0,7
189,next,16,0,12
190,level,2,0,1
191,careful,0,0,6
192,Good,17,0,2
193,idea,4,0,0
194,buy,41,1,11
195,half,3,0,0
196,BAC,1,0,0
197,Alibaba,0,0,2
198,IPO,0,0,3
199,hoopla,0,0,2
200,hide,0,0,2
201,risk,2,0,7
202,Chinese,0,0,4
203,stocks,45,1,8
204,One,1,0,1
205,thing,7,0,2
206,is,172,3,74
207,food,0,0,1
208,Its,1,0,1
209,barely,0,0,2
210,getting,9,0,10
211,warm,0,0,1
212,chicago,0,0,1
213,looks,11,0,8
214,drought,0,0,1
215,conditions,1,0,2
216,soil,0,0,1
217,already,4,0,4
218,imagine,1,0,2
219,shorts,11,0,9
220,wanting,1,0,0
221,to,212,6,122
222,weekend,7,0,1
223,without,4,0,1
224,taking,5,1,3
225,care,2,0,1
226,position,11,0,3
227,nice,21,0,2
228,atch,1,0,0
229,resistance,7,0,5
230,Basing,1,0,0
231,over,25,0,14
232,bullish,24,0,1
233,watch,11,1,11
234,near,4,0,3
235,HOD,6,0,0
236,Currently,1,0,1
237,Big,3,0,2
238,Money,2,0,1
239,Is,13,0,4
240,Pouring,1,0,0
241,Into,1,0,2
242,Facebok,12,0,9
243,From,5,0,1
244,All,2,0,0
245,Directions,1,0,0
246,url,1,0,0
247,Out,5,0,3
248,Clearing,0,0,1
249,cash,5,0,3
250,Will,12,0,5
251,look,12,0,5
252,re-entry,1,0,1
253,week,22,1,11
254,Steinerâ,2,0,0
255,€,4,0,0
256,™,2,0,0
257,s,14,0,5
258,Spas,2,0,0
259,Sail,2,0,0
260,With,6,0,5
261,Wealthy,2,0,0
262,Defying,2,0,0
263,Downturn,2,0,0
264,someone,1,0,1
265,have,28,1,23
266,pointed,0,0,1
267,earlier,3,0,4
268,think,6,0,6
269,recall,1,0,4
270,post,3,0,2
271,but,47,1,19
272,man,1,0,2
273,one,10,1,13
274,don,4,0,0
275,listen,4,0,1
276,other,15,0,2
277,twits,3,0,0
278,…,8,0,2
279,just,21,0,11
280,follow,7,0,3
281,trend,7,0,0
282,flow,5,0,0
283,tapping,1,0,0
284,re-enter,0,0,1
285,.,9,0,12
286,Found,6,0,0
287,good,32,0,10
288,bull,12,1,1
289,setups,6,0,3
290,-->,5,0,1
291,if,20,0,17
292,mkt,7,0,2
293,helps,5,0,0
294,so,17,0,6
295,volatile,0,0,1
296,yowza,0,0,1
297,:P,0,0,1
298,Morgan,2,0,1
299,will,43,0,31
300,weight,1,0,0
301,oversold,4,0,0
302,within,2,0,1
303,month,4,0,0
304,QQ,0,0,3
305,case,1,0,3
306,noticed,0,0,1
307,hort,0,0,2
308,Percent,1,2,1
309,Float,0,0,2
310,what,12,1,13
311,happened,0,0,2
312,those,3,0,3
313,shorting,2,0,6
314,neg,1,0,1
315,pumpers,0,0,1
316,oh,0,0,1
317,Add,3,0,0
318,positions,2,0,1
319,posted,2,0,0
320,Exit,2,0,0
321,XLY,2,0,0
322,lost,0,0,2
323,my,20,0,14
324,investment,3,0,3
325,Sure,0,0,1
326,wish,1,0,1
327,bad,8,0,4
328,came,2,0,2
329,few,8,0,6
330,Think,0,0,2
331,Russia,0,0,1
332,wrong,1,0,1
333,Berkowitz,1,0,0
334,did,4,0,3
335,add,9,0,1
336,shares,9,0,4
337,He,1,0,0
338,added,9,0,1
339,an,18,0,7
340,increase,3,0,0
341,Last,1,0,2
342,year,23,0,6
343,fell,0,0,2
344,debt,0,0,7
345,downgrade,1,0,3
346,early,5,0,3
347,august,0,0,1
348,S,0,0,1
349,corrected,0,0,2
350,before,18,1,7
351,DG,0,0,1
352,which,1,0,6
353,due,3,0,2
354,slow,0,0,1
355,been,11,1,8
356,frustrating,0,0,1
357,Every,0,0,1
358,tall,0,0,1
359,green,5,0,1
360,bar,0,0,1
361,gets,3,0,4
362,followed,0,0,2
363,immediately,0,0,1
364,weeks,6,1,8
365,consolidation,3,0,1
366,need,3,0,2
367,break,8,0,2
368,again,14,0,7
369,tight,2,1,2
370,price,8,1,6
371,consecutive,0,1,0
372,new,32,0,13
373,squeeze,3,0,5
374,plays,2,0,3
375,Curious,2,0,1
376,know,9,0,3
377,why,6,0,7
378,LNKD,2,0,1
379,great,18,0,3
380,does,7,0,10
381,side,6,0,1
382,Fb,2,0,1
383,And,9,0,3
384,Seems,2,0,2
385,little,8,0,1
386,also,10,0,1
387,Moved,7,0,0
388,Upper,7,0,0
389,Bolinger,7,0,0
390,Band,7,0,0
391,You,1,0,5
392,many,4,0,2
393,times,0,0,1
394,find,3,0,3
395,top,11,0,5
396,bottoms,0,0,1
397,when,7,0,3
398,start,3,0,6
399,rejoicing,0,0,3
400,or,12,2,10
401,bulls,2,0,2
402,breaking,4,0,1
403,market,16,3,14
404,pulls,2,0,0
405,back,15,0,11
406,Never,7,0,4
407,told,7,0,0
408,situation,7,0,0
409,Buy,19,0,3
410,dip,12,0,2
411,BlackBerry,3,0,0
412,Messenger,2,0,0
413,only,5,0,7
414,user,2,0,0
415,loyalty,2,0,1
416,says,4,0,3
417,study,2,0,0
418,supermarket,1,0,1
419,Buying,5,0,0
420,Weakness,3,0,0
421,Quality,2,0,0
422,Stocks,26,0,7
423,High,4,0,0
424,Cash,4,0,0
425,Returns,2,0,0
426,March,10,0,3
427,LED,3,0,0
428,light,3,0,0
429,bulb,3,0,0
430,prices,8,0,0
431,rise,4,0,0
432,Japan,4,0,0
433,fall,3,0,8
434,markets,5,0,1
435,Would,1,0,2
436,clear,1,0,1
437,tomorrow,6,1,4
438,million,6,0,4
439,highest,0,0,1
440,last,19,0,11
441,RT,3,0,3
442,Breadth,0,0,1
443,Consolidates,0,0,1
444,After,0,0,2
445,steady,0,0,1
446,gains,7,0,2
447,dvances,0,0,1
448,breadth,1,0,1
449,slowe,0,0,1
450,given,1,0,0
451,broad,3,0,0
452,environment,1,0,0
453,expect,1,0,1
454,flawlessly,1,0,0
455,aggressively,1,0,0
456,holds,2,0,1
457,patents,3,0,1
458,goes,3,0,5
459,patent,1,0,2
460,today,40,1,17
461,later,3,0,0
462,riser,1,0,0
463,january,3,0,0
464,Healthcare,1,0,0
465,Conference,1,0,0
466,presentation,1,0,0
467,Positive,3,0,0
468,catalyst,4,0,0
469,Could,5,0,3
470,strategy,1,0,1
471,exit,2,0,1
472,pop,4,0,0
473,Goldman,6,0,0
474,Suks,1,0,0
475,bring,2,0,4
476,day,40,0,13
477,Look,2,0,1
478,solar,1,0,0
479,rebound,2,0,1
480,Long,26,0,1
481,learn,2,0,1
482,anything,3,0,1
483,about,16,0,16
484,biotech,2,0,0
485,investing,2,0,0
486,patience,3,2,0
487,pays,2,0,0
488,off,19,0,8
489,Surprising,2,0,0
490,sales,12,0,2
491,numbers,3,0,1
492,holding,18,0,1
493,well,10,1,3
494,guess,4,0,0
495,end,3,0,5
496,might,4,0,4
497,concern,2,0,0
498,feel,2,0,3
499,people,7,0,3
500,buying,17,0,5
501,same,10,0,1
502,ones,0,0,1
503,finger,0,0,1
504,sell,8,1,10
505,button,0,0,1
506,gap,19,1,6
507,filled,1,0,0
508,Has,2,0,4
509,European,0,0,6
510,crisis,1,0,5
511,entered,1,0,4
512,dangerous,0,0,4
513,phase,0,0,4
514,highs,15,0,0
515,lots,5,0,0
516,technicals,2,0,0
517,right,11,0,6
518,BO,2,0,0
519,resist,1,0,0
520,really,3,0,3
521,topy,0,0,1
522,bands,1,0,0
523,tighten,1,0,0
524,holiday,1,0,0
525,PR,1,0,1
526,Continues,1,0,1
527,consolidate,2,0,0
528,previous,1,0,1
529,area,5,0,2
530,Down,5,0,4
531,biotechs,5,0,0
532,load,5,0,0
533,Be,6,0,2
534,confident,7,0,2
535,Agreed,5,0,0
536,downes,5,0,0
537,Lots,6,0,0
538,metal,6,0,0
539,run,14,0,3
540,awaits,5,0,0
541,PAAS,3,0,0
542,most,11,0,2
543,quality,8,0,0
544,names,9,1,2
545,cooperate,3,0,0
546,These,0,0,4
547,companies,7,0,7
548,worried,0,0,4
549,iCloud,0,0,4
550,April,1,0,1
551,vol,7,0,4
552,needs,3,0,2
553,fill,7,2,0
554,decent,2,0,0
555,supt,1,0,0
556,here-expect,1,0,0
557,upside,12,0,0
558,Multi,0,0,1
559,Top,14,0,1
560,finally,4,0,1
561,leads,1,0,2
562,Stability,0,0,1
563,questioned,0,0,1
564,coming,14,0,2
565,tell,0,0,1
566,US,5,0,0
567,Adds,4,0,1
568,Jobs,5,0,0
569,In,17,2,2
570,November,4,0,0
571,Most,7,0,0
572,Since,3,0,0
573,Unemployment,3,0,0
574,Rate,3,0,0
575,Remains,3,0,0
576,At,5,0,3
577,Gold,6,2,1
578,Futures,3,0,0
579,your,8,0,3
580,optimism,2,0,0
581,VUS,1,0,0
582,moving,2,0,3
583,no,18,1,11
584,NCE,1,0,0
585,Agenda,1,0,0
586,simple,1,0,0
587,GSK,1,0,0
588,claim,1,0,0
589,active,2,0,0
590,moiety,2,0,0
591,points,1,0,3
592,two,5,0,4
593,games,2,0,1
594,accuses,1,0,1
595,copyright,1,0,1
596,infringement,1,0,2
597,LEE,1,0,0
598,ready,5,0,7
599,bankruptcy,1,0,0
600,Strong,1,0,0
601,starting,5,0,1
602,creep,1,0,1
603,sits,1,0,1
604,hod,2,0,3
605,pre-order,1,0,0
606,imo,2,0,0
607,sold,4,0,9
608,Pre,1,0,0
609,order,2,0,2
610,amazing,7,0,1
611,China,8,0,6
612,winners,4,0,0
613,ascending,2,0,0
614,channel,2,0,1
615,Finfiz,1,0,0
616,precedes,0,1,0
617,romance,0,2,0
618,brand,1,0,0
619,name,5,0,2
620,fail,1,0,0
621,bet,3,0,0
622,they,16,0,20
623,recover,1,0,1
624,bought,13,0,4
625,until,3,0,0
626,lows,3,0,3
627,Sold,1,0,4
628,Oct,1,0,1
629,Calls,5,0,0
630,NOBS,0,0,1
631,bios,0,0,2
632,small,13,0,5
633,caps,0,0,3
634,splits,0,0,1
635,lipstick,0,0,1
636,pig,2,0,1
637,Splits,0,0,1
638,mid,0,0,1
639,mega,0,0,1
640,Not,6,0,8
641,pos,0,0,3
642,making,5,0,0
643,normally,2,0,0
644,produce,3,0,1
645,held,2,0,2
646,Maybe,1,0,1
647,move,11,0,5
648,undervalued,1,0,0
649,has,21,1,10
650,major,5,0,2
651,drops,1,1,2
652,further,1,1,3
653,Gap,0,1,1
654,any,6,2,2
655,action,2,2,1
656,VMarkets,0,0,4
657,Are,0,0,10
658,Still,11,0,5
659,Acting,0,0,4
660,Weak,0,0,5
661,Homebuilders,0,0,1
662,below,6,1,6
663,want,7,0,5
664,morning,26,0,3
665,time,14,2,10
666,low,4,1,3
667,Tifany's,0,0,1
668,overvalued,0,0,2
669,See,0,0,6
670,Graphs,0,0,1
671,share,2,0,2
672,total,7,1,3
673,value,2,0,0
674,company,10,0,0
675,crunching,1,0,0
676,The,17,0,9
677,diamond,1,0,0
678,rough,1,0,0
679,Overtake,1,0,0
680,As,2,0,5
681,Largest,1,0,0
682,Online,2,0,0
683,Gaming,1,0,0
684,Market,2,0,11
685,Says,1,0,0
686,Report,4,0,2
687,Loss,1,0,3
688,opportunity,4,0,2
689,capital,1,0,1
690,CHK,0,0,1
691,stopped,0,0,1
692,even,7,0,2
693,yesterdays,0,0,1
694,probably,1,0,1
695,headed,0,0,1
696,Micron,2,0,1
697,Shares,1,0,2
698,Pounded,1,0,1
699,On,6,0,6
700,Fears,1,0,1
701,Business,1,0,1
702,Stifel,1,0,1
703,Defends,1,0,1
704,broke,8,0,0
705,professional,1,0,0
706,ANAL-yst,1,0,0
707,DO,1,0,0
708,put,10,0,5
709,mouth,1,0,0
710,yr,1,0,0
711,ndâ,1,0,0
712,”,1,0,0
713,another,6,0,5
714,honey,1,0,0
715,ong,1,0,0
716,LEAPS,2,0,0
717,rather,3,0,1
718,buyer,5,0,1
719,UGAZ,1,0,1
720,these,14,0,5
721,levels,4,0,6
722,trying,5,0,2
723,DGAZ,1,0,0
724,coreleation,1,0,1
725,between,2,0,2
726,dollar,1,0,3
727,index,3,0,1
728,simply,1,0,1
729,finds,1,0,1
730,retreats,1,0,1
731,clockwork,1,0,1
732,banks,1,0,2
733,seriously,2,0,1
734,ER,3,0,3
735,guide,1,0,0
736,delay,1,0,0
737,smell,2,0,0
738,rate,3,0,0
739,Three,4,0,1
740,hot,4,0,0
741,Thanks,2,0,1
742,While,2,0,0
743,winner,3,0,0
744,ringing,1,0,0
745,register,1,0,0
746,We,3,0,3
747,dollars,1,0,1
748,hell,1,0,0
749,win,2,0,1
750,Tony,1,0,0
751,strikes,1,0,0
752,FBR,1,0,0
753,Capital,4,0,2
754,reiterated,2,0,0
755,Outperform,4,0,0
756,rating,2,0,0
757,target,11,1,6
758,Friday,13,0,2
759,yeah,3,0,2
760,dude,1,0,0
761,airplanes,1,0,0
762,flying,4,0,0
763,rising,0,0,1
764,RSI,4,0,1
765,MACD,6,0,1
766,bond,1,0,1
767,signaling,0,0,1
768,moves,3,0,1
769,more,40,2,13
770,downside,2,0,1
771,drop,5,0,4
772,vs,3,0,2
773,moved,1,0,1
774,Sounds,1,0,1
775,cost,0,0,2
776,cutting,0,0,1
777,course,2,0,1
778,Tom,1,0,1
779,way,4,1,7
780,turn,2,0,1
781,around,11,0,3
782,Miller,0,0,1
783,Lite,0,0,1
784,quickly,0,0,1
785,Loaded,1,0,0
786,oking,1,0,0
787,than,13,0,10
788,What,5,0,2
789,Santa,2,0,0
790,Rally,9,0,0
791,improbable,2,0,0
792,blow,3,0,0
793,finishing,2,0,3
794,check,1,0,0
795,nov,1,0,0
796,jun,1,0,0
797,factor,1,0,0
798,goggle,1,0,0
799,repeated,1,0,0
800,too,10,1,2
801,shortsighted,1,0,0
802,opened,1,0,0
803,red,2,0,5
804,significantly,1,0,0
805,continue,3,0,0
806,surge,1,0,0
807,ripe,4,0,1
808,saying,2,0,1
809,peak,1,0,0
810,fear,2,0,1
811,mongering,1,0,0
812,Competition's,1,0,0
813,dying,1,0,0
814,smartphone,1,0,0
815,usage,1,0,0
816,Watch,4,0,2
817,flags,3,0,0
818,Sees,2,0,0
819,net,2,0,1
820,revenues,2,0,0
821,mln,2,0,0
822,yoy,5,0,0
823,approximately,1,0,0
824,Energy,2,0,2
825,liking,1,0,1
826,Whiting,1,0,0
827,each,1,0,0
828,Bounced,2,0,1
829,hedge,1,0,1
830,slope,1,0,1
831,Transports,1,0,0
832,lead,3,0,0
833,DT,1,0,0
834,line,8,0,0
835,cross,3,0,0
836,flag,3,0,2
837,Govt,1,0,0
838,chasing,3,0,0
839,joke,1,0,0
840,There,3,0,1
841,Getting,2,0,1
842,attention,4,0,0
843,NYSE,1,0,1
844,list,5,0,0
845,Highest,8,0,0
846,since,11,0,8
847,november,2,0,0
848,hearing,3,0,0
849,secret,1,0,1
850,partner,1,0,0
851,purchased,1,0,0
852,millions,1,0,0
853,actually,4,1,1
854,T-Mobile,1,0,0
855,Do,2,1,1
856,buyout,1,0,1
857,blame,1,0,2
858,anyone,3,0,4
859,profits,3,0,3
860,primed,2,0,0
861,poised,2,0,0
862,domestic,2,0,0
863,automakers,2,0,0
864,keep,5,0,2
865,G-rated,0,0,1
866,mupets,0,0,1
867,ruck,0,0,1
868,higher,11,1,2
869,avoid,0,0,1
870,except,0,0,1
871,perhaps,1,0,1
872,whole,0,0,1
873,presented,0,0,1
874,flyers,0,0,1
875,hits,0,0,1
876,loss,1,0,3
877,exceptions,0,0,1
878,crying,0,0,1
879,Went,1,0,0
880,thinks,4,0,0
881,lucky,1,0,0
882,enough,2,0,2
883,better,6,0,4
884,take,8,0,4
885,chase,1,0,0
886,call,17,0,0
887,h,1,0,0
888,quite,1,0,1
889,yet,5,1,4
890,Here,1,0,0
891,hr,1,0,0
892,resolve,2,0,0
893,Europe,1,0,1
894,implode,0,0,1
895,stress,0,0,1
896,tests,0,0,1
897,failing,0,0,1
898,Swirl,0,0,1
899,bonds,0,0,1
900,CDS,0,0,1
901,gold,5,0,1
902,selloff,0,0,2
903,New,9,0,1
904,recommendation,1,0,0
905,Carl,1,0,0
906,Kirst,1,0,0
907,BMO,1,0,0
908,Markets,5,0,0
909,BUY,3,0,1
910,rice,1,0,0
911,Momentum,2,0,0
912,building,2,0,0
913,breakout,12,0,1
914,trigger,2,0,0
915,setup,5,0,2
916,pair,2,0,0
917,favorite,5,0,0
918,consistent,2,0,0
919,cult,0,0,1
920,stocktwits,0,0,1
921,disgusting,0,0,1
922,karate,0,0,1
923,chop,0,0,1
924,them,3,0,10
925,My,1,0,3
926,bat,0,0,1
927,k-chop,0,0,1
928,BAT,0,0,1
929,Fight,0,0,1
930,Taking,1,0,1
931,Back,4,0,3
932,stop,11,0,1
933,mechanically,1,0,0
934,driving,1,0,1
935,public,1,0,0
936,LOWER,1,0,0
937,record,1,0,0
938,corp,1,0,0
939,cheap,4,0,3
940,financing,2,0,0
941,fueling,1,0,0
942,wave,1,0,0
943,acquisitions,1,0,0
944,parabolic,2,0,0
945,wonder,2,0,0
946,tops,3,0,0
947,boys,2,0,0
948,Boz,0,0,1
949,Allen,0,0,1
950,leveraged,0,0,1
951,loan,0,0,1
952,slips,0,0,1
953,alongside,0,0,1
954,NSA,0,0,1
955,leak,0,0,1
956,weakest,0,0,1
957,sector,3,0,2
958,false,0,0,1
959,announcing,1,0,0
960,divy,1,0,0
961,maintain,1,0,0
962,yield,5,0,1
963,running,3,0,2
964,cover,3,0,1
965,ETFs,1,0,1
966,subject,0,0,1
967,decay,0,0,1
968,daily,5,0,4
969,rebalancing,0,0,1
970,For,6,0,1
971,term,5,0,5
972,hold,5,0,3
973,safer,0,0,1
974,Signs,1,0,0
975,life,1,0,1
976,emerging,2,0,0
977,:),1,0,3
978,neutral,1,0,1
979,bearish,2,0,6
980,pickers,1,0,0
981,Murray,2,0,0
982,leaves,1,0,0
983,competitor,1,0,0
984,Adidas,1,0,0
985,Diversifies,1,0,0
986,International,1,0,0
987,exposure,1,0,0
988,tennis,1,0,0
989,won,1,0,0
990,Open,1,0,0
991,Olympic,1,0,0
992,i-Grid,0,0,1
993,shows,0,0,1
994,capped,0,0,1
995,range,2,1,3
996,ny,0,0,1
997,rally,12,0,2
998,beyond,1,0,1
999,meltdown,0,0,1
1000,IMPO,2,0,0
1001,FDA,3,0,0
1002,allow,3,0,0
1003,subscribe,2,0,0
1004,diet,2,0,0
1005,drugs,2,0,0
1006,yrs,2,0,0
1007,Lorc,2,0,0
1008,Qnex,2,0,0
1009,luck,2,0,1
1010,September,0,0,1
1011,Comparable,0,0,1
1012,Store,0,0,1
1013,Sales,0,0,4
1014,Making,1,0,0
1015,consolidates,1,0,0
1016,past,4,0,1
1017,several,1,0,0
1018,Okay,3,0,0
1019,miner,3,0,0
1020,possibly,3,0,1
1021,lower,10,0,7
1022,pe,3,0,1
1023,tech,7,0,0
1024,tmrw,4,0,0
1025,Watching,6,0,5
1026,hpq,3,0,0
1027,flat,0,0,2
1028,Oh,1,0,1
1029,hospital,0,0,1
1030,reits,0,0,1
1031,slaughtered,0,0,1
1032,Even,3,0,3
1033,plus,0,0,1
1034,div,5,0,1
1035,cry,0,0,1
1036,To,9,0,5
1037,Surge,1,0,0
1038,Higher,4,0,4
1039,conversation,2,0,0
1040,activity,2,0,0
1041,Had,2,0,0
1042,quiet,2,1,0
1043,hours,4,0,0
1044,intend,0,0,1
1045,being,7,0,4
1046,nay,0,0,1
1047,sayer,0,0,1
1048,love,2,0,2
1049,Co,1,0,1
1050,choice,1,0,0
1051,hype,1,0,1
1052,ha,0,0,1
1053,black,0,0,1
1054,crows,0,0,1
1055,bear,1,1,6
1056,promising,1,0,1
1057,IMO,2,0,2
1058,Stay,1,0,2
1059,Best,6,0,2
1060,Breed,1,0,0
1061,Room,1,0,0
1062,Run,1,0,0
1063,via,18,0,5
1064,USIO,0,0,1
1065,ops,0,0,1
1066,profitable,2,0,2
1067,drag,0,0,3
1068,bloom,0,0,1
1069,lake,0,0,1
1070,divesting,0,0,1
1071,Boeing,1,0,1
1072,Company,0,0,1
1073,BA,0,0,1
1074,Bearish,0,0,1
1075,Trader,0,0,1
1076,bets,0,0,2
1077,Stock,4,0,5
1078,Sell,1,2,7
1079,Off,0,0,3
1080,July,2,0,1
1081,Expiry,0,0,1
1082,totally,0,0,1
1083,missed,1,0,1
1084,jump,2,0,2
1085,test,3,0,2
1086,congratulations,0,0,1
1087,Downbeaten,4,0,0
1088,buys,6,0,0
1089,picked,2,0,0
1090,Worst,0,0,5
1091,performers,5,0,5
1092,best,5,0,6
1093,nothing,6,0,1
1094,inevitable,1,0,1
1095,Korea,0,0,1
1096,Bullish,7,2,1
1097,MA,10,0,0
1098,Crossovers,6,0,0
1099,Aha,1,0,0
1100,Someone,1,0,0
1101,wants,4,0,3
1102,trendline,1,0,1
1103,humming,0,0,1
1104,easing,0,0,3
1105,overbought,0,0,3
1106,funny,2,0,0
1107,AH,6,0,5
1108,approval,2,0,0
1109,How,3,0,2
1110,Ron,0,0,1
1111,Johnson,0,0,1
1112,tried,0,0,1
1113,failed,0,0,5
1114,inject,0,0,1
1115,bit,1,0,2
1116,culture,0,0,1
1117,JC,0,0,1
1118,Peney,0,0,1
1119,TUAW,0,0,1
1120,prettiest,0,1,0
1121,candlesticks,0,1,0
1122,signs,3,1,3
1123,risky,1,0,1
1124,watching,8,1,3
1125,closely,0,0,1
1126,bot,5,0,0
1127,zone,3,0,1
1128,:D,1,0,0
1129,Less,0,0,4
1130,calling,0,0,1
1131,Some,1,0,1
1132,heading,0,0,2
1133,exits,1,0,1
1134,crash,0,0,1
1135,Disturbing,0,0,1
1136,Bet,1,0,1
1137,Weds,0,0,1
1138,especially,0,0,1
1139,SPY,0,0,8
1140,decides,0,0,1
1141,wane,0,0,1
1142,Fader,0,0,1
1143,play,7,0,3
1144,jmho,1,0,1
1145,Utilities,1,0,0
1146,enjoyed,1,0,1
1147,improved,1,0,0
1148,Large,1,0,0
1149,cap,3,0,2
1150,catch,4,0,0
1151,rest,3,0,0
1152,weak,1,0,15
1153,res,1,0,1
1154,maybe,6,0,7
1155,say,3,0,0
1156,heat,2,0,0
1157,turning,2,0,0
1158,Coming,3,0,0
1159,far,8,0,1
1160,implies,1,0,0
1161,pay,2,0,5
1162,business,4,0,7
1163,anyways,3,1,0
1164,gist,0,0,1
1165,downgrades,0,0,12
1166,apple,1,0,2
1167,phone,1,0,1
1168,help,0,0,1
1169,supercharge,0,0,1
1170,were,2,0,2
1171,um,0,0,1
1172,Another,1,1,2
1173,gain,4,0,5
1174,following,2,0,0
1175,wek's,1,0,0
1176,huge,3,1,0
1177,april,1,0,0
1178,calls,16,0,4
1179,having,1,0,1
1180,much,9,1,8
1181,industrial-gods,5,0,0
1182,insiders,5,0,0
1183,types,0,0,1
1184,articles,0,0,1
1185,SS,0,0,1
1186,rose,0,0,1
1187,hit,1,0,2
1188,our,1,0,6
1189,BTW,1,0,0
1190,turmoil,2,0,0
1191,MENA,1,0,0
1192,region,1,0,1
1193,shippers,1,0,0
1194,perform,1,0,0
1195,performs,1,0,0
1196,farm,1,0,0
1197,hopeful,1,0,0
1198,things,2,0,0
1199,soon,8,0,2
1200,parties,0,0,3
1201,loaded,0,0,3
1202,volatility,1,1,3
1203,sign,2,0,1
1204,Unles,1,0,1
1205,NASDAQ,2,0,1
1206,globally,6,0,0
1207,avengers,1,0,0
1208,sick,1,0,0
1209,tan,1,0,0
1210,lee,1,0,0
1211,beast,1,0,0
1212,Bufet's,2,0,0
1213,Shows,2,0,0
1214,Stakes,2,0,0
1215,CVS,2,0,0
1216,Visa,2,0,0
