,alum,5,cutting edge\very comfortable\online learning\extremely successful learning experience
151,freshman,2,very unsafe area
152,freshman,2,dry campus\total jerk\loud music\that loud\other residence assistant\awesome\opposite sex\ridiculous\fine
153,freshman,2,that diverse
154,freshman,2,absolutely terrible\too small
155,junior,2,close
156,freshman,2,only thing
157,freshman,2,
158,freshman,2,friendly
159,freshman,2,good parking spot
160,junior,2,available\hard\other\other late night\unreliable
161,junior,2,only transit\only public transit system
162,junior,2,
163,senior,2,
164,sophomore,2,limited parking\certain spot\certain color\decal\more difficult
165,sophomore,2,almost unpredictable\how bad\good weather
166,junior,2,rough town\Most people\good reason
167,junior,2,decent
168,sophomore,2,strict noise\quiet\little\little aggravating ra
169,senior,2,
170,senior,2,regional\regional academic campus
171,sophomore,2,few food\few fast food joint\not good
172,junior,2,fortunate\own department
173,freshman,2,terrible\same food day\dwindle quick
174,freshman,2,hear little\whole school\good
175,freshman,2,somewhat attractive\casual clothe\very connected student body
176,sophomore,2,not bad\boone\old\clean\not bad\get filthy\good\small housing\tiny studio apartment\old apartment\new\last semester\really disgusting\stressful\willing\new apartment\big problem\full kitchen\nice\good place
177,freshman,2,financial aid process\nightmarish\bad experience\'s academic scholarship\unsubsidized loan\too little\financial aid process\as many scholarship\necessary\high school\cheap school\valuable\top notch education
178,junior,2,simple\difficult\challenging\unsuccessful\difficult\financial aid fund\unemployed\able\private school\available
179,senior,1,extremely difficult\impossible
180,senior,1,several\lazy\arrogant\specific problem\horrible instructor\warn other\other potential student
181,freshman,1,small college\large university\have more opportunity\unsafe\overpriced\only money\many professor\receive more money\long run\other\sure\full mold\always sick allergy\high school-\full drama\bad enemy
182,sophomore,1,mixed\black\other race\good year
183,other,1,bad year\greek life\super nice\so nice\few\crap\very unsafe
184,junior,1,bad part\really difficult\able\at least
185,senior,1,actual experience\actual overall experience\current student\stingy\due\recent expansion\most college\several experience\several recent experience\extremely overpriced\least\more significant issue\experience several overcharge\become chronic\not significant\Most student\current student\prospective student\aware
186,sophomore,1,much good\social life\greek\leave much\average student
187,junior,1,off campus housing
188,junior,1,
189,junior,1,
190,other,1,as old\get old
191,sophomore,1,only thing\only good thing
192,freshman,1,not much\of stuck
193,freshman,1,very beginning
194,freshman,1,bad thing\stay connected\more
195,freshman,1,
196,freshman,1,horrible class\extra minute
197,sophomore,1,
198,sophomore,1,show much respect\much different
199,sophomore,1,abrubt\rude\understand financial aid
200,freshman,1,good amount\greek life\real life\real greek life\little bit\more selective\real fraternity life\big school
201,freshman,1,successful basketball team\free admission\nonathletic freshman
202,freshman,1,so similar\religious background\most
203,junior,1,ridiculous system\least\same parking lot\horrible fine\as drastic park\not possible\just fine
204,junior,1,graduate school campus\not much\most student\full time job
205,senior,1,financial aid\rough process\huge amount
206,senior,1,of tough\unnecessary event\non\non - zone\- parking zone\wrong decal
207,alum,1,greek association\large house\loud\messy party\late night chanting\very little diversity\few\european\looking\become offended\greek village\more\non\non -\- white\greek association\small housing\large house\large greek house\different
208,alum,1,asian descent\latin descent\slight percentage\slight large percentage\acknowledge african descent\few day\false
209,junior,1,not enough parking space
210,alum,1,Most\all\american female\great chance\no well\hot guy\few\look well\male student body\epitome\crazy\meet more\mention crazy thing\homeless people\Most\so toned calf\much different\few guy\few hot guy
211,alum,1,average bear\too many professor\so concerned\mature thought\own opinion\great part\potential hangout\prospective student\willing\main requirement\contact old alumnus\similar experience\not interested
212,alum,1,quick\idiotic\financial aid counselor\available\prone\late fee\bursary office\financial aid office\more\available\always easy\nasty attitude\only new student\more money\available
213,alum,1,not sure training\sure class\wild goose chase\willing\unnecessary challenge\popular\previous generation\conservative\eurocentric\socioeconomic status\pre\pre - program\- medicine program\worth\human being\sure\old relative\not concerned\so great\that different\due experience\good professor\prospective student\general\personal question\mostly truthful answer
214,alum,1,indian restaurant\equally bad service\second restaurant\little\little well\slow\popular dish\old south\mostly old building\little\expect much success\more diverse cuisine\international aisle
215,alum,1,not enough place\available\few\few business\few small business\not good\not good\early afternoon
216,sophomore,1,financial aid\too expensive\everyday\watchful eye\many time
217,freshman,1,first year student\opposite sex\possible
218,sophomore,1,awful\extremely cliquey\gossipy\high school\first month\great\sharp decline\different school\too small
