,﻿Two Centenary Goals,无
104,the joint combat system of the armed forces,无
105,finish building a moderately prosperous society in all respects,无
106,globalization 4.0,无
107,global governance system,无
108,mass line, 群众路线；群众路线观
109,island patrol,无
110,talent-strong country,无
111,population development strategy,无
112,a community of shared future for mankind,无
113,the people's aspirations to live a better life,无
114,three critical battles,无
115,three tough battles,无
116,three evil forces,无
117,"issues concerning agriculture, countryside and farmers",无
118,"three direct cross-Straits links, namely mail, transportation, and trade",无
119,the 3+3 Initiative,无
120,Shanghai Spirit,无
121,social security fund, [医]社会保险基金
122,social security system,"un. 社会安全制度
"
123,the principal contradiction facing Chinese society,无
124,core socialist values,无
125,socialist democracy, 社会主义民主政治；解析社会主义民主
126,a great modern socialist country,无
127,auditing-based oversight,无
128,community of shared life,无
129,eco-safety barrier,无
130,ecological red line,无
131,environmental quality,"un. 环境质量
"
132,ecological migration,无
133,real combat training,无
134,innovative and entrepreneurial talent,无
135,be expelled from the CPC and removed from public office,无
136,judicial independence, 司法独立；审判独立；司法独立性
137,Four-pronged comprehensive strategy,无
138,"consciousness of the need to maintain political integrity, think in big-picture terms, follow the leadership core, and keep in alignment",无
139,"confidence in the path, theory, system, and culture of socialism with Chinese characteristics",无
140,"formalities performed for formalities' sake, bureaucratism, hedonism, and extravagance",无
141,the Four Cardinal Principles,无
142,carbon intensity, 碳浓度；碳强度；碳密集度
143,a leading sporting nation,无
144,land reclamation,"na. 开垦荒地
"
145,statistical inspections,无
146,the united front,无
147,the 10-Chapter Soil Pollution Action Plan,无
148,anti-online terror drill,无
149,community of shared future in cyberspace,无
150,cyberspace governance,无
151,cyber sovereignty,无
152,zero-waste city,无
153,Five concepts of development,无
154,"Western Development, large-scale development of the western region",无
155,Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era,无
156,rare earths,"na. 稀土族
"
157,modern maritime combat system,无
158,modern hospital management system,无
159,rural governance,无
160,Five-pronged overall plan,无
161,consultative democracy,无
162,new era,"n. 新纪元
"
163,new type of international relations,无
164,a new type of party system,无
165,a central adjustment system for basic pension funds,无
166,Belt and Road,无
167,"one country, two systems", 一国两制；一个国家两种制度；两种制度
168,"law-based governance, rule of law",无
169,people-centered philosophy of development,无
170,Friendship Medal,无
171,"fight every corrupt phenomenon, punish every corrupt official",无
172,"with lofty ideals, moral integrity, intellectual abilities and a strong sense of discipline",无
173,building friendship and partnership with neighboring countries,无
174,budget performance management,无
175,head-of-state diplomacy,无
176,military review,"un. (美国)《军事评论》月刊；阅兵式
"
177,strategic focus, 战略重点；战略聚焦；策略焦点
178,to align strategies and actions,无
179,positive energy, 正能量；正面能量；正向能量
180,simple regulations are easy to follow,无
181,political discipline and rules,无
182,political ecology,政治生态学
183,position-related consumption,无
184,cage of regulations,无
185,China-Africa community with a shared future,无
186,the 19th Communist Party of China National Congress,无
187,Chinese Dream,无
188,Chinese Farmers' Harvest Festival,无
189,major-country diplomacy with Chinese characteristics,无
190,the Chinese path of building strong armed forces,无
191,socialism with Chinese characteristics, 中国特色社会主义；有中国特色的社会主义；中国特色社会主义事业
192,Chinese wisdom,无
193,national rejuvenation, 民族复兴；振兴中华
194,important period of strategic opportunity,无
195,encourage both housing purchase and renting,无
196,Olympic merchandise,无
197,franchised goods for the Olympics,无
198,white economy,无
199,inclusive growth for all,无
200,inclusive growth, 包容性增长；包容性成长；包容式增长
201,inflation-proof bank savings,无
202,reward-compensation mechanism,无
203,fiscal responsibility system,无
204,Purchasing Managers' Index, 采购经理人指数；采购经理指数；中国物流与采购联合会
205,relocation compensation,无
206,industrial policy,"un. 工业政策；产业政策
"
207,super grain, 超级全营养食品
208,super online banking system,无
209,super-preferential tax policy,无
210,tidal power station,潮汐水力发电站
211,long-distance and roaming charges,无
212,oil product pricing system,无
213,fuel pricing scheme,无
214,fuel pricing mechanism,无
215,intercity high-speed rail,无
216,urban competitiveness,无
217,outbound trip,无
218,start-up company, 新兴企业；公司；起步公司
219,Growth Enterprise Board,无
220,start-up friendly city,无
221,egalitarian practice,无
222,single-product economy, 单一经济
223,low-altitude airspace,无
224,low-carbon economy, 低碳经济；低碳经济体；经济社会
225,the service sector,无
226,the tertiary industry,第三产业
227,dim sum bond,无
228,e-commerce poverty alleviation,无
229,e-waste, 电子废弃物；电子垃圾；电子废物
230,e-business,"n. 电子商务
电子商务公司"
231,e-commerce,n. 电子商务
232,unicorn,n. 独角兽；麒麟
233,revitalize the domestic economy and open up to the outside world,无
234,second-child economy,无
235,anti-tax avoidance clause,无
236,sharing economy, 分享经济；分享型经济；共享经济
237,service outsourcing, 服务外包；服务委外；劳务外包
238,high-net-worth families,无
239,high-net-worth individual, 高资产净值个人；高端的私人客户；由于全球高净值富人
240,high-quality development,无
241,personal income tax,"un. 〔经〕个人所得税
"
242,income tax bracket,un. 所得税等级
243,arable land loss,无
244,fair trade,"na. 互惠贸易
"
245,Common Reporting Standard,无
246,international first-class bay area,无
247,SOE reform,无
248,partnership system,无
249,Internet Plus Inspection initiative,无
250,online finance,无
251,Shanghai-Hong Kong Stock Connect,无
252,golden economic belt,无
253,grey rhino,无
254,exchange rate,"na. 汇率
"
255,collective economy,"un. 集体经济
"
256,collectively owned land,无
257,city with independent budgetary status,无
258,planned economy,"n. 计划经济
"
259,household contract responsibility system,无
260,home services industry,无
261,tax and fee cuts,无
262,develop a modernized economy,无
263,tiered pricing for electricity,无
264,financial services park,无
265,fintech, 金融科技；表面处理技术展；金融资讯科技服务
266,financial market exit mechanism,无
267,China International Import Expo,无
268,economic and technological development zone, [法]经济技术开发区
269,special economic zone,"un. 经济特区
"
270,targeted poverty reduction,无
271,targeted poverty alleviation,无
272,employment-first policy,无
273,sci-tech innovation board,无
274,leapfrog development,无
275,expand domestic demand,无
276,contractor,n. 承包人；立契约者
277,wealth investment product,无
278,tax-for-profit reform,无
279,feel-good factor, 利好因素；良好感觉因素；自我感觉良好
280,food coupon,"na. “food card”的变体；“food stamp”的变体
"
281,illegal charge,无
282,blind reconstruction,无
283,cat economy,无
284,coal conversion industry,无
285,dollar trap,无
286,private lending, 民间借贷；私人贷款；私人借贷
287,equal treatment for domestic and foreign capital,无
288,energy intensity,"un. 能源密集度；能量强度
"
289,energy crunch,无
290,rural migrant worker,无
291,rebuild shanty areas,无
292,quality revolution,无
293,compulsory delisting,(证券交易)强制性除牌
294,joining the WTO,无
295,"repair, replacement and refund",无
296,the three-step development strategy,无
297,Three Gorges Hydro-Power Project,无
298,socialist market economy, 社会主义市场经济；社会主义市场经济体制；社会主义市场经济体系
299,Shenzhen-Hong Kong Stock Connect,无
300,nighttime services,无
301,ecological wealth,无
302,world-class city cluster,无
303,reform of income distribution system,无
304,digital Silk Road,无
305,Double 11,无
306,Singles' Day, 光棍节；光棍节由来的介绍；光棍节由来的英语介绍
307,Silk Road Fund,无
308,aerospace economy,无
309,carbon emission trading,无
310,Special Drawing Rights,"un. 〔经〕特别提款权
"
311,iron rice bowl,"na. 〈外〉铁饭碗
"
312,investment environment,"un. 投资环境
"
313,Foreign Investment Law, [法]外资法
314,internet celebrity economy,无
315,cultural and creative industry,文化创意产业
316,uninhabited island,"un. 荒岛
"
317,unconditional returns,无
318,Internet of Things, 物联网；智慧联网；从事物联网
319,transmit electricity from the western areas to the eastern areas,无
320,West-East Electricity Transmission,无
321,venture into business,无
322,modern metropolitan area,无
323,modernized economy,无
324,rural revitalization strategy,无
325,small and micro businesses,无
326,new normal, 新常态；新的常态；新标准
327,New Retail,无
328,new energy vehicle charger,无
329,new-energy vehicles,无
330,new urbanization,无
331,new type of urbanization,无
332,new first-tier cities,无
333,Spark Program,无
334,Xiongan New Area,无
335,virtual telecom network services,无
336,Asian Infrastructure Investment Bank,无
337,foreign garbage,无
338,waste imports,无
339,to invest money from pension funds into the country's capital markets,无
340,mobile payments,移动支付（mobile payment的复数）
341,house-for-pension scheme,无
342,dual contract,无
343,double contract,无
344,replace business tax with value-added tax,无
345,business environment,"un. 商业环境
"
346,labor shortage,"un. 劳动力缺乏
"
347,Guangdong-Hong Kong-Macao Greater Bay Area,无
348,Bond Connect,无
349,emerging sectors of strategic importance,无
350,strategic pillar industry,无
351,separate permits from the business license,无
352,separate the administrative functions from enterprise management,无
353,separate the administrative functions from business management,无
354,intellectual property protection, 知识产权保护；知识产权保护问题；保护知识产权
355,China model,无
356,Chinese Brands Day,无
357,free trade port with Chinese characteristics,无
358,China-US trade negotiations,无
359,special expense deductions,无
360,pre-establishment national treatment,无
361,Pilot Free Trade Zones,无
362,self-dependent innovation,无
363,make one's own management decisions and take full responsibility for one's own profits and losses,无
364,north-south and east-west intersecting economic belts,无
365,the problem of oversized classes,无
366,multipurpose use and recovery of three types of wastes,无
367,Project 211,无
368,996 work schedule,无
369,BMW,abbr. 德国宝马汽车公司（Bavarian Motor Works）
370,distribution according to one's work,无
371,indemnificatory apartment,无
372,nouveau riche,"n. 暴发户
"
373,homegrown vaccine,无
374,megacity behemoth,无
375,reversible lane,可变向车道
376,tidal flow, 潮流，潮汐流
377,real estate speculator,无
378,license-plate lottery,无
379,evacuation of one's nationals,无
380,coordinated development of compulsory education in urban and rural areas,无
381,craze for going abroad,无
382,second generation entrepreneur,无
383,fat cat,"n. 大亨；阔老
"
384,tycoon,n. 企业界大亨，巨头；巨富
385,mass tourism,"un. 大众旅游
"
386,phubber,指在社交场合注意力不集中喜欢看手机的人
387,surveyed unemployment rate,无
388,electric self-balancing scooter,无
389,enroll students from a computer-generated waiting list,无
390,TV dating,无
391,Winter Olympic Games, 冬季奥运会；冬奥会；冬季奥林匹克运动会
392,egg freezing,卵冷冻(把人卵子取出冷冻保存，供以后植入被赠者的子宫的技术)
393,early childhood education, 幼儿教育；早期儿童教育；早期幼儿教育
394,The 24 Solar Terms,无
395,enhance our students' well-rounded development,无
396,reshoot,重新拍摄
397,remake,"vt. 再制
n. 重做；重制物"
398,reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
399,mortgage slave,"n. 影响正常消费的购房者
"
400,intangible cultural heritage, 非物质文化遗产；无形文化遗产；无形文化资产
401,hierarchical medical system,无
402,welfare lottery, 福利彩票；天朝福利彩票；福彩
403,welfare-oriented distribution of public housing,无
404,charge users for music downloads,无
405,pay for music downloads,无
406,rich second generation,无
407,home to the world's most billionaires,无
408,national college entrance examination,无
409,gaokao, 高考·人生·选择；状元秘笈；录取查询
410,gaokao migrant,无
411,high-speed train, 高速列车；高铁；高速火车
412,high-temperature subsidies,无
413,individual credit rating system,无
414,craftsmanship spirit,无
415,public rental housing,无
416,mutual property,无
417,common wealth, 共同财富；天下杂志；共同富裕
418,bike-sharing, 脚踏车分享；脚踏车共享计画；公共自行车
419,square dancing,广场舞；方块舞（四对男女跳的方形舞） (square dance的变形)
420,students who return to China after studying overseas,无
421,returned overseas students,无
422,transit passenger,"un. 过境旅客
"
423,bus pooling,无
424,nuclear family,"n. 核心家庭
"
425,red envelope as a gift,无
426,wedding-style registration,无
427,prenuptial agreement,"n. 婚前协议
"
428,wedding photo, 婚纱摄影；婚纱照；婚纱作品
429,automobile emission standards,无
430,grassroots community,无
431,container apartment,无
432,give farmers tips on farming techniques,无
433,regulations on driving licenses,无
434,emission reduction, 减排
435,build a learning society,无
436,fast walking, 快速行走；快走
437,progressively raise retirement age,无
438,zombie,n. （某些非洲和加勒比地区的宗教及恐怖故事中）靠巫术起死回生的僵尸; 无生气的人，麻木迟钝的人
439,after-holiday syndrome,无
440,nine-year compulsory education, 普九教育标准
441,home-based care service,无
442,scientific literacy,科学素养
443,empty-nest family,无
444,speed dating,"n. 快速约会；速配
"
445,scale expansion,刻度扩展
446,enrollment expansion,扩招
447,garbage sorting,无
448,labor contract system,无
449,elderly migrants,无
450,cooling-off period,"n. （争执双方试图达成协议的）冷却期
"
451,overseas study,海外留学
452,naked marriage, 裸婚（指不买房、不买车、不办婚礼甚至没有婚戒而直接领证结婚的一种简朴的结婚方式。）
453,golden week for tourism,无
454,delayed employment,无
455,coal mine flood,无
456,colliery flood,无
457,coal boss,无
458,South-North Water Diversion Project,无
459,millennials,"adj. 一千年的；一千年至福的
"
460,universal two-child policy,无
461,Fitness-for-All programs,无
462,mass texting,无
463,talent development scheme,无
464,all-round good students,无
465,crack down on pornography and illegal publications,无
466,crackdown on pornography and illegal publications,无
467,flash marriage and flash divorce,无
468,surf the internet, 上网；网上冲浪；上网冲浪
469,social security system,"un. 社会安全制度
"
470,body mass index,"n. 体重指数；身体质量指数
"
471,eco-friendly burial,无
472,real-name ticket purchase,无
473,real-name reporting,无
474,real-name whistleblowing,无
475,Memory of the World Register,无
476,two-day weekend,无
477,"""Double First-Class"" initiative",无
478,private car,"un. 私人汽车；服务车
"
479,fugitive trapper,无
480,natural enemy of fugitives,无
481,The Nemesis of Fugitives,无
482,flexible educational system,无
483,job-hopping,n. 跳槽
484,railway operation plan,无
485,playing games, 做游戏；玩游戏；玩来玩去
486,ten-thousand-yuan household,无
487,online sensation,无
488,web celebrity,无
489,internet meme,网络迷因（又称“网络爆红，指某个理念或信息迅速在互联网用户间传播的现象）
490,internet hit,无
491,internet celebrity,无
492,virtual floating bottle,无
493,web literature,无
494,net bargainer,无
495,online game moral committee,无
496,live streaming, 串流；视频直播；串流直播
497,online car-hailing,无
498,Project Hope, 希望工程；世界健康基金会；美国世界健康基金会
499,intrusion of saltwater,无
500,intrusion of tidal saltwater,咸潮入侵
501,modern vocational education,无
502,blind date,"n. 相亲；相亲的对象
"
503,after-school training institutions,无
504,keep numbers while switching carriers,无
505,talent show,n. 业余歌手演唱会; 选秀节目，选秀比赛
506,preschool education, 学前教育；幼教；幼儿教育
507,school district house,无
508,academic misconduct,无
509,medicine markup,无
510,diploma mill,"na. 〈美俚〉滥发文凭的大学
"
511,one-off consumption,无
512,hospitals funding their operations with profits from overpriced drugs,无
513,the invisible poor,无
514,Hugo Award,无
515,online dating, 网上约会；网上交友；在线约会网站
516,matchmaking party,无
517,justifiable defense, 正当防卫；正当合理的防卫吧
518,evidence review,无
519,educated youth,知识青年
520,live streaming quiz,无
521,job burnout, 职业倦怠；工作倦怠；职业枯竭
522,product placement,"n. 植入式广告
"
523,middle-income group,中间收入阶层
524,We-Media,无
525,independent recruitment,无
526,The Five-hundred-meter Aperture Spherical Telescope,无
527,passive house,被动式房屋（通过建筑设计减少照明、采暖及空调的能耗的建筑）
528,mapping satellite, 测图卫星
529,supercomputer,n. [计] 巨型计算机，超级计算机
530,taxi-hailing apps,无
531,cab-hailing apps,无
532,big data, 大数据；海量资料；海量数据
533,earthquake early warning,无
534,electronic evidence,电子证据
535,e-government,n. 网络政务厅，电子政务厅
536,carbon dioxide observatory satellite,无
537,stem cell treatment,无
538,homemade passenger jet,无
539,national gene pool,无
540,genetic engineering,"n. 基因工程；遗传工程（学）
"
541,technological innovation,"un. 工艺革新
"
542,methanol-fueled car,甲烷燃料车
543,dock with, 对接；交会对接
544,rendezvous and docking, 交会和对接；交会对接；神九与天宫对接
545,space docking, 空间对接
546,pulsar navigation satellite,无
547,artificial intelligence,"n. 人工智能
"
548,face scan payment,无
549,commercial remote-sensing satellite,无
550,lunar exploration program,无
551,cyber spy, 黑客；间谍
552,online virtual assets,无
553,unmanned supermarket,无
554,autonomous vehicle,无
555,self-driving vehicle,无
556,mini app, 小应用程序
557,gravitational wave,"na. 【物】引力波
"
558,the far side of the moon,无
559,manned spacecraft,"un. 载人空间飞行器；载人航天器；人操纵的宇宙飞船；载人宇宙飞船
"
560,intelligent manufacturing,无
561,relay satellite,"n. 转播卫星
"
562,heavy-lift carrier rocket,无
