,Word,num_occurrences
194,appearing,54
195,appears,67
196,apple,195
197,apples,64
198,appliances,11
199,applied,192
200,applies,27
201,approach,62
202,appropriate,81
203,approximately,88
204,apron,10
205,aquarium,22
206,aquatic,342
207,aquifer,1
208,ar,7
209,archaea,0
210,arctic,219
211,area,1070
212,areas,425
213,argon,8
214,argument,92
215,ariana,1
216,arid,59
217,arises,51
218,arizona,130
219,arkansas,51
220,arms,213
221,around,749
222,arranged,149
223,arrangement,176
224,arrived,23
225,arsenic,41
226,article,81
227,articles,111
228,artificial,136
229,arturo,1
230,asexual,29
231,asexually,7
232,ash,137
233,ask,7
234,asked,14
235,aspect,72
236,assemble,6
237,assembled,33
238,assembly,87
239,associated,373
240,assortment,19
241,assuming,16
242,assumption,43
243,asteroid,10
244,asteroids,1
245,asthenosphere,1
246,astronaut,11
247,astronomer,88
248,astronomers,3
249,astronomical,17
250,astronomy,104
251,astronomybased,0
252,ate,8
253,athlete,69
254,athletic,50
255,atlantic,624
256,atmosphere,163
257,atmospheric,74
258,atom,133
259,atomic,401
260,atoms,163
261,atp,11
262,attach,31
263,attached,291
264,attaching,31
265,attack,223
266,attempt,91
267,attention,155
268,attract,35
269,attracted,12
270,attracting,10
271,attraction,80
272,attracts,31
273,au,14
274,august,48
275,australia,531
276,author,191
277,automobile,120
278,automobiles,49
279,availability,4
280,available,197
281,average,83
282,averages,4
283,avoid,50
284,avoided,11
285,away,195
286,axis,151
287,axles,4
288,b,168
289,babies,31
290,baby,113
291,back,652
292,backbones,0
293,background,74
294,backs,10
295,bacteria,353
296,bacterial,82
297,bacterium,105
298,bad,85
299,bag,165
300,bags,11
301,baker,9
302,bakes,7
303,baking,61
304,balance,127
305,balanced,21
306,baleen,8
307,ball,497
308,balloon,34
309,balloons,4
310,balls,70
311,balsam,65
312,band,203
313,bands,45
314,bank,278
315,banks,94
316,bar,219
317,bare,13
318,bark,532
319,barometer,11
320,barrier,77
321,barriers,10
322,bars,76
323,basalt,6
324,base,493
325,baseball,325
326,based,438
327,basic,419
328,basin,68
329,basins,2
330,basketball,114
331,basketballs,0
332,bass,121
333,batter,93
334,batteries,7
335,battery,73
336,batterypowered,4
337,bay,271
338,bb,7
339,beach,69
340,beads,17
341,beaker,4
342,beakers,0
343,beams,18
344,bear,155
345,bears,88
346,beating,27
347,beautiful,87
348,beavers,14
349,became,291
350,become,224
351,becomes,119
352,becoming,140
353,bed,233
354,bedroom,19
355,bees,48
356,began,56
357,begging,5
358,begin,30
359,beginning,203
360,begins,50
361,behaves,27
362,behavior,388
363,behavioral,27
364,behaviors,11
365,believe,44
366,believed,213
367,believes,53
368,belonged,2
369,belt,103
370,belts,11
371,ben,13
372,bend,52
373,beneath,114
374,beneficial,18
375,benefit,63
376,benefited,0
377,benefits,36
378,bernice,0
379,beryllium,11
380,best,196
381,betacarotene,1
382,betsy,2
383,better,67
384,biased,4
385,bicycle,54
386,bicyclists,0
387,big,109
388,bigger,0
389,bike,16
390,bikes,0
391,bile,39
392,bill,230
393,billions,3
394,bills,32
395,bin,48
396,bind,20
397,binding,60
398,biodiversity,1
399,biofuel,0
400,biogas,0
401,biological,128
402,biologist,45
403,biology,144
404,bioluminescence,1
405,biomass,2
406,biomes,0
407,biomolecule,0
408,biosphere,1
409,biotechnology,3
410,bird,508
411,birds,486
412,birth,219
413,bison,20
414,bites,25
415,black,1335
416,blackandwhite,93
417,bladder,85
418,blanket,26
419,blend,17
420,blender,2
421,blindness,50
422,blink,13
423,block,187
424,blocks,42
425,blog,2
426,blood,1292
427,bloodstream,29
428,bloom,30
429,blooms,23
430,blow,113
431,blowing,50
432,blows,44
433,blue,717
434,board,327
435,boards,21
436,boat,184
437,boats,35
438,bodies,209
439,body,2108
440,boil,15
441,boiling,71
442,boils,15
443,bolt,53
444,bond,148
445,bonds,27
446,bone,499
447,bones,200
448,bonfire,3
449,book,583
450,books,156
451,boots,16
452,born,1643
453,boron,17
454,boston,43
455,bottle,112
456,bottled,8
457,bottles,27
458,bottom,144
459,boulder,15
460,boulders,2
461,bounce,3
462,bounces,10
463,boundaries,20
464,boundary,114
465,bowl,83
466,bowling,70
467,bowlshaped,13
468,box,220
469,boy,147
470,br,5
471,brackish,41
472,brain,352
473,brakes,9
474,braking,2
475,branch,708
476,branches,426
477,brand,25
478,brands,8
479,brazilians,0
480,bread,238
481,breads,7
482,break,101
483,breakdown,43
484,breaking,61
485,breaks,41
486,breath,37
487,breathe,14
488,breathes,3
489,breathing,110
490,breed,243
491,breeding,45
492,brianna,0
493,brick,33
494,bridge,211
495,bridges,24
496,bright,391
497,brightly,121
498,brightness,44
499,bring,50
500,brings,29
501,brittle,111
502,broader,15
503,broke,16
504,broken,105
505,bromide,13
506,bromine,7
507,broom,67
508,brothers,40
509,brought,96
510,brown,697
511,brush,73
512,brushing,10
513,bubbles,16
514,bubbling,2
515,bucket,23
516,buds,47
517,build,46
518,building,523
519,buildings,101
520,builds,42
521,buildup,5
522,built,268
523,buisson,0
524,bulb,80
525,bulbs,35
526,bulldozer,3
527,bulletproof,3
528,bumped,0
529,bundle,49
530,bundles,11
531,bunsen,13
532,buoyancy,16
533,buoyant,13
534,burial,39
535,buried,27
536,burn,43
537,burned,84
538,burner,39
539,burning,71
540,burns,88
541,bury,0
542,burying,5
543,bus,55
544,buses,5
545,bush,201
546,businesses,31
547,busy,12
548,butter,138
549,butterflies,54
550,butterfly,101
551,button,63
552,buy,62
553,buying,34
554,buzzing,9
555,c,144
556,cabin,20
557,cacti,64
558,cactus,100
559,cajon,0
560,cake,145
561,calcium,153
562,calculate,7
563,calculated,50
564,calculation,26
565,calculator,13
566,california,664
567,call,181
568,called,172
569,calories,5
570,cambium,5
571,came,31
572,camera,88
573,camouflage,8
574,camp,80
575,camper,5
576,campfire,4
577,camping,13
578,campsites,1
579,campus,3
580,canada,321
581,cancel,8
582,cancer,143
583,cancerous,10
584,candle,33
585,candles,33
586,candy,93
587,cans,20
588,cantaloupe,4
589,canyon,26
590,cap,295
591,capable,174
592,capacity,192
593,capillaries,16
594,caps,34
595,captivity,25
596,capture,50
597,captures,3
598,capturing,14
599,car,341
600,carbohydrate,20
601,carbohydrates,41
602,carbon,208
603,carbonate,48
604,carbonnitrogen,0
605,carburetor,11
606,cardboard,33
607,cardinals,10
608,carefully,34
609,cargo,72
610,caribbean,87
611,carnivores,4
612,carp,21
613,carpet,66
614,carpeted,0
615,carpool,0
616,carpooling,0
617,carried,201
618,carriers,24
619,carries,168
620,carrots,14
621,carry,166
622,carrying,183
623,cars,85
624,cart,56
625,carton,8
626,cast,70
627,cat,150
628,catcher,22
629,catches,9
630,categorize,0
631,categorized,2
632,caterpillar,26
633,caterpillars,17
634,cats,67
635,cattle,231
636,cause,446
637,caused,720
638,causes,391
639,causing,280
640,cavities,49
641,ceiling,30
642,cell,642
643,cellcycle,0
644,cells,586
645,cellular,43
646,celsius,8
647,cementation,0
648,center,612
649,centers,49
650,centimeter,21
651,centimeters,23
652,central,1923
653,centuries,111
654,century,512
655,cereals,22
656,certain,474
657,ch,25
658,chain,205
659,chains,35
660,challenge,17
661,challenged,11
662,chameleon,11
663,chameleons,12
664,chance,53
665,chances,4
666,change,377
667,changed,44
668,changes,197
669,changing,147
670,channels,26
671,chant,7
672,characteristic,256
673,characteristics,133
674,characterize,11
675,characterizes,4
676,charcoal,29
677,charge,359
678,charged,130
679,charles,218
680,charlie,4
681,chart,48
682,charts,5
683,cheaper,6
684,check,122
685,checked,5
686,checking,14
687,cheek,40
688,cheese,192
689,chemical,440
690,chemically,22
691,chemicals,41
692,chemist,187
693,cherry,158
694,chewing,35
695,chicken,143
696,chickens,20
697,child,253
698,children,356
699,chill,17
700,chips,21
701,chloride,79
702,chlorine,39
703,chlorofluorocarbons,1
704,chlorophyll,43
705,chloroplast,3
706,chloroplasts,1
707,chocolate,122
708,cholesterol,61
709,choose,11
710,chromatids,2
711,chromium,19
712,chromosomes,39
713,chronic,150
714,chute,14
715,cigarettes,16
716,cilia,11
717,circle,168
718,circuit,192
719,circuits,20
720,circular,150
721,circulation,59
722,circulatory,18
723,circumference,12
724,circumstance,13
725,circumstances,79
726,cities,44
727,citrus,92
728,city,1600
729,cl,5
730,claim,55
731,claims,52
732,class,696
733,classes,69
734,classification,277
735,classifications,496
736,classified,113
737,classify,10
738,classmate,1
739,classroom,12
740,clastic,2
741,claws,70
742,clay,134
743,clean,50
744,cleaned,11
745,cleaner,13
746,cleaning,77
747,clear,176
748,cleared,6
749,clearing,14
750,clearly,19
751,cliff,39
752,cliffs,28
753,climate,39
754,climates,23
755,climb,24
756,climbed,0
757,clippings,1
758,clock,88
759,clockwise,7
760,close,213
761,closed,127
762,closely,227
763,closeness,7
764,closer,20
765,closest,11
766,cloth,289
767,cloud,113
768,clouds,41
769,cloudy,8
770,clues,5
771,clump,11
772,clustered,70
773,clusters,563
774,cm,14
775,co,14
776,coaccretion,0
777,coagulation,42
778,coal,131
779,coalburning,1
780,coalpowered,0
781,coast,706
782,coastal,296
783,coastline,12
784,coastlines,0
785,coat,337
786,coated,47
787,coating,77
788,code,167
789,coded,20
790,codons,0
791,coffee,174
792,coil,61
793,coils,10
794,coin,79
795,coins,54
796,cold,208
797,coldblooded,9
798,colder,15
799,coldest,2
800,collapsed,11
801,collapses,2
802,collars,2
803,collect,45
804,collected,72
805,collecting,46
806,collects,46
807,college,141
808,collide,2
809,collides,2
810,collision,22
811,colony,101
812,color,576
813,colored,275
814,colorful,29
815,coloring,33
816,colorless,235
817,colors,161
818,column,154
819,columns,37
820,comb,31
821,combination,115
822,combinations,15
823,combine,29
824,combined,62
825,combining,65
826,combustion,49
827,come,82
828,comes,49
829,comet,9
830,comets,3
831,comfortable,23
832,commensalism,1
833,commercial,284
834,commercials,1
835,commission,86
836,common,1870
837,communicate,25
838,communicating,30
839,communication,261
840,communities,11
841,community,152
842,compaction,3
843,companies,49
844,company,317
845,compare,14
846,compared,8
847,compares,1
848,comparing,9
849,comparison,32
850,compass,136
851,compete,19
852,competition,105
853,competitors,19
854,complementary,15
855,complete,177
856,completed,50
857,completely,58
858,completing,8
859,complex,242
860,component,124
861,components,75
862,composed,201
863,composition,191
864,compositions,13
865,compost,6
866,composting,0
867,compound,421
868,compounds,147
869,compress,4
870,compressed,80
871,compressional,0
872,computer,829
873,computers,95
874,concentrate,14
875,concentrated,28
876,concentration,92
877,concentrations,6
878,concern,92
879,concerned,200
880,concerning,39
881,concerns,10
882,conclude,2
883,concluded,3
884,conclusion,48
885,conclusions,14
886,concrete,52
887,condensation,23
888,condense,2
889,condensed,15
890,condensing,3
891,condition,490
892,conditioner,10
893,conditioning,24
894,conditions,212
895,conduct,137
896,conducted,75
897,conducting,38
898,conduction,35
899,conductor,87
900,conducts,48
901,confident,5
902,conflict,72
903,conformity,35
904,confused,56
905,conjugate,5
906,connected,189
907,connective,61
908,consequence,128
909,consequences,22
910,conservation,36
911,conserve,3
912,conserved,5
913,conserves,6
914,conserving,0
915,consider,23
916,considerable,32
917,considerably,2
918,considered,716
919,considering,2
920,consist,9
921,consistent,8
922,consists,132
923,constant,152
924,constantly,18
925,constellation,117
926,constellations,2
927,construct,30
928,constructed,36
929,constructing,22
930,construction,137
931,consume,0
932,consumed,11
933,consumer,42
934,consumers,12
935,consumes,3
936,contact,189
937,contain,76
938,contained,71
939,container,199
940,containers,16
941,containing,934
942,contains,338
943,contaminate,0
944,contaminated,23
945,contaminates,4
946,content,88
947,contents,56
948,contest,69
949,continent,52
950,continental,50
951,continents,13
952,continually,6
953,continue,34
954,continued,27
955,continues,21
956,continuing,45
957,continuous,140
958,continuously,20
959,contracted,14
960,contracts,41
961,contribute,10
962,contributed,54
963,control,625
964,controlling,84
965,controls,120
966,convection,3
967,convergent,3
968,converging,9
969,convert,21
970,converted,59
971,converting,36
972,converts,58
973,cooking,178
974,cool,59
975,cooled,32
976,cooler,21
977,cooling,41
978,cools,6
979,coolseason,0
980,cooperative,21
981,cooperativeness,1
982,copper,130
983,coral,153
984,corals,36
985,cord,237
986,cords,37
987,core,61
988,coriolis,9
989,cork,35
990,corn,241
991,cornfields,2
992,cornu,1
993,corporation,120
994,correct,65
995,correctly,5
996,cost,107
997,costs,19
998,cotton,232
999,could,71
1000,count,60
1001,counter,89
1002,countries,225
1003,couple,31
1004,course,311
1005,cover,216
1006,covered,349
1007,covering,366
1008,covers,118
1009,cow,61
1010,cows,15
1011,coyote,9
1012,coyotes,0
1013,crack,37
1014,cracking,11
1015,cracks,14
1016,crater,13
1017,craters,2
1018,crawls,4
1019,cream,204
1020,create,64
1021,created,376
1022,creates,42
1023,creating,69
1024,creative,42
1025,creatures,4
1026,credit,156
1027,crew,76
1028,cricket,63
1029,crickets,10
1030,criminal,173
1031,critical,56
1032,crop,101
1033,crops,59
1034,cross,193
1035,crossbred,2
1036,crossed,33
1037,crosspollination,2
1038,crumpled,0
1039,crushed,50
1040,crushes,2
1041,crushing,32
1042,crust,84
1043,crustal,5
1044,crystal,89
1045,crystallike,0
1046,crystallization,16
1047,crystals,82
1048,cu,5
1049,cube,36
1050,cubes,11
1051,cubic,51
1052,culture,178
1053,cup,134
1054,cups,16
1055,curly,35
1056,current,356
1057,currents,52
1058,curved,190
1059,custom,43
1060,customer,46
1061,customers,103
1062,cut,331
1063,cuts,61
1064,cutting,221
1065,cycle,125
1066,cycles,11
1067,cylinder,105
1068,cytoplasm,46
1069,cytosine,7
1070,daily,52
1071,dairy,31
1072,dam,24
1073,damage,114
1074,damages,46
1075,damp,72
1076,dams,13
1077,dangerous,116
1078,dangers,0
1079,dark,815
1080,data,267
1081,date,117
1082,david,91
1083,day,672
1084,daylight,34
1085,days,152
1086,daytime,10
1087,dc,16
1088,dcell,0
1089,ddt,5
1090,dead,209
1091,dealing,139
1092,death,428
1093,deaths,11
1094,debris,20
1095,decades,0
1096,decay,73
1097,decaying,46
1098,decays,7
1099,december,32
1100,decibels,2
1101,decide,18
1102,decided,5
1103,decides,1
1104,deciduous,679
1105,decimating,0
1106,decline,37
1107,declines,2
1108,decompose,0
1109,decomposed,10
1110,decomposer,0
1111,decomposers,0
1112,decomposing,13
1113,decomposition,17
1114,decorative,114
1115,decrease,72
1116,decreased,13
1117,decreases,17
1118,decreasing,18
1119,deep,440
1120,deeper,11
1121,deeperrooted,0
1122,deeprooted,9
1123,deer,140
1124,defense,199
1125,defined,70
1126,definite,46
1127,definition,23
1128,deflect,0
1129,defoliation,4
1130,deforestation,2
1131,deforested,0
1132,degradation,5
1133,degrees,144
1134,delays,18
1135,delete,2
1136,deliberately,78
1137,delivers,44
1138,delta,45
1139,deltas,0
1140,demand,49
1141,demonstrate,7
1142,demonstrated,21
1143,demonstrates,7
1144,demonstration,21
1145,den,15
1146,dennis,1
1147,dense,289
1148,denser,5
1149,densities,1
1150,density,78
1151,department,413
1152,depend,11
1153,dependent,41
1154,depends,38
1155,deplete,0
1156,depleted,2
1157,depleting,0
1158,depletion,8
1159,deposited,59
1160,depositing,10
1161,deposition,17
1162,deposits,78
1163,depressions,0
1164,depth,62
1165,depths,9
1166,derek,0
1167,desalination,1
1168,descendants,28
1169,descended,46
1170,describe,33
1171,described,81
1172,describes,17
1173,describing,73
1174,description,56
1175,descriptions,23
1176,desert,273
1177,desertlike,0
1178,design,140
1179,designed,439
1180,designing,28
1181,designs,39
1182,desirable,25
1183,desktop,6
1184,destroy,74
1185,destroyed,77
1186,destruction,117
1187,destructive,103
1188,detail,36
1189,detailed,47
1190,details,28
1191,detect,68
1192,detector,17
1193,detects,25
1194,determination,54
1195,determine,143
1196,determined,84
1197,determines,34
1198,determining,68
1199,deters,1
1200,detroit,12
1201,develop,93
1202,developed,330
1203,developing,79
1204,development,367
1205,develops,108
1206,device,761
1207,devil,39
1208,devils,36
1209,dew,8
1210,dftd,0
1211,diagram,30
1212,diagrams,9
1213,dialysis,8
1214,diameter,52
1215,diamonds,15
1216,diaphragm,44
1217,die,52
1218,died,161
1219,diesel,24
1220,diet,111
1221,diets,2
1222,difference,95
1223,differences,41
1224,different,454
1225,differentiate,1
1226,differentiation,26
1227,differently,13
1228,differentsized,0
1229,differs,19
1230,difficult,130
1231,difficulty,92
1232,dig,12
1233,digested,2
1234,digesting,0
1235,digestion,38
1236,digestive,51
1237,digests,2
1238,digging,23
1239,dilute,8
1240,dim,11
1241,dimensional,26
1242,diminishes,4
1243,dimples,0
1244,dinosaur,94
1245,dinosaurs,83
1246,dioxide,72
1247,dip,40
1248,direct,143
1249,directing,12
1250,direction,280
1251,directions,60
1252,directly,117
1253,dirt,42
1254,dirty,52
1255,disadvantage,8
1256,disappear,0
1257,disappearance,13
1258,disappeared,9
1259,disappearing,1
1260,disasters,8
1261,discard,7
1262,discontinue,0
1263,discourage,3
1264,discovered,291
1265,discoveries,13
1266,discovering,11
1267,discovers,1
1268,discovery,59
1269,discuss,12
1270,discussed,4
1271,discussing,0
1272,discussion,68
1273,disease,1074
1274,diseases,173
1275,dish,102
1276,disinfectant,24
1277,disinfecting,3
1278,disinfection,2
1279,disks,17
1280,dispersal,2
1281,dispersing,10
1282,displaced,13
1283,display,179
1284,displays,37
1285,disposable,10
1286,disposal,17
1287,dispose,10
1288,disposing,24
1289,disproof,5
1290,disprove,0
1291,disproved,7
1292,disregarded,2
1293,disrupted,4
1294,disruption,8
1295,dissecting,0
1296,dissipate,3
1297,dissolve,9
1298,dissolved,38
1299,dissolves,9
1300,dissolving,15
1301,distance,252
1302,distances,38
1303,distant,53
1304,distilled,60
1305,distinctive,140
1306,distinguish,40
1307,distinguishes,1
1308,distracted,0
1309,distribution,195
1310,disturb,4
1311,diverge,8
1312,divergent,10
1313,diverging,9
1314,diverse,37
1315,diversity,6
1316,divide,38
1317,divided,230
1318,dividing,49
1319,diving,86
1320,division,320
1321,dna,162
1322,doctor,113
1323,doctors,35
1324,documents,47
1325,dog,282
1326,dogma,14
1327,dogs,118
1328,dogwood,26
1329,dolphins,19
1330,domains,0
1331,domestic,248
1332,dominance,14
1333,dominant,58
1334,dominic,3
1335,donate,0
1336,donated,7
1337,done,182
1338,door,194
1339,doorbell,3
1340,doppler,8
1341,dormancy,4
1342,dormant,5
1343,dose,35
1344,double,191
1345,doubled,9
1346,dough,62
1347,downhill,4
1348,downriver,0
1349,downstream,3
1350,downward,65
1351,drains,51
1352,drank,4
1353,draw,64
1354,drawn,147
1355,drier,11
1356,drift,21
1357,drifted,0
1358,drill,84
1359,drink,195
1360,drinking,116
1361,dripped,0
1362,drive,135
1363,driven,91
1364,drivers,14
1365,driveway,1
1366,driving,59
1367,drop,71
1368,droplets,6
1369,dropped,19
1370,drops,32
1371,drought,6
1372,drove,18
1373,drug,764
1374,drummer,5
1375,drums,7
1376,dry,389
1377,dryer,15
1378,drying,63
1379,duck,125
1380,due,207
1381,dump,16
1382,dune,18
1383,dunes,25
1384,duplicating,2
1385,dust,115
1386,dwarf,159
1387,dwarfism,7
1388,dwellers,0
1389,dynamic,14
1390,dysentery,19
1391,eagles,9
1392,ear,195
1393,earlier,72
1394,earlobe,2
1395,earlobes,0
1396,early,448
1397,ears,157
1398,earth,447
1399,earthmoonsun,0
1400,earthquake,24
1401,earthquakes,13
1402,earthsunmoon,0
1403,earthworms,8
1404,ease,31
1405,easier,8
1406,easily,137
1407,east,804
1408,eastern,1869
1409,eastward,63
1410,easy,102
1411,eat,42
1412,eaten,182
1413,eating,139
1414,eats,21
1415,eclipse,17
1416,eclipses,1
1417,ecological,5
1418,ecologists,0
1419,economic,216
1420,ecosystem,5
1421,ecosystems,1
1422,edge,225
1423,edison,9
1424,editor,48
1425,effect,284
1426,effective,94
1427,effects,186
1428,efficiency,15
1429,efficient,28
1430,efficiently,1
1431,efforts,23
1432,egg,152
1433,eggs,146
1434,eggshell,1
1435,egyptians,16
1436,eight,93
1437,either,598
1438,el,56
1439,electric,425
1440,electrical,398
1441,electrically,18
1442,electricians,1
1443,electricity,153
1444,electrodes,33
1445,electromagnetic,160
1446,electron,78
1447,electronics,44
1448,electrons,105
1449,element,567
1450,elements,208
1451,elephants,19
1452,elevation,68
1453,elevations,10
1454,elevator,31
1455,elevenyearold,0
1456,eliminate,19
1457,eliminated,10
1458,eliminates,2
1459,eliminating,4
1460,elk,18
1461,else,125
1462,embryo,63
1463,embryonic,28
1464,embryos,13
1465,emerge,17
1466,emergencies,10
1467,emission,51
1468,emissions,13
1469,emit,14
1470,emitted,36
1471,empty,107
1472,enable,21
1473,enabled,2
1474,enables,50
1475,encircles,6
1476,encoder,0
1477,encountering,0
1478,encounters,4
1479,encourages,11
1480,end,683
1481,endangered,21
1482,endocrine,30
1483,endothermic,3
1484,ends,200
1485,energy,469
1486,energyproducing,5
1487,energysaving,0
1488,engine,296
1489,engineer,115
1490,engineers,1
1491,engines,46
1492,england,683
1493,engulf,9
1494,enhanced,1
1495,enormous,57
1496,enough,109
1497,ensure,5
1498,ensures,2
1499,enter,48
1500,entered,37
1501,entering,41
1502,enters,46
1503,entire,114
1504,entirely,53
1505,environment,113
1506,environmental,40
1507,environmentally,0
1508,environments,9
1509,enzyme,101
1510,enzymes,33
1511,epidemic,35
1512,epidermis,24
1513,epithelial,39
1514,equal,968
1515,equally,26
1516,equals,27
1517,equation,57
1518,equations,22
1519,equator,61
1520,equatorial,30
1521,equilibrium,65
1522,equinox,27
1523,equipment,306
1524,eroded,3
1525,erodes,0
1526,eroding,1
1527,erosion,58
1528,error,77
1529,errors,33
1530,erupted,26
1531,eruption,49
1532,eruptions,15
1533,escaping,15
1534,esophagus,35
1535,especially,3366
1536,essential,163
1537,established,274
1538,establishing,33
1539,establishment,94
1540,estimate,36
1541,estimated,18
1542,estimating,6
1543,estuaries,14
1544,estuary,26
1545,ethan,1
1546,ethane,4
1547,ethanol,11
1548,ethanolgasoline,0
1549,ethical,34
1550,euglena,3
1551,euglenas,0
1552,eukarya,0
1553,eukaryote,2
1554,eukaryotic,24
1555,europa,4
1556,evaluate,8
1557,evaluating,7
1558,evaporate,0
1559,evaporated,5
1560,evaporates,1
1561,evaporating,1
1562,evaporation,12
1563,even,109
1564,evening,88
1565,evenly,17
1566,event,367
1567,events,271
1568,eventually,44
1569,ever,15
1570,evergreen,1133
1571,every,105
1572,everyone,7
1573,everywhere,23
1574,evidence,153
1575,evolution,80
1576,evolved,29
1577,evolving,0
1578,exact,39
1579,exactly,40
1580,examination,133
1581,examine,14
1582,examined,4
1583,examining,34
1584,example,60
1585,examples,9
1586,excellent,25
1587,except,140
1588,excess,141
1589,exchange,198
1590,exclude,13
1591,excluded,18
1592,excrete,3
1593,excretory,23
1594,exercise,146
1595,exercising,23
1596,exert,15
1597,exerted,28
1598,exerts,11
1599,exfoliation,2
1600,exist,46
1601,existed,24
1602,existing,70
1603,exists,72
1604,exothermic,1
1605,expand,15
1606,expanded,35
1607,expands,19
1608,expect,5
1609,expected,85
1610,expel,3
1611,expensive,32
1612,experience,175
1613,experienced,47
1614,experiences,40
1615,experiment,43
1616,experimental,32
1617,experimentation,9
1618,experimenting,3
1619,experiments,26
1620,explain,24
1621,explaining,15
1622,explains,20
1623,explanation,51
1624,explanations,1
1625,exploded,3
1626,exploding,13
1627,explore,25
1628,exposed,59
1629,exposure,134
1630,expressing,95
1631,expression,317
1632,extensive,55
1633,extensively,45
1634,external,203
1635,extinct,334
1636,extinction,19
1637,extinctions,0
1638,extinguished,8
1639,extinguisher,6
1640,extra,72
1641,extracted,56
1642,extrasolar,0
1643,extreme,257
1644,extremely,140
1645,extrusive,2
1646,eye,381
1647,eyeglass,3
1648,eyeglasses,4
1649,eyes,240
1650,eyesight,8
1651,eyespot,5
1652,f,60
1653,fabry,0
1654,faces,56
1655,facial,98
1656,facilitate,18
1657,facilitates,12
1658,fact,116
1659,factor,180
1660,factories,3
1661,factors,51
1662,facts,96
1663,fade,2
1664,fading,3
1665,fair,50
1666,fairly,13
1667,fall,143
1668,fallen,16
1669,falling,69
1670,falls,99
1671,families,140
1672,family,4291
1673,fan,89
1674,far,110
1675,farm,124
1676,farmer,29
1677,farmers,22
1678,farmland,3
1679,farms,8
1680,farther,6
1681,farthest,19
1682,fast,114
1683,faster,15
1684,fastest,4
1685,fat,138
1686,father,253
1687,fatigue,30
1688,fats,53
1689,faucet,12
1690,faucets,0
1691,faulting,4
1692,faults,10
1693,favored,27
1694,favorite,36
1695,fear,122
1696,feathers,77
1697,feature,49
1698,features,79
1699,fed,35
1700,feed,259
1701,feeding,94
1702,feeds,142
1703,feel,39
1704,feels,10
1705,feet,476
1706,felipe,0
1707,fell,22
1708,felt,63
1709,female,370
1710,females,39
1711,fence,56
1712,fern,706
1713,fernandez,2
1714,ferris,2
1715,fertile,95
1716,fertilization,41
1717,fertilized,22
1718,fertilizer,46
