,Implementation smell,Namespace,Class,File,Method,Description
18,Magic Number,Banshee.GStreamerSharp,PlayerEngine,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\PlayerEngine.cs,OnAboutToFinish,The following statement contains a magic number: !next_track_set.WaitOne (1000' false)
19,Magic Number,Banshee.GStreamerSharp,PlayerEngine,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\PlayerEngine.cs,HandleBuffering,The following statement contains a magic number: OnEventChanged (new PlayerEventBufferingArgs (buffer_percent / 100.0));
20,Magic Number,Banshee.GStreamerSharp,PlayerEngine,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\PlayerEngine.cs,StartIterating,The following statement contains a magic number: iterate_timeout_id = GLib.Timeout.Add (200' OnIterate);
21,Magic Number,Banshee.GStreamerSharp,PlayerEngine,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\PlayerEngine.cs,LookupForSubtitle,The following statement contains a magic number: flags |= (1 << 2);
22,Magic Number,Banshee.GStreamerSharp,CddaManager,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\CddaManager.cs,HandleURI,The following statement contains a magic number: p == -1 || p + 2 > uri.Length
23,Magic Number,Banshee.GStreamerSharp,CddaManager,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\CddaManager.cs,HandleURI,The following statement contains a magic number: string track_str = uri.Substring (7' p - 7);
24,Magic Number,Banshee.GStreamerSharp,CddaManager,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\CddaManager.cs,HandleURI,The following statement contains a magic number: string track_str = uri.Substring (7' p - 7);
25,Magic Number,Banshee.GStreamerSharp,AudioCdRipper,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\AudioCdRipper.cs,Begin,The following statement contains a magic number: this.paranoia_mode = enableErrorCorrection ? 255 : 0;
26,Magic Number,Banshee.GStreamerSharp,AudioCdRipper,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\AudioCdRipper.cs,Begin,The following statement contains a magic number: timer.Interval = 200;
27,Magic Number,Banshee.GStreamerSharp,AudioCdRipper,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\AudioCdRipper.cs,RipTrack,The following statement contains a magic number: tag_setter.AddTagValue (TagMergeMode.ReplaceAll' Constants.TAG_VERSION'                          new GLib.Value ( (version.Major << 16) | (version.Minor << 8) | version.Build));
28,Magic Number,Banshee.GStreamerSharp,AudioCdRipper,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\AudioCdRipper.cs,RipTrack,The following statement contains a magic number: tag_setter.AddTagValue (TagMergeMode.ReplaceAll' Constants.TAG_VERSION'                          new GLib.Value ( (version.Major << 16) | (version.Minor << 8) | version.Build));
29,Magic Number,Banshee.GStreamerSharp,AudioCdRipper,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\AudioCdRipper.cs,ConstructPipeline,"The following statement contains a magic number: queue [""max-size-time""] = 120L * Gst.Constants.SECOND;"
30,Magic Number,Banshee.GStreamerSharp,AudioCdRipper,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\AudioCdRipper.cs,ProbeMimeType,"The following statement contains a magic number: switch (mpeg_layer) {                                  case 2: mimetype = ""audio/mp2""; break;                                  case 4: mimetype = ""audio/mp4""; break;                                  default: break;                              }"
31,Magic Number,Banshee.GStreamerSharp,AudioCdRipper,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\AudioCdRipper.cs,ProbeMimeType,"The following statement contains a magic number: switch (mpeg_layer) {                                  case 2: mimetype = ""audio/mp2""; break;                                  case 4: mimetype = ""audio/mp4""; break;                                  default: break;                              }"
32,Magic Number,Banshee.GStreamerSharp,Transcoder,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\Transcoder.cs,Transcoder,The following statement contains a magic number: timer.Interval = 200;
33,Magic Number,Banshee.GStreamerSharp,Visualization,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\Visualization.cs,Visualization,The following statement contains a magic number: vis_fft = new Gst.FFT.FFTF32 (SLICE_SIZE * 2' false);
34,Magic Number,Banshee.GStreamerSharp,Visualization,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\Visualization.cs,Visualization,The following statement contains a magic number: const int GST_QUEUE_LEAK_DOWNSTREAM = 2;
35,Magic Number,Banshee.GStreamerSharp,Visualization,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\Visualization.cs,Visualization,"The following statement contains a magic number: audiosinkqueue [""max-size-time""] = ((long)Gst.Constants.SECOND) * 5L;"
36,Magic Number,Banshee.GStreamerSharp,Visualization,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\Visualization.cs,Visualization,"The following statement contains a magic number: fakesink [""max-lateness""] = ((long)Gst.Constants.SECOND / 120L);"
37,Magic Number,Banshee.GStreamerSharp,Visualization,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\Visualization.cs,Visualization,"The following statement contains a magic number: fakesink [""ts-offset""] = -((long)Gst.Constants.SECOND / 60L);"
38,Magic Number,Banshee.GStreamerSharp,Visualization,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\Visualization.cs,PCMHandoff,The following statement contains a magic number: float[] specbuf = new float [SLICE_SIZE * 2];
39,Magic Number,Banshee.GStreamerSharp,Visualization,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\Visualization.cs,PCMHandoff,The following statement contains a magic number: val = (float)(10.0f * System.Math.Log10 ((double)val));
40,Magic Number,Banshee.GStreamerSharp,Visualization,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\Visualization.cs,PCMHandoff,The following statement contains a magic number: val = (val + 60.0f) / 60.0f;
41,Magic Number,Banshee.GStreamerSharp,Visualization,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\Visualization.cs,PCMHandoff,The following statement contains a magic number: val = (val + 60.0f) / 60.0f;
42,Magic Number,Banshee.GStreamerSharp,DvdManager,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\DvdManager.cs,HandleURI,The following statement contains a magic number: new_dvd_device = uri.Substring (6);
43,Missing Default,Banshee.GStreamerSharp,PlayerEngine,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\PlayerEngine.cs,OnBusMessage,"The following switch statement is missing a default case: switch (msg.Type) {                  case MessageType.Eos:                      StopIterating ();                      Close (false);                      OnEventChanged (PlayerEvent.EndOfStream);                        OnEos ();                      break;                    case MessageType.StateChanged:                      if (msg.Src == playbin) {                          State old_state' new_state' pending_state;                          msg.ParseStateChanged (out old_state' out new_state' out pending_state);                          HandleStateChange (old_state' new_state' pending_state);                      }                      break;                    case MessageType.Buffering:                      int buffer_percent = msg.ParseBuffering ();                      HandleBuffering (buffer_percent);                      break;                    case MessageType.Tag:                      TagList tag_list = msg.ParseTag ();                      tag_list.Foreach (HandleTag);                      break;                    case MessageType.Error:                      GLib.GException err;                      string debug;                      msg.ParseError (out err' out debug);                        HandleError (err);                      break;                    case MessageType.Element:                    if (Gst.PbUtils.Global.IsMissingPluginMessage (msg)) {                      string detail = Gst.PbUtils.Global.MissingPluginMessageGetInstallerDetail (msg);                            if (detail == null)                              return false;                            if (missing_details.Contains (detail)) {                              Log.DebugFormat (""Ignoring missing element details' already prompted ('{0}')""' detail);                              return false;                          }                            Log.DebugFormat (""Saving missing element details ('{0}')""' detail);                          missing_details.Add (detail);                            Log.Error (""Missing GStreamer Plugin""' Gst.PbUtils.Global.MissingPluginMessageGetDescription (msg)' true);                            InstallPluginsContext install_context = new InstallPluginsContext ();                          Gst.PbUtils.Global.InstallPluginsAsync (missing_details.ToArray ()' install_context' OnInstallPluginsReturn);                      } else if (NavigationAdapter.MessageGetType (msg) == NavigationMessageType.CommandsChanged) {                          dvd_manager.HandleCommandsChanged (playbin);                      }                      break;                    case MessageType.StreamStart:                      HandleStreamStart ();                      break;                    case MessageType.Application:                      string name;                      Structure s = msg.Structure;                      name = s.Name;                      if (String.IsNullOrEmpty (name) && name == ""stream-changed"") {                          video_manager.ParseStreamInfo ();                      }                      break;              }"
44,Missing Default,Banshee.GStreamerSharp,BpmDetector,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\BpmDetector.cs,OnBusMessage,"The following switch statement is missing a default case: switch (msg.Type) {              case MessageType.Tag:                  TagList tag_list = msg.ParseTag ();                    foreach (var name in tag_list.Tags) {                      if (name == ""beats-per-minute"") {                          if (tag_list.GetTagSize (name) < 1) {                              continue;                          }                          tag_list.Foreach (delegate(TagList list' string tagname) {                              for (uint i = 0; i < tag_list.GetTagSize (tagname); i++) {                                  GLib.Value val = tag_list.GetValueIndex (tagname' i);                                  if (val.Val is double) {                                      double bpm = (double)val;                                      int rounded = (int)Math.Round (bpm);                                      if (!bpm_histogram.ContainsKey (rounded)) {                                          bpm_histogram [rounded] = 1;                                      } else {                                          bpm_histogram [rounded]++;                                      }                                  }                                  val.Dispose ();                              }                          });                      }                  }                  break;                case MessageType.Error:                  string debug;                  GLib.GException error;                  msg.ParseError (out error' out debug);                    IsDetecting = false;                  Log.ErrorFormat (""BPM Detection error: {0}""' error.Message);                  break;                case MessageType.Eos:                  IsDetecting = false;                  pipeline.SetState (State.Null);                    SafeUri uri = current_uri;                  int best_bpm = -1' best_bpm_count = 0;                  foreach (int bpm in bpm_histogram.Keys) {                      int count = bpm_histogram[bpm];                      if (count > best_bpm_count) {                          best_bpm_count = count;                          best_bpm = bpm;                      }                  }                    Reset ();                    var handler = FileFinished;                  if (handler != null) {                      handler (this' new BpmEventArgs (uri' best_bpm));                  }                    break;              }"
45,Missing Default,Banshee.GStreamerSharp,AudioCdRipper,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\AudioCdRipper.cs,OnBusMessage,"The following switch statement is missing a default case: switch (msg.Type) {                  case MessageType.Eos:                      pipeline.SetState (State.Null);                      timer.Stop ();                      OnFinished ();                      break;                    case MessageType.StateChanged:                      State old_state' new_state' pending_state;                      msg.ParseStateChanged (out old_state' out new_state' out pending_state);                      if (old_state == State.Ready && new_state == State.Paused && pending_state == State.Playing) {                          string mimetype = ProbeMimeType ();                          if (mimetype == null)                              return true;                          Log.InformationFormat (""Ripper : Found Mime Type for encoded content: {0}""' mimetype);                          RefreshTrackMimeType (mimetype);                      }                      break;                    case MessageType.Error:                      GLib.GException err;                      string debug;                      msg.ParseError (out err' out debug);                      RaiseError (current_track' String.Format (""{0} : {1}""' err.Message' debug));                      timer.Stop ();                      break;              }"
46,Missing Default,Banshee.GStreamerSharp,Visualization,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\Visualization.cs,EventProbe,The following switch statement is missing a default case: switch (padEvent.Type) {                  case EventType.FlushStart:                  case EventType.FlushStop:                  case EventType.Seek:                  case EventType.Segment:                  case EventType.CustomDownstream:                      vis_thawing = true;                  break;              }
