,Alias,Category,Name,ID,Natural,Constant,Description
197,BlockMachine2,Block,ic2.common.BlockMachine2,223,0,,
198,BlockMetal,Block,ic2.common.BlockMetal,224,0,,
199,BlockPersonal,Block,ic2.common.BlockPersonal,225,0,,
200,blockLuminator,Block,tile.blockLuminator,226,0,,
201,BlockElectric,Block,ic2.common.BlockElectric,227,0,,
202,BlockCable,Block,ic2.common.BlockCable,228,0,,
203,blockDoorAlloy,Block,tile.blockDoorAlloy,229,0,,
204,blockAlloyGlass,Block,tile.blockAlloyGlass,230,0,,
205,blockAlloy,Block,tile.blockAlloy,231,0,,
206,blockFenceIron,Block,tile.blockFenceIron,232,0,,
207,blockReactorChamber,Block,tile.blockReactorChamber,233,0,,
208,blockRubber,Block,tile.blockRubber,234,0,,
209,blockIronScaffold,Block,tile.blockIronScaffold,235,0,,
210,blockDynamite,Block,tile.blockDynamite,236,0,,
211,blockNuke,Block,tile.blockNuke,237,0,,
212,blockDynamiteRemote,Block,tile.blockDynamiteRemote,238,0,,
213,blockITNT,Block,tile.blockITNT,239,0,,
214,blockHarz,Block,tile.blockHarz,240,0,,
215,blockRubSapling,Block,tile.blockRubSapling,241,1,,
216,leaves,Block,tile.leaves,242,1,,
217,blockRubWood,Block,tile.blockRubWood,243,1,,
218,blockMiningTip,Block,tile.blockMiningTip,244,0,,
219,blockMiningPipe,Block,tile.blockMiningPipe,245,0,,
220,BlockGenerator,Block,ic2.common.BlockGenerator,246,0,,
221,blockOreUran,Block,tile.blockOreUran,247,1,,
222,blockOreTin,Block,tile.blockOreTin,248,1,,
223,blockOreCopper,Block,tile.blockOreCopper,249,1,,
224,BlockMachine,Block,ic2.common.BlockMachine,250,0,,
