,226.,2016-01-10 16:09:11,141.61,98%,If I'm curt with you it's because time is a factor. I think ...,Win (1 of 2)
32,193.0,2015-07-29 03:02:28,143.3,99%,"I never wanted to become someone like him. So secure, conten...",Win (1 of 3)
33,192.0,2015-07-29 03:01:34,153.45,100%,"On a manual typewriter, strike the key with a nice sharp str...",Win (1 of 3)
34,191.0,2015-07-29 02:59:30,145.7,99%,Never give up on everything if one thing is too hard. Never ...,Win (1 of 2)
35,190.0,2015-07-29 02:57:14,135.98,99%,"May your hands always be busy, may your feet always be swift...",Win (1 of 4)
36,189.0,2015-07-29 02:54:30,141.06,98%,"You have a class of young strong men and women, and they wan...",Win (1 of 3)
37,188.0,2015-07-28 00:04:10,144.13,99%,"Hello, babies. Welcome to Earth. It's hot in the summer and ...",No win (2 of 4)
38,187.0,2015-07-28 00:02:59,137.07,95%,"When I close my eyes, I am at the center of the sun. And I c...",No win (2 of 3)
39,186.0,2015-07-28 00:00:40,145.24,98%,When we got to the Mint I parked on the street in front of t...,Win (1 of 2)
40,185.0,2015-07-27 23:59:05,136.65,97%,You're not like the others. I've seen a few; I know. When I ...,Win (1 of 2)
41,184.0,2015-07-27 23:55:17,137.13,97%,"When the light of life has gone, no change for the meter. Th...",Win (1 of 3)
42,183.0,2015-07-15 01:16:21,151.26,98%,Let me tell you why you're here. You're here because you kno...,Win (1 of 3)
43,182.0,2015-07-15 01:10:49,147.88,98%,"Hanging by threads of palest silver, I could have stayed tha...",Win (1 of 3)
44,181.0,2015-07-15 01:09:48,140.18,98%,Every time I think of you I feel shot right through with a b...,Win (1 of 2)
45,180.0,2015-07-15 01:05:35,135.58,94%,"Hello, babies. Welcome to Earth. It's hot in the summer and ...",Win (1 of 5)
46,179.0,2015-07-15 01:04:23,140.18,95%,"But no matter how effective the lesson was, I never really u...",Win (1 of 2)
47,178.0,2015-07-15 01:00:55,141.17,96%,Never give up on everything if one thing is too hard. Never ...,Win (1 of 2)
48,177.0,2015-07-15 01:00:08,135.44,94%,There's a hole in the world like a great black pit. And the ...,Win (1 of 3)
49,176.0,2015-07-15 00:58:55,143.67,97%,"When the light of life has gone, no change for the meter. Th...",Win (1 of 3)
50,175.0,2015-07-15 00:03:28,152.1,98%,Humans need to practice what they are learning a good deal b...,Win (1 of 2)
51,174.0,2015-07-14 23:58:59,137.71,99%,"The Orient was almost a European invention, and had been sin...",Win (1 of 2)
52,173.0,2015-07-14 23:56:41,139.19,97%,"When you are typing on a typewriter, your input appears dire...",Win (1 of 3)
53,172.0,2015-07-14 23:55:17,133.62,96%,"Take care where you're going, doing all the things you do. E...",No win (2 of 2)
54,171.0,2015-07-13 00:02:55,135.65,99%,I don't believe in painted roses or bleeding hearts while bu...,Win (1 of 4)
55,170.0,2015-07-13 00:01:12,137.71,97%,"I never wanted to become someone like him. So secure, conten...",Win (1 of 3)
56,169.0,2015-07-13 00:00:00,135.67,97%,You're not like the others. I've seen a few; I know. When I ...,Win (1 of 3)
57,168.0,2015-07-12 23:55:30,140.23,98%,Space is big. Really big. You just won't believe how vastly ...,Win (1 of 3)
58,167.0,2015-07-12 20:13:19,150.94,94%,There's a hole in the world like a great black pit. And the ...,Win (1 of 3)
59,166.0,2015-07-12 20:04:47,170.67,98%,The major difference between a thing that might go wrong and...,Win (1 of 3)
60,165.0,2015-07-12 20:01:35,151.53,96%,If you're working out in front of a mirror and watching your...,Win (1 of 5)
61,164.0,2015-07-12 19:59:24,147.77,98%,"In the casino, the cardinal rule is to keep them playing and...",No win (2 of 2)
62,163.0,2015-07-12 19:57:45,133.31,99%,There's sometimes a buggy. How many drivers does a buggy hav...,No win (3 of 3)
63,162.0,2015-07-12 19:55:39,147.19,97%,There comes a point when you just love someone. Not because ...,No win (2 of 4)
64,161.0,2015-07-12 19:54:53,178.48,100%,"You know, sweetheart, if there's one thing I've learned, it'...",Win (1 of 2)
65,160.0,2015-07-08 01:24:38,146.01,98%,It is possible that I already had some presentiment of my fu...,Win (1 of 2)
66,159.0,2015-07-08 01:23:55,163.54,97%,I used to dread getting older because I thought I would not ...,Win (1 of 3)
67,158.0,2015-07-08 01:17:14,151.65,95%,Let me tell you why you're here. You're here because you kno...,Win (1 of 2)
68,157.0,2015-07-08 01:14:34,145.79,97%,Focus your attention on the Now and tell me what problem you...,No win (2 of 3)
69,156.0,2015-07-04 23:12:02,146.78,99%,Although his voice was also broken by uncertainty and his ha...,Win (1 of 2)
70,155.0,2015-07-04 23:05:01,149.89,98%,The major difference between a thing that might go wrong and...,Win (1 of 3)
71,154.0,2015-07-04 23:01:56,150.56,98%,"Ever since I was a child, folks have thought they had me peg...",Win (1 of 4)
72,153.0,2015-07-04 23:01:36,153.0,99%,When we got to the Mint I parked on the street in front of t...,Win (1 of 2)
73,152.0,2015-07-04 22:13:48,156.22,97%,There are but two types of men who desire war: those who hav...,Win (1 of 3)
74,151.0,2015-07-04 22:06:30,154.36,98%,"I never wanted to become someone like him. So secure, conten...",Win (1 of 3)
75,150.0,2015-07-04 22:04:59,154.32,100%,Music finds a comfortable parallel with that of human langua...,Win (1 of 3)
76,149.0,2015-07-04 22:01:44,158.74,97%,"I hope that whoever you are, you escape this place. I hope t...",Win (1 of 3)
77,148.0,2015-07-04 21:59:02,154.35,99%,"They say, ""Find a purpose in your life and live it."" But, so...",Win (1 of 3)
78,147.0,2015-07-04 21:55:51,141.36,94%,All time is all time. It does not change. It does not lend i...,Win (1 of 3)
79,146.0,2015-07-04 21:53:02,164.52,98%,There comes a point when you just love someone. Not because ...,Win (1 of 3)
80,145.0,2015-07-04 21:51:07,158.6,99%,Don't take anything personally - nothing others do is becaus...,Win (1 of 4)
81,144.0,2015-07-04 21:48:54,140.69,96%,"But older than me now, more constant, more real, and the fur...",Win (1 of 5)
82,143.0,2015-07-04 21:48:11,146.5,98%,The beginner writes just twenty pieces. The professional wri...,Win (1 of 4)
83,142.0,2015-07-04 21:47:46,152.34,96%,"I went to the woods because I wished to live deliberately, t...",Win (1 of 2)
84,141.0,2015-07-04 21:46:14,148.54,98%,The Inca believed that if one did not give thanks and obedie...,Win (1 of 4)
85,140.0,2015-07-04 21:43:24,156.96,97%,One essential rule: make sure the joke is the last possible ...,Win (1 of 2)
86,139.0,2015-07-04 21:42:49,140.31,98%,"There was me, that is Alex, and my three droogs, that is Pet...",Win (1 of 2)
87,138.0,2015-07-03 02:19:58,156.19,100%,All time is all time. It does not change. It does not lend i...,Win (1 of 2)
88,137.0,2015-07-03 02:14:55,148.15,100%,A glooming peace this morning with it brings. The sun for so...,Win (1 of 3)
89,136.0,2015-06-28 00:58:19,142.25,96%,"After others have talked about themselves, a point will be r...",Win (1 of 2)
90,135.0,2015-06-28 00:54:37,153.19,98%,"If you think that you are going to love something, give it a...",Win (1 of 4)
91,134.0,2015-06-28 00:49:30,144.83,98%,I suddenly had the impression that I had been left all alone...,Win (1 of 3)
92,133.0,2015-06-28 00:47:10,144.56,97%,"After others have talked about themselves, a point will be r...",No win (2 of 3)
93,132.0,2015-06-28 00:44:22,147.74,97%,"Well, the way they make shows is, they make one show. That s...",No win (2 of 3)
94,131.0,2015-06-28 00:43:41,159.77,97%,Although his voice was also broken by uncertainty and his ha...,No win (1 of 1)
95,130.0,2015-06-27 23:47:01,155.49,96%,"Ever since I was a child, folks have thought they had me peg...",Win (1 of 3)
96,129.0,2015-06-27 23:41:40,142.48,100%,I just want to tell you how I'm feeling. Gotta make you unde...,Win (1 of 2)
97,128.0,2015-06-27 23:41:05,144.48,97%,God help the man who ever really loves you. You'd break his ...,Win (1 of 3)
98,127.0,2015-06-23 13:34:31,151.16,95%,There is something about yourself that you don't know. Somet...,Win (1 of 3)
99,126.0,2015-06-23 13:33:04,156.39,99%,"I never wanted to become someone like him. So secure, conten...",Win (1 of 4)
100,125.0,2015-06-23 13:21:37,136.36,98%,I don't believe in painted roses or bleeding hearts while bu...,No win (2 of 3)
101,124.0,2015-06-23 13:18:23,178.63,99%,"It's a funny thing, but people mostly have it backward. They...",Win (1 of 2)
102,123.0,2015-06-23 13:13:36,151.52,98%,"Many people limit themselves to leading boring, dull lives b...",Win (1 of 4)
103,122.0,2015-06-22 11:52:51,141.23,97%,"Time is tricky. You have whole months, even years, when noth...",Win (1 of 4)
104,121.0,2015-06-22 11:49:38,176.65,100%,The quick brown fox jumps over the lazy dog.,Win (1 of 3)
105,120.0,2015-06-22 11:49:11,141.39,96%,We've known each other for many years but this is the first ...,Win (1 of 2)
106,119.0,2015-06-19 16:47:53,153.92,97%,I used to dread getting older because I thought I would not ...,Win (1 of 2)
107,118.0,2015-06-19 16:46:28,148.37,96%,"Ticking away the moments that make up a dull day, you fritte...",Win (1 of 2)
108,117.0,2015-06-19 16:43:42,156.36,97%,I've been looking so long at these pictures of you that I al...,Win (1 of 2)
109,116.0,2015-06-18 22:19:06,151.52,99%,I suddenly had the impression that I had been left all alone...,No win (2 of 3)
110,115.0,2015-06-18 22:16:59,146.61,96%,"If one day I could get out of here, I would allow myself to ...",Win (1 of 3)
111,114.0,2015-06-18 22:15:22,145.54,96%,All time is all time. It does not change. It does not lend i...,No win (2 of 3)
112,113.0,2015-06-18 22:14:17,174.1,100%,I used to dread getting older because I thought I would not ...,Win (1 of 3)
113,112.0,2015-06-18 22:11:35,160.23,99%,"I went to the woods because I wished to live deliberately, t...",Win (1 of 3)
114,111.0,2015-06-18 22:09:09,148.85,97%,The unknown future rolls toward us. I face it for the first ...,Win (1 of 3)
115,110.0,2015-06-18 22:07:52,144.16,99%,I don't believe in painted roses or bleeding hearts while bu...,Win (1 of 4)
116,109.0,2015-06-18 22:06:45,186.97,100%,I used to dread getting older because I thought I would not ...,Win (1 of 2)
117,108.0,2015-06-18 22:05:56,145.54,96%,"Hello, babies. Welcome to Earth. It's hot in the summer and ...",Win (1 of 2)
118,107.0,2015-06-18 21:59:22,150.01,96%,When we got to the Mint I parked on the street in front of t...,Win (1 of 3)
119,106.0,2015-06-18 21:54:42,149.75,97%,"It's a funny thing, but people mostly have it backward. They...",Win (1 of 4)
120,105.0,2015-06-18 21:52:18,146.62,97%,There's a hole in the world like a great black pit. And the ...,Win (1 of 3)
121,104.0,2015-06-18 21:51:10,154.31,98%,I think you're gonna find - when all this stuff is over and ...,Win (1 of 4)
122,103.0,2015-06-18 21:49:57,145.09,95%,The place to improve the world is first in one's own heart a...,Win (1 of 2)
123,102.0,2015-06-18 20:58:45,166.2,97%,Remember that humor is written backwards. That means you fir...,Win (1 of 4)
124,101.0,2015-06-18 20:54:28,160.82,100%,There comes a point when you just love someone. Not because ...,Win (1 of 3)
125,100.0,2015-06-18 20:52:21,164.17,98%,Every time I think of you I feel shot right through with a b...,Win (1 of 2)
126,99.0,2015-06-18 20:48:53,148.78,98%,"When I was your age, television was called books. And this i...",Win (1 of 4)
127,98.0,2015-06-18 20:47:23,157.35,99%,You're not like the others. I've seen a few; I know. When I ...,Win (1 of 2)
128,97.0,2015-06-18 20:46:22,137.41,97%,We have a criminal jury system which is superior to any in t...,Win (1 of 2)
129,96.0,2015-06-18 20:44:12,140.0,96%,Don't bother trying to explain your emotions. Live everythin...,Win (1 of 2)
130,95.0,2015-06-17 23:44:20,155.51,100%,"The less you do with the controls, the less chance of error....",Win (1 of 4)
131,94.0,2015-06-17 23:41:16,138.36,99%,"After others have talked about themselves, a point will be r...",Win (1 of 4)
132,93.0,2015-06-17 23:40:50,141.5,98%,"That day, for no particular reason, I decided to go for a li...",Win (1 of 2)
133,92.0,2015-06-17 23:40:08,144.23,99%,"There are perhaps twenty regular posters on the forum, and s...",No win (2 of 2)
134,91.0,2015-06-17 23:38:20,131.92,95%,"When I really worry about something, I don't just fool aroun...",Win (1 of 2)
135,90.0,2015-06-17 23:37:14,148.23,98%,"But it is important to know this, to know your roots. To kno...",Win (1 of 3)
136,89.0,2015-06-17 01:11:41,138.12,99%,"My darling, you have to be standing up in order to be able t...",Win (1 of 2)
137,88.0,2015-06-17 01:09:07,133.81,94%,The unknown future rolls toward us. I face it for the first ...,Win (1 of 2)
138,87.0,2015-06-17 01:07:06,152.28,97%,"For centuries, the battle of morality was fought between tho...",Win (1 of 2)
139,86.0,2015-06-17 01:02:54,138.04,97%,"In the casino, the cardinal rule is to keep them playing and...",No win (2 of 3)
140,85.0,2015-06-17 01:00:02,142.29,98%,It is possible that I already had some presentiment of my fu...,Win (1 of 2)
141,84.0,2015-06-17 00:58:13,148.28,99%,"Tim and the Princess lounge in the castle garden, laughing t...",Win (1 of 3)
142,83.0,2015-06-17 00:55:49,148.58,99%,"If you don't get what you want, you suffer; if you get what ...",Win (1 of 4)
143,82.0,2015-06-15 12:23:37,154.54,100%,You're not like the others. I've seen a few; I know. When I ...,Win (1 of 3)
144,81.0,2015-06-15 12:20:18,141.29,99%,"And in the world a heart of darkness, a firezone, where poet...",No win (2 of 5)
145,80.0,2015-06-15 12:19:43,147.74,99%,If I'm curt with you it's because time is a factor. I think ...,Win (1 of 3)
146,79.0,2015-06-15 12:17:16,141.57,99%,"And as we let our own light shine, we unconsciously give oth...",Win (1 of 2)
147,78.0,2015-06-15 12:15:20,134.78,96%,"Races are not won in the first corner; however, they are oft...",Win (1 of 2)
148,77.0,2015-06-15 12:14:41,148.23,100%,"Hanging by threads of palest silver, I could have stayed tha...",Win (1 of 2)
149,76.0,2015-06-15 12:12:59,134.77,95%,"Hanging by threads of palest silver, I could have stayed tha...",No win (2 of 3)
150,75.0,2015-06-15 12:09:52,143.73,98%,Come sail your ships around me and burn your bridges down. W...,Win (1 of 2)
151,74.0,2015-06-15 12:06:38,148.61,100%,"My name is Turkish. Funny name for an Englishman, I know. My...",Win (1 of 2)
152,73.0,2015-06-15 12:02:47,129.17,97%,The streets were cleared by a Critical Mass bike ride and we...,Win (1 of 5)
153,72.0,2015-06-15 11:59:20,140.35,98%,"Take my love, take my land, take me where I cannot stand. I ...",Win (1 of 2)
154,71.0,2015-06-14 13:38:27,146.05,96%,"When I was your age, television was called books. And this i...",Win (1 of 3)
155,70.0,2015-06-14 13:36:36,152.58,98%,"Don't tell me what's in, don't tell me how to write, don't t...",Win (1 of 2)
156,69.0,2015-06-14 13:35:02,143.76,100%,It doesn't mean much to be able to filter out most present-d...,Win (1 of 3)
157,68.0,2015-06-12 19:59:28,149.31,99%,"She's got a smile that, it seems to me, reminds me of childh...",Win (1 of 3)
158,67.0,2015-06-12 19:54:15,146.14,100%,Don't bother trying to explain your emotions. Live everythin...,Win (1 of 3)
159,66.0,2015-06-12 19:35:34,159.07,100%,It was hard to toss things I had once thought were valuable ...,Win (1 of 4)
160,65.0,2015-06-12 19:34:39,143.73,98%,"I don't want tickets, I need you to find me a painting, a cl...",Win (1 of 4)
161,64.0,2015-06-12 19:32:45,147.2,97%,Writing is hard work. A clear sentence is no accident. Very ...,Win (1 of 2)
162,63.0,2015-06-12 19:27:34,153.72,99%,For it is not enough to have a good mind; the main thing is ...,Win (1 of 3)
163,62.0,2015-06-12 19:23:49,138.1,98%,All the blue light reflections that color my mind when I sle...,Win (1 of 3)
164,61.0,2015-06-10 21:45:11,140.96,96%,I think you're gonna find - when all this stuff is over and ...,Win (1 of 2)
165,60.0,2015-06-10 21:43:57,144.66,99%,God help the man who ever really loves you. You'd break his ...,Win (1 of 3)
166,59.0,2015-06-10 21:42:28,143.99,95%,"Hello, babies. Welcome to Earth. It's hot in the summer and ...",Win (1 of 3)
167,58.0,2015-06-10 21:41:48,144.96,98%,"Time is tricky. You have whole months, even years, when noth...",Win (1 of 3)
168,57.0,2015-06-10 21:40:54,142.55,93%,When we got to the Mint I parked on the street in front of t...,Win (1 of 3)
169,56.0,2015-06-09 21:21:34,146.24,97%,"After others have talked about themselves, a point will be r...",Win (1 of 2)
170,55.0,2015-06-09 20:06:36,141.23,96%,"That fear had been inside him for many years, it had lived w...",Win (1 of 3)
171,54.0,2015-06-07 20:57:16,149.05,99%,There are very few things I wish I could change about those ...,Win (1 of 3)
172,53.0,2015-06-07 20:49:15,145.24,99%,"Trudging slowly over wet sand, back to the bench where your ...",Win (1 of 3)
173,52.0,2015-06-07 20:47:40,136.02,97%,"The goal of the true seeker is to become a sage, or superior...",Win (1 of 3)
174,51.0,2015-06-07 20:47:01,161.35,98%,"Ticking away the moments that make up a dull day, you fritte...",Win (1 of 3)
175,50.0,2015-06-07 20:45:55,144.59,100%,I thought climbing the Devil's Thumb would fix all that was ...,Win (1 of 4)
176,49.0,2015-06-07 20:43:48,152.95,99%,Never give up on everything if one thing is too hard. Never ...,Win (1 of 4)
177,48.0,2015-06-07 20:17:44,144.57,98%,If I'm curt with you it's because time is a factor. I think ...,Win (1 of 2)
178,47.0,2015-06-07 20:16:06,155.94,97%,"You have a class of young strong men and women, and they wan...",Win (1 of 3)
179,46.0,2015-06-07 20:14:42,136.62,99%,The men in the room suddenly realized that they didn't want ...,Win (1 of 3)
180,45.0,2015-06-07 20:12:15,142.78,98%,I must not fear. Fear is the mind killer. Fear is the little...,Win (1 of 2)
181,44.0,2015-06-07 20:10:52,163.73,98%,"For centuries, the battle of morality was fought between tho...",Win (1 of 2)
182,43.0,2015-06-07 20:07:05,147.57,99%,You can know the name of a bird in all the languages of the ...,Win (1 of 3)
183,42.0,2015-06-07 20:06:21,154.88,98%,"Don't tell me what's in, don't tell me how to write, don't t...",Win (1 of 3)
184,41.0,2015-06-07 18:04:31,143.53,99%,"Listen up, maggots. You are not special. You are not a beaut...",Win (1 of 4)
185,40.0,2015-06-07 18:03:52,145.53,96%,There is something about yourself that you don't know. Somet...,Win (1 of 3)
186,39.0,2015-06-07 18:02:46,151.61,98%,I think you're gonna find - when all this stuff is over and ...,Win (1 of 3)
187,38.0,2015-06-07 17:58:43,150.26,97%,"The less you do with the controls, the less chance of error....",Win (1 of 3)
188,37.0,2015-06-07 17:56:15,138.36,94%,I suddenly had the impression that I had been left all alone...,Win (1 of 4)
189,36.0,2015-06-07 17:55:23,155.38,97%,"Your face has fallen sad now, for you know the time is nigh....",Win (1 of 2)
190,35.0,2015-06-07 12:55:20,145.86,98%,"A computer needs a manager to administer its operations, jus...",Win (1 of 5)
191,34.0,2015-06-07 12:54:36,135.15,97%,"And I said, I don't care if they lay me off either, because ...",Win (1 of 2)
192,33.0,2015-06-07 12:52:36,132.12,95%,There comes a point when you just love someone. Not because ...,Win (1 of 2)
193,32.0,2015-06-07 12:49:08,165.72,100%,From compositional considerations the tomato layer would be ...,Win (1 of 4)
194,31.0,2015-06-07 12:46:45,133.83,99%,The child is brought up in a culture where he or she simply ...,Win (1 of 4)
195,30.0,2015-06-06 21:45:57,139.66,99%,"I did my best, it wasn't much. I couldn't feel, so I tried t...",Win (1 of 3)
196,29.0,2015-06-06 21:42:11,142.65,98%,If there is one thing the history of evolution has taught us...,Win (1 of 5)
197,28.0,2015-06-06 21:39:16,146.99,99%,"This planet has, or rather had, a problem, which was this: m...",Win (1 of 5)
198,27.0,2015-06-03 22:33:49,133.45,99%,We often believe the more we practice a skill or technique -...,Win (1 of 4)
199,26.0,2015-06-03 22:33:03,131.29,97%,"Take my love, take my land, take me where I cannot stand. I ...",Win (1 of 4)
200,25.0,2015-06-03 22:32:33,141.43,95%,I hope it is true that a man can die and yet not only live i...,No win (2 of 4)
201,24.0,2015-06-03 22:31:29,138.62,98%,We all know people who are very bright but who do not always...,Win (1 of 5)
202,23.0,2015-06-03 22:30:04,132.6,95%,"Time is tricky. You have whole months, even years, when noth...",No win (2 of 4)
203,22.0,2015-06-03 22:29:20,126.54,97%,"All life's battles teach us something, even those we lose. W...",No win (2 of 3)
204,21.0,2015-06-03 22:28:35,134.38,99%,"A robot may not injure a human being, or, through inaction, ...",Win (1 of 2)
205,20.0,2015-06-03 22:27:23,131.1,99%,I am fundamentally an optimist. Whether that comes from natu...,Win (1 of 3)
206,19.0,2015-06-03 22:26:29,143.66,98%,The time has come for man to set himself a goal. The time ha...,Win (1 of 3)
207,18.0,2015-06-03 22:25:40,135.56,99%,A freedom fighter learns the hard way that it is the oppress...,Win (1 of 2)
208,17.0,2015-06-03 22:24:26,144.23,98%,"Tim and the Princess lounge in the castle garden, laughing t...",Win (1 of 4)
209,16.0,2015-06-03 22:22:55,145.82,98%,Be impeccable with your word - speak with integrity. Say onl...,No win (1 of 1)
210,15.0,2015-06-03 22:22:24,147.52,99%,"I had a dream. There was our world, and the world was dark b...",Win (1 of 3)
211,14.0,2015-06-03 22:15:33,138.03,97%,"The problem is, Willie, is that Charles and yourself are not...",Win (1 of 2)
212,13.0,2015-06-03 22:10:51,141.22,96%,Let me tell you why you're here. You're here because you kno...,Win (1 of 3)
213,12.0,2015-06-03 22:08:17,135.01,99%,"No man is an island, entire of itself; every man is a piece ...",Win (1 of 2)
214,11.0,2015-06-03 22:07:08,116.76,96%,The feeling of having no power over people and events is gen...,No win (2 of 3)
215,10.0,2015-06-03 22:06:05,150.39,99%,You can know the name of a bird in all the languages of the ...,Win (1 of 3)
216,9.0,2015-06-03 22:05:08,128.46,96%,There was a time not that long ago when many drivers thought...,Win (1 of 4)
217,8.0,2015-06-03 22:03:52,145.6,99%,"What good's a reward if you ain't around to use it? Besides,...",Win (1 of 3)
218,7.0,2015-06-03 22:02:36,118.33,97%,Is this the real life? Is this just fantasy? Caught in a lan...,Win (1 of 3)
219,6.0,2015-06-03 22:00:01,158.2,97%,"It's a funny thing, but people mostly have it backward. They...",Win (1 of 5)
220,5.0,2015-06-03 21:59:01,132.89,99%,The chemistry of an element is determined by the manner in w...,Win (1 of 4)
221,4.0,2015-06-03 21:57:20,136.42,96%,"Ticking away the moments that make up a dull day, you fritte...",No win (2 of 2)
222,3.0,2015-06-03 21:56:45,139.57,99%,Even the best-designed chair won't make up for bad posture. ...,Win (1 of 4)
223,2.0,2015-06-03 21:55:41,120.27,94%,Remembering you running soft through the night. You were big...,No win (2 of 2)
224,1.0,2015-06-03 21:28:19,134.03,99%,"Because some men aren't looking for anything logical, like m...",Win (1 of 4)
