,Category,Variable Name,Unit of Measure,Data Type,Description,Example
58,vitals,d1_mbp_noninvasive_min,Millimetres of mercury,numeric,"The patient's lowest mean blood pressure during the first 24 hours of their unit stay, non-invasively measured",80
59,vitals,d1_resprate_max,Breaths per minute,numeric,The patient's highest respiratory rate during the first 24 hours of their unit stay,14
60,vitals,d1_resprate_min,Breaths per minute,numeric,The patient's lowest respiratory rate during the first 24 hours of their unit stay,14
61,vitals,d1_spo2_max,Percentage,numeric,The patient's highest peripheral oxygen saturation during the first 24 hours of their unit stay,None
62,vitals,d1_spo2_min,Percentage,numeric,The patient's lowest peripheral oxygen saturation during the first 24 hours of their unit stay,100
63,vitals,d1_sysbp_invasive_max,Millimetres of mercury,numeric,"The patient's highest systolic blood pressure during the first 24 hours of their unit stay, invasively measured",120
64,vitals,d1_sysbp_invasive_min,Millimetres of mercury,numeric,"The patient's lowest systolic blood pressure during the first 24 hours of their unit stay, invasively measured",120
65,vitals,d1_sysbp_max,Millimetres of mercury,numeric,"The patient's highest systolic blood pressure during the first 24 hours of their unit stay, either non-invasively or invasively measured",120
66,vitals,d1_sysbp_min,Millimetres of mercury,numeric,"The patient's lowest systolic blood pressure during the first 24 hours of their unit stay, either non-invasively or invasively measured",120
67,vitals,d1_sysbp_noninvasive_max,Millimetres of mercury,numeric,"The patient's highest systolic blood pressure during the first 24 hours of their unit stay, non-invasively measured",120
68,vitals,d1_sysbp_noninvasive_min,Millimetres of mercury,numeric,"The patient's lowest systolic blood pressure during the first 24 hours of their unit stay, non-invasively measured",120
69,vitals,d1_temp_max,Degrees Celsius,numeric,"The patient's highest core temperature during the first 24 hours of their unit stay, invasively measured",33
70,vitals,d1_temp_min,Degrees Celsius,numeric,The patient's lowest core temperature during the first 24 hours of their unit stay,33
71,vitals,h1_diasbp_invasive_max,Millimetres of mercury,numeric,"The patient's highest diastolic blood pressure during the first hour of their unit stay, invasively measured",60
72,vitals,h1_diasbp_invasive_min,Millimetres of mercury,numeric,"The patient's lowest diastolic blood pressure during the first hour of their unit stay, invasively measured",60
73,vitals,h1_diasbp_max,Millimetres of mercury,numeric,"The patient's highest diastolic blood pressure during the first hour of their unit stay, either non-invasively or invasively measured",60
74,vitals,h1_diasbp_min,Millimetres of mercury,numeric,"The patient's lowest diastolic blood pressure during the first hour of their unit stay, either non-invasively or invasively measured",60
75,vitals,h1_diasbp_noninvasive_max,Millimetres of mercury,numeric,"The patient's highest diastolic blood pressure during the first hour of their unit stay, non-invasively measured",60
76,vitals,h1_diasbp_noninvasive_min,Millimetres of mercury,numeric,"The patient's lowest diastolic blood pressure during the first hour of their unit stay, non-invasively measured",60
77,vitals,h1_heartrate_max,Beats per minute,numeric,The patient's highest heart rate during the first hour of their unit stay,75
78,vitals,h1_heartrate_min,Beats per minute,numeric,The patient's lowest heart rate during the first hour of their unit stay,75
79,vitals,h1_mbp_invasive_max,Millimetres of mercury,numeric,"The patient's highest mean blood pressure during the first hour of their unit stay, invasively measured",80
80,vitals,h1_mbp_invasive_min,Millimetres of mercury,numeric,"The patient's lowest mean blood pressure during the first hour of their unit stay, invasively measured",80
81,vitals,h1_mbp_max,Millimetres of mercury,numeric,"The patient's highest mean blood pressure during the first hour of their unit stay, either non-invasively or invasively measured",80
82,vitals,h1_mbp_min,Millimetres of mercury,numeric,"The patient's lowest mean blood pressure during the first hour of their unit stay, either non-invasively or invasively measured",80
83,vitals,h1_mbp_noninvasive_max,Millimetres of mercury,numeric,"The patient's highest mean blood pressure during the first hour of their unit stay, non-invasively measured",80
84,vitals,h1_mbp_noninvasive_min,Millimetres of mercury,numeric,"The patient's lowest mean blood pressure during the first hour of their unit stay, non-invasively measured",80
85,vitals,h1_resprate_max,Breaths per minute,numeric,The patient's highest respiratory rate during the first hour of their unit stay,14
86,vitals,h1_resprate_min,Breaths per minute,numeric,The patient's lowest respiratory rate during the first hour of their unit stay,14
87,vitals,h1_spo2_max,Percentage,numeric,The patient's highest peripheral oxygen saturation during the first hour of their unit stay,None
88,vitals,h1_spo2_min,Percentage,numeric,The patient's lowest peripheral oxygen saturation during the first hour of their unit stay,100
89,vitals,h1_sysbp_invasive_max,Millimetres of mercury,numeric,"The patient's highest systolic blood pressure during the first hour of their unit stay, invasively measured",120
90,vitals,h1_sysbp_invasive_min,Millimetres of mercury,numeric,"The patient's lowest systolic blood pressure during the first hour of their unit stay, invasively measured",120
91,vitals,h1_sysbp_max,Millimetres of mercury,numeric,"The patient's highest systolic blood pressure during the first hour of their unit stay, either non-invasively or invasively measured",120
92,vitals,h1_sysbp_min,Millimetres of mercury,numeric,"The patient's lowest systolic blood pressure during the first hour of their unit stay, either non-invasively or invasively measured",120
93,vitals,h1_sysbp_noninvasive_max,Millimetres of mercury,numeric,"The patient's highest systolic blood pressure during the first hour of their unit stay, non-invasively measured",120
94,vitals,h1_sysbp_noninvasive_min,Millimetres of mercury,numeric,"The patient's lowest systolic blood pressure during the first hour of their unit stay, non-invasively measured",120
95,vitals,h1_temp_max,Degrees Celsius,numeric,"The patient's highest core temperature during the first hour of their unit stay, invasively measured",33
96,vitals,h1_temp_min,Degrees Celsius,numeric,The patient's lowest core temperature during the first hour of their unit stay,33
97,labs,d1_albumin_max,None,numeric,The lowest albumin concentration of the patient in their serum during the first 24 hours of their unit stay,30
98,labs,d1_albumin_min,g/L,numeric,The lowest albumin concentration of the patient in their serum during the first 24 hours of their unit stay,30
99,labs,d1_bilirubin_max,micromol/L,numeric,The highest bilirubin concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,20
100,labs,d1_bilirubin_min,micromol/L,numeric,The lowest bilirubin concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,20
101,labs,d1_bun_max,mmol/L,numeric,The highest blood urea nitrogen concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,5
102,labs,d1_bun_min,mmol/L,numeric,The lowest blood urea nitrogen concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,5
103,labs,d1_calcium_max,mmol/L,numeric,The highest calcium concentration of the patient in their serum during the first 24 hours of their unit stay,2.5
104,labs,d1_calcium_min,mmol/L,numeric,The lowest calcium concentration of the patient in their serum during the first 24 hours of their unit stay,2.5
105,labs,d1_creatinine_max,micromol/L,numeric,The highest creatinine concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,70
106,labs,d1_creatinine_min,micromol/L,numeric,The lowest creatinine concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,70
107,labs,d1_glucose_max,mmol/L,numeric,The highest glucose concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,5
108,labs,d1_glucose_min,mmol/L,numeric,The lowest glucose concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,5
109,labs,d1_hco3_max,mmol/L,numeric,The highest bicarbonate concentration for the patient in their serum or plasma during the first 24 hours of their unit stay,30
110,labs,d1_hco3_min,None,numeric,The lowest bicarbonate concentration for the patient in their serum or plasma during the first 24 hours of their unit stay,30
111,labs,d1_hemaglobin_max,g/dL,numeric,The highest hemoglobin concentration for the patient during the first 24 hours of their unit stay,10
112,labs,d1_hemaglobin_min,g/dL,numeric,The lowest hemoglobin concentration for the patient during the first 24 hours of their unit stay,10
113,labs,d1_hematocrit_max,Fraction,numeric,"The highest volume proportion of red blood cells in a patient's blood during the first 24 hours of their unit stay, expressed as a fraction",0.4
114,labs,d1_hematocrit_min,Fraction,numeric,"The lowest volume proportion of red blood cells in a patient's blood during the first 24 hours of their unit stay, expressed as a fraction",0.4
115,labs,d1_inr_max,micromol/L,numeric,The highest international normalized ratio for the patient during the first 24 hours of their unit stay,1
116,labs,d1_inr_min,micromol/L,numeric,The lowest international normalized ratio for the patient during the first 24 hours of their unit stay,1
117,labs,d1_lactate_max,mmol/L,numeric,The highest lactate concentration for the patient in their serum or plasma during the first 24 hours of their unit stay,1
118,labs,d1_lactate_min,mmol/L,numeric,The lowest lactate concentration for the patient in their serum or plasma during the first 24 hours of their unit stay,1
119,labs,d1_platelets_max,10^9/L,numeric,The highest platelet count for the patient during the first 24 hours of their unit stay,200
120,labs,d1_platelets_min,10^9/L,numeric,The lowest platelet count for the patient during the first 24 hours of their unit stay,200
121,labs,d1_potassium_max,mmol/L,numeric,The highest potassium concentration for the patient in their serum or plasma during the first 24 hours of their unit stay,3.8
122,labs,d1_potassium_min,mmol/L,numeric,The lowest potassium concentration for the patient in their serum or plasma during the first 24 hours of their unit stay,3.8
123,labs,d1_sodium_max,mmol/L,numeric,The highest sodium concentration for the patient in their serum or plasma during the first 24 hours of their unit stay,145
124,labs,d1_sodium_min,mmol/L,numeric,The lowest sodium concentration for the patient in their serum or plasma during the first 24 hours of their unit stay,145
125,labs,d1_wbc_max,10^9/L,numeric,The highest white blood cell count for the patient during the first 24 hours of their unit stay,10
126,labs,d1_wbc_min,10^9/L,numeric,The lowest white blood cell count for the patient during the first 24 hours of their unit stay,10
127,labs,h1_albumin_max,None,numeric,The lowest albumin concentration of the patient in their serum during the first hour of their unit stay,30
128,labs,h1_albumin_min,g/L,numeric,The lowest albumin concentration of the patient in their serum during the first hour of their unit stay,30
129,labs,h1_bilirubin_max,micromol/L,numeric,The highest bilirubin concentration of the patient in their serum or plasma during the first hour of their unit stay,20
130,labs,h1_bilirubin_min,micromol/L,numeric,The lowest bilirubin concentration of the patient in their serum or plasma during the first hour of their unit stay,20
131,labs,h1_bun_max,mmol/L,numeric,The highest blood urea nitrogen concentration of the patient in their serum or plasma during the first hour of their unit stay,5
132,labs,h1_bun_min,mmol/L,numeric,The lowest blood urea nitrogen concentration of the patient in their serum or plasma during the first hour of their unit stay,5
133,labs,h1_calcium_max,mmol/L,numeric,The highest calcium concentration of the patient in their serum during the first hour of their unit stay,2.5
134,labs,h1_calcium_min,mmol/L,numeric,The lowest calcium concentration of the patient in their serum during the first hour of their unit stay,2.5
135,labs,h1_creatinine_max,micromol/L,numeric,The highest creatinine concentration of the patient in their serum or plasma during the first hour of their unit stay,70
136,labs,h1_creatinine_min,micromol/L,numeric,The lowest creatinine concentration of the patient in their serum or plasma during the first hour of their unit stay,70
137,labs,h1_glucose_max,mmol/L,numeric,The highest glucose concentration of the patient in their serum or plasma during the first hour of their unit stay,5
138,labs,h1_glucose_min,mmol/L,numeric,The lowest glucose concentration of the patient in their serum or plasma during the first hour of their unit stay,5
139,labs,h1_hco3_max,mmol/L,numeric,The highest bicarbonate concentration for the patient in their serum or plasma during the first hour of their unit stay,30
140,labs,h1_hco3_min,None,numeric,The lowest bicarbonate concentration for the patient in their serum or plasma during the first hour of their unit stay,30
141,labs,h1_hemaglobin_max,g/dL,numeric,The highest hemoglobin concentration for the patient during the first hour of their unit stay,10
142,labs,h1_hemaglobin_min,g/dL,numeric,The lowest hemoglobin concentration for the patient during the first hour of their unit stay,10
143,labs,h1_hematocrit_max,Fraction,numeric,"The highest volume proportion of red blood cells in a patient's blood during the first hour of their unit stay, expressed as a fraction",0.4
144,labs,h1_hematocrit_min,Fraction,numeric,"The lowest volume proportion of red blood cells in a patient's blood during the first hour of their unit stay, expressed as a fraction",0.4
145,labs,h1_inr_max,micromol/L,numeric,The highest international normalized ratio for the patient during the first hour of their unit stay,1
146,labs,h1_inr_min,micromol/L,numeric,The lowest international normalized ratio for the patient during the first hour of their unit stay,1
147,labs,h1_lactate_max,mmol/L,numeric,The highest lactate concentration for the patient in their serum or plasma during the first hour of their unit stay,1
148,labs,h1_lactate_min,mmol/L,numeric,The lowest lactate concentration for the patient in their serum or plasma during the first hour of their unit stay,1
149,labs,h1_platelets_max,10^9/L,numeric,The highest platelet count for the patient during the first hour of their unit stay,200
150,labs,h1_platelets_min,10^9/L,numeric,The lowest platelet count for the patient during the first hour of their unit stay,200
151,labs,h1_potassium_max,mmol/L,numeric,The highest potassium concentration for the patient in their serum or plasma during the first hour of their unit stay,3.8
152,labs,h1_potassium_min,mmol/L,numeric,The lowest potassium concentration for the patient in their serum or plasma during the first hour of their unit stay,3.8
153,labs,h1_sodium_max,mmol/L,numeric,The highest sodium concentration for the patient in their serum or plasma during the first hour of their unit stay,145
154,labs,h1_sodium_min,mmol/L,numeric,The lowest sodium concentration for the patient in their serum or plasma during the first hour of their unit stay,145
155,labs,h1_wbc_max,10^9/L,numeric,The highest white blood cell count for the patient during the first hour of their unit stay,10
156,labs,h1_wbc_min,10^9/L,numeric,The lowest white blood cell count for the patient during the first hour of their unit stay,10
157,labs blood gas,d1_arterial_pco2_max,Millimetres of mercury,numeric,The highest arterial partial pressure of carbon dioxide for the patient during the first 24 hours of their unit stay,40
158,labs blood gas,d1_arterial_pco2_min,Millimetres of mercury,numeric,The lowest arterial partial pressure of carbon dioxide for the patient during the first 24 hours of their unit stay,40
159,labs blood gas,d1_arterial_ph_max,None,numeric,The highest arterial pH for the patient during the first 24 hours of their unit stay,7.4
160,labs blood gas,d1_arterial_ph_min,None,numeric,The lowest arterial pH for the patient during the first 24 hours of their unit stay,7.4
161,labs blood gas,d1_arterial_po2_max,Millimetres of mercury,numeric,The highest arterial partial pressure of oxygen for the patient during the first 24 hours of their unit stay,80
162,labs blood gas,d1_arterial_po2_min,Millimetres of mercury,numeric,The lowest arterial partial pressure of oxygen for the patient during the first 24 hours of their unit stay,80
163,labs blood gas,d1_pao2fio2ratio_max,Fraction,numeric,The highest fraction of inspired oxygen for the patient during the first 24 hours of their unit stay,0.21
164,labs blood gas,d1_pao2fio2ratio_min,Fraction,numeric,The lowest fraction of inspired oxygen for the patient during the first 24 hours of their unit stay,0.21
165,labs blood gas,h1_arterial_pco2_max,Millimetres of mercury,numeric,The highest arterial partial pressure of carbon dioxide for the patient during the first hour of their unit stay,40
166,labs blood gas,h1_arterial_pco2_min,Millimetres of mercury,numeric,The lowest arterial partial pressure of carbon dioxide for the patient during the first hour of their unit stay,40
167,labs blood gas,h1_arterial_ph_max,None,numeric,The highest arterial pH for the patient during the first hour of their unit stay,7.4
168,labs blood gas,h1_arterial_ph_min,None,numeric,The lowest arterial pH for the patient during the first hour of their unit stay,7.4
169,labs blood gas,h1_arterial_po2_max,Millimetres of mercury,numeric,The highest arterial partial pressure of oxygen for the patient during the first hour of their unit stay,80
170,labs blood gas,h1_arterial_po2_min,Millimetres of mercury,numeric,The lowest arterial partial pressure of oxygen for the patient during the first hour of their unit stay,80
171,labs blood gas,h1_pao2fio2ratio_max,Fraction,numeric,The highest fraction of inspired oxygen for the patient during the first hour of their unit stay,0.21
172,labs blood gas,h1_pao2fio2ratio_min,Fraction,numeric,The lowest fraction of inspired oxygen for the patient during the first hour of their unit stay,0.21
173,APACHE comorbidity,aids,None,binary,Whether the patient has a definitive diagnosis of acquired immune deficiency syndrome (AIDS) (not HIV positive alone),1
174,APACHE comorbidity,cirrhosis,None,binary,"Whether the patient has a history of heavy alcohol use with portal hypertension and varices, other causes of cirrhosis with evidence of portal hypertension and varices, or biopsy proven cirrhosis. This comorbidity does not apply to patients with a functioning liver transplant.",1
175,APACHE comorbidity,hepatic_failure,None,binary,"Whether the patient has cirrhosis and additional complications including jaundice and ascites, upper GI bleeding, hepatic encephalopathy, or coma.",1
176,APACHE comorbidity,immunosuppression,None,binary,"Whether the patient has their immune system suppressed within six months prior to ICU admission for any of the following reasons; radiation therapy, chemotherapy, use of non-cytotoxic immunosuppressive drugs, high dose steroids (at least 0.3 mg/kg/day of methylprednisolone or equivalent for at least 6 months).",1
177,APACHE comorbidity,leukemia,None,binary,"Whether the patient has been diagnosed with acute or chronic myelogenous leukemia, acute or chronic lymphocytic leukemia, or multiple myeloma.",1
178,APACHE comorbidity,lymphoma,None,binary,Whether the patient has been diagnosed with non-Hodgkin lymphoma.,1
179,APACHE comorbidity,solid_tumor_with_metastasis,None,binary,Whether the patient has been diagnosed with any solid tumor carcinoma (including malignant melanoma) which has evidence of metastasis.,1
180,Target Variable,diabetes_mellitus,None,binary,"Whether the patient has been diagnosed with diabetes mellitus, a chronic disease.",1
