,< 1 mm organic debric,organic material,functional name,provided by Brian Hayden
42,Aeteapsyche spp.,Aoteapsyche,typo,provided by Brian Hayden
43,Aetideidae copepodites,Aetideidae,,provided by Brian Hayden et al. 2018-06-08
44,aetideid,Aetideidae,,provided by Brian Hayden et al. 2018-06-08
45,aetideids,Aetideidae,,provided by Brian Hayden et al. 2018-06-08
46,Aetideopsis carinata,Aetideopsis carinata,,provided by Brian Hayden et al. 2018-06-08
47,Aetidopsis carinata,Aetideopsis carinata,typo,provided by Brian Hayden
48,Agaricus campestris var. equestris,Agaricus campestris var. equestris,BIO_INFO,Found at:  http://www.mycobank.org/Biolomics.aspx?Table=Mycobank&MycoBankNr_=346497
49,Agaricus urinascens var. excellens,Agaricus urinascens var. excellens,BIO_INFO,Found at:  http://www.mycobank.org/Biolomics.aspx?Table=Mycobank&MycoBankNr_=466165
50,Agaricus urinascens var. urinascens,Agaricus urinascens var. urinascens,BIO_INFO,Found at:  http://eol.org/pages/6719165/hierarchy_entries/52788441/overview
51,Agris lar lar,Unidentified,,provided by Brian Hayden et al. 2018-06-08
52,Airus felis,Ariopsis felis,James Simons personal communication April 2013,http://www.sms.si.edu/IRLSpec/Ariops_felis.htm retrieved April 7 2013
53,Aka brevitubulatum,Siphonodictyon brevitubulatum,WoRMS; js,Aka brevitubulata
54,Alacaridae,Aracanidae,typo,provided by Brian Hayden
55,Albabesmyia,Ablabesmyia,,mapping provided by Brian Hayden
56,Albugo ipomoeae-panduranae,Albugo ipomoeae-panduratae,BIO_INFO,Found at:  http://eol.org/pages/133577/names
57,Albugo tragopogonis var. inulae,Albugo tragopogonis var. inulae,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Albugo%20tragopogonis%20var.%20inulae&spKey=NHMSYS0001474292
58,Albugo tragopogonis var. tragopogonis,Albugo tragopogonis var. tragopogonis,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Albugo%20tragopogonis%20var.%20tragopogonis&spKey=NHMSYS0001474293
59,Alcyonarians,Octocorallia,common name,provided by Brian Hayden
60,Aldrichetta fosteri,Aldrichetta forsteri,,provided by Brian Hayden et al. 2018-06-08
61,Alepocephalid,Alepocephalus,,provided by Brian Hayden et al. 2018-06-08
62,alevin,salmonidae,,provided by Brian Hayden et al. 2018-06-08
63,alewives,Alosa pseudoharengus,common name,provided by Brian Hayden
64,alga,Algae,,provided by Brian Hayden et al. 2018-06-08
65,Algaceous mud,Algae,common name,provided by Brian Hayden
66,algae.,Algae,,provided by Brian Hayden et al. 2018-06-08
67,ALGAE,Algae,,provided by Brian Hayden et al. 2018-06-08
68,algae - detritus,Algae,,provided by Brian Hayden et al. 2018-06-08
69,algae detritus,Algae,,provided by Brian Hayden et al. 2018-06-08
70,algae fronds,Algae,,provided by Brian Hayden et al. 2018-06-08
71,algal,Algae,common name,provided by Brian Hayden
72,algal-dwelling crustaceans,crustacea,,provided by Brian Hayden et al. 2018-06-08
73,algal filaments,Algae,common name,provided by Brian Hayden
74,algal fronds,Macroalgae,common name,provided by Brian Hayden
75,algal material,Algae,,provided by Brian Hayden et al. 2018-06-08
76,algal remains,Algae,common name,provided by Brian Hayden
77,algal weeds,Macroalgae,common name,provided by Brian Hayden
78,Alima hieroglyhpica,Alima,,provided by Brian Hayden et al. 2018-06-08
79,Aliosoma sp.,Aeliosoma,common name,provided by Brian Hayden
80,Allcithoe arabica,Alcithoe arabica,typo,provided by Brian Hayden
81,allochthonous insects,Insecta,common name,provided by Brian Hayden
82,allochthonous invertebrates,Insecta,common name,provided by Brian Hayden
83,allochthonous matter,Detritus,,mapping provided by Brian Hayden
84,allochtonous insect,Insecta,common name,provided by Brian Hayden
85,allochtonous insects,Insecta,common name,provided by Brian Hayden
86,Allotheutis subulata,Alloteuthis subulata,typo,provided by Brian Hayden
87,Alphaeidae,Alpheidae,,
88,alphaeid shrimps,Alpheidae,common name,provided by Brian Hayden
89,Alphaeus dentipes,Alpheus dentipes,,provided by Brian Hayden et al. 2018-06-08
90,Alphaeus euphrosyne,Alpheus euphrosyne,,provided by Brian Hayden et al. 2018-06-08
91,Alphaeus floridanus,Alpheus floridanus,Simons 1997,
92,Alphaeus heterochaelis,Alpheus heterochaelis,,provided by Brian Hayden et al. 2018-06-08
93,Alphaeus macrochaeles,Alpheus macrocheles,,
94,Alphaeus normanii,Alpheus normanii,Simons 1997,
95,Alphaeus richardsoni,Alpheus richardsoni,,provided by Brian Hayden et al. 2018-06-08
96,Alpheid,Alpheidae,common name,provided by Brian Hayden
97,alpheids,Alpheidae,common name,provided by Brian Hayden
98,alpheid shrimp,Alpheidae,common name,provided by Brian Hayden
99,alpheids parts,Alpheidae,common name,provided by Brian Hayden
100,Alpheus heterochaelis claws,Alpheus heterochaelis,Wrast 2008,
101,Alpheus japonica,Alpheus,,provided by Brian Hayden et al. 2018-06-08
102,Alpheus normani,Alpheus normanni,http://eol.org/pages/343554/overview,suspected typo
103,Alpheus normanii,Alpheus normanni,,provided by Brian Hayden et al. 2018-06-08
104,Amanita excelsa var. excelsa,Amanita excelsa var. excelsa,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Amanita%20excelsa%20var.%20excelsa&spKey=NHMSYS0001474437
105,Amanita excelsa var. spissa,Amanita excelsa var. spissa,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Amanita%20excelsa%20var.%20spissa&spKey=NHMSYS0001474438
106,Amanita muscaria var. aureola,Amanita muscaria var. aureola,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Amanita%20muscaria%20var.%20aureola&spKey=NHMSYS0001474457
107,Amanita muscaria var. formosa,Amanita muscaria var. formosa,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Amanita%20muscaria%20var.%20formosa&spKey=NHMSYS0001474458
108,Amanita muscaria var. muscaria,Amanita muscaria var. muscaria,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Amanita%20muscaria%20var.%20muscaria&spKey=NHMSYS0001474459
109,Amanita rubescens var. annulosulphurea,Amanita rubescens var. annulosulphurea,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Amanita%20rubescens%20var.%20annulosulphurea&spKey=NBNSYS0000039157
110,Amanita rubescens var. rubescens,Amanita rubescens var. rubescens,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Amanita%20rubescens%20var.%20rubescens&spKey=NHMSYS0001474478
111,Amaropsis rossiana,Amauropsis rossiana,,provided by Brian Hayden et al. 2018-06-08
112,Amaryllis macropthalma,Amaryllis macrophthalma,,provided by Brian Hayden et al. 2018-06-08
113,Amblopys abraviata,Amblopusa,,provided by Brian Hayden et al. 2018-06-08
114,Amelotopsis perscitus,Ephemeroptera,,mapping provided by Brian Hayden
115,Ameriurus nebulosus,Ameiurus nebulosus,http://eol.org/pages/995106,provided by Anne Thessen on 2015-06-05
116,amhipods,Amphipoda,,provided by Brian Hayden et al. 2018-06-08
117,ammodytids,Ammodytidae,common name,provided by Brian Hayden
118,Amonnia becarii,Ammonia beccarii,,provided by Brian Hayden et al. 2018-06-08
119,Amorphous particulate organic,Unidentified,,provided by Brian Hayden et al. 2018-06-08
120,amorphous,Unidentified,,provided by Brian Hayden et al. 2018-06-08
121,Ampelisca abdidata,Ampelisca abdita,,provided by Brian Hayden et al. 2018-06-08
122,Ampelisca eschrichtii,Ampelisca,,provided by Brian Hayden et al. 2018-06-08
123,Ampellisca spp.,Ampelisca,common name,provided by Brian Hayden
124,ampharetids,Ampharetidae,,provided by Brian Hayden et al. 2018-06-08
125,Amphilochus neopolitanus,Amphilochus,,provided by Brian Hayden et al. 2018-06-08
126,Amphilocus brunneus,Amphilochus brunneus,,provided by Brian Hayden et al. 2018-06-08
127,Amphinomids,Amphinomidae,,provided by Brian Hayden et al. 2018-06-08
128,Amphiodia rossica,Amphiodia,,provided by Brian Hayden et al. 2018-06-08
129,amphiopds,Amphipoda,,provided by Brian Hayden et al. 2018-06-08
130,amphipod 1.0-1.9,Amphipoda,,provided by Brian Hayden et al. 2018-06-08
131,amphipod 1.0-2.9,Amphipoda,,provided by Brian Hayden et al. 2018-06-08
132,amphipod 2.0-2.9,Amphipoda,,provided by Brian Hayden et al. 2018-06-08
133,amphipod 3.0,Amphipoda,,provided by Brian Hayden et al. 2018-06-08
134,amphipod 3,Amphipoda,,provided by Brian Hayden et al. 2018-06-08
135,Amphipod,Amphipoda,,
136,Amphipoda-unidentified,Amphipoda,,provided by Brian Hayden et al. 2018-06-08
137,amphipods,Amphipoda,,Term corrected to scientific notation by BrianHayden
138,amphipodspods,Amphipoda,,provided by Brian Hayden et al. 2018-06-08
139,Amphipod tube mat,Amphipoda,,mapping provided by Brian Hayden
140,amphipod tubes,Amphipoda,,provided by Brian Hayden et al. 2018-06-08
141,Amphisa columbiana,Amphissa columbiana,typo,provided by Brian Hayden
142,Amphissa columbiana,Amphissa columbiana,,provided by Brian Hayden et al. 2018-06-08
143,amphitods,Amphipoda,,provided by Brian Hayden et al. 2018-06-08
144,Amphlpoda,Amphipoda,,provided by Brian Hayden et al. 2018-06-08
145,Amplesica spp.,Ampelisca spp.,typo,provided by Brian Hayden
146,Amyema cambageni,Amyema cambagei,JRFerrisParisButterflies,Found at:  http://biodiversity.org.au/apni.taxon/112330.html
147,Amyema lucasii,Amyema lucasii,JRFerrisParisButterflies,Found at:  http://bie.ala.org.au/search?q=+Amyema+lucasii+
148,Amyema melaleucae,Amyema melaleucae,JRFerrisParisButterflies,found at:  http://bie.ala.org.au/search?q=+Amyema+melaleucae+
149,Anamalia,Animalia,http://eol.org/pages/1,provided by Anne Thessen on 2015-06-05
150,Anarchichas orientalis,Anarhichas orientalis,,provided by Brian Hayden et al. 2018-06-08
151,Anchias,Charybdis (Goniohellenus),,provided by Brian Hayden et al. 2018-06-08
152,Anchoa mitchili,Anchoa mitchilli,,
153,Anchovie,Engraulidae,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=553173,map common name to scientific name
154,ancylids,Ancylini,,provided by Brian Hayden et al. 2018-06-08
155,Anguiliformes,Anguilliformes,typo,provided by Brian Hayden
156,Anidia xenica,Adinia xenica,,
157,animal,Animalia,common name,provided by Brian Hayden
158,animal groups,Animals,,provided by Brian Hayden et al. 2018-06-08
159,animal material,organic material,,provided by Brian Hayden et al. 2018-06-08
160,animal organic,Animalia,,provided by Brian Hayden et al. 2018-06-08
161,animal pulp,Animalia,,provided by Brian Hayden et al. 2018-06-08
162,animals,Animalia,common name,provided by Brian Hayden
163,animal soft remnants,Animalia,,provided by Brian Hayden et al. 2018-06-08
164,Anisoperas adulta,Anisoperas,,provided by Brian Hayden et al. 2018-06-08
165,Anisoperas,Anisoperas,,provided by Brian Hayden et al. 2018-06-08
166,Anisopteran adults,Anisoperas adulta,common name,provided by Brian Hayden
167,anisopteran,Anisoptera,,provided by Brian Hayden et al. 2018-06-08
168,Anisopteran nymphs,Anisoperas,common name,provided by Brian Hayden
169,anisopterans,Anisoptera,,provided by Brian Hayden et al. 2018-06-08
170,Anisopteridae,Anisoptera,,mapping provided by Brian Hayden
171,anisopterid,anisoptera,,provided by Brian Hayden et al. 2018-06-08
172,Anisopterid,anisoptera,,provided by Brian Hayden et al. 2018-06-08
173,Ankistrodemus falcatus,Ankistrodesmus falcatus,,provided by Brian Hayden et al. 2018-06-08
174,Ankistrodemus fusiformis,Ankistrodesmus fusiformis,typo,provided by Brian Hayden
175,Ankistrodesmus convulatus,Ankistrodesmus convolutus,,provided by Brian Hayden et al. 2018-06-08
176,Ankistrodesmus fusiformis,Ankistrodesmus fusiformis,,provided by Brian Hayden et al. 2018-06-08
177,annelid,Annelida,,replaced with scientific https://en.wikipedia.org/wiki/Annelid
178,annelid red,Annelida,,replaced with scientific https://en.wikipedia.org/wiki/Annelid
179,annelids,Annelida,,replaced with scientific https://en.wikipedia.org/wiki/Annelid
180,annelids larvae,Annelida,common name,provided by Brian Hayden
181,annelid unknown,Annelida,,replaced with scientific https://en.wikipedia.org/wiki/Annelid
182,Annelid worms,Annelida,https://en.wikipedia.org/wiki/Annelid,map common name to scientific name
183,Annonyx nugax,Anonyx nugax,,provided by Brian Hayden et al. 2018-06-08
184,Anomolopcardia cuneimeris,Anomalocardia cuneimeris,,mapping provided by Brian Hayden
185,anomopods,Anomopoda,,provided by Brian Hayden et al. 2018-06-08
186,anomuran,Anomura,,provided by Brian Hayden et al. 2018-06-08
187,Anomuran,Anomura,,provided by Brian Hayden et al. 2018-06-08
188,anomurans,Anomura,,provided by Brian Hayden et al. 2018-06-08
189,anophelene mosquito,Anopheles,common name,provided by Brian Hayden
190,Anquilla anquilla,Anguilla anguilla,,provided by Brian Hayden et al. 2018-06-08
191,ant heads,Formicidae,,provided by Brian Hayden et al. 2018-06-08
192,Anthiinae,Anthicidae,,provided by Brian Hayden et al. 2018-06-08
193,Anthiine sp.,Anthiinae,typo,provided by Brian Hayden
194,Anthocardium tuberculatum,Acanthocardia tuberculata,typo,provided by Brian Hayden
195,Anthostomella formosa var. taxi,Anthostomella formosa var. taxi,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Anthostomella%20formosa%20var.%20taxi&spKey=NBNSYS0000020225
196,anthozoan,Anthozoa,,replaced with scientific name http://eol.org/pages/1746/overview
197,anthropoda,Arthropoda,,misspelling
198,anthurid isopods,Isopoda,,provided by Brian Hayden et al. 2018-06-08
199,Anurea aculeata,Keratella quadrata,unknown,provided by Brian Hayden
200,Aondia lauri,Aonidia lauri,BIO_INFO,Found at:  http://eol.org/pages/836330/names
201,Aorid sp.,Aoria,common name,provided by Brian Hayden
202,Aphelochirus,Aphelocheiridae,,provided by Brian Hayden et al. 2018-06-08
203,Aphrodite aculeatea,Aphrodite aculeata,,provided by Brian Hayden et al. 2018-06-08
204,aphroditids,Aphroditidae,,provided by Brian Hayden et al. 2018-06-08
205,Aphroditiformia,Aphroditiformia,,provided by Brian Hayden et al. 2018-06-08
206,Aphroditimorpha,Aphroditiformia,typo,provided by Brian Hayden
207,A-PLEUROGONA-STOLIDOBRANCHIATA,Stolidobranchiata,,provided by Brian Hayden et al. 2018-06-08
208,Aplocheilichthyes sp.,Aplocheilichthys,common name,provided by Brian Hayden
209,apogonids,Apogonidae,typo,provided by Brian Hayden
210,Apogon novemfaciatus,Apogon novemfasciatus,,provided by Brian Hayden et al. 2018-06-08
211,Apogonops anomalous,Apogonops,,provided by Brian Hayden et al. 2018-06-08
212,Aposphaeria inophila var. pseudoplatani,Aposphaeria inophila var. pseudoplatani,BIO_INFO,Found at:  http://eol.org/pages/6515035/overview
213,Apostemidium fiscellum var. fiscellum,Apostemidium fiscellum var. fiscellum,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Apostemidium%20fiscellum%20var.%20fiscellum&spKey=NHMSYS0019999361
214,Apostemidium fiscellum var. submersum,Apostemidium fiscellum var. submersum,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Apostemidium%20fiscellum%20var.%20submersum&spKey=NBNSYS0000017033
215,appendicularian,Appendicularia,,provided by Brian Hayden et al. 2018-06-08
216,appendicularians,Appendicularia,,provided by Brian Hayden et al. 2018-06-08
217,Appendicularians house,Appendicularia,,as discussed with author Dr. Carolyn Barnes
218,Aptinoptychus splendens,Actinoptychus splendens,typo,provided by Brian Hayden
219,aq. coleopteran,Coleoptera,,provided by Brian Hayden et al. 2018-06-08
220,aq. insects,Insecta,,provided by Brian Hayden et al. 2018-06-08
221,aq. Insects,Insecta,,provided by Brian Hayden et al. 2018-06-08
222,aquatic animals,Animalia,common name,provided by Brian Hayden
223,aquatic birds,Aves,common name,provided by Brian Hayden
224,aquatic coleoptera,Coleoptera,common name,provided by Brian Hayden
225,aquatic Diptera larvae,Diptera,common name,provided by Brian Hayden
226,aquatic Hemiptera,Hemiptera,common name,provided by Brian Hayden
227,aquatic insect larvae,Insecta,common name,provided by Brian Hayden
228,aquatic  insects,Insecta,common name,provided by Brian Hayden
229,aquatic larvae of unspecified insects,Insecta,common name,provided by Brian Hayden
230,Aquatic macrophytes,Plantae,,mapping provided by Brian Hayden
231,aquatic megalopterans,Megaloptera,common name,provided by Brian Hayden
232,aquatic odonatas,Odonata,common name,provided by Brian Hayden
233,aquatic plants,Macrophyte,common name,provided by Brian Hayden
234,aquatic stoneflies,Plecoptera,common name,provided by Brian Hayden
235,aquatic vegetation,Macrophyte,common name,provided by Brian Hayden
236,Aquipecten irradians amplicostata,Aequipecten irradians,,mapping provided by Brian Hayden
237,Aquipecten irradians,Argopecten irradians,,provided by Brian Hayden et al. 2018-06-08
238,arabellids,Drilonereis,common name,provided by Brian Hayden
239,Aracanidae,Tetraodontiformes,,provided by Brian Hayden et al. 2018-06-08
240,Arachnidae,Aracanidae,typo,provided by Brian Hayden
241,Arborescent,Plantae,common name,provided by Jorrit Poelen 2018-06-28
242,Arcacalanus sp.,Arctocalanus,typo,provided by Brian Hayden
243,Archaeopsis spinulosus,Archaeopsis,,provided by Brian Hayden et al. 2018-06-08
244,Archicauliodes diversus,Archichauliodes diversus,,provided by Brian Hayden et al. 2018-06-08
245,Archicaulioides diversus,Archichauliodes diversus,,provided by Brian Hayden et al. 2018-06-08
246,Archichaulioides diversus,Archichauliodes diversus,,provided by Brian Hayden et al. 2018-06-08
247,Archirus lineatus,Achirus lineatus,,
248,Arcocalanus,Acrocalanus,,provided by Brian Hayden et al. 2018-06-08
249,Arctocalanus,Arctocephalus,,provided by Brian Hayden et al. 2018-06-08
250,Arenaeus cribarius,Arenaeus cribrarius,Torruco and Gonzalez 1994,Found at:  http://www.marinespecies.org/aphia.php?p=taxdetails&id=158046
251,argentines,Argentina,,provided by Brian Hayden et al. 2018-06-08
252,Arguloid,Argulidae,,provided by Brian Hayden et al. 2018-06-08
253,arhtropods,Arthropoda,,provided by Brian Hayden et al. 2018-06-08
254,Aricidea succinea,Aricidea suecica,Simons 1997,Found at:  http://www.marinespecies.org/aphia.php?p=taxdetails&id=130572
255,Aricudae,Aricidea,,provided by Brian Hayden et al. 2018-06-08
256,Arididea sp.,Acrididea,typo,provided by Brian Hayden
257,Ari felis,Ariopsis felis,,
258,Arius felis,Ariopsis felis,James Simons personal communication April 2013,http://www.sms.si.edu/IRLSpec/Ariops_felis.htm retrieved April 7 2013
259,Armanida agilis,Armandia agilis,Rogers 1977,
260,Armillaria mellea s.l.,Armillaria mellea s.l.,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Armillaria%20mellea%20s.l.&spKey=NHMSYS0001474862
261,arminid nudibranchs,Arminid nudibranch,common name,provided by Brian Hayden
262,Arm mierii,Armases miersii,http://eol.org/pages/311628,provided by Anne Thessen on 2015-06-05
263,arrowworm,Chaetognatha,,provided by Brian Hayden et al. 2018-06-08
264,Arrowworms,Chaetognatha,common name,provided by Brian Hayden
265,Artediellus europeaus,Artediellus europaeus,,provided by Brian Hayden et al. 2018-06-08
266,Arthrinium curvatum var. minus,Arthrinium curvatum var. minus,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Arthrinium%20curvatum%20var.%20minus&spKey=BMSSYS0000014327
267,ARTHROPODA - ACARINA,Acari,,provided by Brian Hayden et al. 2018-06-08
268,arthropod,Arthropoda,,provided by Brian Hayden et al. 2018-06-08
269,Artrina sp.,Atrina,common name,provided by Brian Hayden
270,artropods,Arthropoda,typo,provided by Brian Hayden
271,A. schoepfi,Chilomycterus schoepfi,,provided by Brian Hayden et al. 2018-06-08
272,Ascideacea,Ascidiacea,,
273,ascideans,Ascidiacea,,provided by Brian Hayden et al. 2018-06-08
274,Ascidian,Ascidia,common name,provided by Brian Hayden
275,ascidians,Ascidiacea,,Term corrected to scientific notation by BrianHayden
276,Ascochyta avenae var. avenae,Ascochyta avenae var. avenae,BIO_INFO,Found at:  http://eol.org/pages/6434970/overview
277,Ascochyta avenae var. confusa,Ascochyta avenae var. confusa,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Ascochyta%20avenae%20var.%20confusa&spKey=BMSSYS0000001823
278,Ascochyta caulicola var. lupini,Ascochyta caulicola var. lupini,BIO_INFO,Found at:  http://eol.org/pages/6435320/overview
279,Ascochyta graminicola var. festucae,Ascochyta graminicola var. festucae,BIO_INFO,Found at:  http://eol.org/pages/6434911/overview
280,Ascochyta hordei var. europaea,Ascochyta hordei var. europaea,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Ascochyta%20hordei%20var.%20europaea&spKey=BMSSYS0000001847
281,Ascochyta leptospora var. acuta,Ascochyta leptospora var. acuta,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Ascochyta%20leptospora%20var.%20acuta&spKey=BMSSYS0000001856
282,Ascochyta leptospora var. major,Ascochyta leptospora var. major,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Ascochyta%20leptospora%20var.%20major&spKey=BMSSYS0000001857
283,Ascochyta papaveris var. dicentrae,Ascochyta papaveris var. dicentrae,BIO_INFO,Found at:  http://eol.org/pages/6435772/overview
284,Ascochyta vulgaris var. philadelphi,Ascochyta vulgaris var. philadelphi,BIO_INFO,Found at:  http://eol.org/pages/6434989/overview
285,Ascochyta vulgaris var. symphoricarpi,Ascochyta vulgaris var. symphoricarpi,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Ascochyta%20vulgaris%20var.%20symphoricarpi&spKey=BMSSYS0000001904
286,Ascochyta vulgaris var. vulgaris,Ascochyta vulgaris var. vulgaris,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Ascochyta%20vulgaris%20var.%20vulgaris&spKey=NHMSYS0020535043
287,A. scriptus,unidentified,,provided by Brian Hayden et al. 2018-06-08
288,Asebellides oculata,Ampharete oculata,typo,provided by Brian Hayden
289,Aspalanthus,Aspalathus,,provided by Brian Hayden et al. 2018-06-08
290,Assimenea spp.,Assiminea,typo,provided by Brian Hayden
291,astacids,Astacidae,,provided by Brian Hayden et al. 2018-06-08
292,Astasidae,Astacidae,,provided by Brian Hayden et al. 2018-06-08
293,Asterocystis ramosa,Chroodactylon ornatum,Roopnarine et al 2013,Found at:  http://www.marinespecies.org/aphia.php?p=taxdetails&id=145685
294,asteroidea,Asteroidea,,provided by Brian Hayden et al. 2018-06-08
295,Asteroideans,Asteroidea,typo,provided by Brian Hayden
296,Asteroides,Asteroides,,provided by Brian Hayden et al. 2018-06-08
297,Astrocaryum jauary,Astrocaryum jauari,,provided by Brian Hayden et al. 2018-06-08
298,Astrocaryum javary,Astrocaryum jauari,,provided by Brian Hayden et al. 2018-06-08
299,astronesthids,Astronesthes,,provided by Brian Hayden et al. 2018-06-08
300,Asychis elongatus,Asychis elongata,Simons 1997,
301,Asychis gotai,Metasychis gotoi,,provided by Brian Hayden et al. 2018-06-08
302,Asychis nr. gotoi,Asychis,Simons 1997,
303,Atelecyclus rondatus,Atelecyclus rotundatus,,provided by Brian Hayden et al. 2018-06-08
304,ATELYCYCLUS ROTUNDATUS,Atelecyclus rotundatus,,provided by Brian Hayden et al. 2018-06-08
305,Ateroidea,Asteroides,typo,provided by Brian Hayden
306,Atherinasoma spp.,Atherinidae,common name,provided by Brian Hayden
307,atherinids,Atherinidae,common name,provided by Brian Hayden
308,Athya affinis,Aythya affinis,,suspected typo in Hechinger et al 2011; author has been notified
309,Atlantic croaker,Micropogonias undulatus,,
310,attached plants,angiosperms,,provided by Brian Hayden et al. 2018-06-08
311,atyid shrimps,Atyidae,,provided by Brian Hayden et al. 2018-06-08
312,Auchenocerus punctatus,Anthoceros punctatus,,provided by Brian Hayden et al. 2018-06-08
313,Aucklandobius trivacautus,Aucklandobius,,provided by Brian Hayden et al. 2018-06-08
314,Aucklandobius trivacuatus,Aucklandobius,,provided by Brian Hayden et al. 2018-06-08
315,Aufwuchs,Detritus,,mapping provided by Brian Hayden
316,Aulacomnya ater,Aulacomya ater,,provided by Brian Hayden et al. 2018-06-08
