,on,is
504,huomenta,Good morning
505,mieltä,view
506,kuulostaa,sound
507,unohda,forget the
508,kotona,at home
509,meistä,Us
510,terve,Hey
511,muut,other
512,auto,car
513,kuule,Listen
514,tehdään,done
515,maksaa,pay
516,päivänä,day
517,kaikkea,all
518,ystäväni,my friend
519,tervetuloa,welcome
520,mikset,why do not
521,näe,can not see
522,asiat,things
523,kuulla,hear
524,rauhoitu,Take it easy
525,pakko,forced
526,halunnut,wanted
527,suuri,large
528,parasta,The best
529,yritä,try
530,lähdetään,let's go
531,onnea,congratulations
532,sanon,I say
533,samaa,the same
534,välitä,care about
535,aikaan,time
536,paitsi,except
537,tietysti,Of course
538,muistatko,do you remember
539,erittäin,very
540,toisen,another
541,kovin,very
542,tapahtunut,happened
543,aion,I'm going to
544,vuoksi,because of
545,soita,call
546,työtä,the work of
547,asian,the matter
548,annan,I will give
549,tulevat,will come
550,sehän,that's
551,miestä,a man
552,lapset,children
553,sille,it
554,elää,to live
555,miehet,gentlemen
556,paskiainen,son of a bitch
557,kiva,nice
558,tarvitsemme,we need
559,osa,part
560,monta,various
561,naiset,ladies
562,palaa,burn
563,niiden,their
564,eilen,yesterday
565,viimeinen,last
566,uuden,new
567,äitisi,your mother
568,voitko,can you
569,aio,going to
570,tarvitsee,need
571,olemaan,to be
572,jolla,whereby
573,menemme,we will go
574,tiesin,I knew
575,uudestaan,re-
576,iltana,evening
577,helvettiä,hell
578,ovi,door
579,tietenkin,Of course
580,vaivaa,effort
581,jättää,leave
582,kertoi,told
583,olimme,we were
584,ai,Oh
585,tavalla,way
586,ok,alright
587,hetkinen,Wait a minute
588,avaa,opens
589,ensi,next
590,sinuun,you
591,uskon,I think
592,oikeastaan,really
593,teistä,of you
594,tuntia,hours
595,toki,Sure
596,eli,or
597,saamme,we get
598,laita,wing
599,ongelmia,problems
600,kertonut,told
601,päälle,on
602,lähellä,near
603,hätänä,up
604,heillä,they
605,soitan,I'm calling
606,minulta,me
607,mr,mr
608,tulet,you will
609,ongelma,problem
610,sanot,you say
611,divxfinland,divx finland
612,voisitko,will you please
613,äitini,my mother
614,herrat,messrs
615,jää,ice
616,nimeni,my name
617,antakaa,please give
618,ase,gun
619,aiot,you are going
620,katsomaan,take a look
621,ulkona,outside
622,kaikkien,all
623,pidät,you like
624,menet,you go
625,lähde,source
626,asiassa,case
627,joita,whom
628,haluavat,want to
629,sellainen,such
630,ala,area
631,lapsi,child
632,tuossa,there
633,takana,double cloth
634,viedä,to take
635,löysin,I found
636,mahtavaa,great
637,poikani,my son
638,näitä,these
639,pääse,access
640,kuusi,six
641,toivon,I hope
642,muita,other
643,uudelleen,again
644,heistä,of them
645,naisen,the woman
646,oma,own
647,paha,evil
648,naimisiin,married
649,paremmin,better
650,ihminen,man
651,väliä,Any
652,näetkö,can you see
653,molemmat,both
654,aamulla,in the morning
655,jäädä,stay
656,vuonna,year
657,eri,different
658,sopii,fits
659,sisällä,indoors
660,kysyä,ask
661,hätää,worry
662,haluatte,you want
663,tyyppi,type
664,varo,precautionary
665,voisit,you could
666,muka,supposedly
667,lähden,I go on
668,tarvitset,you need
669,helvetin,fucking
670,sinulta,you
671,väärin,wrong
672,hoitaa,to take care
673,frank,frank
674,odottakaa,wait for
675,istu,sit down
676,kuolla,die
677,olekin,not it
678,kultaseni,sweetheart
679,vastaa,responsible for
680,kaikille,all
681,tiedäthän,you know
682,kahden,the two of you
683,luo,round
684,ruokaa,food
685,nuori,young
686,voivat,can
687,hakemaan,to pick up
688,ymmärrätkö,Do you understand
689,huono,bad
690,lopettaa,stop
691,antoi,gave the
692,homma,business
693,tytön,the girl
694,olleet,been
695,käydä,visit
696,tunnin,-hour
697,tekemään,to do
698,maan,terrestrial
699,seuraa,follow
700,kysymys,question
701,etkä,you do not
702,puhun,I'm talking about
703,elämä,life
704,kymmenen,ten
705,jeesus,Jesus
706,voisimme,we could
707,muistan,I remember
708,kävi,visited
709,katsoa,look
710,kunhan,as long as the
711,tulit,you came
712,vaimoni,my wife
713,jokainen,every
714,syytä,reason
715,tehty,made
716,sanotaan,they say
717,täynnä,full
718,nimesi,Your name
719,taitaa,know
720,kestä,stand up
721,aikana,during
722,lapsia,children
723,kaverit,friends
724,tiedämme,we know
725,tärkeää,important
726,sekä,mixed
727,teette,you do
728,tytöt,the girls
729,vettä,of water
730,hetken,for a moment
731,saattaa,may
732,hyviä,good
733,halusi,wanted
734,uutta,new
735,onkin,it is
736,tekevät,make
737,elossa,alive
738,ollaan,being
739,auton,car
740,puoli,half
741,jumalan,the god
742,toimii,acts
743,kusipää,cunt
744,voittaa,win
745,tuonne,there
746,mukavaa,nice
747,kestää,take
748,charlie,charlie
749,sinäkin,you too
750,pitkä,long
751,ottakaa,please
752,lupaan,I promise
753,numero,number
754,näet,you see
755,kaikkia,all
756,päin,towards
757,elämäni,my life
758,ympäri,around
759,tappoi,killed
760,toimi,action
761,samoin,likewise
762,paskaa,shit
763,saatte,you will receive
764,näytän,show
765,eihän,is it
766,häneen,with him
767,vaikea,difficult
768,auki,open
769,kenen,whose
770,etsin,I am looking for
771,töissä,at work
772,tapauksessa,event
773,paskat,shits
774,hoidan,I take care of
775,pomo,boss
776,puolesta,on behalf of
777,muu,other
778,paikan,place
779,pelkää,afraid of
780,yritin,I tried to
781,ovatko,whether
782,joko,either
783,paljonko,how much
784,onneksi,fortunately
785,uskomatonta,unbelievable
786,päällä,on
787,mahdollista,possible
788,loppu,end
789,kunnon,good
790,paikalla,present
791,mun,my
792,nimensä,its name
793,org,org
794,ystäviä,friends
795,tulisi,should
796,joe,joe
797,huolta,take care
798,sinähän,thou not
799,jatkaa,continue
800,ihmisten,people
801,alla,below
802,maahan,down
803,oman,oman
804,liikettä,motion
805,matkalla,en route
806,tapan,I will kill
807,michael,michael
808,muuttaa,change
809,olemassa,exist
810,lähti,bay
811,kaukana,far
812,verta,blood
813,taida,able
814,saimme,we received
815,eteenpäin,ahead
816,iloinen,cheerful
817,tehtävä,mission
818,haista,smell
819,kenraali,general
820,tom,tom
821,mahtava,spectacular
822,myöhässä,late
823,pitäkää,please keep
824,velkaa,indebted
825,rakas,love
826,outoa,strange
827,jossain,somewhere
828,sam,sam
829,ajaa,drive
830,todellakin,indeed
831,muutaman,a few
832,edessä,in front
833,seuraava,next
834,kerta,time
835,rakastaa,love
836,tuskin,hardly
837,maailma,world
838,puhuu,speaks
839,luota,from
840,tuosta,from that
841,alkoi,started
842,kautta,through
843,josta,whereof
844,ystävä,friend
845,töihin,to work
846,sisälle,inside
847,syö,eat
848,idea,idea
849,nouse,arise
850,sentään,at least
851,david,david
852,päässä,off
853,aiemmin,previously
854,jotkut,some
855,saisi,should
856,haluaisi,would want to
857,tekstityksen,subtitle
858,olenko,Am I
859,idiootti,idiot
860,lähtee,goes
861,haluamme,we want
862,niinpä,so
863,yleensä,usually
864,seis,Stop
865,syödä,eat
866,tilanne,situation
867,häivy,Get lost
868,yhteen,together
869,saavat,will receive
870,kädet,your hands
871,ikävä,tedious
872,vaikeaa,hard
873,george,george
874,luultavasti,probably
875,jäljellä,left
876,luona,by
877,helppoa,easy
878,itseni,myself
879,itsesi,yourself
880,ettekö,Do you
881,pyytää,request
882,palata,return
883,käynyt,visited
884,seitsemän,seven
885,olkoon,Congratulations
886,häneltä,from her
887,itsensä,itself
888,onpa,it is
889,illalla,in the evening
890,ajattele,Just think
891,loppuun,out
892,jatka,jack
893,talo,house
894,kerroin,factor
895,veljeni,my brother
896,yönä,night
897,alle,under
898,vaikuttaa,influence
899,huoli,worry
900,toista,repeat
901,laittaa,put
902,itseäsi,yourself
903,miehiä,men
904,tosiaan,really
905,rauhaan,peace
906,presidentti,president
907,miljoonaa,million
908,miksei,why not
909,kiitoksia,Thank you
910,pääsi,flagstone
911,mennyt,gone
912,kuolee,dies
913,haen,I apply
914,muutama,one or two
915,viikon,the week
916,vien,of
917,turpa,chub
918,katsotaan,wait and see
919,mike,mike
920,odotan,I look forward to
921,sun,Sun.
922,välillä,between
923,väärässä,in danger
924,luottaa,trust
925,kohti,towards
926,usein,often
927,kuukautta,months
928,aiotko,are you going to
929,tyhmä,stupid
930,koira,dog
931,mielestäni,I think
932,ostaa,buy
933,pidätkö,do you like
934,eräs,one
935,jutun,story
936,näkemiin,Goodbye
937,t,t
938,minähän,for I
939,samalla,in the process
940,helvettiin,hell
941,vihaan,I hate
942,turvassa,in security
943,alan,industry
944,pojan,the son
945,talon,house
946,ymmärtää,understand
947,puolella,on the side of
948,pitkään,long
949,haittaa,harm to
950,kuulu,part of
951,kuluttua,after
952,veli,brother
953,kuningas,king
954,jimmy,jimmy
955,käytä,use the
956,syy,reason
957,kaikesta,all
958,sairas,sick
959,hae,get
960,auttakaa,please help
961,sattuu,hurts
962,kysy,ask
963,the,the
964,pysykää,stick to your
965,onnellinen,happy
966,mestari,Master
967,kahdeksan,eight
968,etsi,search for
969,pelastaa,to save
970,naimisissa,married
971,vuotias,years old
972,kunnolla,properly
973,rauhallisesti,quietly
974,lähtien,since
975,ammu,shoot
976,mitäs,what
977,katson,I look
978,kahvia,coffee
979,jutella,chat
980,vihainen,mad
981,totuus,truth
982,täydellinen,perfect
983,selvää,clear
984,lopettakaa,please stop
985,viikolla,during the week
986,painu,go to
987,äkkiä,short
988,pysyä,stay
989,pää,head
990,varovainen,careful
991,nukkumaan,to sleep
992,minuutin,minutes
993,viikkoa,weeks
994,tekisi,would make
995,ajatus,thought
996,kuulemma,reportedly
997,yritti,tried to
998,iltaa,evening
999,ketä,who
1000,millainen,what kind of
1001,taidan,I think I
1002,elämän,life
1003,eversti,colonel
1004,ystäväsi,friend
1005,harry,harry
1006,suurin,major
1007,tekemistä,to do
1008,viimeksi,last
1009,melko,quite
1010,yhteyttä,Contact
1011,kovasti,hard
1012,kohtaan,towards
1013,aloittaa,start
1014,paul,paul
1015,kertoo,says
1016,näkee,sees
1017,tahdon,will
1018,selittää,explain
1019,lähdemme,we leave
1020,mieheni,my husband
1021,soitti,phoned
1022,pitäisikö,should
1023,tiedätte,you know
1024,mentävä,to go
1025,autoon,the car
1026,tietä,the way
1027,tuohon,at that
1028,enempää,any more
1029,ben,ben
1030,ilta,evening
1031,tärkeä,important
1032,helvetissä,hell
1033,saman,the same
1034,tällaista,kind of
1035,hetkellä,the moment
1036,tapaamaan,to meet
1037,james,james
1038,tarina,shaking
1039,tajua,humor
1040,loistava,glorious
1041,vannon,I swear
1042,haluatteko,Do you want
1043,peter,peter
1044,bob,bob
1045,otti,took
1046,kaupungin,town's
1047,koske,apply
1048,kerralla,at once
1049,ylpeä,proud
1050,pahaa,bad
1051,loistavaa,brilliant
1052,juokse,the running
1053,edelleen,still
1054,musta,black
1055,arvaa,guessing
1056,enpä,I do not
1057,keitä,who
1058,käyn,I visit
1059,elämää,of life
1060,tiedättekö,do you know
1061,selville,find out
1062,pääsee,access
1063,taakse,behind
1064,asiasta,the matter
1065,oltava,to be
1066,yön,night
1067,otetaan,taking
1068,maailmassa,the world
1069,rauhassa,in peace
1070,äidin,maternal
1071,palaan,I will return
1072,lääkäri,doctor
1073,ajatella,think
1074,pääsemme,we get
1075,oie,oie
1076,pelkkä,mere
1077,kuuletko,can you hear
1078,leikkiä,play
1079,jälleen,again
1080,näitkö,did you see
1081,asuu,lives
1082,vaimo,wife
1083,ampua,shoot
1084,vieläkin,even
1085,voimmeko,can we
1086,tietävät,know
1087,eteen,in front of
1088,aja,drive the
1089,kuunnelkaa,listen to
1090,annoin,I gave
1091,hyvän,good
1092,johtaja,manager
1093,tarvitaan,needed
1094,noita,witch
1095,mietin,I think
1096,uutisia,news
1097,vuosi,year
1098,puhutaan,talk about
1099,ajatellut,thought
1100,millä,whereby
1101,jotenkin,somehow
1102,perhe,family
1103,naisia,women
1104,sekaisin,tumbled
1105,johtaa,to lead
1106,teimme,we made
1107,vei,took
1108,eroon,rid of
1109,kirjoittaa,write
1110,isän,paternal
1111,ihana,wonderful
1112,menin,I went to
1113,pidetään,will be held
1114,suomennos,suomennos
1115,osaan,part
1116,ihmisen,human
1117,ainakaan,at least not
1118,tähden,for the sake of
1119,peli,game
1120,pääset,you
1121,ihmistä,people
1122,jätti,giant
1123,lähettää,send
1124,mihinkään,anywhere
1125,herää,Wake up
1126,ethän,do you
1127,esiin,out
1128,pane,place
1129,tarkoitus,purpose
1130,vittua,the fuck
1131,ellei,unless
1132,antanut,given
1133,tarjoaa,offers
1134,hittoa,heck
1135,kauanko,how long
1136,omaa,own
1137,enkö,Did not
1138,unta,dream
1139,tien,the road
1140,otin,I took
1141,tekeillä,afoot
1142,yrität,you try to
1143,upea,magnificent
1144,billy,billy
1145,viekää,ye shall carry
1146,tehneet,done
1147,ray,ray
1148,kova,hard
1149,varovasti,carefully
1150,hyvästi,Goodbye
1151,kaikista,of all
1152,ensimmäisen,first
1153,max,max
1154,löydä,find
1155,lukea,read
1156,vapaa,free
1157,näki,saw the
1158,viesti,message
1159,toi,brought
1160,tunnet,you feel
1161,paikkaa,seats
1162,äläkä,and do not
1163,oven,the door
1164,muiden,other
1165,jep,Yup
1166,keskellä,in the middle
1167,kuulitko,did you hear
1168,lapsen,the child
1169,jostain,for some
1170,pienen,small
1171,johnny,johnny
1172,s,s
1173,lisäksi,in addition
1174,niille,them
1175,tappanut,killed
1176,unohdin,forgot
1177,fbi,fbi
1178,lähetti,messenger
1179,suunnitelma,plan
1180,mukaani,with me
1181,liiku,move
1182,uskonut,thought
1183,ainoastaan,only
1184,näistä,these
1185,laske,count
1186,mary,mary
1187,ikuisesti,forever
1188,olisivat,would be
1189,pitävät,consider
1190,tietoa,knowledge
1191,vuosia,for years
1192,todellakaan,really
1193,mahdollisuus,opportunity
1194,naista,a woman
1195,käymään,visit
1196,olekaan,not the
1197,tyttäreni,my daughter
1198,puhunut,spoken
1199,nykyään,today
1200,kuolema,death
1201,kolmen,the three
1202,jonkin,something
1203,unohtaa,forget
1204,hra,Mr
1205,kätesi,your hand
1206,bobby,bobby
1207,saisinko,would allow me
1208,kaupunki,city
1209,alusta,chassis
1210,mahdotonta,out
1211,pyydä,ask
1212,halusit,wanted
1213,näytti,looked
1214,alex,alex
1215,jim,jim
1216,san,san
1217,löytyy,can be found
1218,kaunista,beautiful
1219,työ,job
1220,etsimään,in search of
1221,tilaa,room
1222,juo,drinking
1223,pystyt,you can
1224,bill,bill
1225,maata,lie
1226,puolet,half of
1227,onnistu,succeed
1228,nukkua,to sleep
1229,tunnetko,do you know
1230,ilmeisesti,apparently
1231,poliisille,the police
1232,taisi,would
1233,tuoda,bring
1234,oikeus,legal
1235,toin,I brought
1236,pääsen,I get
1237,päähän,on
1238,olitte,you were
1239,puhumaan,to speak
1240,maassa,on the ground
1241,tiesi,knew
1242,kiitti,thanked
1243,sekuntia,seconds
1244,kenenkään,anyone
1245,tulemme,we come
1246,vedä,Pull
1247,tieltä,the way
1248,kuva,picture
1249,minäkään,me neither
1250,kiire,hurry
1251,hiukan,a little
1252,totuuden,the truth
1253,henry,henry
1254,poliisit,police officers
1255,tälle,this
1256,parempaa,better
1257,seuraavaksi,next
1258,myöhäistä,late
1259,tavallaan,kind of
1260,vialla,wrong
1261,sepä,that's
1262,paikkaan,a place
1263,pyysi,asked
1264,autan,I help
1265,maa,I
1266,seksiä,having sex
1267,pysähdy,stop
1268,silmät,eyes
1269,setä,uncle
1270,nick,nick
1271,päästäkää,Untie
1272,huolehdi,worry
1273,jäi,remained
1274,sopiiko,all right
1275,talossa,in a house
1276,aikoo,intends to
1277,uusia,renew
1278,sota,war
1279,oikoluku,Spell Check
1280,todellako,Really
1281,agentti,agent
1282,estää,prevent
1283,tapasin,I met
1284,tosissasi,kidding
1285,nälkä,hunger
1286,suuntaan,in the direction of
1287,vankilaan,jail
1288,luojan,creator
1289,ihme,wonder
1290,vitsi,joke
1291,monet,many
1292,mieluummin,rather
1293,itseään,itself
1294,o,o
1295,jokaisen,every
1296,eddie,eddie
1297,näit,you saw
1298,kenelle,address of the
1299,herran,the lord
1300,tri,Dr.
1301,typerä,silly
1302,lupaa,permission
1303,matka,travel
1304,asiaan,relevant
1305,lhan,lhan
1306,etsiä,search
1307,auttamaan,help
1308,olisimme,we would
1309,montako,how many
1310,isänsä,father
1311,lyö,beats
1312,kesken,in progress
1313,pelkään,I'm afraid
1314,lopulta,eventually
1315,millaista,what kind of
1316,vetää,pull
1317,olevansa,its
1318,lähes,nearly
1319,heippa,bye
1320,paikassa,place
1321,autossa,in a car
1322,usa,U.S
1323,haluaisitko,would you like
1324,tehkää,do
1325,kiirettä,hurry
1326,mennyttä,the past
1327,hetkeksi,for a while
1328,yllätys,surprise
1329,järkeä,common sense
1330,puhuin,I spoke
1331,helppo,easy
1332,sana,word
1333,vaimosi,your wife
1334,loput,the rest
1335,lasta,spatula
1336,autoa,car
1337,valmista,manufacturing
1338,kutsua,invite
1339,kylmä,cold
1340,rakkaus,love
1341,kaupungissa,in town
1342,paikalle,the scene
1343,poikki,across
1344,lentää,fly
1345,kuoleman,deadly
1346,yrittänyt,tried
1347,huone,room
1348,matkaa,the trip
1349,pystyn,I can
1350,avulla,through
1351,ollenkaan,at all
1352,todistaa,evidence
1353,poliisin,the police
1354,näiden,these
1355,kutsutaan,is called
1356,yhdeksän,nine
1357,käske,tell
1358,pelata,to be afraid
1359,tavannut,met
1360,ulkopuolella,outside
1361,kaikilla,all
1362,professori,professor
1363,syömään,eat
1364,oi,Oh
1365,huonosti,poorly
1366,menemään,to go
1367,kenellekään,anyone
1368,tulivat,came to
1369,aikaisemmin,earlier
1370,vähemmän,less
1371,selvittää,sort out
1372,valita,care about
1373,valitettavasti,unfortunately
1374,luulee,thinks
1375,luutnantti,lieutenant
1376,voidaan,can be
1377,tony,tony
1378,olevasi,that you are
1379,toisella,second
1380,kuuma,hot
1381,tulehan,come on
1382,tv,TV
1383,d,d
1384,kiittää,thank
1385,hienosti,finely
1386,kertokaa,tell
1387,tiesit,did you know
1388,tuntui,seemed to
1389,aamuna,morning
1390,pitkälle,far
1391,riitä,dispute
1392,lukee,reads
1393,huora,whore
1394,varaa,Reserve
1395,onhan,after all
1396,hakea,seek
1397,istua,sit
1398,tarkoita,mean
1399,löytänyt,found
1400,siistiä,cool
1401,käski,casque
1402,ylhäällä,up
1403,vetoa,bet
1404,johtuu,is due to
1405,väsynyt,tired
1406,ajattelen,I think
1407,luokse,with
1408,nopeammin,faster
1409,mutten,but I do not
1410,mieti,think about
1411,viimeisen,the last
1412,valmiiksi,ready
1413,veljesi,brother
1414,tulta,Fire
1415,varmaankin,surely
1416,itseäni,myself
1417,sairaalaan,to the hospital
1418,oien,I 'm
1419,ääni,sound
1420,tuomari,judge
1421,saitko,did you get
1422,tää,this
1423,tunsin,I felt
1424,huoneessa,the room
1425,kovaa,hard
1426,yö,night
1427,saatanan,fucking
1428,nähneet,have seen
1429,sarah,sarah
1430,outo,strange
1431,tyttöä,girls
