,Person,Sentence
69,Eric Owens PhD,"Industrial and computer held constant at 32% and 6% respectively.
"
70,Robin Lopez,"This change in mix was a primary factor in the sequential decrease of a 130 basis points in our non-GAAP gross margins.
"
71,Miss Angela Swanson DVM,"Looking ahead, we expect gross margin to remain fairly steady in the second half as end market mix should be a bit more stable than we have seen over the past couple of quarters.
"
72,Michael Stewart,"Non-GAAP operating expenses in the second quarter were $30.7 million.
"
73,Mitchell Smith,"That's up sequentially as expected, reflecting annual merit increases and accelerated R&D spending as we work to bring a larger than usual number of new products to market.
"
74,Kelsey Davis,"Nevertheless, non-GAAP OpEx came in slightly below our forecast for the quarter, and increased less than 2% from a year ago.
"
75,Matthew Russo,"Non-GAAP operating margin was 18.7%, up 120 basis point sequentially, reflecting the strong revenue growth.
"
76,William Garcia,"Our non-GAAP tax rate for the second quarter was just over 4%, resulting in non-GAAP net income of $17.7 million, or $0.60 per diluted share.
"
77,Jennifer Miller,"That's up from $0.50 in the prior quarter and $0.47 a year ago.
"
78,Jesse Sparks,"We generated $23.6 million in cash flow from operations in the quarter, while capital expenditures totaled $2.8 million.
"
79,Brandi Meyer,"Cash and investments on the balance sheet increase by about $17 million during the quarter to $202 million.
"
80,Hannah Wiggins,"Internal inventories increased slightly in terms of dollars, but fell to 86 days on hand, a decrease of 12 days from the prior quarter, reflecting the stronger than expected revenue growth.
"
81,Albert Williams,"We do expect to build some inventory in the second half to get back into our target range of about 110 days plus or minus 15 days.
"
82,Kristin Potts,"Our outlook for the third quarter is for revenues of $96 million to $102 million, which would be up more than 10% year over year at the midpoint.
"
83,Susan Williams,"As mentioned earlier, we expect end market mix to be fairly stable, which should result in a gross margin similar to the Q2 level.
"
84,Meredith Rios,"Specifically, we expect non-GAAP gross margin to be in the range of 50% to 50.5% for the September quarter.
"
85,Stephanie Bowman,"Non-GAAP operating expenses should increase slightly to around $31 million, while the non-GAAP tax rate should remain in the range of 4% to 5%.
"
86,Joshua Clark,"With that, I'll turn it back over to <UNK>.
"
87,Alexa Hernandez,"Thanks, <UNK>.
"
88,Richard Higgins,"We'll move onto the Q&A session now.
"
89,Marc Williams,"Kelly, would you please give the instructions for the Q&A.
"
90,William Roberts,"It is true, <UNK>, that certain markets are faster.
"
91,Joshua Carter,"So if you look at what has increased the addressable market this year, it's primarily the SCALE-iDriver, which adds $500 million to our $2.5 billion addressable market, so that brings a total of $3 billion.
"
92,David Williams,"However, we have additional products that are coming out, including our next generation InnoSwitch that'll add to the addressable market this year, and plus some additional products next year that'll expand the market further.
"
93,Joseph Jones,"So I would say in terms of time to revenue, some of the lower power markets are faster.
"
94,Gary Perry,"They're typically in the 6 to 12 month range.
"
95,Terry Wells,"Whereas the high power products tend to be more in the year to year and a half kind of a design cycle; for example, for the iDriver.
"
96,Vanessa Cooper,"The yen hasn't had an impact yet.
"
97,Michael Simmons,"It'll start having an impact in Q4.
"
98,Nicholas Kline,"And you're correct; it takes about nearly five to six months.
"
99,Lori Bennett,"But as you know, the yen has been moving through this year from the 120s down to somewhere in the 105, 106 level.
"
100,Margaret Jones,"So the unfavorable impact will start in Q4, and if it remains at the current level, more so in the next year.
"
101,Paul Brown,"However, a lot can change between now and the end of the year, so it's hard to predict the full impact for the next year.
"
102,James Stone,"But the start of the yen impact is more so in the Q4.
"
103,John Richards,"It's a little difficult to calculate that because it's such a dynamic market right now.
"
104,Jenny Richardson,"To the best we can estimate, roughly one third of the smartphones have started using rapid charging.
"
105,Debbie Waters MD,"As far as our share, we think there are really clearly two leading solutions.
"
106,Austin Boyer,"One of them is ours.
"
107,Stephanie Hayes,"I would say that in terms of dollar value shipped, we are clearly number one.
"
108,Barbara Sanders,"Clearly, we have done better than we expected in the cellphone, or the communications market, I should say, particularly in the rapid charging market with InnoSwitch.
"
109,Andrew Gould,"We have exposure to all of the Tier I customers except one.
"
110,Charles Gonzalez,"And the ones in China have done extremely well, and particularly there is one Chinese OEM who has done extremely well.
"
111,Joshua Hernandez,"But I would say that all of our Tier I customers have done well in terms of rapid charging products we ship to them.
"
112,Victoria Hernandez MD,"And we've got to be careful because when we ship rapid charging products, it's not only the unit volume, but it's also the content is so much higher for us.
"
113,Sherry Simpson,"So our revenue doesn't necessarily reflect the number of units of smartphones or even rapid charging phones.
"
114,Erica Jimenez,"But as far as we are concerned, it's been a significant growth in that market.
"
115,Mr. Dakota Lynch II,"The second area where we have done very well of course is industrial where we have grown double digits sequentially.
"
116,Victor Nolan,"And that has been across multiple areas, including high power, LED, metering, electric chargers for electric vehicles like bicycles, and also chargers for power tools and lawn mowers, and so on and so forth.
"
117,Amanda Hernandez,"It's very, very broad-based.
"
118,Richard Kirby,"So those are the two main areas.
"
119,Michelle Roman,"Absolutely, and that's why I think we are able to talk about the margin remaining even though the yen is going to start impacting us in Q4.
"
120,Bradley Melton,"It is the higher volume that we are going -- you know, we don't have our own fab, so we don't have as much fixed cost.
"
121,Danny Williams,"But we do have some fixed cost, and that is what is actually enabling us and helping us offset the yen impact that we are starting to see.
"
122,Ryan Rivera,"And that's why we were mentioning that we expect the margin to remain in the level compared to Q2 for the rest of the year.
"
123,Charles Douglas,"(Multiple speakers) sort of remain the same.
"
124,Kathy Santana,"No, the weeks in the channel are down from -- last quarter was 7.3, which is, as you know, because of Chinese New Year, and now it's down to 6.5.
"
125,Laura Gregory,"So typically, we run at 5.5, 6 weeks, so you may say it's slightly, but I wouldn't say it's of any significance.
"
126,Norma Mooney,"Our backlog is better than in the past.
"
127,Susan Harris,"As you've noticed that our turns have been gradually going down, so we built a reasonable backlog in Q2.
"
128,Linda Petersen,"Our bookings in Q2 was sequentially better than Q1, consistent with our forecast for Q3.
"
129,Dr. James Willis,"So I think we are in a stronger backlog position than we were in Q2 for Q3.
"
130,Rebecca Sandoval,"Absolutely.
"
131,Christopher Hunter,"One of the unique things about our product is it integrates a switch in it.
"
132,Austin Heath,"So as you go to higher power levels, your content is higher, and therefore, our ASP would be higher.
"
133,Elizabeth Russell,"I'm sorry, I wasn't sure which -- what product.
"
134,Amy Davidson,"iDriver.
"
135,Dustin Greer,"Okay.
"
136,Andrew Butler,"So the iDriver was introduced in May this year at PCIM Europe.
"
137,Scott Love DDS,"The interest level is very high.
"
138,William Jenkins,"The feedback is extremely positive.
"
139,Jasmine Williams,"We don't expect any revenue this year, but we do expect some revenue next year based on the feedback we have seen so far.
"
140,Christian Johnson,"As I said, it typically takes a year to a year and a half for that type of product.
"
141,Lorraine Garcia,"It goes into markets of renewables, UPS power supplies, motor control, and so on.
"
142,Hannah Reyes,"And my expectation is we should have some revenue in the second half of next year.
"
143,Katherine Ibarra,"So basically, we are keeping -- our lead time is the same except for, obviously, certain products where, because we've had such a demand, that we are a little tighter.
"
144,Julie Chen,"But we are actually ramping up our production as well at different places.
"
145,Caleb Fleming,"So we believe that over the next two quarters, we should get back into our range.
"
146,Rachel Martinez,"Okay, well I know it's a busy day out there for earnings, so appreciate everyone listening in.
"
147,Rebecca Stark,"There will be a replay of this call available on our website, which is investors.
"
148,Melanie Patrick,"power.com.
"
149,Rachel Lopez,"Thanks again for listening, and good afternoon.
"
