,category,paperid,date,num_authors,title
91,ecology,259143,2018/02/05,9,Human mediated dispersal of cats in the Neolithic Central Europe
92,ecology,257154,2018/02/05,1,Using river temperature to optimize fish incubation metabolism and survival: a case for mechanistic models
93,ecology,259879,2018/02/05,2,Local adaptation primes cold-edge populations for range expansion but not warming-induced range shifts
94,ecology,130922,2018/02/05,2,Life history variation along an elevational gradient in Plethodon montanus: implications for conservation
95,ecology,257667,2018/02/05,11,"Haemolymph removal by the parasite Varroa destructor can trigger the proliferation of the Deformed Wing Virus in mite infested bees (Apis mellifera), contributing to enhanced pathogen virulence"
96,ecology,259697,2018/02/05,6,What drives interaction strengths in complex food webs? A test with feeding rates of a generalist stream predator
97,ecology,258038,2018/02/01,2,Habitat loss is information loss: Species distribution models are compromised in anthropogenic landscapes
98,ecology,216986,2018/01/31,6,Diversity loss selects for altered plant phenotypic responses to local arbuscular mycorrhizal communities
99,ecology,257675,2018/01/31,4,Caterpillars Count! A citizen science project for monitoring foliage arthropod abundance and phenology
100,ecology,17467,2015/08/10,2,A quantitative review of relationships between ecosystem services
101,ecology,12476,2015/08/03,1,The effect of nutrient availability on global forest carbon balance is uncertain
102,ecology,23630,2015/07/31,3,"Comparison of biochemical, histological and morphological response of muscle-based condition indices to varying food levels in pre-flexion Dicentrarchus labrax (L.) larvae"
103,ecology,23507,2015/07/31,3,Stabilizing the dynamics of laboratory populations of Drosophila melanogaster through upper and lower limiter controls
104,ecology,23275,2015/07/27,5,Effect of Localization on the Stability of Mutualistic Ecological Networks
105,ecology,23259,2015/07/26,4,3D tree dimensionality assessment using photogrammetry and small unmanned aerial vehicles
106,ecology,22533,2015/07/16,9,Floral resource-landscapes and pollinator-mediated interactions in plant communities
107,ecology,22566,2015/07/15,2,Diversity waves in collapse-driven population dynamics
108,ecology,21220,2015/06/26,4,Metacommunities in Dynamic Landscapes
109,ecology,13938,2015/06/19,2,The effect of carbon subsidies on marine planktonic niche partitioning and recruitment during biofilm assembly
110,ecology,404756,2018/08/31,2,"Local and regional urbanization: Correlates of parasite community composition and richness in the salt marsh fish, Fundulus heteroclitus"
111,ecology,404376,2018/08/31,4,What we (don't) know about global plant diversity
112,ecology,399618,2018/08/31,4,Bayesian arrival model for Atlantic salmon smolt counts powered by environmental covariates and expert knowledge
113,ecology,272161,2018/08/30,2,"Complex associations of environmental factors may explain Blanchard's Cricket Frog, Acris blanchardi, declines and drive population recovery"
114,ecology,311241,2018/08/30,3,Characterizing animal movement patterns across different scales and habitats using information theory
115,ecology,404210,2018/08/30,9,Climate as a driver of adaptive variations in ecological strategies in Arabidopsis thaliana
116,ecology,289348,2018/08/30,1,On the variability of Species Abundance Distributions with trophic guild and community structure
117,ecology,118257,2018/08/29,2,Characterization of nitrogen deposition by means of atmospheric biomonitors
118,ecology,402198,2018/08/29,4,A Modelling Exercise to Show Why Population Models Should Incorporate Distinct Life-Histories of Dispersers
119,ecology,402271,2018/08/29,3,Competition within species determines the value of a mutualism between species
120,ecology,43372,2016/03/17,6,Relic DNA is abundant in soil and obscures estimates of soil microbial diversity
121,ecology,44081,2016/03/16,1,Correlation/causation in ecology: towards mechanistic explanations for the Species-Area Relationship
122,ecology,44008,2016/03/16,5,Effect of stand characteristics on tree species richness in and around a conservation area of Bangladesh
123,ecology,43331,2016/03/12,3,Demographic stochasticity and resource autocorrelation control biological invasions in heterogeneous landscapes
124,ecology,43083,2016/03/10,3,The Effects of Evolution and Spatial Structure on Diversity in Biological Reserves
125,ecology,27235,2016/03/09,7,In silico assessment of primers for eDNA studies using PrimerTree and application to characterize the biodiversity surrounding the Cuyahoga River
126,ecology,40386,2016/03/09,3,An ecological assessment of the pandemic threat of Zika virus
127,ecology,41897,2016/03/07,4,Zika Virus: Endemic Versus Epidemic Dynamics and Implications for Disease Spread in the Americas
128,ecology,37994,2016/03/03,4,Ecological factors rather than barriers to dispersal shape genetic structure of algal symbionts in horizontally-transmitting corals
129,ecology,24265,2016/02/29,2,"Facing the heat: thermoregulation and behaviour of lowland species of a cold-dwelling butterfly genus, Erebia"
130,ecology,188607,2017/09/14,2,Four fundamental processes of community assembly
131,ecology,188409,2017/09/13,5,Stochastic dispersal increases the rate of upstream spread: a case study with green crabs on the northwest Atlantic coast
132,ecology,113753,2017/09/13,3,No general relationship between mass and temperature in endothermic species
133,ecology,188227,2017/09/13,14,Epigenome-associated phenotypic acclimatization to ocean acidification in a reef-building coral
134,ecology,123331,2017/09/12,3,Estimating The Extinction Date Of The Thylacine Accounting For Unconfirmed Sightings
135,ecology,187799,2017/09/12,4,Inferring critical points of ecosystem transitions from spatial data
136,ecology,186536,2017/09/11,1,Adult facilitation becomes competition as juvenile soapberry bugs age
137,ecology,187047,2017/09/10,3,Macroecology suggests cancer-causing papillomaviruses form non-neutral communities
138,ecology,187021,2017/09/10,5,Phenological responses to multiple environmental drivers under climate change: insights from a long-term observational study and a manipulative field experiment
139,ecology,186932,2017/09/10,3,Estimates of vital rates and predictions of population dynamics change along a long-term monitoring program
140,ecology,252478,2018/01/24,1,Canopy cover and structural complexity affect the phylogenetic composition of a pond-dwelling Neotropical anuran metacommunity
141,ecology,252544,2018/01/23,4,Evidence for subsoil specialization in arbuscular mycorrhizal fungi
142,ecology,252213,2018/01/23,5,Water stress and CO2 concentration interactions affect carbon isotope signatures of leaf and phloem organic matter
143,ecology,251926,2018/01/22,4,A constraint-based model reveals hysteresis in island biogeography
144,ecology,251868,2018/01/22,7,Modeling Avian Full Annual Cycle Distribution and Population Trends with Citizen Science Data
145,ecology,251249,2018/01/22,3,Asymmetric effects of environmental filtering on the assembly of tropical bird communities along a moisture gradient
146,ecology,251538,2018/01/22,8,New mining concessions will severely decrease biodiversity and ecosystem services in Ecuador
147,ecology,145862,2018/01/21,4,Generic assembly patterns in complex ecological communities
148,ecology,251231,2018/01/21,3,"Effects of shade-coffee certification programs on bird, trees and butterfly diversity in Colombia"
149,ecology,251264,2018/01/21,3,Climatic effects on turnover of lowland forest bird communities across a precipitation gradient
150,ecology,482406,2018/12/22,5,Beyond a single patch: local and regional processes explain diversity patterns in a seagrass epifaunal metacommunity
151,ecology,397364,2018/12/22,10,Empirical analysis and modeling of Argos Doppler location errors in Romania
152,ecology,504928,2018/12/21,2,Mangrove forest structure and composition along urban gradients in Puerto Rico
153,ecology,504084,2018/12/21,4,Aspects of invasiveness of Ludwigia and Nelumbo in shallow temperate fluvial lakes
154,ecology,504605,2018/12/21,3,Phase Transitions in Mutualistic Communities under Invasion
155,ecology,501155,2018/12/20,2,Soil respiration in a tropical montane grassland ecosystem is largely heterotroph-driven and increases under simulated warming
156,ecology,385724,2018/12/20,3,Adaptive consumer-resource models can explain diauxic shifts and the violation of the Competitive Exclusion Principle
157,ecology,502765,2018/12/20,4,Spatio-temporal variation of skeletal Mg-calcite in Antarctic marine calcifiers in a global change scenario
158,ecology,503078,2018/12/20,3,Established rodent community delays recovery of dominant competitor following experimental disturbance
159,ecology,500942,2018/12/20,5,Co-occurrence of contrasting life-history strategies in a metapopulation inhabiting temporally variable and stable breeding sites
160,ecology,348359,2018/06/28,8,"The effects of drought and nutrient addition on soil organisms vary across taxonomic groups, but are constant across seasons"
161,ecology,355875,2018/06/28,5,Susceptibility of European freshwater fish to climate change: species profiling based on life-history and environmental characteristics
162,ecology,357814,2018/06/28,5,Occurrence of diamondback moths Plutella xylostella and their parasitoid wasps Cotesia vestalis in mizuna greenhouses and their surrounding areas
163,ecology,357376,2018/06/28,5,"Assessing the impact of taxon resolution on network structure, with implication for comparative ecology"
164,ecology,357889,2018/06/28,5,Enhancing Percolation in Phosphatic Clay Using Diatoms under Laboratory Conditions
165,ecology,357798,2018/06/28,4,blockCV: an R package for generating spatially or environmentally separated folds for k-fold cross-validation of species distribution models
166,ecology,357459,2018/06/27,3,Adaptive Sampling for Spatial Capture-Recapture: An efficient sampling scheme for rare or patchily distributed species
167,ecology,356311,2018/06/27,4,Overwhelming presence of non-food vegetation undermines the reliability of NDVI as a surrogate of forage abundance for a large herbivore in a tropical forest habitat
168,ecology,356980,2018/06/27,5,Resource co-limited growth in fluctuating environments
169,ecology,356360,2018/06/27,3,The filtering metaphor revisited: competition and environment jointly structure invasibility and coexistence
170,ecology,165282,2017/07/18,4,Are the adverse effects of stressors on amphibians mediated by their effects on stress hormones?
171,ecology,40659,2017/07/18,2,Eco-evolutionary buffering: rapid evolution facilitates regional species coexistence despite local priority effects
172,ecology,165019,2017/07/18,10,Drones count wildlife more accurately and precisely than humans
173,ecology,164673,2017/07/18,1,Atrazine and amphibians: Data re-analysis and a summary of the controversy
174,ecology,164566,2017/07/18,3,A floristic survey of Fair Isle
175,ecology,164814,2017/07/18,5,Thermal mismatches explain how climate change and infectious disease drove widespread amphibian extinctions
176,ecology,164806,2017/07/18,3,A global synthesis of phenological responses to climate change
177,ecology,164293,2017/07/17,7,Model-based analysis of experimental hut data elucidates multifaceted effects of a volatile chemical on Aedes aegypti mosquitoes
178,ecology,163899,2017/07/15,10,Disequilibrium of fire-prone forests sets the stage for a rapid decline in conifer dominance during the 21st century
179,ecology,163774,2017/07/15,8,Ecological selection of siderophore-producing microbial taxa in response to heavy metal contamination
180,ecology,135558,2017/05/11,35,"The Kobresia pygmaea Ecosystem Of The Tibetan Highlands: Origin, Functioning And Degradation Of The World's Largest Pastoral Alpine Ecosystem"
181,ecology,135210,2017/05/09,9,Sex-Specific Changes In Gene Expression And Delayed Sex Differentiation In Response To Estrogen Pollution In Grayling (Salmonidae)
182,ecology,135582,2017/05/09,7,The Paradox Of Constant Oceanic Plastic Debris: Evidence For Evolved Microbial Biodegradation?
183,ecology,134221,2017/05/07,1,Malthusian Catastrophe: Species Extinction Caused By Oversized Population
184,ecology,134833,2017/05/05,4,Food Webs Over Time: Evaluating The Variability Of Degree Distribution On Ecological Networks
185,ecology,52266,2017/05/02,1,EM and component-wise boosting for Hidden Markov Models: a machine-learning approach to capture-recapture
186,ecology,96164,2017/05/01,16,"Multidisciplinary field research in Kabwe, Zambia, towards better understanding of lead contamination of the city - A short report from a field survey"
187,ecology,132753,2017/05/01,9,Modeling Zero-Inflated Count Data With glmmTMB
188,ecology,132522,2017/04/30,5,Caterpillars lack a resident gut microbiome
189,ecology,104505,2017/04/28,3,Partitioning the effects of eco-evolutionary feedbacks on community stability
190,ecology,69427,2016/08/14,2,climwin: An R Toolbox for Climate Window Analysis
191,ecology,69203,2016/08/12,3,Stochastic competitive exclusion leads to a cascade of species extinctions
192,ecology,61549,2016/08/11,3,Genetic Allee effects and their interaction with ecological Allee effects
193,ecology,68734,2016/08/10,3,"A comparison of Species Distribution Modeling approaches for an under-sampled parasite of public health importance, Echinococcus multilocularis."
194,ecology,68544,2016/08/09,1,Remnant American Chestnut (Castanea dentata (Marsh.) Borkh.; Fagaceae) in Upland Forests of Northwestern New York
195,ecology,68551,2016/08/09,15,Environmental DNA enables detection of terrestrial mammals from forest pond water
196,ecology,68387,2016/08/08,2,"The fishing and natural mortality of large, piscivorous Bull Trout and Rainbow Trout in Kootenay Lake, British Columbia (2008-2013)"
197,ecology,29801,2016/08/08,3,"The Abundance of Large Piscivorous Ferox Trout (Salmo trutta) in Loch Rannoch, Scotland"
198,ecology,68171,2016/08/05,6,Sympatry with the devil? Niche-based approach explains the mechanisms allowing 1 coexistence of native and non-native salmonids
199,ecology,67306,2016/08/02,5,Fungi exposed to chronic nitrogen enrichment are less able to decay leaf litter
200,ecology,303057,2018/04/17,3,Limited Introgression Supports Division of Giraffe into Four Species
201,ecology,302810,2018/04/17,4,A geometric approach to scaling individual distributions to macroecological patterns
202,ecology,301630,2018/04/14,7,"A zero percent plastic ingestion rate by silver hake (Merluccius bilinearis) from the south coast of Newfoundland, Canada"
203,ecology,301143,2018/04/14,2,npphen: an R-package for non-parametric reconstruction of vegetation phenology and anomaly detection using remote sensing
204,ecology,300210,2018/04/13,2,Mathematical and ecological traits of above and below ground biomass production of beech (Fagus silvatica L.) trees growing in pure even-aged stands in north-east France
205,ecology,299982,2018/04/13,5,Spatial Mark-Resight for Categorically Marked Populations with an Application to Genetic Capture-Recapture
206,ecology,299693,2018/04/13,5,Mapping Social Ecological Systems Archetypes
207,ecology,300590,2018/04/13,4,Biotic interactions limit the geographic range of an annual plant: herbivory and phenology mediate fitness beyond a range margin
208,ecology,299529,2018/04/11,13,Heterogeneous exposure and hotspots for malaria vectors at three study sites in Uganda
209,ecology,295923,2018/04/11,3,Which food patches are worth exploring? Foraging desert birds do not follow environmental indicators of seed abundance at small scales: a field experiment
210,ecology,289876,2018/03/28,5,Climate change and the potential distribution of Xylella fastidiosa in Europe
211,ecology,289819,2018/03/28,3,Parasitism effects on coexistence and stability within simple trophic modules
212,ecology,290460,2018/03/28,2,"Adaptive harvesting drives fishing down processes, regime shifts, and resilience changes in predator-prey systems"
213,ecology,283895,2018/03/27,4,Benefits And Limitations Of Three-Dimensional Printing Technology For Ecological Research
214,ecology,290213,2018/03/27,2,Mass Amphibian Mortality during Overwintering Related To Fungal Pathogen But Not Larval Environment: An Explanation for Declines?
215,ecology,290239,2018/03/27,2,Host Diet Influences Lethal and Sublethal Responses of Hosts to Amphibian Pathogen Exposure
216,ecology,233429,2018/03/27,4,Patchiness and scale-free correlations: characterising criticality in ecosystems.
217,ecology,260729,2018/03/27,5,High carnivore population density highlights the conservation value of industrialised sites
218,ecology,214924,2018/03/26,4,Urbanization-driven changes in web-building are decoupled from body size in an orb-web spider
219,ecology,96875,2018/03/24,2,Rescuing Troves of Data to Tackle Emerging Mosquito-Borne Diseases
220,ecology,111153,2017/02/23,3,The spatial and metabolic basis of colony size variation
221,ecology,58628,2017/02/21,8,"Metabarcoding of unfractionated water samples relates phyto-, zoo- and bacterioplankton dynamics and reveals a single-taxon bacterial bloom"
222,ecology,109074,2017/02/20,8,Using eDNA to Detect the Distribution and Density of Invasive Crayfish in the Honghe-Hani Rice Terrace World Heritage Site
223,ecology,109538,2017/02/17,5,Using remote camera traps to assess mammal and bird assemblages across a complex environmental landscape
224,ecology,109504,2017/02/17,13,HistMapR: Rapid digitization of historical land-use maps in R
225,ecology,109280,2017/02/17,5,Proper experimental design requires randomization/balancing of molecular ecology experiments
226,ecology,109025,2017/02/16,1,Spatial Variation of Soil Moisture and its Effect on Lint Yield in a Deficit Irrigated Cotton Field
227,ecology,109041,2017/02/16,2,Estimating environmental suitability
228,ecology,108712,2017/02/15,5,Health quality of seed potato and yield losses in Ecuador
229,ecology,108696,2017/02/15,9,Thermal adaptation constrains the temperature dependence of ecosystem metabolism
230,ecology,418970,2018/09/17,7,Two dispersers are better than one: a 'bird-fig' attracts bats via nocturnal scent
231,ecology,418590,2018/09/16,8,Quantitative multi-locus metabarcoding and waggle dance interpretation reveal honey bee spring foraging patterns in Midwest agroecosystems
232,ecology,416834,2018/09/14,6,Inoculation with Pisolithus tinctorius may ameliorate acid rain impacts on soil microbial communities associated with Pinus massoniana seedlings
233,ecology,416693,2018/09/14,3,Expansion history and environmental suitability shape effective population size in a plant invasion
234,ecology,416818,2018/09/14,6,Fungal community assembly in soils and roots under plant invasion and nitrogen deposition
235,ecology,418301,2018/09/14,14,Functional composition rather than species richness drive carbon gain and allocation in experimental grasslands
236,ecology,418285,2018/09/14,6,Automatic interpretation of otoliths using deep learning
237,ecology,416297,2018/09/13,11,Specific metabolic signatures of fish exposed to cyanobacterial blooms
238,ecology,337972,2018/09/12,6,Habitat heterogeneity drives scale-dependent biodiversity loss in a temperate marine ecosystem
239,ecology,328112,2018/09/12,4,The community and ecosystem consequences of intraspecific diversity: a meta-analysis
240,ecology,102459,2017/01/23,6,Prolonged exposure does not increase soil microbial community response to warming along geothermal gradients
241,ecology,101675,2017/01/20,4,Interactive effects of shifting body size and feeding adaptation drive interaction strengths of protist predators under warming
242,ecology,35576,2017/01/19,6,Riparian ecosystem in the alpine connectome. Terrestrial-aquatic and terrestrial-terrestrial interactions in high elevation lakes
243,ecology,98624,2017/01/15,4,"Selectivity matters: rules of thumb for management of plate-sized, sex-changing fish in the live reef food fish trade"
244,ecology,92452,2017/01/15,6,Use of phenylacetonitrile plus acetic acid to monitor Pandemis pyrusana (Lepidoptera: Tortricidae) in apple
245,ecology,99978,2017/01/13,3,"Interactions between ecological, evolutionary, and environmental processes unveil complex dynamics of island biodiversity"
246,ecology,100289,2017/01/13,4,Effects of time and isolation on plant diversity: testing island biogeography theory with an eco-evolutionary model
247,ecology,75895,2017/01/13,6,Determinants and patterns of the endangered brown bear Ursus arctos habitat use in the French Pyrenees revealed by occupancy modeling
248,ecology,88518,2017/01/12,8,Deterministic influences exceed dispersal effects on hydrologically-connected microbiomes
249,ecology,99424,2017/01/11,7,Mapping and explaining wolf recolonization in France using dynamic occupancy models and opportunistic data
250,ecology,224188,2017/11/24,3,Effects of increased N and P availability on biomass allocation and root carbohydrate reserves differ between N-fixing and non-N-fixing savanna tree seedlings
251,ecology,223651,2017/11/24,1,The feasibility and stability of large complex biological networks: a random matrix approach
252,ecology,186981,2017/11/24,5,Unmasking cellular response of a bloom-forming alga to virus infection by resolving expression profiling at a single-cell level
253,ecology,64543,2017/11/23,3,Balance between resource supply and demand determines nutrient limitation of primary productivity in the ocean
254,ecology,224097,2017/11/22,3,The perfect storm: Extreme weather drives and predation maintains phase shift in dominant Chesapeake Bay bivalve
255,ecology,223529,2017/11/21,5,On the proportional abundance of species: Integrating population genetics and community ecology
256,ecology,192013,2017/11/21,4,A structural approach to disentangle the visualization of bipartite biological networks
257,ecology,42572,2017/11/19,5,Symmetric assembly and disassembly processes in an ecological network
258,ecology,108175,2017/11/18,3,Population dynamics of mutualism and intraspecific density dependence: how θ-logistic density dependence affects mutualistic positive feedback
259,ecology,221440,2017/11/17,9,Diel predator activity drives a dynamic landscape of fear
260,ecology,543934,2019/02/08,4,Spatial eco-evolutionary feedbacks mediate coexistence in prey-predator systems
261,ecology,544825,2019/02/08,8,"A 50-year series of mark-recapture data of large-sized brown trout (Salmo trutta) from Lake Mjøsa, Norway"
262,ecology,544742,2019/02/08,10,Estimating cause- and size- specific mortality hazard rates using mark-recapture-recovery data
263,ecology,530782,2019/02/08,1,"A compilation of and typology for abundance-, phylogenetic- and functional-based diversity metrics"
264,ecology,543637,2019/02/08,3,Temporal switching of species roles in a plant-pollinator network
