,Facility,CC,CC Description,1/1/19 Fee
75,PSYCH,10000974,ACETYLCHOLINE RECEPTOR,213.00
76,PSYCH,10000985,"INSULIN, TOTAL",105.00
77,PSYCH,10000987,IRON,111.00
78,PSYCH,10000990,IRON BINDING CAPACITY,119.00
79,PSYCH,10000994,LDH,71.00
80,PSYCH,10000997,LEAD,125.00
81,PSYCH,10001003,LIPASE,176.00
82,PSYCH,10001009,LDL CHOLESTEROL,114.00
83,PSYCH,10001010,MAGNESIUM SERUM,103.00
84,PSYCH,10001016,MERCURY,149.00
85,PSYCH,10001024,MYOGLOBIN,143.00
86,PSYCH,10001027,NATRIURETIC PEPTIDE,170.00
87,PSYCH,10001054,OSMOLALITY BLOOD,80.00
88,PSYCH,10001055,"OSMOLALITY, URINE",80.00
89,PSYCH,10001060,PARATHYROID HORMONE,200.00
90,PSYCH,10001064,"ANTIPSYCHOTIC, 1-2",216.00
91,PSYCH,10001068,ALKALINE PHOSPHATASE,112.00
92,PSYCH,10001069,ALKALINE PHOSPHATASE ISOENZYME,125.00
93,PSYCH,10001071,PHOSPHORUS,110.00
94,PSYCH,10001079,POTASSIUM SERUM,90.00
95,PSYCH,10001080,POTASSIUM URINE,90.00
96,PSYCH,10001082,PREALBUMIN,192.00
97,PSYCH,10001084,PROGESTERONE,219.00
98,PSYCH,10001086,PROLACTIN,256.00
99,PSYCH,10001087,"PSA, TOTAL",148.00
100,PSYCH,10001089,"PROTEIN, TOTAL",75.00
101,PSYCH,10001090,"PROTEIN, TOTAL, URINE",75.00
102,PSYCH,10001091,"PROTEIN, TOTAL, OTHER FLUID",94.00
103,PSYCH,10001094,"PROTEIN ELECTROPHORESIS, URINE",191.00
104,PSYCH,10001102,RENIN,241.00
105,PSYCH,10001105,SEX HORMONE BINDING GLOBULIN,106.00
106,PSYCH,10001108,SODIUM SERUM,47.00
107,PSYCH,10001109,SODIUM URINE,47.00
108,PSYCH,10001112,SOMATOMEDIN,268.00
109,PSYCH,10001116,"TESTOSTERONE, FREE",199.00
110,PSYCH,10001117,"TESTOSTERONE, TOTAL",199.00
111,PSYCH,10001118,VITAMIN B1,234.00
112,PSYCH,10001121,"T4, TOTAL",127.00
113,PSYCH,10001122,"T4, FREE",158.00
114,PSYCH,10001125,TSH,171.00
115,PSYCH,10001129,SGOT,98.00
116,PSYCH,10001130,SGPT,104.00
117,PSYCH,10001131,TRANSFERRIN,229.00
118,PSYCH,10001132,TRIGLYCERIDES,112.00
119,PSYCH,10001134,"T3, TOTAL",183.00
120,PSYCH,10001135,"T3, FREE",160.00
121,PSYCH,10001138,"TROPONIN, QUANTITATIVE",166.00
122,PSYCH,10001139,NEWBORN TYROSINE,20.00
123,PSYCH,10001140,BUN,82.00
124,PSYCH,10001144,URIC ACID SERUM,94.00
125,PSYCH,10001147,VANILLYLMANDELIC ACID,173.00
126,PSYCH,10001155,ZINC,125.00
127,PSYCH,10001156,C-PEPTIDE,149.00
128,PSYCH,10001157,HCG MATERNAL QUANT,268.00
129,PSYCH,10001158,HCG TUMOR MARKER QUANT,186.00
130,PSYCH,10001159,HCG QUALITATIVE,173.00
131,PSYCH,10001164,WBC AUTOMATED DIFFERENTIAL,34.00
132,PSYCH,10001169,HEMATOCRIT,47.00
133,PSYCH,10001171,HEMOGLOBIN,47.00
134,PSYCH,10001173,CBC W/AUTO DIFF,112.00
135,PSYCH,10001174,CBC WO DIFF,78.00
136,PSYCH,10001177,"RETICULOCYTES, AUTOMATED W/IRF",74.00
137,PSYCH,10001179,WBC AUTOMATED,54.00
138,PSYCH,10001180,"PLATELET, AUTOMATED",54.00
139,PSYCH,10001186,FACTOR VIII ACTIVITY,313.00
140,PSYCH,10001187,VWF RISTOCETIN COFACTOR,313.00
141,PSYCH,10001188,FACTOR VIII VW FACTOR ANTIGEN,313.00
142,PSYCH,10001189,FACTOR VIII MULTIMETRIC ANALYS,313.00
143,PSYCH,10001207,D-DIMER QUANTITATIVE,95.00
144,PSYCH,10001227,PROTHROMBIN TIME,61.00
145,PSYCH,10001230,SED RATE AUTOMATED,72.00
146,PSYCH,10001231,SICKLE CELL SCREEN,76.00
147,PSYCH,10001233,PARTIAL THROMBOPLASTIN TIME,77.00
148,PSYCH,10001242,ANTINUCLEAR ANTIBODIES (ANA),167.00
149,PSYCH,10001243,ANA TITER,167.00
150,PSYCH,10001244,ANTISTREPTOLYSIN O TITER,122.00
151,PSYCH,10001246,C-REACTIVE PROTEIN,96.00
152,PSYCH,10001247,"CRP, HIGH SENSITIVITY",130.00
153,PSYCH,10001261,COMPLEMENT TOTAL (CH50),247.00
154,PSYCH,10001262,CYCLIC CITRULLINTED PEPTIDE AB,98.00
155,PSYCH,10001264,"DNA ANTIBODY, DOUBLE STRANDED",176.00
156,PSYCH,10001265,ANTI-CENTROMERE ANTIBODY,88.00
157,PSYCH,10001266,CHROMATIN ANTIBODY,88.00
158,PSYCH,10001267,JO1 ANTIBODY,88.00
159,PSYCH,10001269,RIBOSOMAL P PROTEIN ANTIBODY,88.00
160,PSYCH,10001270,RNP ANTIBODY,88.00
161,PSYCH,10001271,SCLERODERMA ANTIBODY,88.00
162,PSYCH,10001272,SM/RNP EPITOPE,88.00
163,PSYCH,10001273,SMITH ANTIBODY,88.00
164,PSYCH,10001274,SS-A ANTIBODY,88.00
165,PSYCH,10001275,SS-B ANTIBODY,88.00
166,PSYCH,10001300,MONOTEST,104.00
167,PSYCH,10001313,INTRINSIC FACTOR ANTIBODIES,167.00
168,PSYCH,10001322,CD4 COUNT,160.00
169,PSYCH,10001325,MICROSOMAL AB,113.00
170,PSYCH,10001330,RHEUMATOID FACTOR QUANTITATIVE,90.00
171,PSYCH,10001331,"TB, INTERFERON AG RESPONSE",291.00
172,PSYCH,10001335,RPR QUALITATIVE,64.00
173,PSYCH,10001346,"AB, BORDETELLA IGG",133.00
174,PSYCH,10001347,"AB, BORDETELLA IGM",133.00
175,PSYCH,10001348,"AB, LYME DISEASE CONFIRMATORY",151.00
176,PSYCH,10001349,"AB, LYME DISEASE",151.00
177,PSYCH,10001353,"AB, CHLAMYDIA PNEUMONIAE IGG",59.00
178,PSYCH,10001354,"AB, CHLAMYDIA PSITTACI IGG",59.00
179,PSYCH,10001355,"AB, CHLAMYDIA TRACHOMATIS IGG",59.00
180,PSYCH,10001356,"AB, CHLAMYDIA PNEUMONIAE IGM",59.00
181,PSYCH,10001357,"AB, CHLAMYDIA PSITTACI IGM",59.00
182,PSYCH,10001358,"AB, CHLAMYDIA TRACHOMATIS IGM",59.00
183,PSYCH,10001373,"AB, EBV EARLY ANTIGEN",63.00
184,PSYCH,10001374,"AB, EBV NUCLEAR ANTIGEN",72.00
185,PSYCH,10001375,"AB, EBV VIRAL CAPSID IGG",134.00
186,PSYCH,10001376,"AB, EBV VIRAL CAPSID IGM",134.00
187,PSYCH,10001381,"AB, HELICOBACTER PYLORI IGG",198.00
188,PSYCH,10001384,"AB, HELICOBACTER PYLORI IGM",198.00
189,PSYCH,10001392,"AB, HERPES SIMPLEX TYPE 1",107.00
190,PSYCH,10001393,"AB, HERPES SIMPLEX TYPE 2",107.00
191,PSYCH,10001403,"AB, HIV-1/HIV-2",91.00
192,PSYCH,10001405,HEPATITIS B CORE AB TOTAL,128.00
193,PSYCH,10001406,HEPATITIS B CORE AB IGM,128.00
194,PSYCH,10001407,HEPATITIS B SURFACE AB,128.00
195,PSYCH,10001409,HEPATITIS A AB TOTAL,161.00
196,PSYCH,10001410,HEPATITIS A AB IGM,161.00
197,PSYCH,10001416,"AB, MUMPS IGG",149.00
198,PSYCH,10001417,"AB, MUMPS IGM",149.00
199,PSYCH,10001428,"AB, RUBELLA IGG",146.00
200,PSYCH,10001430,"AB, RUBELLA IGM",146.00
201,PSYCH,10001431,"AB, RUBEOLA IGG",146.00
202,PSYCH,10001432,"AB, RUBEOLA IGM",146.00
203,PSYCH,10001435,"AB, TOXOPLASMA IGG",70.00
204,PSYCH,10001436,"AB, TOXOPLASMA IGM",70.00
205,PSYCH,10001437,"AB, TREPONEMA PALLIDUM",52.00
206,PSYCH,10001442,"AB, VARICELLA ZOSTER IGG",157.00
207,PSYCH,10001443,"AB, VARICELLA ZOSTER IGM",157.00
208,PSYCH,10001465,"AB, ANTI THYROGLOBULIN",164.00
209,PSYCH,10001467,HEPATITIS C AB SCREEN,191.00
210,PSYCH,10001495,"ANTIBODY SCREEN, EACH",135.00
211,PSYCH,10001507,ABO TYPING,67.00
212,PSYCH,10001509,RH TYPING,67.00
213,PSYCH,10001555,"CULTURE, BLOOD",130.00
214,PSYCH,10001556,"CULTURE, STOOL SALM/SHIG",130.00
215,PSYCH,10001559,"CULTURE, STOOL, ADD PATH",130.00
216,PSYCH,10001561,"CULTURE, AEROBIC",130.00
217,PSYCH,10001567,"CULTURE, ANAEROBIC",130.00
218,PSYCH,10001573,"CULTURE, AEROBIC ID",130.00
219,PSYCH,10001575,"CULTURE, ORGANISM SCREEN",130.00
220,PSYCH,10001577,"CULTURE, URINE QUANTITATIVE",130.00
221,PSYCH,10001578,"CULTURE, URINE PRESUMPTIVE ID",130.00
222,PSYCH,10001580,"CULTURE, FUNGI OTHER SOURCE",130.00
223,PSYCH,10001585,"CULTURE, CHLAMYDIA",130.00
224,PSYCH,10001586,CULTURE AFB ANY SOURCE,130.00
225,PSYCH,10001589,CULTURE TYPING AGGLUTINATION,42.00
226,PSYCH,10001593,PINWORM EXAM,81.00
227,PSYCH,10001595,OVA & PARASITES,102.00
228,PSYCH,10001599,SUSCEPTIBILITY MIC,68.00
229,PSYCH,10001601,GRAM SMEAR,71.00
230,PSYCH,10001603,ACID FAST STAIN,85.00
231,PSYCH,10001605,TRICHROME STAIN,84.00
232,PSYCH,10001609,KOH PREP,55.00
233,PSYCH,10001631,HEPATITIS B SURFACE AG,141.00
234,PSYCH,10001642,CHLAMYDIA TRACHOMATIS DNA,192.00
235,PSYCH,10001643,C DIFFICILE TOXIN BY PCR,192.00
236,PSYCH,10001649,HEPATITIS B VIRUS QUANT,294.00
237,PSYCH,10001650,HEPATITIS C VIRUS RNA,361.00
238,PSYCH,10001651,HEPATITIS C VIRUS QUANT,315.00
239,PSYCH,10001652,"HERPES SIMPLEX VIRUS, PCR",238.00
240,PSYCH,10001656,"HIV-1 DNA PCR, QUAL",462.00
241,PSYCH,10001657,HIV-1 RNA QUANTITATIVE,662.00
242,PSYCH,10001664,N GONORRHOREAE DNA,177.00
243,PSYCH,10001669,MRSA BY PCR,166.00
244,PSYCH,10001679,INFECT AGENT PCR MULT ORG,330.00
245,PSYCH,10001681,PERTUSSIS/PARAPERTUSSIS BY PCR,330.00
246,PSYCH,10001687,STREP GROUP A SCREEN,74.00
247,PSYCH,10001715,"TISSUE CULTURE, LYMPHOCYTES",363.00
248,PSYCH,10001751,SMEAR FUNGAL,108.00
249,PSYCH,10001894,ECG TRACING ONLY,340.00
250,PSYCH,10001898,ECG RHYTHM STRIP,230.00
251,PSYCH,10002061,INJECT SQ OR IM,84.00
252,PSYCH,10002085,MNT GROUP EACH 30 MIN,35.00
253,PSYCH,10002305,VENIPUNCTURE,30.00
254,PSYCH,10002488,BASIC METABOLIC PANEL,192.00
255,PSYCH,10002489,ELECTROLYTE PANEL,168.00
256,PSYCH,10002490,COMPREHENSIVE METABOLIC PANEL,258.00
257,PSYCH,10002491,LIPID PANEL,209.00
258,PSYCH,10002492,RENAL FUNCTION PANEL,238.00
259,PSYCH,10002493,ACUTE HEPATITIS PANEL,556.00
260,PSYCH,10002494,HEPATIC FUNCTION PANEL,227.00
261,PSYCH,10002495,DEFINITIVE NOS 1-3 ANALYTES,212.00
262,PSYCH,10002498,"AMITRIPTYLINE, LC/MS 1-2",160.00
263,PSYCH,10002503,CARBAMAZEPINE/TEGRETAL,234.00
264,PSYCH,10002505,"DESIPRAMINE, LC/MS",160.00
265,PSYCH,10002506,DIGOXIN TOTAL,130.00
266,PSYCH,10002507,VALPROIC ACID TOTAL,205.00
267,PSYCH,10002508,DOXEPIN,160.00
268,PSYCH,10002509,ETHOSUXIMIDE,96.00
269,PSYCH,10002511,HALOPERIDOL,132.00
270,PSYCH,10002512,"IMIPRAMINE, LC/MS 1-2",136.00
271,PSYCH,10002514,LITHIUM,103.00
272,PSYCH,10002515,"NORTRIPTYLINE, LC/MS 1-2",136.00
273,PSYCH,10002516,PHENOBARBITAL,200.00
274,PSYCH,10002517,PHENYTOIN TOTAL,167.00
275,PSYCH,10002518,PHENYTOIN FREE,129.00
276,PSYCH,10002520,PRIMIDONE,158.00
277,PSYCH,10002528,"SALICYLATE, QUANTITATIVE",160.00
278,PSYCH,10002531,THEOPHYLLINE,164.00
279,PSYCH,10002534,TOPIRAMATE,192.00
280,PSYCH,10002542,"CLOMIPRAMINE, GC/MS 1-2",164.00
281,PSYCH,10002543,CLOZAPINE,164.00
282,PSYCH,10002558,KEPPRA,167.00
283,PSYCH,10002559,LAMOTRIGINE,174.00
284,PSYCH,10002561,MEXILETINE,228.00
285,PSYCH,10002563,"OLANZEPINE, LC/MS 1-3",258.00
286,PSYCH,10002564,OXCARBAZEPINE,138.00
287,PSYCH,10002565,"RISPERIDONE, LC/MS 1-3",199.00
288,PSYCH,10002573,URINALYSIS AUTO WITH MICRO,96.00
289,PSYCH,10002576,POC STREP SCREEN,94.00
290,PSYCH,10002621,GROUP THERAPY OT OR PT,130.00
291,PSYCH,10002622,THERAP ACTIVITIES PER UNIT,140.00
292,PSYCH,10002739,POC DRUG SCREEN-URINE,72.00
293,PSYCH,10002740,DRUG SCREEN CLASS A SINGLE,54.00
294,PSYCH,10002741,DRUG SCREEN CLASS A (2),82.00
295,PSYCH,10002743,DRUG SCREEN CLASS A (5),82.00
296,PSYCH,10002744,DRUG SCREEN CLASS A (6),664.00
297,PSYCH,10002745,DRUG SCREEN CLASS A (7),82.00
298,PSYCH,10002748,DRUG SCREEN CLASS A (9),165.00
299,PSYCH,10002755,DRUG SCREEN TRICYCLICS,72.00
300,PSYCH,10003457,"MAGNESIUM, RBC'S",145.00
301,PSYCH,10003530,DENERVATION-FACE MUSCLE(S),578.00
302,PSYCH,10003821,POC BREATH ALCOHOL,64.00
303,PSYCH,10003833,PSYCHOTHERAPY FAMILY W/O PT 50 MIN,274.00
304,PSYCH,10003834,PSYCHOTHERAPY FAMILY W/PT 50 MIN,343.00
305,PSYCH,10003835,GROUP PSYCHOTHERAPY,188.00
306,PSYCH,10004445,"BATH SALTS, SCREENING LC/MS",128.00
307,PSYCH,10004447,"BENZODIAZEPINES, LC/MS 1-12",62.00
308,PSYCH,10004575,ROOM CHARGE AODA,"3,480.00"
309,PSYCH,10004577,ROOM CHARGE PSYCH,"3,480.00"
310,PSYCH,10004579,PARTIAL HOSP FULL DAY,"1,390.00"
311,PSYCH,10004580,PARTIAL HOSP HALF DAY,"1,020.00"
312,PSYCH,10004665,ACTIVITY THERAPY 45 MIN OR >,278.00
313,PSYCH,10004666,EDUCATION SERVICE 45 MIN OR >,270.00
314,PSYCH,10004741,GROUP PSYCHOTHERAPY PHP 45-50 MIN,270.00
315,PSYCH,10004745,SULFONYLUREA QUALITATIVE,268.00
316,PSYCH,10004747,BEHAVIORAL DAY TX CHILD PER HR,168.00
317,PSYCH,10004748,BRIDGE ON DISCHARGE PROGRAM,130.00
318,PSYCH,10004761,IOP SUBSTANCE ABUSE,525.00
319,PSYCH,10004762,IOP MENTAL HEALTH,525.00
320,PSYCH,10004764,"MISSED APPOINTMENT, 60 MIN",65.00
321,PSYCH,10004767,PSYCHOLOGICAL TESTING PER HR/TECH,273.00
322,PSYCH,10004769,PSYCHOTHERAPY OP 15 MIN,188.00
323,PSYCH,10004770,PSYCHOTHERAPY OP 20-30 MIN,188.00
324,PSYCH,10004771,ROOM CHARGE RESIDENTIAL,130.00
325,PSYCH,10004772,RESIDENTIAL PROGRAMMING,"1,390.00"
326,PSYCH,10004779,GROUP HOME CHARGE,130.00
327,PSYCH,10004828,PSYCH DIAGNOSTIC EVAL,389.00
328,PSYCH,10004830,PSYCHOTHERAPY 30 MIN W/PT,176.00
329,PSYCH,10004832,PSYCHOTHERAPY 45 MIN W/T,263.00
330,PSYCH,10004834,PSYCHOTHERAPY 60 MIN W/PT,351.00
331,PSYCH,10004836,INTERACTIVE COMPLEXITY,20.00
332,PSYCH,10004838,THERAPY CRISIS 1ST 60 MIN,470.00
333,PSYCH,10004840,THERAPY CRISIS EA ADDL 30 MIN,235.00
334,PSYCH,10004851,POC DRUG SCREEN-URINE QUALITATIVE,72.00
335,PSYCH,10004900,DRUG SCREEN CLASS B,82.00
336,PSYCH,10005039,BEHAVIORAL TX/HR PHP CHILD,235.00
337,PSYCH,10005040,BEHAVIORAL TX/HR PHP MH,235.00
338,PSYCH,10005041,BEHAVIORAL TX/HR PHP SA,235.00
339,PSYCH,10005044,HIV ANTIGEN/ANTIBODY SCREEN,172.00
340,PSYCH,10005045,HIV-1 ANTIBODY SCREEN,64.00
341,PSYCH,10005046,HIV-2 ANTIBODY SCREEN,79.00
342,PSYCH,10005112,IODIDE,113.00
343,PSYCH,10005120,"N GONORRHOEA ABS, CF",59.00
344,PSYCH,10005128,HEMOGLOBIN VARIANT QUANTITATION,92.00
345,PSYCH,10005137,"TRICHOMONAS VAGINALIS, RNA",220.00
346,PSYCH,10005161,VITAMIN B3 (NIACIN),138.00
347,PSYCH,10005165,"CARBAMAZEPINE, FREE",80.00
348,PSYCH,10005299,GLUTAMATE RECEPTOR AB (NMDAG),198.00
349,PSYCH,10005306,FLT3 EXON 14/15 BY PCR,605.00
350,PSYCH,10005307,FLT3 CODON D835 BY PCR,605.00
351,PSYCH,10005308,NPM1 EXON 12 BY PCR,"1,100.00"
352,PSYCH,10005311,INSULIN LIKE GROWTH FACTOR BP2,166.00
353,PSYCH,10005313,21-HYDROXYLASE ANTIBODY,93.00
354,PSYCH,10005353,"VALPROIC ACID, FREE",200.00
355,PSYCH,10005354,"CANNABINOIDS, GC/M",190.00
356,PSYCH,10005386,ANTIBODY TITER IFA,118.00
357,PSYCH,10005387,STRIATED MUSCLE AB EIA,109.00
358,PSYCH,10005392,CARBAPENEM RESISTANT ENTERO (CRE),665.00
359,PSYCH,10005436,AMPHETAMINE QUANTITATION,221.00
360,PSYCH,10005437,HB BENZODIAZEPINE QUANTITATION,208.00
361,PSYCH,10005508,ALGINATE DRESSING >16 </=48 SQ IN,35.00
362,PSYCH,10005511,WHFO W/O JOINTS PRECUSTOM,60.00
363,PSYCH,10005537,SPINAL MUSCULAR ATROPHY (SMA) GENE,720.00
364,PSYCH,10005538,MUMPS RNA QUAL RT PCR,"1,010.00"
365,PSYCH,10005539,ADENOVIRUS BY PCR,481.00
366,PSYCH,10005540,"HIV-AG, HIV1 & 2 AB, RAPID SCREEN",79.00
367,PSYCH,10005541,"OPIATES CONF/QUANT, 5 OR MORE",266.00
368,PSYCH,10005542,POC PREG TEST CLINITEK,44.00
369,PSYCH,10005543,HLA-DQ2/HLA-DQ8 GENOTYPE,716.00
370,PSYCH,10005544,"KRAS GENE ANALYSIS EXONS 3,4","1,640.00"
371,PSYCH,10005545,KIDNEY FUNCTION STUDY NON IMAGING,"3,140.00"
372,PSYCH,10005546,RRX I-125 IOTHALAMATE UP TO10 UCI,"1,510.00"
373,PSYCH,10005635,HSV 1 PCR,183.00
374,PSYCH,10005792,FATTY ACID PROFILE OF LIPIDS,55.00
375,PSYCH,10005856,PT EVAL LOW COMPLEXITY,280.00
376,PSYCH,10005857,PT EVAL MOD COMPLEXITY,390.00
377,PSYCH,10005858,PT EVAL HIGH COMPLEXITY,520.00
378,PSYCH,10005902,BEHAVIORAL TX/HR IOP MH,235.00
379,PSYCH,10005903,BEHAVIORAL TX/HR IOP SA,235.00
380,PSYCH,MMIS,MMIS SUPPLY ITEM,VARIABLE
381,PSYCH,RX,PHARMACY ITEM,VARIABLE
