,Words,Frequency
597,-oc43,1
598,-hku1,1
599,hcov-229e,1
600,-nl63,1
601,53,1
602,commons,1
603,54,1
604,majority,1
605,seasonal,1
606,incidence,1
607,occurring,1
608,winter,1
609,months,1
610,temperate,1
611,climates,2
612,56,1
613,57,1
614,preference,1
615,towards,1
616,particular,1
617,season,1
618,tropical,1
619,58,1
620,three,1
621,potentially,1
622,outbreak,4
623,begun,1
624,prior,2
625,year,1
626,asia,1
627,elsewhere,1
628,world,4
629,health,5
630,issued,2
631,press,1
632,release,1
633,stating,1
634,novel,3
635,laboratories,1
636,officially,2
637,"8,000",1
638,people,2
639,ten,1
640,percent,1
641,died,1
642,september,2
643,initially,1
644,middle,4
645,east,4
646,68,1
647,69,1
648,alert,1
649,soon,1
650,70,2
651,update,1
652,said,1
653,seem,1
654,pass,1
655,easily,1
656,person,2
657,71,1
658,however,1
659,2013,2
660,case,1
661,human-to-human,2
662,transmission,3
663,france,1
664,confirmed,5
665,french,1
666,ministry,2
667,social,1
668,affairs,1
669,72,1
670,addition,1
671,reported,2
672,tunisia,1
673,seemed,1
674,caught,1
675,late,1
676,father,1
677,became,1
678,ill,1
679,visit,1
680,qatar,1
681,saudi,2
682,arabia,2
683,despite,1
684,trouble,1
685,spreading,1
686,individuals,2
687,transmit,1
688,73,1
689,october,1
690,124,1
691,deaths,2
692,74,1
693,dutch,1
694,erasmus,1
695,medical,2
696,centre,2
697,sequenced,1
698,given,2
699,coronaviruserasmus,1
700,hcov-emc,1
701,final,1
702,u.s.,1
703,survived,1
704,recorded,1
705,2014,1
706,75,1
707,2015,1
708,occurred,1
709,republic,1
710,korea,1
711,man,1
712,traveled,1
713,visited,1
714,hospitals,1
715,seoul,1
716,area,1
717,illness,2
718,outbreaks,1
719,76,1
720,december,3
721,2019,3
722,"2,468",1
723,laboratory,3
724,tests,1
725,851,1
726,fatal,1
727,mortality,3
728,rate,1
729,34.5,1
730,77,1
731,wuhan,2
732,china,1
733,78,1
734,traced,1
735,strain,3
736,79,1
737,interim,1
738,2019-ncov,1
739,80,1
740,81,1
741,82,1
742,renamed,1
743,international,1
744,committee,1
745,taxonomy,1
746,researchers,1
747,suggested,1
748,huanan,1
749,seafood,1
750,wholesale,1
751,market,1
752,original,1
753,source,1
754,83,2
755,84,1
756,april,1
757,2020,1
758,least,1
759,"146,291",1
760,64,2
761,"2,173,432",1
762,2b,1
763,genetic,1
764,similarity,2
765,85,1
766,96,1
767,widely,1
768,originate,1
769,well,2
770,86,1
771,resulted,1
772,travel,1
773,restrictions,1
774,nationwide,1
775,lockdowns,1
776,countries,1
777,recognized,1
778,pathological,1
779,conditions,1
780,veterinary,2
781,medicine,1
782,except,1
783,mainly,1
784,intestinal,1
785,location,1
786,87,1
787,gastrointestinal,3
788,farm,2
789,animals,3
790,pets,1
791,threat,1
792,farming,1
793,industry,1
794,targets,1
795,urogenital,1
796,organs,1
797,throughout,1
798,chicken,1
799,88,1
800,economically,1
801,significant,2
802,porcine,1
803,tge,1
804,result,2
805,young,1
806,feline,3
807,enteric,2
808,pathogen,1
809,minor,1
810,clinical,1
811,significance,1
812,spontaneous,1
813,mutation,1
814,peritonitis,1
815,fip,2
816,associated,1
817,high,3
818,similarly,1
819,types,2
820,ferrets,1
821,ferret,2
822,epizootic,1
823,catarrhal,1
824,enteritis,1
825,ece,1
826,systemic,2
827,version,1
828,cats,1
829,fsc,1
830,89,1
831,canine,1
832,ccov,1
833,found,1
834,epidemic,1
835,especially,2
836,colonies,1
837,mice,2
838,90,1
839,sialodacryoadenitis,1
840,sdav,1
841,highly,1
842,rats,1
843,transmitted,1
844,contact,1
845,indirectly,1
846,aerosol,1
847,morbidity,1
848,salivary,1
849,lachrymal,1
850,harderian,1
851,glands,1
852,91,1
853,hku2-related,1
854,swine,1
855,sads-cov,1
856,92,1
857,discovery,1
858,best-studied,1
859,vivo,1
860,vitro,1
861,molecular,1
862,level,1
863,progressive,1
864,demyelinating,1
865,encephalitis,1
866,model,1
867,sclerosis,1
868,research,1
869,efforts,1
870,focused,1
871,elucidating,1
872,interested,1
873,zoonotic,1
874,93,1
