,1,DynamicsAttributes,AttributesInterface
55,57,MeasureNumberingAttributes,AttributesInterface
56,58,MeasureNumbering,ElementInterface
57,59,RootStepAttributes,AttributesInterface
58,60,RootStep,ElementInterface
59,61,RootAlterAttributes,AttributesInterface
60,62,RootAlter,ElementInterface
61,63,MidiDeviceAttributes,AttributesInterface
62,64,MidiDevice,ElementInterface
63,65,EncoderAttributes,AttributesInterface
64,66,Encoder,ElementInterface
65,67,CreatorAttributes,AttributesInterface
66,68,Creator,ElementInterface
67,69,RightsAttributes,AttributesInterface
68,70,Rights,ElementInterface
69,71,RelationAttributes,AttributesInterface
70,72,Relation,ElementInterface
71,73,MiscellaneousFieldAttributes,AttributesInterface
72,74,MiscellaneousField,ElementInterface
73,75,LineWidthAttributes,AttributesInterface
74,76,LineWidth,ElementInterface
75,77,NoteSizeAttributes,AttributesInterface
76,78,NoteSize,ElementInterface
77,79,DistanceAttributes,AttributesInterface
78,80,Distance,ElementInterface
79,81,OtherAppearanceAttributes,AttributesInterface
80,82,OtherAppearance,ElementInterface
81,83,BreathMarkAttributes,AttributesInterface
82,84,BreathMark,ElementInterface
83,85,OtherArticulationAttributes,AttributesInterface
84,86,OtherArticulation,ElementInterface
85,87,WithBarAttributes,AttributesInterface
86,88,WithBar,ElementInterface
87,89,PrefixAttributes,AttributesInterface
88,90,Prefix,ElementInterface
89,91,FigureNumberAttributes,AttributesInterface
90,92,FigureNumber,ElementInterface
91,93,SuffixAttributes,AttributesInterface
92,94,Suffix,ElementInterface
93,95,HoleClosedAttributes,AttributesInterface
94,96,HoleClosed,ElementInterface
95,97,TextAttributes,AttributesInterface
96,98,Text,ElementInterface
97,99,ElisionAttributes,AttributesInterface
98,100,Elision,ElementInterface
99,101,GlissandoAttributes,AttributesInterface
100,102,Glissando,ElementInterface
101,103,SlideAttributes,AttributesInterface
102,104,Slide,ElementInterface
103,105,AccidentalMarkAttributes,AttributesInterface
104,106,AccidentalMark,ElementInterface
105,107,OtherNotationAttributes,AttributesInterface
106,108,OtherNotation,ElementInterface
107,109,TypeAttributes,AttributesInterface
108,110,Type,ElementInterface
109,111,AccidentalAttributes,AttributesInterface
110,112,Accidental,ElementInterface
111,113,StemAttributes,AttributesInterface
112,114,Stem,ElementInterface
113,115,NoteheadAttributes,AttributesInterface
114,116,Notehead,ElementInterface
115,117,BeamAttributes,AttributesInterface
116,118,Beam,ElementInterface
117,119,TremoloAttributes,AttributesInterface
118,120,Tremolo,ElementInterface
119,121,OtherOrnamentAttributes,AttributesInterface
120,122,OtherOrnament,ElementInterface
121,123,PluckAttributes,AttributesInterface
122,124,Pluck,ElementInterface
123,125,HammerOnAttributes,AttributesInterface
124,126,HammerOn,ElementInterface
125,127,PullOffAttributes,AttributesInterface
126,128,PullOff,ElementInterface
127,129,TapAttributes,AttributesInterface
128,130,Tap,ElementInterface
129,131,HandbellAttributes,AttributesInterface
130,132,Handbell,ElementInterface
131,133,OtherTechnicalAttributes,AttributesInterface
132,134,OtherTechnical,ElementInterface
133,135,TupletNumberAttributes,AttributesInterface
134,136,TupletNumber,ElementInterface
135,137,TupletTypeAttributes,AttributesInterface
136,138,TupletType,ElementInterface
137,139,CreditWordsAttributes,AttributesInterface
138,140,CreditWords,ElementInterface
139,141,GroupNameAttributes,AttributesInterface
140,142,GroupName,ElementInterface
141,143,GroupAbbreviationAttributes,AttributesInterface
142,144,GroupAbbreviation,ElementInterface
143,145,GroupSymbolAttributes,AttributesInterface
144,146,GroupSymbol,ElementInterface
145,147,GroupBarlineAttributes,AttributesInterface
146,148,GroupBarline,ElementInterface
147,149,PartNameAttributes,AttributesInterface
148,150,PartName,ElementInterface
149,151,PartAbbreviationAttributes,AttributesInterface
150,152,PartAbbreviation,ElementInterface
151,153,FootnoteAttributes,AttributesInterface
152,154,Footnote,ElementInterface
153,155,LevelAttributes,AttributesInterface
154,156,Level,ElementInterface
155,157,CancelAttributes,AttributesInterface
156,158,Cancel,ElementInterface
157,159,FunctionAttributes,AttributesInterface
158,160,Function,ElementInterface
159,161,KindAttributes,AttributesInterface
160,162,Kind,ElementInterface
161,163,InversionAttributes,AttributesInterface
162,164,Inversion,ElementInterface
163,165,MidiChannel,ElementInterface
164,166,MidiName,ElementInterface
165,167,MidiBank,ElementInterface
166,168,MidiProgram,ElementInterface
167,169,MidiUnpitched,ElementInterface
168,170,Volume,ElementInterface
169,171,Pan,ElementInterface
170,172,Elevation,ElementInterface
171,173,Ipa,ElementInterface
172,174,Mute,ElementInterface
173,175,SemiPitched,ElementInterface
174,176,Divisions,ElementInterface
175,177,Staves,ElementInterface
176,178,Instruments,ElementInterface
177,179,Sign,ElementInterface
178,180,Line,ElementInterface
179,181,ClefOctaveChange,ElementInterface
180,182,TimeRelation,ElementInterface
181,183,StaffType,ElementInterface
182,184,StaffLines,ElementInterface
183,185,Capo,ElementInterface
184,186,StaffSize,ElementInterface
185,187,SenzaMisura,ElementInterface
186,188,Diatonic,ElementInterface
187,189,Chromatic,ElementInterface
188,190,OctaveChange,ElementInterface
189,191,AccordionMiddle,ElementInterface
190,192,FrameStrings,ElementInterface
191,193,FrameFrets,ElementInterface
192,194,MetronomeRelation,ElementInterface
193,195,MetronomeType,ElementInterface
194,196,PedalStep,ElementInterface
195,197,PedalAlter,ElementInterface
196,198,Glass,ElementInterface
197,199,Metal,ElementInterface
198,200,Wood,ElementInterface
199,201,Pitched,ElementInterface
200,202,Membrane,ElementInterface
201,203,Effect,ElementInterface
202,204,StickLocation,ElementInterface
203,205,OtherPercussion,ElementInterface
204,206,StickType,ElementInterface
205,207,StickMaterial,ElementInterface
206,208,EncodingDate,ElementInterface
207,209,Software,ElementInterface
208,210,EncodingDescription,ElementInterface
209,211,Source,ElementInterface
210,212,MeasureDistance,ElementInterface
211,213,PageHeight,ElementInterface
212,214,PageWidth,ElementInterface
213,215,Millimeters,ElementInterface
214,216,Tenths,ElementInterface
215,217,StaffDistance,ElementInterface
216,218,SystemDistance,ElementInterface
217,219,TopSystemDistance,ElementInterface
218,220,ArrowDirection,ElementInterface
219,221,ArrowStyle,ElementInterface
220,222,CircularArrow,ElementInterface
221,223,BendAlter,ElementInterface
222,224,HoleType,ElementInterface
223,225,HoleShape,ElementInterface
224,226,Syllabic,ElementInterface
225,227,Step,ElementInterface
226,228,Alter,ElementInterface
227,229,Octave,ElementInterface
228,230,ActualNotes,ElementInterface
229,231,NormalNotes,ElementInterface
230,232,NormalType,ElementInterface
231,233,CreditType,ElementInterface
232,234,InstrumentName,ElementInterface
233,235,InstrumentAbbreviation,ElementInterface
234,236,InstrumentSound,ElementInterface
235,237,Ensemble,ElementInterface
236,238,Group,ElementInterface
237,239,VirtualLibrary,ElementInterface
238,240,VirtualName,ElementInterface
239,241,WorkNumber,ElementInterface
240,242,WorkTitle,ElementInterface
241,243,Staff,ElementInterface
242,244,TuningStep,ElementInterface
243,245,TuningAlter,ElementInterface
244,246,TuningOctave,ElementInterface
245,247,Voice,ElementInterface
246,248,KeyStep,ElementInterface
247,249,KeyAlter,ElementInterface
248,250,KeyAccidental,ElementInterface
249,251,SlashType,ElementInterface
250,252,Beats,ElementInterface
251,253,BeatType,ElementInterface
252,254,Fifths,ElementInterface
253,255,Mode,ElementInterface
254,256,BeatUnit,ElementInterface
255,257,TopMargin,ElementInterface
256,258,BottomMargin,ElementInterface
257,259,LeftMargin,ElementInterface
258,260,RightMargin,ElementInterface
259,261,Duration,ElementInterface
260,262,DisplayStep,ElementInterface
261,263,DisplayOctave,ElementInterface
262,264,MovementNumber,ElementInterface
263,265,MovementTitle,ElementInterface
264,266,Double,ElementInterface
265,267,AccordionHigh,ElementInterface
266,268,AccordionLow,ElementInterface
267,269,MetronomeDot,ElementInterface
268,270,Timpani,ElementInterface
269,271,PreBend,ElementInterface
270,272,Release,ElementInterface
271,273,Natural,ElementInterface
272,274,Artificial,ElementInterface
273,275,BasePitch,ElementInterface
274,276,TouchingPitch,ElementInterface
275,277,SoundingPitch,ElementInterface
276,278,Laughing,ElementInterface
277,279,Humming,ElementInterface
278,280,EndLine,ElementInterface
279,281,EndParagraph,ElementInterface
280,282,Cue,ElementInterface
281,283,NormalDot,ElementInterface
282,284,GroupTime,ElementInterface
283,285,Solo,ElementInterface
284,286,SlashDot,ElementInterface
285,287,BeatUnitDot,ElementInterface
286,288,Chord,ElementInterface
287,289,Segno,ElementInterface
288,290,Coda,ElementInterface
289,291,Damp,ElementInterface
290,292,DampAll,ElementInterface
291,293,Eyeglasses,ElementInterface
292,294,LeftDivider,ElementInterface
293,295,RightDivider,ElementInterface
294,296,EmptyPlacementAttributes,AttributesInterface
295,297,Accent,ElementInterface
296,298,Staccato,ElementInterface
297,299,Tenuto,ElementInterface
298,300,DetachedLegato,ElementInterface
299,301,Staccatissimo,ElementInterface
300,302,Spiccato,ElementInterface
301,303,EmptyLineAttributes,AttributesInterface
302,304,Scoop,ElementInterface
303,305,Plop,ElementInterface
304,306,Doit,ElementInterface
305,307,Falloff,ElementInterface
306,308,Caesura,ElementInterface
307,309,Stress,ElementInterface
308,310,Unstress,ElementInterface
309,311,Dot,ElementInterface
310,312,EmptyTrillSoundAttributes,AttributesInterface
311,313,TrillMark,ElementInterface
312,314,VerticalTurn,ElementInterface
313,315,Shake,ElementInterface
314,316,Schleifer,ElementInterface
315,317,UpBow,ElementInterface
316,318,DownBow,ElementInterface
317,319,OpenString,ElementInterface
318,320,ThumbPosition,ElementInterface
319,321,DoubleTongue,ElementInterface
320,322,TripleTongue,ElementInterface
321,323,Stopped,ElementInterface
322,324,SnapPizzicato,ElementInterface
323,325,Fingernails,ElementInterface
324,326,EmptyFontAttributes,AttributesInterface
325,327,MusicFont,ElementInterface
326,328,WordFont,ElementInterface
327,329,WavyLineAttributes,AttributesInterface
328,330,WavyLine,ElementInterface
329,331,RepeatAttributes,AttributesInterface
330,332,Repeat,ElementInterface
331,333,WedgeAttributes,AttributesInterface
332,334,Wedge,ElementInterface
333,335,DashesAttributes,AttributesInterface
334,336,Dashes,ElementInterface
335,337,BracketAttributes,AttributesInterface
336,338,Bracket,ElementInterface
337,339,PedalAttributes,AttributesInterface
338,340,Pedal,ElementInterface
339,341,OctaveShiftAttributes,AttributesInterface
340,342,OctaveShift,ElementInterface
341,343,StringMuteAttributes,AttributesInterface
342,344,StringMute,ElementInterface
343,345,ImageAttributes,AttributesInterface
344,346,Image,ElementInterface
345,347,BarreAttributes,AttributesInterface
346,348,Barre,ElementInterface
347,349,SupportsAttributes,AttributesInterface
348,350,Supports,ElementInterface
349,351,ExtendAttributes,AttributesInterface
350,352,Extend,ElementInterface
351,353,TiedAttributes,AttributesInterface
352,354,Tied,ElementInterface
353,355,SlurAttributes,AttributesInterface
354,356,Slur,ElementInterface
355,357,ArpeggiateAttributes,AttributesInterface
356,358,Arpeggiate,ElementInterface
357,359,NonArpeggiateAttributes,AttributesInterface
358,360,NonArpeggiate,ElementInterface
359,361,GraceAttributes,AttributesInterface
360,362,Grace,ElementInterface
361,363,TieAttributes,AttributesInterface
362,364,Tie,ElementInterface
363,365,InstrumentAttributes,AttributesInterface
364,366,Instrument,ElementInterface
365,367,TurnAttributes,AttributesInterface
366,368,Turn,ElementInterface
367,369,DelayedTurnAttributes,AttributesInterface
368,370,DelayedTurn,ElementInterface
369,371,InvertedTurnAttributes,AttributesInterface
370,372,InvertedTurn,ElementInterface
371,373,DelayedInvertedTurnAttributes,AttributesInterface
372,374,DelayedInvertedTurn,ElementInterface
373,375,TupletDotAttributes,AttributesInterface
374,376,TupletDot,ElementInterface
375,377,LinkAttributes,AttributesInterface
376,378,Link,ElementInterface
377,379,BookmarkAttributes,AttributesInterface
378,380,Bookmark,ElementInterface
379,381,CreditImageAttributes,AttributesInterface
380,382,CreditImage,ElementInterface
381,383,LyricFontAttributes,AttributesInterface
382,384,LyricFont,ElementInterface
383,385,LyricLanguageAttributes,AttributesInterface
384,386,LyricLanguage,ElementInterface
385,387,OpusAttributes,AttributesInterface
386,388,Opus,ElementInterface
387,389,TraditionalKey,ElementInterface
388,390,NonTraditionalKey,ElementInterface
389,391,KeyChoice,ElementInterface
390,392,KeyAttributes,AttributesInterface
391,393,Key,ElementInterface
392,394,ClefAttributes,AttributesInterface
393,395,Clef,ElementInterface
394,396,TransposeAttributes,AttributesInterface
395,397,Transpose,ElementInterface
396,398,DirectiveAttributes,AttributesInterface
397,399,Directive,ElementInterface
398,400,BeatRepeatAttributes,AttributesInterface
399,401,BeatRepeat,ElementInterface
400,402,SlashAttributes,AttributesInterface
401,403,Slash,ElementInterface
402,404,StaffTuningAttributes,AttributesInterface
403,405,StaffTuning,ElementInterface
404,406,StaffDetailsAttributes,AttributesInterface
405,407,StaffDetails,ElementInterface
406,408,MeasureStyleChoice,ElementInterface
407,409,MeasureStyleAttributes,AttributesInterface
408,410,MeasureStyle,ElementInterface
409,411,InterchangeableAttributes,AttributesInterface
410,412,Interchangeable,ElementInterface
411,413,AccordionRegistrationAttributes,AttributesInterface
412,414,AccordionRegistration,ElementInterface
413,415,TimeSignature,ElementInterface
414,416,TimeChoice,ElementInterface
415,417,TimeAttributes,AttributesInterface
416,418,Time,ElementInterface
417,419,StringAttributes,AttributesInterface
418,420,String,ElementInterface
419,421,FrameNote,ElementInterface
420,422,FrameAttributes,AttributesInterface
421,423,Frame,ElementInterface
422,424,PedalTuning,ElementInterface
423,425,HarpPedalsAttributes,AttributesInterface
424,426,HarpPedals,ElementInterface
425,427,TimeModificationNormalTypeNormalDot,ElementInterface
426,428,MetronomeTupletAttributes,AttributesInterface
427,429,MetronomeTuplet,ElementInterface
428,430,MetronomeNote,ElementInterface
429,431,BeatUnitGroup,ElementInterface
430,432,MetronomeRelationGroup,ElementInterface
431,433,NoteRelationNote,ElementInterface
432,434,PerMinuteOrBeatUnitChoice,ElementInterface
433,435,BeatUnitPer,ElementInterface
434,436,BeatUnitPerOrNoteRelationNoteChoice,ElementInterface
435,437,MetronomeAttributes,AttributesInterface
436,438,Metronome,ElementInterface
437,439,StickAttributes,AttributesInterface
438,440,Stick,ElementInterface
439,441,MeasureLayout,ElementInterface
440,442,DisplayTextOrAccidentalText,ElementInterface
441,443,PartNameDisplayAttributes,AttributesInterface
442,444,PartNameDisplay,ElementInterface
443,445,PercussionChoice,ElementInterface
444,446,PercussionAttributes,AttributesInterface
445,447,Percussion,ElementInterface
446,448,AccordAttributes,AttributesInterface
447,449,Accord,ElementInterface
448,450,Scordatura,ElementInterface
449,451,AttributesIterface,AttributesInterface
450,452,DirectionType,ElementInterface
451,453,MidiInstrumentAttributes,AttributesInterface
452,454,MidiInstrument,ElementInterface
453,455,PlayAttributes,AttributesInterface
454,456,Play,ElementInterface
455,457,Encoding,ElementInterface
456,458,Miscellaneous,ElementInterface
457,459,SoundAttributes,AttributesInterface
458,460,Sound,ElementInterface
459,461,PageMarginsAttributes,AttributesInterface
460,462,PageMargins,ElementInterface
461,463,SystemMargins,ElementInterface
462,464,SystemDividers,ElementInterface
463,465,StrongAccentAttributes,AttributesInterface
464,466,StrongAccent,ElementInterface
465,467,Figure,ElementInterface
466,468,NormalTypeNormalDotGroup,ElementInterface
467,469,TimeModification,ElementInterface
468,470,NoteheadText,ElementInterface
469,471,ArticulationsChoice,ElementInterface
470,472,Articulations,ElementInterface
471,473,ElisionSyllabicGroup,ElementInterface
472,474,ElisionSyllabicTextGroup,ElementInterface
473,475,SyllabicTextGroup,ElementInterface
474,476,LyricTextChoice,ElementInterface
475,477,EditorialGroup,ElementInterface
476,478,EditorialVoiceGroup,ElementInterface
477,479,LyricAttributes,AttributesInterface
478,480,Lyric,ElementInterface
479,481,MordentAttributes,AttributesInterface
480,482,Mordent,ElementInterface
481,483,InvertedMordentAttributes,AttributesInterface
482,484,InvertedMordent,ElementInterface
483,485,HeelAttributes,AttributesInterface
484,486,Heel,ElementInterface
485,487,ToeAttributes,AttributesInterface
486,488,Toe,ElementInterface
487,489,HoleAttributes,AttributesInterface
488,490,Hole,ElementInterface
489,491,TupletActual,ElementInterface
490,492,TupletNormal,ElementInterface
491,493,TupletAttributes,AttributesInterface
492,494,Tuplet,ElementInterface
493,495,Scaling,ElementInterface
494,496,Appearance,ElementInterface
495,497,VirtualInstrument,ElementInterface
496,498,Root,ElementInterface
497,499,Bass,ElementInterface
498,500,DegreeAttributes,AttributesInterface
499,501,Degree,ElementInterface
500,502,PageLayout,ElementInterface
501,503,SystemLayout,ElementInterface
502,504,StaffLayoutAttributes,AttributesInterface
503,505,StaffLayout,ElementInterface
504,506,Pitch,ElementInterface
505,507,DisplayStepOctaveGroup,ElementInterface
506,508,Unpitched,ElementInterface
507,509,RestAttributes,AttributesInterface
508,510,Rest,ElementInterface
509,511,Backup,ElementInterface
510,512,Forward,ElementInterface
511,513,FiguredBassAttributes,AttributesInterface
512,514,FiguredBass,ElementInterface
513,515,BarlineAttributes,AttributesInterface
514,516,Barline,ElementInterface
515,517,GroupingAttributes,AttributesInterface
516,518,Grouping,ElementInterface
517,519,Work,ElementInterface
518,520,LayoutGroup,ElementInterface
519,521,Defaults,ElementInterface
520,522,OrnamentsChoice,ElementInterface
521,523,Ornaments,ElementInterface
522,524,BendChoice,ElementInterface
523,525,BendAttributes,AttributesInterface
524,526,Bend,ElementInterface
525,527,ArrowGroup,ElementInterface
526,528,ArrowAttributes,AttributesInterface
527,529,Arrow,ElementInterface
528,530,GroupNameDisplayAttributes,AttributesInterface
529,531,GroupNameDisplay,ElementInterface
530,532,GroupAbbreviationDisplayAttributes,AttributesInterface
531,533,GroupAbbreviationDisplay,ElementInterface
532,534,Identification,ElementInterface
533,535,PartAbbreviationDisplayAttributes,AttributesInterface
534,536,PartAbbreviationDisplay,ElementInterface
535,537,SoloOrEnsemble,ElementInterface
536,538,ScoreInstrumentAttributes,AttributesInterface
537,539,ScoreInstrument,ElementInterface
538,540,HarmonyChordGroup,ElementInterface
539,541,HarmonyAttributes,AttributesInterface
540,542,Harmony,ElementInterface
541,543,CreditWordsGroup,ElementInterface
542,544,CreditChoice,ElementInterface
543,545,CreditAttributes,AttributesInterface
544,546,Credit,ElementInterface
545,547,HarmonicTypeChoice,ElementInterface
546,548,HarmonicInfoChoice,ElementInterface
547,549,HarmonicAttributes,AttributesInterface
548,550,Harmonic,ElementInterface
549,551,PrintAttributes,AttributesInterface
550,552,Print,ElementInterface
551,553,PartGroupAttributes,AttributesInterface
552,554,PartGroup,ElementInterface
553,555,TechnicalChoice,ElementInterface
554,556,Technical,ElementInterface
555,557,EditorialVoiceDirectionGroup,ElementInterface
556,558,DirectionAttributes,AttributesInterface
557,559,Direction,ElementInterface
558,560,Properties,ElementInterface
559,561,ScorePartAttributes,AttributesInterface
560,562,MidiDeviceInstrumentGroup,ElementInterface
561,563,ScorePart,ElementInterface
562,564,NotationsChoice,ElementInterface
563,565,NotationsAttributes,AttributesInterface
564,566,Notations,ElementInterface
565,567,FullNoteTypeChoice,ElementInterface
566,568,FullNoteGroup,ElementInterface
567,569,GraceNoteGroup,ElementInterface
568,570,CueNoteGroup,ElementInterface
569,571,NormalNoteGroup,ElementInterface
570,572,NoteChoice,ElementInterface
571,573,NoteAttributes,AttributesInterface
572,574,Note,ElementInterface
573,575,PartGroupOrScorePart,ElementInterface
574,576,PartList,ElementInterface
575,577,MusicDataChoice,ElementInterface
576,578,MusicDataGroup,ElementInterface
577,579,MeasureAttributes,AttributesInterface
578,580,PartwiseMeasure,ElementInterface
579,581,PartAttributes,AttributesInterface
580,582,PartwisePart,ElementInterface
581,583,ScoreHeaderGroup,ElementInterface
582,584,ScorePartwiseAttributes,AttributesInterface
583,585,ScorePartwise,ElementInterface
584,586,TimewisePart,ElementInterface
585,587,TimewiseMeasure,ElementInterface
586,588,ScoreTimewiseAttributes,AttributesInterface
587,589,ScoreTimewise,ElementInterface
