,﻿APEC blue,无
417,temple fair, 庙会；逛庙会；大溪庙会
418,private investment,"un. 私人投资
"
419,privately-run enterprise,无
420,Walk of Fame, 星光大道；好莱坞星光大道；名人大道
421,celebrity look-alike,无
422,model teacher,模范教师
423,breastfeeding,"n. 母乳哺育
v. 用母乳喂养（breastfeed的现在分词）"
424,Trojan Horse,"n. 特洛伊木马；（来自外部的）颠覆分子（或活动）
"
425,MOOC, 网络公开课(Massive Open Online Courses)；mass open online course；大规模开放网络课程
426,disgruntled,adj. 不满的；不高兴的
427,horseplay at wedding,无
428,bromeo,无
429,south-north water diversion,无
430,insider trading,"n. 内幕交易（根据内线消息买卖股票的违法行为）
"
431,annual assessment,无
432,annual income,"un. 年收入；全年所得额
"
433,Lunar New Year's Eve dinner,无
434,year-end bonus,"[经] 年终奖金(加薪,红利), 年终额外补贴"
435,year-end summary,无
436,diaper diplomacy,无
437,rural migrant worker,无
438,tough girl, 胆量的姑娘；女歌手
439,manly woman,无
440,goddess,n. 女神，受崇拜的女性
441,drainage system,"na. 排水系统；【地】水系
"
442,hammer price,"n. 击槌价
"
443,sell-off,n. 证券的跌价
444,play a bit role,无
445,errand service,无
446,be snubbed,无
447,be rebuffed,无
448,folk remedy, 偏方；民间疗法；民间验方
449,bay window,"n. 凸窗
"
450,induce child prostitution,无
451,scalper,n. 黄牛（专售戏票等牟利）；剥头皮的人；雕刻刀，圆凿子
452,box office flop,无
453,top-grossing movie,无
454,marital fraud,无
455,parallel import,平行进口
456,pour cold water on,"na. (对他人计划等)泼冷水；使(人)沮丧
"
457,water-splashing carnival,无
458,henpecked,adj. 惧内的
459,weirdo,n. 古怪的人，奇怪的人
460,mounted police,"na. 骑警(队)；骑警队
"
461,cheongsam,n. 旗袍
462,flag bearer,"un. 旗手
"
463,corporate culture,"na. 企业文化
"
464,flag-fall price,无
465,motel,"n. 汽车旅馆
"
466,vehicle exhaust,"un. 汽车废气
"
467,car rental, 租车；汽车租赁；汽车出租
468,auto replacement,无
469,baby hatch,无
470,foreclosure,n. 丧失抵押品赎回权
471,signing session,无
472,lurk,"vi. 潜伏；潜藏；埋伏
n. 潜伏；埋伏"
473,overdue,adj. 过期的；迟到的；未兑的
474,forced shopping,无
475,forced marriage, 逼婚；逼婚记；婚姻
476,compulsory evacuation,无
477,forced demolition,无
478,mandatory labeling,无
479,ticket purchasing plug-in,无
480,false start,"n. 不成功的开端；起步失误；起跑犯规；抢跑
"
481,fleece,"n. 羊毛，绒头织物；羊毛制的覆盖物
vt. 剪下羊毛；欺诈，剥削
"
482,copyright infringement, 侵犯版权；版权侵犯；侵犯著作权
483,tort liability,"un. 侵权行为赔偿责任
"
484,parent and child program,无
485,paternity test,"un. 亲权试验
"
486,after-school job,无
487,avian influenza,"un. 禽流感；禽流行性感冒
"
488,emotional sunstroke,无
489,clear air turbulence,"un. 晴空湍流；晴空颠簸
"
490,three new prerequisites for marriage proposal,无
491,Family Bucket,无
492,referendum,n. 公民投票权；外交官请示书
493,world premiere, 全球首映；世界首映；世界首演
494,stay-at-home dad, 全职爸爸；待在家里的爸爸；家庭主男
495,global partnership network,无
496,all-weather friends,无
497,short-change customers,无
498,nepotism,n. 裙带关系；起用亲戚
499,mass texting,无
500,group interview,"un. 小组面谈
"
501,mass line, 群众路线；群众路线观
502,group rental,无
503,fuel surcharge, 燃油附加费；燃料附加费；燃油费
504,beat about the bush,"na. 旁敲侧击；拨打草丛搜索猎物；旁敲侧击的刺探人意
"
505,warm up,"na. 加热；变暖；热中起来；【运】作准备动作
"
506,prior to physical exercise or a sport competition,无
507,hotline,n. 热线；热线电话，咨询电话
508,telephone hotline,"《英文msh词典》Telephone Hotline
[入口词] Telephone Hotline
[主题词] Hotlines
[英文释义] A direct communication system,usually telephone,established for instant contact. It is designed to provide special information and assistance through trained personnel and is used for counseling,referrals,and emergencies such as poisonings and threatened suicides."
509,talent pool, 人才库；人才池；人才蓄水池
510,brain drain,"n. 〈非正式〉人才外流；人才流失
"
511,humanitarian relief, 人道主义救援；人道救援；人道庇护
512,cloud seeding,"na. (人工降雨的)云的催化
"
513,artificial weather modification,无
514,census,"n. 人口普查，人口调查
vt. 实施统计调查"
515,census taker,"na. (人口)普查员
"
516,facial identification,无
517,cyber manhunts,无
518,human flesh search engine, 人肉搜索；人肉搜索引擎；人肉搜寻引擎
519,body-painting, 身体彩绘；身体绘画；天体彩绘
520,shake-up,n. 动摇；剧变；振作；权宜之计；人事改组
521,kindergarten crunch,无
522,leap second,n. 闰秒
523,disadvantaged groups, 弱势群体；劣势群体；弱势社群
524,vulnerable groups,"un. 易受损害的阶层
"
525,farewell dinner,"n. 饯别宴
"
526,sauna weather,无
527,sex trade crackdown,无
528,face scan payment,无
529,Mori girl,无
530,sand and dust weather,无
531,couch surfer, 沙发客；沙发冲浪
532,rush-to-get-married,无
533,commercial residential building,商品住宅
534,bar code,"na. (商品上示价的)条纹码
"
535,commercial bribery, 商业贿赂；商业贿赂行为；商业受贿罪
536,trademark registration,商标注册
537,door-to-door service,送货上门服务
538,go public,"un. 酒馆；公开秘密；公开上市
"
539,social subsistence fee,无
540,Society Shake,无
541,private financing,"un. 私人借贷
"
542,sexually suggestive ad,无
543,declare one's personal income for tax purposes,无
544,divine tune,无
545,aesthetic fatigue, 审美疲劳
546,body clock,"n. 生物钟
"
547,student pool,无
548,leftover men and women,无
549,dropout,n. 中途退学；辍学学生
550,real-name ticket purchase,无
551,real-name whistleblower,无
552,real-name delivery,无
553,real-name authentication,无
554,be practical and realistic, 实事求是；实事求是的
555,real-time data,实时数据
556,diet regimen,无
557,pilot program,"un. 节目主持人
"
558,local call,"n. 本地电话；市内电话
"
559,casual leave,临时假期
560,surveillance camera, 监控摄像机；监控摄像头；监视录影
561,government-funded public institution,无
562,income gap, 收入差距；收入分配差距；收入差别
563,audience rating,n. 收视率
564,premiere,"n. 初次的演出；女主角
vi. 初次公演；首次露面
vt. 初次公演；初次上演
adj. 首位的；初次的；女主角的"
565,lean meat powder,无
566,mobile phone sidewalk,无
567,book fair,"n. 书展
"
568,rat tribe,无
569,tree hole post,无
570,clearance sale,"na. 〈英〉出清存货大贱卖
"
571,be on sale, 甩卖；正被出售；销行
572,double-decker,n. 双层甲板船；双层公共汽车；双层床；双层夹心三明治
573,double standard,"n. 双重标准
"
574,double-edged sword, 双刃剑
575,two-way charging policy,无
576,double degree, 双学位；双博士学位；双学位课程
577,double eyelid, 两倍的眼皮；单眼皮变双眼皮；双眼皮贴
578,two engines,无
579,moon-viewing flight,无
580,smuggled goods,"na. 走私货
"
581,take-home pay,"n. （扣除税项等之后的）实得工资
"
582,after-tax salary,[税收] 纳税后薪资
583,statutory taxation,无
584,before-tax salary,无
585,successive postgraduate and doctoral program,无
586,elope,vi. 私奔；潜逃
587,Silk Road Fund,无
588,rote learning, 机械学习；机械式学习；强记学习法
589,courtyard dwellings,无
590,quadrangle dwellings,无
591,Four Comprehensives,无
592,home delivery,"un. 家庭接生
"
593,crash course,"n. 速成班；短期培训课程
"
594,frozen food,"na. 冰冻食品
"
595,income tax,"n. （个人）所得税
"
596,fetal education,"《英汉医学词典》fetal education
胎教"
597,WAGs,"abbr. weighted agreement scores 加权的协议分数
v. （使）摇动，摇摆( wag的第三人称单数 )"
598,Taiwan authorities,n. 台湾当局（考研写作流行词汇）
599,space arms race,无
600,lunar exploration program,无
601,home leave, 探亲假；回籍假；家庭照顾假
602,danmaku screening,无
603,tax evasion,"n. 偷税；漏税；（非法）逃税
"
604,set meal, 套餐；客饭；份儿饭
605,season ticket,"n. 长期票（如火车通勤票、公交车月票、体育比赛套票等）
"
606,pupils with special talent,无
607,Special Drawing Rights,"un. 〔经〕特别提款权
"
608,SDR,abbr. 国际货币基金组织的特别提款权（special drawing rights）；计数据记录器（Statistical Data Recorder）；系统定义记录（System Definition Record）
609,poverty-stricken area, 贫困地区；贫穷地区；贫困落后山区
610,close-up,n. [电影] 特写镜头，特写；小传
611,shot,"n. 发射；炮弹；射手；镜头
v. 射击（shoot的过去式和过去分词）
adj. 用尽的；破旧的；杂色的，闪光的"
612,rate hike, 利率上调；加息；调涨价格
613,sports lottery, 体彩；体育彩票；运动彩券
614,scapegoat,"n. 替罪羊，替人顶罪者；替身
vt. 使成为…的替罪羊"
615,surrogate exam-taker,无
616,additive,"n. 添加剂，添加物
adj. 附加的；[数] 加法的"
617,salary adjustment, 薪金调整
618,job-hopping,n. 跳槽
619,trade-in,n. 折价物；折合价
620,pre-movie ad,无
621,bill sticker,n. 张贴广告者
622,die-hard fan,无
623,iron-cap prince,无
624,fight pollution with an iron hand,无
625,public hearing,"n. 公证会
"
626,wanted list, 通缉名单；寻人
627,fellow sufferers,"na. 难友
"
628,investment immigration,无
629,vote abstention,无
630,overdraft,"n. [金融] 透支；[金融] 透支额
vt. [金融] 透支"
631,graffiti,n. 墙上乱写乱画的东西（graffito的复数形式）
632,nouveau rich,无
633,local specialty, 土特产；特色点心；地方特产
634,group-buying, 团购（团购就是团体购物，指认识或不认识的消费者联合起来，加大与商家的谈判能力，以求得最优价格的一种购物方式。）
635,off-line,"adj. 离线的；[计] 脱机的；不连结到线上的
adv. 脱机地；脱线地；不实时地"
636,talk show,"n. 脱口秀
"
637,land reserves, 囤地
638,hoard and profiteer,无
639,take-out,"n. 取消银行贷款
adj. 供应外卖食物的"
640,foreign exchange reserve pool,无
641,bendgate,无
642,trump card,"n. 王牌；绝招；杀手锏
"
643,online greeting,无
644,phishing,n. 网络钓鱼；网络欺诈（以虚假的身份和形象随机骗取个人帐号和密码等）
645,online rumors,无
646,online booking system,无
647,online tomb-sweeping,无
648,Internet power,无
649,busy season,"n. 农忙季节
"
650,height of the season,无
651,seek advice from netizens on micro blog,无
652,micro film, 微电影
653,WeChataholics,无
654,Smile Challenge,无
655,unapproved construction projects,无
656,GDP supremacy,无
657,child molestation, 猥亵儿童；猥亵娈童案；儿童性骚扰
658,comfort woman,"na. (二战时期日本军队中的)慰安妇
"
659,cultural relic, 文物；文化遗产；文化遗存
660,liberal arts,"n. 文科
"
661,tattoo,"n. 文身
vt. 刺花纹于
vi. 刺花样"
662,accountability system, 问责制；责任追究制度；问责制度
663,sleeper bus,无
664,own goal,"n. 【体】乌龙球；咎由自取；搬起石头砸自己的脚
"
665,open-ended contract, 无固定期限合同
666,unconditional returns,无
667,No-Face Day,无
668,unmanned aerial vehicles, 无人机；无人飞行器；无人驾驶飞行器
669,intangible asset,"n. 无形资产
"
670,driving without a license,无
671,"smoke-free ""buffer zone""",无
672,five-kernel mooncake,无
673,smog documentary,无
674,property management, 物业管理；资产管理；财产管理
675,estate management,"un. 地产管理
"
676,material incentive,"un. 物质刺激
"
677,Western-style butler,无
678,sunset industry,"n. 夕阳产业
"
679,Project Hope, 希望工程；世界健康基金会；美国世界健康基金会
680,money laundering, 洗钱；洗黑钱；洗黑钱活动
681,brainwashing pop song,无
682,review-before-release system,无
683,on-site recruiting,无
684,live broadcast,"n. 直播
"
685,infant milk powder quota order,无
686,speed limit,"n. （道路的）最高车速限制
"
687,blind date,"n. 相亲；相亲的对象
"
688,curfew,n. 宵禁；宵禁令；晚钟；打晚钟时刻
689,tabloid,"n. 小报；药片；文摘；小型画报
adj. 小报式的；缩略的；轰动性的；扼要的"
690,houses with limited property rights,无
691,limited-property-rights housing,无
692,grapevine,n. 葡萄树；葡萄藤；小道消息；秘密情报网
693,hearsay,"n. 传闻，谣言
adj. 传闻的，风闻的"
694,micro-credit company,无
695,little emperor, 小皇帝；十三岁封王
696,only child,"n. 独生子（或女）
"
697,a private coffer,无
698,slush fund,"n. （尤指用于政治目的的）非法基金
"
699,small displacement car,无
700,campus recruitment quota,无
701,school bus,"na. 校车
"
702,filial piety,"na. 孝道；孝顺
"
703,comedian,n. 喜剧演员；滑稽人物
704,office building,"n. 办公楼
"
705,heretic sect,无
706,new favorite, 新宠；新欢；新爱
707,new Chinese-style outfit,无
708,new normal, 新常态；新的常态；新标准
709,psychological counseling,"un. 心理咨询
"
710,soul soother,无
711,salary reform,无
712,new-energy vehicles,无
713,rising star, 明日之星；新秀；后起之秀
714,up-and-coming star,新秀
715,credit squeeze,"un. 信贷紧缩；信用紧缩
"
716,integrity rating,无
717,news feed ad,无
718,star-rated hotels,无
719,extract confessions by torture,无
720,be tortured into confessing,无
721,sex discrimination,"un. 性别鉴定
"
722,gender discrimination, 性别歧视；社会性别歧视；性别歧视的社会问题探讨
723,sexual assault, 性侵犯；性侵害；性攻击
724,sexual harassment,"n. 性骚扰
"
725,sexual prematurity,性早熟
726,chip card, 芯片卡
727,PDA,abbr. 个人数字助理（等于Personal Digital Assistant）；秀恩爱（Public Display of Affection）
